1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 1 x 13 = 0-13, 1 x 14 = 0-14, 1 x 15 = 0-15, 1 x 16 = 0-16, 1 x 17 = 0-17, 1 x 18 = 0-18, 1 x 19 = 0-19, 1 x 20 = 0-20, 1 x 21 = 0-21, 1 x 22 = 0-22, 1 x 23 = 0-23, 1 x 24 = 0-24, 1 x 25 = 0-25, 1 x 26 = 0-26, 1 x 27 = 0-27, 1 x 28 = 0-28, 1 x 29 = 0-29, 1 x 30 = 0-30, 1 x 31 = 0-31, 1 x 32 = 0-32, 1 x 33 = 0-33, 1 x 34 = 0-34, 1 x 35 = 0-35, 1 x 36 = 0-36, 1 x 37 = 0-37, 1 x 38 = 0-38, 1 x 39 = 0-39, 1 x 40 = 0-40, 1 x 41 = 0-41, 1 x 42 = 0-42, 1 x 43 = 0-43, 1 x 44 = 0-44, 1 x 45 = 0-45, 1 x 46 = 0-46, 1 x 47 = 0-47, 1 x 48 = 0-48, 1 x 49 = 0-49, 1 x 50 = 0-50, 1 x 51 = 0-51, 1 x 52 = 0-52, 1 x 53 = 0-53, 1 x 54 = 0-54, 1 x 55 = 0-55, 1 x 56 = 0-56, 1 x 57 = 0-57, 1 x 58 = 0-58, 1 x 59 = 0-59, 1 x 60 = 0-60, 1 x 61 = 0-61, 1 x 62 = 0-62, 1 x 63 = 0-63, 1 x 64 = 0-64, 1 x 65 = 0-65, 1 x 66 = 0-66, 1 x 67 = 0-67, 1 x 68 = 0-68, 1 x 69 = 0-69, 1 x 70 = 0-70, 1 x 71 = 0-71, 1 x 72 = 0-72, 1 x 73 = 0-73, 1 x 74 = 0-74, 1 x 75 = 0-75, 1 x 76 = 0-76, 1 x 77 = 0-77, 1 x 78 = 0-78, 1 x 79 = 0-79, 1 x 80 = 0-80, 1 x 81 = 0-81, 1 x 82 = 0-82, 1 x 83 = 0-83, 1 x 84 = 0-84, 1 x 85 = 0-85, 1 x 86 = 0-86, 1 x 87 = 0-87, 1 x 88 = 0-88, 1 x 89 = 0-89, 1 x 90 = 0-90, 1 x 91 = 0-91, 1 x 92 = 0-92, 1 x 93 = 0-93, 1 x 94 = 0-94, 1 x 95 = 0-95, 1 x 96 = 0-96, 1 x 97 = 0-97, 1 x 98 = 0-98, 1 x 99 = 0-99, 1 x 100 = 0-100, 1 x 101 = 0-101, 1 x 102 = 0-102, 1 x 103 = 0-103, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 0-14, 2 x 8 = 0-16, 2 x 9 = 0-18, 2 x 10 = 0-20, 2 x 11 = 0-22, 2 x 12 = 0-24, 2 x 13 = 0-26, 2 x 14 = 0-28, 2 x 15 = 0-30, 2 x 16 = 0-32, 2 x 17 = 0-34, 2 x 18 = 0-36, 2 x 19 = 0-38, 2 x 20 = 0-40, 2 x 21 = 0-42, 2 x 22 = 0-44, 2 x 23 = 0-46, 2 x 24 = 0-48, 2 x 25 = 0-50, 2 x 26 = 0-52, 2 x 27 = 0-54, 2 x 28 = 0-56, 2 x 29 = 0-58, 2 x 30 = 0-60, 2 x 31 = 0-62, 2 x 32 = 0-64, 2 x 33 = 0-66, 2 x 34 = 0-68, 2 x 35 = 0-70, 2 x 36 = 0-72, 2 x 37 = 0-74, 2 x 38 = 0-76, 2 x 39 = 0-78, 2 x 40 = 0-80, 2 x 41 = 0-82, 2 x 42 = 0-84, 2 x 43 = 0-86, 2 x 44 = 0-88, 2 x 45 = 0-90, 2 x 46 = 0-92, 2 x 47 = 0-94, 2 x 48 = 0-96, 2 x 49 = 0-98, 2 x 50 = 0-100, 2 x 51 = 0-102, 2 x 52 = 1-0, 2 x 53 = 1-2, 2 x 54 = 1-4, 2 x 55 = 1-6, 2 x 56 = 1-8, 2 x 57 = 1-10, 2 x 58 = 1-12, 2 x 59 = 1-14, 2 x 60 = 1-16, 2 x 61 = 1-18, 2 x 62 = 1-20, 2 x 63 = 1-22, 2 x 64 = 1-24, 2 x 65 = 1-26, 2 x 66 = 1-28, 2 x 67 = 1-30, 2 x 68 = 1-32, 2 x 69 = 1-34, 2 x 70 = 1-36, 2 x 71 = 1-38, 2 x 72 = 1-40, 2 x 73 = 1-42, 2 x 74 = 1-44, 2 x 75 = 1-46, 2 x 76 = 1-48, 2 x 77 = 1-50, 2 x 78 = 1-52, 2 x 79 = 1-54, 2 x 80 = 1-56, 2 x 81 = 1-58, 2 x 82 = 1-60, 2 x 83 = 1-62, 2 x 84 = 1-64, 2 x 85 = 1-66, 2 x 86 = 1-68, 2 x 87 = 1-70, 2 x 88 = 1-72, 2 x 89 = 1-74, 2 x 90 = 1-76, 2 x 91 = 1-78, 2 x 92 = 1-80, 2 x 93 = 1-82, 2 x 94 = 1-84, 2 x 95 = 1-86, 2 x 96 = 1-88, 2 x 97 = 1-90, 2 x 98 = 1-92, 2 x 99 = 1-94, 2 x 100 = 1-96, 2 x 101 = 1-98, 2 x 102 = 1-100, 2 x 103 = 1-102, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 0-15, 3 x 6 = 0-18, 3 x 7 = 0-21, 3 x 8 = 0-24, 3 x 9 = 0-27, 3 x 10 = 0-30, 3 x 11 = 0-33, 3 x 12 = 0-36, 3 x 13 = 0-39, 3 x 14 = 0-42, 3 x 15 = 0-45, 3 x 16 = 0-48, 3 x 17 = 0-51, 3 x 18 = 0-54, 3 x 19 = 0-57, 3 x 20 = 0-60, 3 x 21 = 0-63, 3 x 22 = 0-66, 3 x 23 = 0-69, 3 x 24 = 0-72, 3 x 25 = 0-75, 3 x 26 = 0-78, 3 x 27 = 0-81, 3 x 28 = 0-84, 3 x 29 = 0-87, 3 x 30 = 0-90, 3 x 31 = 0-93, 3 x 32 = 0-96, 3 x 33 = 0-99, 3 x 34 = 0-102, 3 x 35 = 1-1, 3 x 36 = 1-4, 3 x 37 = 1-7, 3 x 38 = 1-10, 3 x 39 = 1-13, 3 x 40 = 1-16, 3 x 41 = 1-19, 3 x 42 = 1-22, 3 x 43 = 1-25, 3 x 44 = 1-28, 3 x 45 = 1-31, 3 x 46 = 1-34, 3 x 47 = 1-37, 3 x 48 = 1-40, 3 x 49 = 1-43, 3 x 50 = 1-46, 3 x 51 = 1-49, 3 x 52 = 1-52, 3 x 53 = 1-55, 3 x 54 = 1-58, 3 x 55 = 1-61, 3 x 56 = 1-64, 3 x 57 = 1-67, 3 x 58 = 1-70, 3 x 59 = 1-73, 3 x 60 = 1-76, 3 x 61 = 1-79, 3 x 62 = 1-82, 3 x 63 = 1-85, 3 x 64 = 1-88, 3 x 65 = 1-91, 3 x 66 = 1-94, 3 x 67 = 1-97, 3 x 68 = 1-100, 3 x 69 = 1-103, 3 x 70 = 2-2, 3 x 71 = 2-5, 3 x 72 = 2-8, 3 x 73 = 2-11, 3 x 74 = 2-14, 3 x 75 = 2-17, 3 x 76 = 2-20, 3 x 77 = 2-23, 3 x 78 = 2-26, 3 x 79 = 2-29, 3 x 80 = 2-32, 3 x 81 = 2-35, 3 x 82 = 2-38, 3 x 83 = 2-41, 3 x 84 = 2-44, 3 x 85 = 2-47, 3 x 86 = 2-50, 3 x 87 = 2-53, 3 x 88 = 2-56, 3 x 89 = 2-59, 3 x 90 = 2-62, 3 x 91 = 2-65, 3 x 92 = 2-68, 3 x 93 = 2-71, 3 x 94 = 2-74, 3 x 95 = 2-77, 3 x 96 = 2-80, 3 x 97 = 2-83, 3 x 98 = 2-86, 3 x 99 = 2-89, 3 x 100 = 2-92, 3 x 101 = 2-95, 3 x 102 = 2-98, 3 x 103 = 2-101, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 0-16, 4 x 5 = 0-20, 4 x 6 = 0-24, 4 x 7 = 0-28, 4 x 8 = 0-32, 4 x 9 = 0-36, 4 x 10 = 0-40, 4 x 11 = 0-44, 4 x 12 = 0-48, 4 x 13 = 0-52, 4 x 14 = 0-56, 4 x 15 = 0-60, 4 x 16 = 0-64, 4 x 17 = 0-68, 4 x 18 = 0-72, 4 x 19 = 0-76, 4 x 20 = 0-80, 4 x 21 = 0-84, 4 x 22 = 0-88, 4 x 23 = 0-92, 4 x 24 = 0-96, 4 x 25 = 0-100, 4 x 26 = 1-0, 4 x 27 = 1-4, 4 x 28 = 1-8, 4 x 29 = 1-12, 4 x 30 = 1-16, 4 x 31 = 1-20, 4 x 32 = 1-24, 4 x 33 = 1-28, 4 x 34 = 1-32, 4 x 35 = 1-36, 4 x 36 = 1-40, 4 x 37 = 1-44, 4 x 38 = 1-48, 4 x 39 = 1-52, 4 x 40 = 1-56, 4 x 41 = 1-60, 4 x 42 = 1-64, 4 x 43 = 1-68, 4 x 44 = 1-72, 4 x 45 = 1-76, 4 x 46 = 1-80, 4 x 47 = 1-84, 4 x 48 = 1-88, 4 x 49 = 1-92, 4 x 50 = 1-96, 4 x 51 = 1-100, 4 x 52 = 2-0, 4 x 53 = 2-4, 4 x 54 = 2-8, 4 x 55 = 2-12, 4 x 56 = 2-16, 4 x 57 = 2-20, 4 x 58 = 2-24, 4 x 59 = 2-28, 4 x 60 = 2-32, 4 x 61 = 2-36, 4 x 62 = 2-40, 4 x 63 = 2-44, 4 x 64 = 2-48, 4 x 65 = 2-52, 4 x 66 = 2-56, 4 x 67 = 2-60, 4 x 68 = 2-64, 4 x 69 = 2-68, 4 x 70 = 2-72, 4 x 71 = 2-76, 4 x 72 = 2-80, 4 x 73 = 2-84, 4 x 74 = 2-88, 4 x 75 = 2-92, 4 x 76 = 2-96, 4 x 77 = 2-100, 4 x 78 = 3-0, 4 x 79 = 3-4, 4 x 80 = 3-8, 4 x 81 = 3-12, 4 x 82 = 3-16, 4 x 83 = 3-20, 4 x 84 = 3-24, 4 x 85 = 3-28, 4 x 86 = 3-32, 4 x 87 = 3-36, 4 x 88 = 3-40, 4 x 89 = 3-44, 4 x 90 = 3-48, 4 x 91 = 3-52, 4 x 92 = 3-56, 4 x 93 = 3-60, 4 x 94 = 3-64, 4 x 95 = 3-68, 4 x 96 = 3-72, 4 x 97 = 3-76, 4 x 98 = 3-80, 4 x 99 = 3-84, 4 x 100 = 3-88, 4 x 101 = 3-92, 4 x 102 = 3-96, 4 x 103 = 3-100, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 0-15, 5 x 4 = 0-20, 5 x 5 = 0-25, 5 x 6 = 0-30, 5 x 7 = 0-35, 5 x 8 = 0-40, 5 x 9 = 0-45, 5 x 10 = 0-50, 5 x 11 = 0-55, 5 x 12 = 0-60, 5 x 13 = 0-65, 5 x 14 = 0-70, 5 x 15 = 0-75, 5 x 16 = 0-80, 5 x 17 = 0-85, 5 x 18 = 0-90, 5 x 19 = 0-95, 5 x 20 = 0-100, 5 x 21 = 1-1, 5 x 22 = 1-6, 5 x 23 = 1-11, 5 x 24 = 1-16, 5 x 25 = 1-21, 5 x 26 = 1-26, 5 x 27 = 1-31, 5 x 28 = 1-36, 5 x 29 = 1-41, 5 x 30 = 1-46, 5 x 31 = 1-51, 5 x 32 = 1-56, 5 x 33 = 1-61, 5 x 34 = 1-66, 5 x 35 = 1-71, 5 x 36 = 1-76, 5 x 37 = 1-81, 5 x 38 = 1-86, 5 x 39 = 1-91, 5 x 40 = 1-96, 5 x 41 = 1-101, 5 x 42 = 2-2, 5 x 43 = 2-7, 5 x 44 = 2-12, 5 x 45 = 2-17, 5 x 46 = 2-22, 5 x 47 = 2-27, 5 x 48 = 2-32, 5 x 49 = 2-37, 5 x 50 = 2-42, 5 x 51 = 2-47, 5 x 52 = 2-52, 5 x 53 = 2-57, 5 x 54 = 2-62, 5 x 55 = 2-67, 5 x 56 = 2-72, 5 x 57 = 2-77, 5 x 58 = 2-82, 5 x 59 = 2-87, 5 x 60 = 2-92, 5 x 61 = 2-97, 5 x 62 = 2-102, 5 x 63 = 3-3, 5 x 64 = 3-8, 5 x 65 = 3-13, 5 x 66 = 3-18, 5 x 67 = 3-23, 5 x 68 = 3-28, 5 x 69 = 3-33, 5 x 70 = 3-38, 5 x 71 = 3-43, 5 x 72 = 3-48, 5 x 73 = 3-53, 5 x 74 = 3-58, 5 x 75 = 3-63, 5 x 76 = 3-68, 5 x 77 = 3-73, 5 x 78 = 3-78, 5 x 79 = 3-83, 5 x 80 = 3-88, 5 x 81 = 3-93, 5 x 82 = 3-98, 5 x 83 = 3-103, 5 x 84 = 4-4, 5 x 85 = 4-9, 5 x 86 = 4-14, 5 x 87 = 4-19, 5 x 88 = 4-24, 5 x 89 = 4-29, 5 x 90 = 4-34, 5 x 91 = 4-39, 5 x 92 = 4-44, 5 x 93 = 4-49, 5 x 94 = 4-54, 5 x 95 = 4-59, 5 x 96 = 4-64, 5 x 97 = 4-69, 5 x 98 = 4-74, 5 x 99 = 4-79, 5 x 100 = 4-84, 5 x 101 = 4-89, 5 x 102 = 4-94, 5 x 103 = 4-99, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 0-18, 6 x 4 = 0-24, 6 x 5 = 0-30, 6 x 6 = 0-36, 6 x 7 = 0-42, 6 x 8 = 0-48, 6 x 9 = 0-54, 6 x 10 = 0-60, 6 x 11 = 0-66, 6 x 12 = 0-72, 6 x 13 = 0-78, 6 x 14 = 0-84, 6 x 15 = 0-90, 6 x 16 = 0-96, 6 x 17 = 0-102, 6 x 18 = 1-4, 6 x 19 = 1-10, 6 x 20 = 1-16, 6 x 21 = 1-22, 6 x 22 = 1-28, 6 x 23 = 1-34, 6 x 24 = 1-40, 6 x 25 = 1-46, 6 x 26 = 1-52, 6 x 27 = 1-58, 6 x 28 = 1-64, 6 x 29 = 1-70, 6 x 30 = 1-76, 6 x 31 = 1-82, 6 x 32 = 1-88, 6 x 33 = 1-94, 6 x 34 = 1-100, 6 x 35 = 2-2, 6 x 36 = 2-8, 6 x 37 = 2-14, 6 x 38 = 2-20, 6 x 39 = 2-26, 6 x 40 = 2-32, 6 x 41 = 2-38, 6 x 42 = 2-44, 6 x 43 = 2-50, 6 x 44 = 2-56, 6 x 45 = 2-62, 6 x 46 = 2-68, 6 x 47 = 2-74, 6 x 48 = 2-80, 6 x 49 = 2-86, 6 x 50 = 2-92, 6 x 51 = 2-98, 6 x 52 = 3-0, 6 x 53 = 3-6, 6 x 54 = 3-12, 6 x 55 = 3-18, 6 x 56 = 3-24, 6 x 57 = 3-30, 6 x 58 = 3-36, 6 x 59 = 3-42, 6 x 60 = 3-48, 6 x 61 = 3-54, 6 x 62 = 3-60, 6 x 63 = 3-66, 6 x 64 = 3-72, 6 x 65 = 3-78, 6 x 66 = 3-84, 6 x 67 = 3-90, 6 x 68 = 3-96, 6 x 69 = 3-102, 6 x 70 = 4-4, 6 x 71 = 4-10, 6 x 72 = 4-16, 6 x 73 = 4-22, 6 x 74 = 4-28, 6 x 75 = 4-34, 6 x 76 = 4-40, 6 x 77 = 4-46, 6 x 78 = 4-52, 6 x 79 = 4-58, 6 x 80 = 4-64, 6 x 81 = 4-70, 6 x 82 = 4-76, 6 x 83 = 4-82, 6 x 84 = 4-88, 6 x 85 = 4-94, 6 x 86 = 4-100, 6 x 87 = 5-2, 6 x 88 = 5-8, 6 x 89 = 5-14, 6 x 90 = 5-20, 6 x 91 = 5-26, 6 x 92 = 5-32, 6 x 93 = 5-38, 6 x 94 = 5-44, 6 x 95 = 5-50, 6 x 96 = 5-56, 6 x 97 = 5-62, 6 x 98 = 5-68, 6 x 99 = 5-74, 6 x 100 = 5-80, 6 x 101 = 5-86, 6 x 102 = 5-92, 6 x 103 = 5-98, 
7 x 1 = 0-7, 7 x 2 = 0-14, 7 x 3 = 0-21, 7 x 4 = 0-28, 7 x 5 = 0-35, 7 x 6 = 0-42, 7 x 7 = 0-49, 7 x 8 = 0-56, 7 x 9 = 0-63, 7 x 10 = 0-70, 7 x 11 = 0-77, 7 x 12 = 0-84, 7 x 13 = 0-91, 7 x 14 = 0-98, 7 x 15 = 1-1, 7 x 16 = 1-8, 7 x 17 = 1-15, 7 x 18 = 1-22, 7 x 19 = 1-29, 7 x 20 = 1-36, 7 x 21 = 1-43, 7 x 22 = 1-50, 7 x 23 = 1-57, 7 x 24 = 1-64, 7 x 25 = 1-71, 7 x 26 = 1-78, 7 x 27 = 1-85, 7 x 28 = 1-92, 7 x 29 = 1-99, 7 x 30 = 2-2, 7 x 31 = 2-9, 7 x 32 = 2-16, 7 x 33 = 2-23, 7 x 34 = 2-30, 7 x 35 = 2-37, 7 x 36 = 2-44, 7 x 37 = 2-51, 7 x 38 = 2-58, 7 x 39 = 2-65, 7 x 40 = 2-72, 7 x 41 = 2-79, 7 x 42 = 2-86, 7 x 43 = 2-93, 7 x 44 = 2-100, 7 x 45 = 3-3, 7 x 46 = 3-10, 7 x 47 = 3-17, 7 x 48 = 3-24, 7 x 49 = 3-31, 7 x 50 = 3-38, 7 x 51 = 3-45, 7 x 52 = 3-52, 7 x 53 = 3-59, 7 x 54 = 3-66, 7 x 55 = 3-73, 7 x 56 = 3-80, 7 x 57 = 3-87, 7 x 58 = 3-94, 7 x 59 = 3-101, 7 x 60 = 4-4, 7 x 61 = 4-11, 7 x 62 = 4-18, 7 x 63 = 4-25, 7 x 64 = 4-32, 7 x 65 = 4-39, 7 x 66 = 4-46, 7 x 67 = 4-53, 7 x 68 = 4-60, 7 x 69 = 4-67, 7 x 70 = 4-74, 7 x 71 = 4-81, 7 x 72 = 4-88, 7 x 73 = 4-95, 7 x 74 = 4-102, 7 x 75 = 5-5, 7 x 76 = 5-12, 7 x 77 = 5-19, 7 x 78 = 5-26, 7 x 79 = 5-33, 7 x 80 = 5-40, 7 x 81 = 5-47, 7 x 82 = 5-54, 7 x 83 = 5-61, 7 x 84 = 5-68, 7 x 85 = 5-75, 7 x 86 = 5-82, 7 x 87 = 5-89, 7 x 88 = 5-96, 7 x 89 = 5-103, 7 x 90 = 6-6, 7 x 91 = 6-13, 7 x 92 = 6-20, 7 x 93 = 6-27, 7 x 94 = 6-34, 7 x 95 = 6-41, 7 x 96 = 6-48, 7 x 97 = 6-55, 7 x 98 = 6-62, 7 x 99 = 6-69, 7 x 100 = 6-76, 7 x 101 = 6-83, 7 x 102 = 6-90, 7 x 103 = 6-97, 
8 x 1 = 0-8, 8 x 2 = 0-16, 8 x 3 = 0-24, 8 x 4 = 0-32, 8 x 5 = 0-40, 8 x 6 = 0-48, 8 x 7 = 0-56, 8 x 8 = 0-64, 8 x 9 = 0-72, 8 x 10 = 0-80, 8 x 11 = 0-88, 8 x 12 = 0-96, 8 x 13 = 1-0, 8 x 14 = 1-8, 8 x 15 = 1-16, 8 x 16 = 1-24, 8 x 17 = 1-32, 8 x 18 = 1-40, 8 x 19 = 1-48, 8 x 20 = 1-56, 8 x 21 = 1-64, 8 x 22 = 1-72, 8 x 23 = 1-80, 8 x 24 = 1-88, 8 x 25 = 1-96, 8 x 26 = 2-0, 8 x 27 = 2-8, 8 x 28 = 2-16, 8 x 29 = 2-24, 8 x 30 = 2-32, 8 x 31 = 2-40, 8 x 32 = 2-48, 8 x 33 = 2-56, 8 x 34 = 2-64, 8 x 35 = 2-72, 8 x 36 = 2-80, 8 x 37 = 2-88, 8 x 38 = 2-96, 8 x 39 = 3-0, 8 x 40 = 3-8, 8 x 41 = 3-16, 8 x 42 = 3-24, 8 x 43 = 3-32, 8 x 44 = 3-40, 8 x 45 = 3-48, 8 x 46 = 3-56, 8 x 47 = 3-64, 8 x 48 = 3-72, 8 x 49 = 3-80, 8 x 50 = 3-88, 8 x 51 = 3-96, 8 x 52 = 4-0, 8 x 53 = 4-8, 8 x 54 = 4-16, 8 x 55 = 4-24, 8 x 56 = 4-32, 8 x 57 = 4-40, 8 x 58 = 4-48, 8 x 59 = 4-56, 8 x 60 = 4-64, 8 x 61 = 4-72, 8 x 62 = 4-80, 8 x 63 = 4-88, 8 x 64 = 4-96, 8 x 65 = 5-0, 8 x 66 = 5-8, 8 x 67 = 5-16, 8 x 68 = 5-24, 8 x 69 = 5-32, 8 x 70 = 5-40, 8 x 71 = 5-48, 8 x 72 = 5-56, 8 x 73 = 5-64, 8 x 74 = 5-72, 8 x 75 = 5-80, 8 x 76 = 5-88, 8 x 77 = 5-96, 8 x 78 = 6-0, 8 x 79 = 6-8, 8 x 80 = 6-16, 8 x 81 = 6-24, 8 x 82 = 6-32, 8 x 83 = 6-40, 8 x 84 = 6-48, 8 x 85 = 6-56, 8 x 86 = 6-64, 8 x 87 = 6-72, 8 x 88 = 6-80, 8 x 89 = 6-88, 8 x 90 = 6-96, 8 x 91 = 7-0, 8 x 92 = 7-8, 8 x 93 = 7-16, 8 x 94 = 7-24, 8 x 95 = 7-32, 8 x 96 = 7-40, 8 x 97 = 7-48, 8 x 98 = 7-56, 8 x 99 = 7-64, 8 x 100 = 7-72, 8 x 101 = 7-80, 8 x 102 = 7-88, 8 x 103 = 7-96, 
9 x 1 = 0-9, 9 x 2 = 0-18, 9 x 3 = 0-27, 9 x 4 = 0-36, 9 x 5 = 0-45, 9 x 6 = 0-54, 9 x 7 = 0-63, 9 x 8 = 0-72, 9 x 9 = 0-81, 9 x 10 = 0-90, 9 x 11 = 0-99, 9 x 12 = 1-4, 9 x 13 = 1-13, 9 x 14 = 1-22, 9 x 15 = 1-31, 9 x 16 = 1-40, 9 x 17 = 1-49, 9 x 18 = 1-58, 9 x 19 = 1-67, 9 x 20 = 1-76, 9 x 21 = 1-85, 9 x 22 = 1-94, 9 x 23 = 1-103, 9 x 24 = 2-8, 9 x 25 = 2-17, 9 x 26 = 2-26, 9 x 27 = 2-35, 9 x 28 = 2-44, 9 x 29 = 2-53, 9 x 30 = 2-62, 9 x 31 = 2-71, 9 x 32 = 2-80, 9 x 33 = 2-89, 9 x 34 = 2-98, 9 x 35 = 3-3, 9 x 36 = 3-12, 9 x 37 = 3-21, 9 x 38 = 3-30, 9 x 39 = 3-39, 9 x 40 = 3-48, 9 x 41 = 3-57, 9 x 42 = 3-66, 9 x 43 = 3-75, 9 x 44 = 3-84, 9 x 45 = 3-93, 9 x 46 = 3-102, 9 x 47 = 4-7, 9 x 48 = 4-16, 9 x 49 = 4-25, 9 x 50 = 4-34, 9 x 51 = 4-43, 9 x 52 = 4-52, 9 x 53 = 4-61, 9 x 54 = 4-70, 9 x 55 = 4-79, 9 x 56 = 4-88, 9 x 57 = 4-97, 9 x 58 = 5-2, 9 x 59 = 5-11, 9 x 60 = 5-20, 9 x 61 = 5-29, 9 x 62 = 5-38, 9 x 63 = 5-47, 9 x 64 = 5-56, 9 x 65 = 5-65, 9 x 66 = 5-74, 9 x 67 = 5-83, 9 x 68 = 5-92, 9 x 69 = 5-101, 9 x 70 = 6-6, 9 x 71 = 6-15, 9 x 72 = 6-24, 9 x 73 = 6-33, 9 x 74 = 6-42, 9 x 75 = 6-51, 9 x 76 = 6-60, 9 x 77 = 6-69, 9 x 78 = 6-78, 9 x 79 = 6-87, 9 x 80 = 6-96, 9 x 81 = 7-1, 9 x 82 = 7-10, 9 x 83 = 7-19, 9 x 84 = 7-28, 9 x 85 = 7-37, 9 x 86 = 7-46, 9 x 87 = 7-55, 9 x 88 = 7-64, 9 x 89 = 7-73, 9 x 90 = 7-82, 9 x 91 = 7-91, 9 x 92 = 7-100, 9 x 93 = 8-5, 9 x 94 = 8-14, 9 x 95 = 8-23, 9 x 96 = 8-32, 9 x 97 = 8-41, 9 x 98 = 8-50, 9 x 99 = 8-59, 9 x 100 = 8-68, 9 x 101 = 8-77, 9 x 102 = 8-86, 9 x 103 = 8-95, 
10 x 1 = 0-10, 10 x 2 = 0-20, 10 x 3 = 0-30, 10 x 4 = 0-40, 10 x 5 = 0-50, 10 x 6 = 0-60, 10 x 7 = 0-70, 10 x 8 = 0-80, 10 x 9 = 0-90, 10 x 10 = 0-100, 10 x 11 = 1-6, 10 x 12 = 1-16, 10 x 13 = 1-26, 10 x 14 = 1-36, 10 x 15 = 1-46, 10 x 16 = 1-56, 10 x 17 = 1-66, 10 x 18 = 1-76, 10 x 19 = 1-86, 10 x 20 = 1-96, 10 x 21 = 2-2, 10 x 22 = 2-12, 10 x 23 = 2-22, 10 x 24 = 2-32, 10 x 25 = 2-42, 10 x 26 = 2-52, 10 x 27 = 2-62, 10 x 28 = 2-72, 10 x 29 = 2-82, 10 x 30 = 2-92, 10 x 31 = 2-102, 10 x 32 = 3-8, 10 x 33 = 3-18, 10 x 34 = 3-28, 10 x 35 = 3-38, 10 x 36 = 3-48, 10 x 37 = 3-58, 10 x 38 = 3-68, 10 x 39 = 3-78, 10 x 40 = 3-88, 10 x 41 = 3-98, 10 x 42 = 4-4, 10 x 43 = 4-14, 10 x 44 = 4-24, 10 x 45 = 4-34, 10 x 46 = 4-44, 10 x 47 = 4-54, 10 x 48 = 4-64, 10 x 49 = 4-74, 10 x 50 = 4-84, 10 x 51 = 4-94, 10 x 52 = 5-0, 10 x 53 = 5-10, 10 x 54 = 5-20, 10 x 55 = 5-30, 10 x 56 = 5-40, 10 x 57 = 5-50, 10 x 58 = 5-60, 10 x 59 = 5-70, 10 x 60 = 5-80, 10 x 61 = 5-90, 10 x 62 = 5-100, 10 x 63 = 6-6, 10 x 64 = 6-16, 10 x 65 = 6-26, 10 x 66 = 6-36, 10 x 67 = 6-46, 10 x 68 = 6-56, 10 x 69 = 6-66, 10 x 70 = 6-76, 10 x 71 = 6-86, 10 x 72 = 6-96, 10 x 73 = 7-2, 10 x 74 = 7-12, 10 x 75 = 7-22, 10 x 76 = 7-32, 10 x 77 = 7-42, 10 x 78 = 7-52, 10 x 79 = 7-62, 10 x 80 = 7-72, 10 x 81 = 7-82, 10 x 82 = 7-92, 10 x 83 = 7-102, 10 x 84 = 8-8, 10 x 85 = 8-18, 10 x 86 = 8-28, 10 x 87 = 8-38, 10 x 88 = 8-48, 10 x 89 = 8-58, 10 x 90 = 8-68, 10 x 91 = 8-78, 10 x 92 = 8-88, 10 x 93 = 8-98, 10 x 94 = 9-4, 10 x 95 = 9-14, 10 x 96 = 9-24, 10 x 97 = 9-34, 10 x 98 = 9-44, 10 x 99 = 9-54, 10 x 100 = 9-64, 10 x 101 = 9-74, 10 x 102 = 9-84, 10 x 103 = 9-94, 
