1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 1 x 13 = 0-13, 1 x 14 = 0-14, 1 x 15 = 0-15, 1 x 16 = 0-16, 1 x 17 = 0-17, 1 x 18 = 0-18, 1 x 19 = 0-19, 1 x 20 = 0-20, 1 x 21 = 0-21, 1 x 22 = 0-22, 1 x 23 = 0-23, 1 x 24 = 0-24, 1 x 25 = 0-25, 1 x 26 = 0-26, 1 x 27 = 0-27, 1 x 28 = 0-28, 1 x 29 = 0-29, 1 x 30 = 0-30, 1 x 31 = 0-31, 1 x 32 = 0-32, 1 x 33 = 0-33, 1 x 34 = 0-34, 1 x 35 = 0-35, 1 x 36 = 0-36, 1 x 37 = 0-37, 1 x 38 = 0-38, 1 x 39 = 0-39, 1 x 40 = 0-40, 1 x 41 = 0-41, 1 x 42 = 0-42, 1 x 43 = 0-43, 1 x 44 = 0-44, 1 x 45 = 0-45, 1 x 46 = 0-46, 1 x 47 = 0-47, 1 x 48 = 0-48, 1 x 49 = 0-49, 1 x 50 = 0-50, 1 x 51 = 0-51, 1 x 52 = 0-52, 1 x 53 = 0-53, 1 x 54 = 0-54, 1 x 55 = 0-55, 1 x 56 = 0-56, 1 x 57 = 0-57, 1 x 58 = 0-58, 1 x 59 = 0-59, 1 x 60 = 0-60, 1 x 61 = 0-61, 1 x 62 = 0-62, 1 x 63 = 0-63, 1 x 64 = 0-64, 1 x 65 = 0-65, 1 x 66 = 0-66, 1 x 67 = 0-67, 1 x 68 = 0-68, 1 x 69 = 0-69, 1 x 70 = 0-70, 1 x 71 = 0-71, 1 x 72 = 0-72, 1 x 73 = 0-73, 1 x 74 = 0-74, 1 x 75 = 0-75, 1 x 76 = 0-76, 1 x 77 = 0-77, 1 x 78 = 0-78, 1 x 79 = 0-79, 1 x 80 = 0-80, 1 x 81 = 0-81, 1 x 82 = 0-82, 1 x 83 = 0-83, 1 x 84 = 0-84, 1 x 85 = 0-85, 1 x 86 = 0-86, 1 x 87 = 0-87, 1 x 88 = 0-88, 1 x 89 = 0-89, 1 x 90 = 0-90, 1 x 91 = 0-91, 1 x 92 = 0-92, 1 x 93 = 0-93, 1 x 94 = 0-94, 1 x 95 = 0-95, 1 x 96 = 0-96, 1 x 97 = 0-97, 1 x 98 = 0-98, 1 x 99 = 0-99, 1 x 100 = 0-100, 1 x 101 = 0-101, 1 x 102 = 0-102, 1 x 103 = 0-103, 1 x 104 = 0-104, 1 x 105 = 0-105, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 0-14, 2 x 8 = 0-16, 2 x 9 = 0-18, 2 x 10 = 0-20, 2 x 11 = 0-22, 2 x 12 = 0-24, 2 x 13 = 0-26, 2 x 14 = 0-28, 2 x 15 = 0-30, 2 x 16 = 0-32, 2 x 17 = 0-34, 2 x 18 = 0-36, 2 x 19 = 0-38, 2 x 20 = 0-40, 2 x 21 = 0-42, 2 x 22 = 0-44, 2 x 23 = 0-46, 2 x 24 = 0-48, 2 x 25 = 0-50, 2 x 26 = 0-52, 2 x 27 = 0-54, 2 x 28 = 0-56, 2 x 29 = 0-58, 2 x 30 = 0-60, 2 x 31 = 0-62, 2 x 32 = 0-64, 2 x 33 = 0-66, 2 x 34 = 0-68, 2 x 35 = 0-70, 2 x 36 = 0-72, 2 x 37 = 0-74, 2 x 38 = 0-76, 2 x 39 = 0-78, 2 x 40 = 0-80, 2 x 41 = 0-82, 2 x 42 = 0-84, 2 x 43 = 0-86, 2 x 44 = 0-88, 2 x 45 = 0-90, 2 x 46 = 0-92, 2 x 47 = 0-94, 2 x 48 = 0-96, 2 x 49 = 0-98, 2 x 50 = 0-100, 2 x 51 = 0-102, 2 x 52 = 0-104, 2 x 53 = 1-0, 2 x 54 = 1-2, 2 x 55 = 1-4, 2 x 56 = 1-6, 2 x 57 = 1-8, 2 x 58 = 1-10, 2 x 59 = 1-12, 2 x 60 = 1-14, 2 x 61 = 1-16, 2 x 62 = 1-18, 2 x 63 = 1-20, 2 x 64 = 1-22, 2 x 65 = 1-24, 2 x 66 = 1-26, 2 x 67 = 1-28, 2 x 68 = 1-30, 2 x 69 = 1-32, 2 x 70 = 1-34, 2 x 71 = 1-36, 2 x 72 = 1-38, 2 x 73 = 1-40, 2 x 74 = 1-42, 2 x 75 = 1-44, 2 x 76 = 1-46, 2 x 77 = 1-48, 2 x 78 = 1-50, 2 x 79 = 1-52, 2 x 80 = 1-54, 2 x 81 = 1-56, 2 x 82 = 1-58, 2 x 83 = 1-60, 2 x 84 = 1-62, 2 x 85 = 1-64, 2 x 86 = 1-66, 2 x 87 = 1-68, 2 x 88 = 1-70, 2 x 89 = 1-72, 2 x 90 = 1-74, 2 x 91 = 1-76, 2 x 92 = 1-78, 2 x 93 = 1-80, 2 x 94 = 1-82, 2 x 95 = 1-84, 2 x 96 = 1-86, 2 x 97 = 1-88, 2 x 98 = 1-90, 2 x 99 = 1-92, 2 x 100 = 1-94, 2 x 101 = 1-96, 2 x 102 = 1-98, 2 x 103 = 1-100, 2 x 104 = 1-102, 2 x 105 = 1-104, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 0-15, 3 x 6 = 0-18, 3 x 7 = 0-21, 3 x 8 = 0-24, 3 x 9 = 0-27, 3 x 10 = 0-30, 3 x 11 = 0-33, 3 x 12 = 0-36, 3 x 13 = 0-39, 3 x 14 = 0-42, 3 x 15 = 0-45, 3 x 16 = 0-48, 3 x 17 = 0-51, 3 x 18 = 0-54, 3 x 19 = 0-57, 3 x 20 = 0-60, 3 x 21 = 0-63, 3 x 22 = 0-66, 3 x 23 = 0-69, 3 x 24 = 0-72, 3 x 25 = 0-75, 3 x 26 = 0-78, 3 x 27 = 0-81, 3 x 28 = 0-84, 3 x 29 = 0-87, 3 x 30 = 0-90, 3 x 31 = 0-93, 3 x 32 = 0-96, 3 x 33 = 0-99, 3 x 34 = 0-102, 3 x 35 = 0-105, 3 x 36 = 1-2, 3 x 37 = 1-5, 3 x 38 = 1-8, 3 x 39 = 1-11, 3 x 40 = 1-14, 3 x 41 = 1-17, 3 x 42 = 1-20, 3 x 43 = 1-23, 3 x 44 = 1-26, 3 x 45 = 1-29, 3 x 46 = 1-32, 3 x 47 = 1-35, 3 x 48 = 1-38, 3 x 49 = 1-41, 3 x 50 = 1-44, 3 x 51 = 1-47, 3 x 52 = 1-50, 3 x 53 = 1-53, 3 x 54 = 1-56, 3 x 55 = 1-59, 3 x 56 = 1-62, 3 x 57 = 1-65, 3 x 58 = 1-68, 3 x 59 = 1-71, 3 x 60 = 1-74, 3 x 61 = 1-77, 3 x 62 = 1-80, 3 x 63 = 1-83, 3 x 64 = 1-86, 3 x 65 = 1-89, 3 x 66 = 1-92, 3 x 67 = 1-95, 3 x 68 = 1-98, 3 x 69 = 1-101, 3 x 70 = 1-104, 3 x 71 = 2-1, 3 x 72 = 2-4, 3 x 73 = 2-7, 3 x 74 = 2-10, 3 x 75 = 2-13, 3 x 76 = 2-16, 3 x 77 = 2-19, 3 x 78 = 2-22, 3 x 79 = 2-25, 3 x 80 = 2-28, 3 x 81 = 2-31, 3 x 82 = 2-34, 3 x 83 = 2-37, 3 x 84 = 2-40, 3 x 85 = 2-43, 3 x 86 = 2-46, 3 x 87 = 2-49, 3 x 88 = 2-52, 3 x 89 = 2-55, 3 x 90 = 2-58, 3 x 91 = 2-61, 3 x 92 = 2-64, 3 x 93 = 2-67, 3 x 94 = 2-70, 3 x 95 = 2-73, 3 x 96 = 2-76, 3 x 97 = 2-79, 3 x 98 = 2-82, 3 x 99 = 2-85, 3 x 100 = 2-88, 3 x 101 = 2-91, 3 x 102 = 2-94, 3 x 103 = 2-97, 3 x 104 = 2-100, 3 x 105 = 2-103, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 0-16, 4 x 5 = 0-20, 4 x 6 = 0-24, 4 x 7 = 0-28, 4 x 8 = 0-32, 4 x 9 = 0-36, 4 x 10 = 0-40, 4 x 11 = 0-44, 4 x 12 = 0-48, 4 x 13 = 0-52, 4 x 14 = 0-56, 4 x 15 = 0-60, 4 x 16 = 0-64, 4 x 17 = 0-68, 4 x 18 = 0-72, 4 x 19 = 0-76, 4 x 20 = 0-80, 4 x 21 = 0-84, 4 x 22 = 0-88, 4 x 23 = 0-92, 4 x 24 = 0-96, 4 x 25 = 0-100, 4 x 26 = 0-104, 4 x 27 = 1-2, 4 x 28 = 1-6, 4 x 29 = 1-10, 4 x 30 = 1-14, 4 x 31 = 1-18, 4 x 32 = 1-22, 4 x 33 = 1-26, 4 x 34 = 1-30, 4 x 35 = 1-34, 4 x 36 = 1-38, 4 x 37 = 1-42, 4 x 38 = 1-46, 4 x 39 = 1-50, 4 x 40 = 1-54, 4 x 41 = 1-58, 4 x 42 = 1-62, 4 x 43 = 1-66, 4 x 44 = 1-70, 4 x 45 = 1-74, 4 x 46 = 1-78, 4 x 47 = 1-82, 4 x 48 = 1-86, 4 x 49 = 1-90, 4 x 50 = 1-94, 4 x 51 = 1-98, 4 x 52 = 1-102, 4 x 53 = 2-0, 4 x 54 = 2-4, 4 x 55 = 2-8, 4 x 56 = 2-12, 4 x 57 = 2-16, 4 x 58 = 2-20, 4 x 59 = 2-24, 4 x 60 = 2-28, 4 x 61 = 2-32, 4 x 62 = 2-36, 4 x 63 = 2-40, 4 x 64 = 2-44, 4 x 65 = 2-48, 4 x 66 = 2-52, 4 x 67 = 2-56, 4 x 68 = 2-60, 4 x 69 = 2-64, 4 x 70 = 2-68, 4 x 71 = 2-72, 4 x 72 = 2-76, 4 x 73 = 2-80, 4 x 74 = 2-84, 4 x 75 = 2-88, 4 x 76 = 2-92, 4 x 77 = 2-96, 4 x 78 = 2-100, 4 x 79 = 2-104, 4 x 80 = 3-2, 4 x 81 = 3-6, 4 x 82 = 3-10, 4 x 83 = 3-14, 4 x 84 = 3-18, 4 x 85 = 3-22, 4 x 86 = 3-26, 4 x 87 = 3-30, 4 x 88 = 3-34, 4 x 89 = 3-38, 4 x 90 = 3-42, 4 x 91 = 3-46, 4 x 92 = 3-50, 4 x 93 = 3-54, 4 x 94 = 3-58, 4 x 95 = 3-62, 4 x 96 = 3-66, 4 x 97 = 3-70, 4 x 98 = 3-74, 4 x 99 = 3-78, 4 x 100 = 3-82, 4 x 101 = 3-86, 4 x 102 = 3-90, 4 x 103 = 3-94, 4 x 104 = 3-98, 4 x 105 = 3-102, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 0-15, 5 x 4 = 0-20, 5 x 5 = 0-25, 5 x 6 = 0-30, 5 x 7 = 0-35, 5 x 8 = 0-40, 5 x 9 = 0-45, 5 x 10 = 0-50, 5 x 11 = 0-55, 5 x 12 = 0-60, 5 x 13 = 0-65, 5 x 14 = 0-70, 5 x 15 = 0-75, 5 x 16 = 0-80, 5 x 17 = 0-85, 5 x 18 = 0-90, 5 x 19 = 0-95, 5 x 20 = 0-100, 5 x 21 = 0-105, 5 x 22 = 1-4, 5 x 23 = 1-9, 5 x 24 = 1-14, 5 x 25 = 1-19, 5 x 26 = 1-24, 5 x 27 = 1-29, 5 x 28 = 1-34, 5 x 29 = 1-39, 5 x 30 = 1-44, 5 x 31 = 1-49, 5 x 32 = 1-54, 5 x 33 = 1-59, 5 x 34 = 1-64, 5 x 35 = 1-69, 5 x 36 = 1-74, 5 x 37 = 1-79, 5 x 38 = 1-84, 5 x 39 = 1-89, 5 x 40 = 1-94, 5 x 41 = 1-99, 5 x 42 = 1-104, 5 x 43 = 2-3, 5 x 44 = 2-8, 5 x 45 = 2-13, 5 x 46 = 2-18, 5 x 47 = 2-23, 5 x 48 = 2-28, 5 x 49 = 2-33, 5 x 50 = 2-38, 5 x 51 = 2-43, 5 x 52 = 2-48, 5 x 53 = 2-53, 5 x 54 = 2-58, 5 x 55 = 2-63, 5 x 56 = 2-68, 5 x 57 = 2-73, 5 x 58 = 2-78, 5 x 59 = 2-83, 5 x 60 = 2-88, 5 x 61 = 2-93, 5 x 62 = 2-98, 5 x 63 = 2-103, 5 x 64 = 3-2, 5 x 65 = 3-7, 5 x 66 = 3-12, 5 x 67 = 3-17, 5 x 68 = 3-22, 5 x 69 = 3-27, 5 x 70 = 3-32, 5 x 71 = 3-37, 5 x 72 = 3-42, 5 x 73 = 3-47, 5 x 74 = 3-52, 5 x 75 = 3-57, 5 x 76 = 3-62, 5 x 77 = 3-67, 5 x 78 = 3-72, 5 x 79 = 3-77, 5 x 80 = 3-82, 5 x 81 = 3-87, 5 x 82 = 3-92, 5 x 83 = 3-97, 5 x 84 = 3-102, 5 x 85 = 4-1, 5 x 86 = 4-6, 5 x 87 = 4-11, 5 x 88 = 4-16, 5 x 89 = 4-21, 5 x 90 = 4-26, 5 x 91 = 4-31, 5 x 92 = 4-36, 5 x 93 = 4-41, 5 x 94 = 4-46, 5 x 95 = 4-51, 5 x 96 = 4-56, 5 x 97 = 4-61, 5 x 98 = 4-66, 5 x 99 = 4-71, 5 x 100 = 4-76, 5 x 101 = 4-81, 5 x 102 = 4-86, 5 x 103 = 4-91, 5 x 104 = 4-96, 5 x 105 = 4-101, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 0-18, 6 x 4 = 0-24, 6 x 5 = 0-30, 6 x 6 = 0-36, 6 x 7 = 0-42, 6 x 8 = 0-48, 6 x 9 = 0-54, 6 x 10 = 0-60, 6 x 11 = 0-66, 6 x 12 = 0-72, 6 x 13 = 0-78, 6 x 14 = 0-84, 6 x 15 = 0-90, 6 x 16 = 0-96, 6 x 17 = 0-102, 6 x 18 = 1-2, 6 x 19 = 1-8, 6 x 20 = 1-14, 6 x 21 = 1-20, 6 x 22 = 1-26, 6 x 23 = 1-32, 6 x 24 = 1-38, 6 x 25 = 1-44, 6 x 26 = 1-50, 6 x 27 = 1-56, 6 x 28 = 1-62, 6 x 29 = 1-68, 6 x 30 = 1-74, 6 x 31 = 1-80, 6 x 32 = 1-86, 6 x 33 = 1-92, 6 x 34 = 1-98, 6 x 35 = 1-104, 6 x 36 = 2-4, 6 x 37 = 2-10, 6 x 38 = 2-16, 6 x 39 = 2-22, 6 x 40 = 2-28, 6 x 41 = 2-34, 6 x 42 = 2-40, 6 x 43 = 2-46, 6 x 44 = 2-52, 6 x 45 = 2-58, 6 x 46 = 2-64, 6 x 47 = 2-70, 6 x 48 = 2-76, 6 x 49 = 2-82, 6 x 50 = 2-88, 6 x 51 = 2-94, 6 x 52 = 2-100, 6 x 53 = 3-0, 6 x 54 = 3-6, 6 x 55 = 3-12, 6 x 56 = 3-18, 6 x 57 = 3-24, 6 x 58 = 3-30, 6 x 59 = 3-36, 6 x 60 = 3-42, 6 x 61 = 3-48, 6 x 62 = 3-54, 6 x 63 = 3-60, 6 x 64 = 3-66, 6 x 65 = 3-72, 6 x 66 = 3-78, 6 x 67 = 3-84, 6 x 68 = 3-90, 6 x 69 = 3-96, 6 x 70 = 3-102, 6 x 71 = 4-2, 6 x 72 = 4-8, 6 x 73 = 4-14, 6 x 74 = 4-20, 6 x 75 = 4-26, 6 x 76 = 4-32, 6 x 77 = 4-38, 6 x 78 = 4-44, 6 x 79 = 4-50, 6 x 80 = 4-56, 6 x 81 = 4-62, 6 x 82 = 4-68, 6 x 83 = 4-74, 6 x 84 = 4-80, 6 x 85 = 4-86, 6 x 86 = 4-92, 6 x 87 = 4-98, 6 x 88 = 4-104, 6 x 89 = 5-4, 6 x 90 = 5-10, 6 x 91 = 5-16, 6 x 92 = 5-22, 6 x 93 = 5-28, 6 x 94 = 5-34, 6 x 95 = 5-40, 6 x 96 = 5-46, 6 x 97 = 5-52, 6 x 98 = 5-58, 6 x 99 = 5-64, 6 x 100 = 5-70, 6 x 101 = 5-76, 6 x 102 = 5-82, 6 x 103 = 5-88, 6 x 104 = 5-94, 6 x 105 = 5-100, 
7 x 1 = 0-7, 7 x 2 = 0-14, 7 x 3 = 0-21, 7 x 4 = 0-28, 7 x 5 = 0-35, 7 x 6 = 0-42, 7 x 7 = 0-49, 7 x 8 = 0-56, 7 x 9 = 0-63, 7 x 10 = 0-70, 7 x 11 = 0-77, 7 x 12 = 0-84, 7 x 13 = 0-91, 7 x 14 = 0-98, 7 x 15 = 0-105, 7 x 16 = 1-6, 7 x 17 = 1-13, 7 x 18 = 1-20, 7 x 19 = 1-27, 7 x 20 = 1-34, 7 x 21 = 1-41, 7 x 22 = 1-48, 7 x 23 = 1-55, 7 x 24 = 1-62, 7 x 25 = 1-69, 7 x 26 = 1-76, 7 x 27 = 1-83, 7 x 28 = 1-90, 7 x 29 = 1-97, 7 x 30 = 1-104, 7 x 31 = 2-5, 7 x 32 = 2-12, 7 x 33 = 2-19, 7 x 34 = 2-26, 7 x 35 = 2-33, 7 x 36 = 2-40, 7 x 37 = 2-47, 7 x 38 = 2-54, 7 x 39 = 2-61, 7 x 40 = 2-68, 7 x 41 = 2-75, 7 x 42 = 2-82, 7 x 43 = 2-89, 7 x 44 = 2-96, 7 x 45 = 2-103, 7 x 46 = 3-4, 7 x 47 = 3-11, 7 x 48 = 3-18, 7 x 49 = 3-25, 7 x 50 = 3-32, 7 x 51 = 3-39, 7 x 52 = 3-46, 7 x 53 = 3-53, 7 x 54 = 3-60, 7 x 55 = 3-67, 7 x 56 = 3-74, 7 x 57 = 3-81, 7 x 58 = 3-88, 7 x 59 = 3-95, 7 x 60 = 3-102, 7 x 61 = 4-3, 7 x 62 = 4-10, 7 x 63 = 4-17, 7 x 64 = 4-24, 7 x 65 = 4-31, 7 x 66 = 4-38, 7 x 67 = 4-45, 7 x 68 = 4-52, 7 x 69 = 4-59, 7 x 70 = 4-66, 7 x 71 = 4-73, 7 x 72 = 4-80, 7 x 73 = 4-87, 7 x 74 = 4-94, 7 x 75 = 4-101, 7 x 76 = 5-2, 7 x 77 = 5-9, 7 x 78 = 5-16, 7 x 79 = 5-23, 7 x 80 = 5-30, 7 x 81 = 5-37, 7 x 82 = 5-44, 7 x 83 = 5-51, 7 x 84 = 5-58, 7 x 85 = 5-65, 7 x 86 = 5-72, 7 x 87 = 5-79, 7 x 88 = 5-86, 7 x 89 = 5-93, 7 x 90 = 5-100, 7 x 91 = 6-1, 7 x 92 = 6-8, 7 x 93 = 6-15, 7 x 94 = 6-22, 7 x 95 = 6-29, 7 x 96 = 6-36, 7 x 97 = 6-43, 7 x 98 = 6-50, 7 x 99 = 6-57, 7 x 100 = 6-64, 7 x 101 = 6-71, 7 x 102 = 6-78, 7 x 103 = 6-85, 7 x 104 = 6-92, 7 x 105 = 6-99, 
8 x 1 = 0-8, 8 x 2 = 0-16, 8 x 3 = 0-24, 8 x 4 = 0-32, 8 x 5 = 0-40, 8 x 6 = 0-48, 8 x 7 = 0-56, 8 x 8 = 0-64, 8 x 9 = 0-72, 8 x 10 = 0-80, 8 x 11 = 0-88, 8 x 12 = 0-96, 8 x 13 = 0-104, 8 x 14 = 1-6, 8 x 15 = 1-14, 8 x 16 = 1-22, 8 x 17 = 1-30, 8 x 18 = 1-38, 8 x 19 = 1-46, 8 x 20 = 1-54, 8 x 21 = 1-62, 8 x 22 = 1-70, 8 x 23 = 1-78, 8 x 24 = 1-86, 8 x 25 = 1-94, 8 x 26 = 1-102, 8 x 27 = 2-4, 8 x 28 = 2-12, 8 x 29 = 2-20, 8 x 30 = 2-28, 8 x 31 = 2-36, 8 x 32 = 2-44, 8 x 33 = 2-52, 8 x 34 = 2-60, 8 x 35 = 2-68, 8 x 36 = 2-76, 8 x 37 = 2-84, 8 x 38 = 2-92, 8 x 39 = 2-100, 8 x 40 = 3-2, 8 x 41 = 3-10, 8 x 42 = 3-18, 8 x 43 = 3-26, 8 x 44 = 3-34, 8 x 45 = 3-42, 8 x 46 = 3-50, 8 x 47 = 3-58, 8 x 48 = 3-66, 8 x 49 = 3-74, 8 x 50 = 3-82, 8 x 51 = 3-90, 8 x 52 = 3-98, 8 x 53 = 4-0, 8 x 54 = 4-8, 8 x 55 = 4-16, 8 x 56 = 4-24, 8 x 57 = 4-32, 8 x 58 = 4-40, 8 x 59 = 4-48, 8 x 60 = 4-56, 8 x 61 = 4-64, 8 x 62 = 4-72, 8 x 63 = 4-80, 8 x 64 = 4-88, 8 x 65 = 4-96, 8 x 66 = 4-104, 8 x 67 = 5-6, 8 x 68 = 5-14, 8 x 69 = 5-22, 8 x 70 = 5-30, 8 x 71 = 5-38, 8 x 72 = 5-46, 8 x 73 = 5-54, 8 x 74 = 5-62, 8 x 75 = 5-70, 8 x 76 = 5-78, 8 x 77 = 5-86, 8 x 78 = 5-94, 8 x 79 = 5-102, 8 x 80 = 6-4, 8 x 81 = 6-12, 8 x 82 = 6-20, 8 x 83 = 6-28, 8 x 84 = 6-36, 8 x 85 = 6-44, 8 x 86 = 6-52, 8 x 87 = 6-60, 8 x 88 = 6-68, 8 x 89 = 6-76, 8 x 90 = 6-84, 8 x 91 = 6-92, 8 x 92 = 6-100, 8 x 93 = 7-2, 8 x 94 = 7-10, 8 x 95 = 7-18, 8 x 96 = 7-26, 8 x 97 = 7-34, 8 x 98 = 7-42, 8 x 99 = 7-50, 8 x 100 = 7-58, 8 x 101 = 7-66, 8 x 102 = 7-74, 8 x 103 = 7-82, 8 x 104 = 7-90, 8 x 105 = 7-98, 
9 x 1 = 0-9, 9 x 2 = 0-18, 9 x 3 = 0-27, 9 x 4 = 0-36, 9 x 5 = 0-45, 9 x 6 = 0-54, 9 x 7 = 0-63, 9 x 8 = 0-72, 9 x 9 = 0-81, 9 x 10 = 0-90, 9 x 11 = 0-99, 9 x 12 = 1-2, 9 x 13 = 1-11, 9 x 14 = 1-20, 9 x 15 = 1-29, 9 x 16 = 1-38, 9 x 17 = 1-47, 9 x 18 = 1-56, 9 x 19 = 1-65, 9 x 20 = 1-74, 9 x 21 = 1-83, 9 x 22 = 1-92, 9 x 23 = 1-101, 9 x 24 = 2-4, 9 x 25 = 2-13, 9 x 26 = 2-22, 9 x 27 = 2-31, 9 x 28 = 2-40, 9 x 29 = 2-49, 9 x 30 = 2-58, 9 x 31 = 2-67, 9 x 32 = 2-76, 9 x 33 = 2-85, 9 x 34 = 2-94, 9 x 35 = 2-103, 9 x 36 = 3-6, 9 x 37 = 3-15, 9 x 38 = 3-24, 9 x 39 = 3-33, 9 x 40 = 3-42, 9 x 41 = 3-51, 9 x 42 = 3-60, 9 x 43 = 3-69, 9 x 44 = 3-78, 9 x 45 = 3-87, 9 x 46 = 3-96, 9 x 47 = 3-105, 9 x 48 = 4-8, 9 x 49 = 4-17, 9 x 50 = 4-26, 9 x 51 = 4-35, 9 x 52 = 4-44, 9 x 53 = 4-53, 9 x 54 = 4-62, 9 x 55 = 4-71, 9 x 56 = 4-80, 9 x 57 = 4-89, 9 x 58 = 4-98, 9 x 59 = 5-1, 9 x 60 = 5-10, 9 x 61 = 5-19, 9 x 62 = 5-28, 9 x 63 = 5-37, 9 x 64 = 5-46, 9 x 65 = 5-55, 9 x 66 = 5-64, 9 x 67 = 5-73, 9 x 68 = 5-82, 9 x 69 = 5-91, 9 x 70 = 5-100, 9 x 71 = 6-3, 9 x 72 = 6-12, 9 x 73 = 6-21, 9 x 74 = 6-30, 9 x 75 = 6-39, 9 x 76 = 6-48, 9 x 77 = 6-57, 9 x 78 = 6-66, 9 x 79 = 6-75, 9 x 80 = 6-84, 9 x 81 = 6-93, 9 x 82 = 6-102, 9 x 83 = 7-5, 9 x 84 = 7-14, 9 x 85 = 7-23, 9 x 86 = 7-32, 9 x 87 = 7-41, 9 x 88 = 7-50, 9 x 89 = 7-59, 9 x 90 = 7-68, 9 x 91 = 7-77, 9 x 92 = 7-86, 9 x 93 = 7-95, 9 x 94 = 7-104, 9 x 95 = 8-7, 9 x 96 = 8-16, 9 x 97 = 8-25, 9 x 98 = 8-34, 9 x 99 = 8-43, 9 x 100 = 8-52, 9 x 101 = 8-61, 9 x 102 = 8-70, 9 x 103 = 8-79, 9 x 104 = 8-88, 9 x 105 = 8-97, 
10 x 1 = 0-10, 10 x 2 = 0-20, 10 x 3 = 0-30, 10 x 4 = 0-40, 10 x 5 = 0-50, 10 x 6 = 0-60, 10 x 7 = 0-70, 10 x 8 = 0-80, 10 x 9 = 0-90, 10 x 10 = 0-100, 10 x 11 = 1-4, 10 x 12 = 1-14, 10 x 13 = 1-24, 10 x 14 = 1-34, 10 x 15 = 1-44, 10 x 16 = 1-54, 10 x 17 = 1-64, 10 x 18 = 1-74, 10 x 19 = 1-84, 10 x 20 = 1-94, 10 x 21 = 1-104, 10 x 22 = 2-8, 10 x 23 = 2-18, 10 x 24 = 2-28, 10 x 25 = 2-38, 10 x 26 = 2-48, 10 x 27 = 2-58, 10 x 28 = 2-68, 10 x 29 = 2-78, 10 x 30 = 2-88, 10 x 31 = 2-98, 10 x 32 = 3-2, 10 x 33 = 3-12, 10 x 34 = 3-22, 10 x 35 = 3-32, 10 x 36 = 3-42, 10 x 37 = 3-52, 10 x 38 = 3-62, 10 x 39 = 3-72, 10 x 40 = 3-82, 10 x 41 = 3-92, 10 x 42 = 3-102, 10 x 43 = 4-6, 10 x 44 = 4-16, 10 x 45 = 4-26, 10 x 46 = 4-36, 10 x 47 = 4-46, 10 x 48 = 4-56, 10 x 49 = 4-66, 10 x 50 = 4-76, 10 x 51 = 4-86, 10 x 52 = 4-96, 10 x 53 = 5-0, 10 x 54 = 5-10, 10 x 55 = 5-20, 10 x 56 = 5-30, 10 x 57 = 5-40, 10 x 58 = 5-50, 10 x 59 = 5-60, 10 x 60 = 5-70, 10 x 61 = 5-80, 10 x 62 = 5-90, 10 x 63 = 5-100, 10 x 64 = 6-4, 10 x 65 = 6-14, 10 x 66 = 6-24, 10 x 67 = 6-34, 10 x 68 = 6-44, 10 x 69 = 6-54, 10 x 70 = 6-64, 10 x 71 = 6-74, 10 x 72 = 6-84, 10 x 73 = 6-94, 10 x 74 = 6-104, 10 x 75 = 7-8, 10 x 76 = 7-18, 10 x 77 = 7-28, 10 x 78 = 7-38, 10 x 79 = 7-48, 10 x 80 = 7-58, 10 x 81 = 7-68, 10 x 82 = 7-78, 10 x 83 = 7-88, 10 x 84 = 7-98, 10 x 85 = 8-2, 10 x 86 = 8-12, 10 x 87 = 8-22, 10 x 88 = 8-32, 10 x 89 = 8-42, 10 x 90 = 8-52, 10 x 91 = 8-62, 10 x 92 = 8-72, 10 x 93 = 8-82, 10 x 94 = 8-92, 10 x 95 = 8-102, 10 x 96 = 9-6, 10 x 97 = 9-16, 10 x 98 = 9-26, 10 x 99 = 9-36, 10 x 100 = 9-46, 10 x 101 = 9-56, 10 x 102 = 9-66, 10 x 103 = 9-76, 10 x 104 = 9-86, 10 x 105 = 9-96, 
