0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 1-1, 0-2 x 0-7 = 1-3, 0-2 x 0-8 = 1-5, 0-2 x 0-9 = 1-7, 0-2 x 0-10 = 1-9, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 1-1, 0-3 x 0-5 = 1-4, 0-3 x 0-6 = 1-7, 0-3 x 0-7 = 1-10, 0-3 x 0-8 = 2-2, 0-3 x 0-9 = 2-5, 0-3 x 0-10 = 2-8, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 1-1, 0-4 x 0-4 = 1-5, 0-4 x 0-5 = 1-9, 0-4 x 0-6 = 2-2, 0-4 x 0-7 = 2-6, 0-4 x 0-8 = 2-10, 0-4 x 0-9 = 3-3, 0-4 x 0-10 = 3-7, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 1-4, 0-5 x 0-4 = 1-9, 0-5 x 0-5 = 2-3, 0-5 x 0-6 = 2-8, 0-5 x 0-7 = 3-2, 0-5 x 0-8 = 3-7, 0-5 x 0-9 = 4-1, 0-5 x 0-10 = 4-6, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 1-1, 0-6 x 0-3 = 1-7, 0-6 x 0-4 = 2-2, 0-6 x 0-5 = 2-8, 0-6 x 0-6 = 3-3, 0-6 x 0-7 = 3-9, 0-6 x 0-8 = 4-4, 0-6 x 0-9 = 4-10, 0-6 x 0-10 = 5-5, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 1-3, 0-7 x 0-3 = 1-10, 0-7 x 0-4 = 2-6, 0-7 x 0-5 = 3-2, 0-7 x 0-6 = 3-9, 0-7 x 0-7 = 4-5, 0-7 x 0-8 = 5-1, 0-7 x 0-9 = 5-8, 0-7 x 0-10 = 6-4, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 1-5, 0-8 x 0-3 = 2-2, 0-8 x 0-4 = 2-10, 0-8 x 0-5 = 3-7, 0-8 x 0-6 = 4-4, 0-8 x 0-7 = 5-1, 0-8 x 0-8 = 5-9, 0-8 x 0-9 = 6-6, 0-8 x 0-10 = 7-3, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 1-7, 0-9 x 0-3 = 2-5, 0-9 x 0-4 = 3-3, 0-9 x 0-5 = 4-1, 0-9 x 0-6 = 4-10, 0-9 x 0-7 = 5-8, 0-9 x 0-8 = 6-6, 0-9 x 0-9 = 7-4, 0-9 x 0-10 = 8-2, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 1-9, 0-10 x 0-3 = 2-8, 0-10 x 0-4 = 3-7, 0-10 x 0-5 = 4-6, 0-10 x 0-6 = 5-5, 0-10 x 0-7 = 6-4, 0-10 x 0-8 = 7-3, 0-10 x 0-9 = 8-2, 0-10 x 0-10 = 9-1, 
