1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 1-0, 2 x 7 = 1-2, 2 x 8 = 1-4, 2 x 9 = 1-6, 2 x 10 = 1-8, 2 x 11 = 1-10, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 1-0, 3 x 5 = 1-3, 3 x 6 = 1-6, 3 x 7 = 1-9, 3 x 8 = 2-0, 3 x 9 = 2-3, 3 x 10 = 2-6, 3 x 11 = 2-9, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 1-0, 4 x 4 = 1-4, 4 x 5 = 1-8, 4 x 6 = 2-0, 4 x 7 = 2-4, 4 x 8 = 2-8, 4 x 9 = 3-0, 4 x 10 = 3-4, 4 x 11 = 3-8, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 1-3, 5 x 4 = 1-8, 5 x 5 = 2-1, 5 x 6 = 2-6, 5 x 7 = 2-11, 5 x 8 = 3-4, 5 x 9 = 3-9, 5 x 10 = 4-2, 5 x 11 = 4-7, 
6 x 1 = 0-6, 6 x 2 = 1-0, 6 x 3 = 1-6, 6 x 4 = 2-0, 6 x 5 = 2-6, 6 x 6 = 3-0, 6 x 7 = 3-6, 6 x 8 = 4-0, 6 x 9 = 4-6, 6 x 10 = 5-0, 6 x 11 = 5-6, 
7 x 1 = 0-7, 7 x 2 = 1-2, 7 x 3 = 1-9, 7 x 4 = 2-4, 7 x 5 = 2-11, 7 x 6 = 3-6, 7 x 7 = 4-1, 7 x 8 = 4-8, 7 x 9 = 5-3, 7 x 10 = 5-10, 7 x 11 = 6-5, 
8 x 1 = 0-8, 8 x 2 = 1-4, 8 x 3 = 2-0, 8 x 4 = 2-8, 8 x 5 = 3-4, 8 x 6 = 4-0, 8 x 7 = 4-8, 8 x 8 = 5-4, 8 x 9 = 6-0, 8 x 10 = 6-8, 8 x 11 = 7-4, 
9 x 1 = 0-9, 9 x 2 = 1-6, 9 x 3 = 2-3, 9 x 4 = 3-0, 9 x 5 = 3-9, 9 x 6 = 4-6, 9 x 7 = 5-3, 9 x 8 = 6-0, 9 x 9 = 6-9, 9 x 10 = 7-6, 9 x 11 = 8-3, 
10 x 1 = 0-10, 10 x 2 = 1-8, 10 x 3 = 2-6, 10 x 4 = 3-4, 10 x 5 = 4-2, 10 x 6 = 5-0, 10 x 7 = 5-10, 10 x 8 = 6-8, 10 x 9 = 7-6, 10 x 10 = 8-4, 10 x 11 = 9-2, 
11 x 1 = 0-11, 11 x 2 = 1-10, 11 x 3 = 2-9, 11 x 4 = 3-8, 11 x 5 = 4-7, 11 x 6 = 5-6, 11 x 7 = 6-5, 11 x 8 = 7-4, 11 x 9 = 8-3, 11 x 10 = 9-2, 11 x 11 = 10-1, 
