1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 1-1, 2 x 8 = 1-3, 2 x 9 = 1-5, 2 x 10 = 1-7, 2 x 11 = 1-9, 2 x 12 = 1-11, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 1-2, 3 x 6 = 1-5, 3 x 7 = 1-8, 3 x 8 = 1-11, 3 x 9 = 2-1, 3 x 10 = 2-4, 3 x 11 = 2-7, 3 x 12 = 2-10, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 1-3, 4 x 5 = 1-7, 4 x 6 = 1-11, 4 x 7 = 2-2, 4 x 8 = 2-6, 4 x 9 = 2-10, 4 x 10 = 3-1, 4 x 11 = 3-5, 4 x 12 = 3-9, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 1-2, 5 x 4 = 1-7, 5 x 5 = 1-12, 5 x 6 = 2-4, 5 x 7 = 2-9, 5 x 8 = 3-1, 5 x 9 = 3-6, 5 x 10 = 3-11, 5 x 11 = 4-3, 5 x 12 = 4-8, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 1-5, 6 x 4 = 1-11, 6 x 5 = 2-4, 6 x 6 = 2-10, 6 x 7 = 3-3, 6 x 8 = 3-9, 6 x 9 = 4-2, 6 x 10 = 4-8, 6 x 11 = 5-1, 6 x 12 = 5-7, 
7 x 1 = 0-7, 7 x 2 = 1-1, 7 x 3 = 1-8, 7 x 4 = 2-2, 7 x 5 = 2-9, 7 x 6 = 3-3, 7 x 7 = 3-10, 7 x 8 = 4-4, 7 x 9 = 4-11, 7 x 10 = 5-5, 7 x 11 = 5-12, 7 x 12 = 6-6, 
8 x 1 = 0-8, 8 x 2 = 1-3, 8 x 3 = 1-11, 8 x 4 = 2-6, 8 x 5 = 3-1, 8 x 6 = 3-9, 8 x 7 = 4-4, 8 x 8 = 4-12, 8 x 9 = 5-7, 8 x 10 = 6-2, 8 x 11 = 6-10, 8 x 12 = 7-5, 
9 x 1 = 0-9, 9 x 2 = 1-5, 9 x 3 = 2-1, 9 x 4 = 2-10, 9 x 5 = 3-6, 9 x 6 = 4-2, 9 x 7 = 4-11, 9 x 8 = 5-7, 9 x 9 = 6-3, 9 x 10 = 6-12, 9 x 11 = 7-8, 9 x 12 = 8-4, 
10 x 1 = 0-10, 10 x 2 = 1-7, 10 x 3 = 2-4, 10 x 4 = 3-1, 10 x 5 = 3-11, 10 x 6 = 4-8, 10 x 7 = 5-5, 10 x 8 = 6-2, 10 x 9 = 6-12, 10 x 10 = 7-9, 10 x 11 = 8-6, 10 x 12 = 9-3, 
11 x 1 = 0-11, 11 x 2 = 1-9, 11 x 3 = 2-7, 11 x 4 = 3-5, 11 x 5 = 4-3, 11 x 6 = 5-1, 11 x 7 = 5-12, 11 x 8 = 6-10, 11 x 9 = 7-8, 11 x 10 = 8-6, 11 x 11 = 9-4, 11 x 12 = 10-2, 
12 x 1 = 0-12, 12 x 2 = 1-11, 12 x 3 = 2-10, 12 x 4 = 3-9, 12 x 5 = 4-8, 12 x 6 = 5-7, 12 x 7 = 6-6, 12 x 8 = 7-5, 12 x 9 = 8-4, 12 x 10 = 9-3, 12 x 11 = 10-2, 12 x 12 = 11-1, 
