1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 1 x 13 = 0-13, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 1-0, 2 x 8 = 1-2, 2 x 9 = 1-4, 2 x 10 = 1-6, 2 x 11 = 1-8, 2 x 12 = 1-10, 2 x 13 = 1-12, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 1-1, 3 x 6 = 1-4, 3 x 7 = 1-7, 3 x 8 = 1-10, 3 x 9 = 1-13, 3 x 10 = 2-2, 3 x 11 = 2-5, 3 x 12 = 2-8, 3 x 13 = 2-11, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 1-2, 4 x 5 = 1-6, 4 x 6 = 1-10, 4 x 7 = 2-0, 4 x 8 = 2-4, 4 x 9 = 2-8, 4 x 10 = 2-12, 4 x 11 = 3-2, 4 x 12 = 3-6, 4 x 13 = 3-10, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 1-1, 5 x 4 = 1-6, 5 x 5 = 1-11, 5 x 6 = 2-2, 5 x 7 = 2-7, 5 x 8 = 2-12, 5 x 9 = 3-3, 5 x 10 = 3-8, 5 x 11 = 3-13, 5 x 12 = 4-4, 5 x 13 = 4-9, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 1-4, 6 x 4 = 1-10, 6 x 5 = 2-2, 6 x 6 = 2-8, 6 x 7 = 3-0, 6 x 8 = 3-6, 6 x 9 = 3-12, 6 x 10 = 4-4, 6 x 11 = 4-10, 6 x 12 = 5-2, 6 x 13 = 5-8, 
7 x 1 = 0-7, 7 x 2 = 1-0, 7 x 3 = 1-7, 7 x 4 = 2-0, 7 x 5 = 2-7, 7 x 6 = 3-0, 7 x 7 = 3-7, 7 x 8 = 4-0, 7 x 9 = 4-7, 7 x 10 = 5-0, 7 x 11 = 5-7, 7 x 12 = 6-0, 7 x 13 = 6-7, 
8 x 1 = 0-8, 8 x 2 = 1-2, 8 x 3 = 1-10, 8 x 4 = 2-4, 8 x 5 = 2-12, 8 x 6 = 3-6, 8 x 7 = 4-0, 8 x 8 = 4-8, 8 x 9 = 5-2, 8 x 10 = 5-10, 8 x 11 = 6-4, 8 x 12 = 6-12, 8 x 13 = 7-6, 
9 x 1 = 0-9, 9 x 2 = 1-4, 9 x 3 = 1-13, 9 x 4 = 2-8, 9 x 5 = 3-3, 9 x 6 = 3-12, 9 x 7 = 4-7, 9 x 8 = 5-2, 9 x 9 = 5-11, 9 x 10 = 6-6, 9 x 11 = 7-1, 9 x 12 = 7-10, 9 x 13 = 8-5, 
10 x 1 = 0-10, 10 x 2 = 1-6, 10 x 3 = 2-2, 10 x 4 = 2-12, 10 x 5 = 3-8, 10 x 6 = 4-4, 10 x 7 = 5-0, 10 x 8 = 5-10, 10 x 9 = 6-6, 10 x 10 = 7-2, 10 x 11 = 7-12, 10 x 12 = 8-8, 10 x 13 = 9-4, 
11 x 1 = 0-11, 11 x 2 = 1-8, 11 x 3 = 2-5, 11 x 4 = 3-2, 11 x 5 = 3-13, 11 x 6 = 4-10, 11 x 7 = 5-7, 11 x 8 = 6-4, 11 x 9 = 7-1, 11 x 10 = 7-12, 11 x 11 = 8-9, 11 x 12 = 9-6, 11 x 13 = 10-3, 
12 x 1 = 0-12, 12 x 2 = 1-10, 12 x 3 = 2-8, 12 x 4 = 3-6, 12 x 5 = 4-4, 12 x 6 = 5-2, 12 x 7 = 6-0, 12 x 8 = 6-12, 12 x 9 = 7-10, 12 x 10 = 8-8, 12 x 11 = 9-6, 12 x 12 = 10-4, 12 x 13 = 11-2, 
13 x 1 = 0-13, 13 x 2 = 1-12, 13 x 3 = 2-11, 13 x 4 = 3-10, 13 x 5 = 4-9, 13 x 6 = 5-8, 13 x 7 = 6-7, 13 x 8 = 7-6, 13 x 9 = 8-5, 13 x 10 = 9-4, 13 x 11 = 10-3, 13 x 12 = 11-2, 13 x 13 = 12-1, 
