0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 1-1, 0-2 x 0-9 = 1-3, 0-2 x 0-10 = 1-5, 0-2 x 0-11 = 1-7, 0-2 x 0-12 = 1-9, 0-2 x 0-13 = 1-11, 0-2 x 0-14 = 1-13, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 1-0, 0-3 x 0-6 = 1-3, 0-3 x 0-7 = 1-6, 0-3 x 0-8 = 1-9, 0-3 x 0-9 = 1-12, 0-3 x 0-10 = 2-0, 0-3 x 0-11 = 2-3, 0-3 x 0-12 = 2-6, 0-3 x 0-13 = 2-9, 0-3 x 0-14 = 2-12, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 1-1, 0-4 x 0-5 = 1-5, 0-4 x 0-6 = 1-9, 0-4 x 0-7 = 1-13, 0-4 x 0-8 = 2-2, 0-4 x 0-9 = 2-6, 0-4 x 0-10 = 2-10, 0-4 x 0-11 = 2-14, 0-4 x 0-12 = 3-3, 0-4 x 0-13 = 3-7, 0-4 x 0-14 = 3-11, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 1-0, 0-5 x 0-4 = 1-5, 0-5 x 0-5 = 1-10, 0-5 x 0-6 = 2-0, 0-5 x 0-7 = 2-5, 0-5 x 0-8 = 2-10, 0-5 x 0-9 = 3-0, 0-5 x 0-10 = 3-5, 0-5 x 0-11 = 3-10, 0-5 x 0-12 = 4-0, 0-5 x 0-13 = 4-5, 0-5 x 0-14 = 4-10, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 1-3, 0-6 x 0-4 = 1-9, 0-6 x 0-5 = 2-0, 0-6 x 0-6 = 2-6, 0-6 x 0-7 = 2-12, 0-6 x 0-8 = 3-3, 0-6 x 0-9 = 3-9, 0-6 x 0-10 = 4-0, 0-6 x 0-11 = 4-6, 0-6 x 0-12 = 4-12, 0-6 x 0-13 = 5-3, 0-6 x 0-14 = 5-9, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 1-6, 0-7 x 0-4 = 1-13, 0-7 x 0-5 = 2-5, 0-7 x 0-6 = 2-12, 0-7 x 0-7 = 3-4, 0-7 x 0-8 = 3-11, 0-7 x 0-9 = 4-3, 0-7 x 0-10 = 4-10, 0-7 x 0-11 = 5-2, 0-7 x 0-12 = 5-9, 0-7 x 0-13 = 6-1, 0-7 x 0-14 = 6-8, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 1-1, 0-8 x 0-3 = 1-9, 0-8 x 0-4 = 2-2, 0-8 x 0-5 = 2-10, 0-8 x 0-6 = 3-3, 0-8 x 0-7 = 3-11, 0-8 x 0-8 = 4-4, 0-8 x 0-9 = 4-12, 0-8 x 0-10 = 5-5, 0-8 x 0-11 = 5-13, 0-8 x 0-12 = 6-6, 0-8 x 0-13 = 6-14, 0-8 x 0-14 = 7-7, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 1-3, 0-9 x 0-3 = 1-12, 0-9 x 0-4 = 2-6, 0-9 x 0-5 = 3-0, 0-9 x 0-6 = 3-9, 0-9 x 0-7 = 4-3, 0-9 x 0-8 = 4-12, 0-9 x 0-9 = 5-6, 0-9 x 0-10 = 6-0, 0-9 x 0-11 = 6-9, 0-9 x 0-12 = 7-3, 0-9 x 0-13 = 7-12, 0-9 x 0-14 = 8-6, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 1-5, 0-10 x 0-3 = 2-0, 0-10 x 0-4 = 2-10, 0-10 x 0-5 = 3-5, 0-10 x 0-6 = 4-0, 0-10 x 0-7 = 4-10, 0-10 x 0-8 = 5-5, 0-10 x 0-9 = 6-0, 0-10 x 0-10 = 6-10, 0-10 x 0-11 = 7-5, 0-10 x 0-12 = 8-0, 0-10 x 0-13 = 8-10, 0-10 x 0-14 = 9-5, 
0-11 x 0-1 = 0-11, 0-11 x 0-2 = 1-7, 0-11 x 0-3 = 2-3, 0-11 x 0-4 = 2-14, 0-11 x 0-5 = 3-10, 0-11 x 0-6 = 4-6, 0-11 x 0-7 = 5-2, 0-11 x 0-8 = 5-13, 0-11 x 0-9 = 6-9, 0-11 x 0-10 = 7-5, 0-11 x 0-11 = 8-1, 0-11 x 0-12 = 8-12, 0-11 x 0-13 = 9-8, 0-11 x 0-14 = 10-4, 
0-12 x 0-1 = 0-12, 0-12 x 0-2 = 1-9, 0-12 x 0-3 = 2-6, 0-12 x 0-4 = 3-3, 0-12 x 0-5 = 4-0, 0-12 x 0-6 = 4-12, 0-12 x 0-7 = 5-9, 0-12 x 0-8 = 6-6, 0-12 x 0-9 = 7-3, 0-12 x 0-10 = 8-0, 0-12 x 0-11 = 8-12, 0-12 x 0-12 = 9-9, 0-12 x 0-13 = 10-6, 0-12 x 0-14 = 11-3, 
0-13 x 0-1 = 0-13, 0-13 x 0-2 = 1-11, 0-13 x 0-3 = 2-9, 0-13 x 0-4 = 3-7, 0-13 x 0-5 = 4-5, 0-13 x 0-6 = 5-3, 0-13 x 0-7 = 6-1, 0-13 x 0-8 = 6-14, 0-13 x 0-9 = 7-12, 0-13 x 0-10 = 8-10, 0-13 x 0-11 = 9-8, 0-13 x 0-12 = 10-6, 0-13 x 0-13 = 11-4, 0-13 x 0-14 = 12-2, 
0-14 x 0-1 = 0-14, 0-14 x 0-2 = 1-13, 0-14 x 0-3 = 2-12, 0-14 x 0-4 = 3-11, 0-14 x 0-5 = 4-10, 0-14 x 0-6 = 5-9, 0-14 x 0-7 = 6-8, 0-14 x 0-8 = 7-7, 0-14 x 0-9 = 8-6, 0-14 x 0-10 = 9-5, 0-14 x 0-11 = 10-4, 0-14 x 0-12 = 11-3, 0-14 x 0-13 = 12-2, 0-14 x 0-14 = 13-1, 
