1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 1 x 13 = 0-13, 1 x 14 = 0-14, 1 x 15 = 0-15, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 0-14, 2 x 8 = 1-0, 2 x 9 = 1-2, 2 x 10 = 1-4, 2 x 11 = 1-6, 2 x 12 = 1-8, 2 x 13 = 1-10, 2 x 14 = 1-12, 2 x 15 = 1-14, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 0-15, 3 x 6 = 1-2, 3 x 7 = 1-5, 3 x 8 = 1-8, 3 x 9 = 1-11, 3 x 10 = 1-14, 3 x 11 = 2-1, 3 x 12 = 2-4, 3 x 13 = 2-7, 3 x 14 = 2-10, 3 x 15 = 2-13, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 1-0, 4 x 5 = 1-4, 4 x 6 = 1-8, 4 x 7 = 1-12, 4 x 8 = 2-0, 4 x 9 = 2-4, 4 x 10 = 2-8, 4 x 11 = 2-12, 4 x 12 = 3-0, 4 x 13 = 3-4, 4 x 14 = 3-8, 4 x 15 = 3-12, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 0-15, 5 x 4 = 1-4, 5 x 5 = 1-9, 5 x 6 = 1-14, 5 x 7 = 2-3, 5 x 8 = 2-8, 5 x 9 = 2-13, 5 x 10 = 3-2, 5 x 11 = 3-7, 5 x 12 = 3-12, 5 x 13 = 4-1, 5 x 14 = 4-6, 5 x 15 = 4-11, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 1-2, 6 x 4 = 1-8, 6 x 5 = 1-14, 6 x 6 = 2-4, 6 x 7 = 2-10, 6 x 8 = 3-0, 6 x 9 = 3-6, 6 x 10 = 3-12, 6 x 11 = 4-2, 6 x 12 = 4-8, 6 x 13 = 4-14, 6 x 14 = 5-4, 6 x 15 = 5-10, 
7 x 1 = 0-7, 7 x 2 = 0-14, 7 x 3 = 1-5, 7 x 4 = 1-12, 7 x 5 = 2-3, 7 x 6 = 2-10, 7 x 7 = 3-1, 7 x 8 = 3-8, 7 x 9 = 3-15, 7 x 10 = 4-6, 7 x 11 = 4-13, 7 x 12 = 5-4, 7 x 13 = 5-11, 7 x 14 = 6-2, 7 x 15 = 6-9, 
8 x 1 = 0-8, 8 x 2 = 1-0, 8 x 3 = 1-8, 8 x 4 = 2-0, 8 x 5 = 2-8, 8 x 6 = 3-0, 8 x 7 = 3-8, 8 x 8 = 4-0, 8 x 9 = 4-8, 8 x 10 = 5-0, 8 x 11 = 5-8, 8 x 12 = 6-0, 8 x 13 = 6-8, 8 x 14 = 7-0, 8 x 15 = 7-8, 
9 x 1 = 0-9, 9 x 2 = 1-2, 9 x 3 = 1-11, 9 x 4 = 2-4, 9 x 5 = 2-13, 9 x 6 = 3-6, 9 x 7 = 3-15, 9 x 8 = 4-8, 9 x 9 = 5-1, 9 x 10 = 5-10, 9 x 11 = 6-3, 9 x 12 = 6-12, 9 x 13 = 7-5, 9 x 14 = 7-14, 9 x 15 = 8-7, 
10 x 1 = 0-10, 10 x 2 = 1-4, 10 x 3 = 1-14, 10 x 4 = 2-8, 10 x 5 = 3-2, 10 x 6 = 3-12, 10 x 7 = 4-6, 10 x 8 = 5-0, 10 x 9 = 5-10, 10 x 10 = 6-4, 10 x 11 = 6-14, 10 x 12 = 7-8, 10 x 13 = 8-2, 10 x 14 = 8-12, 10 x 15 = 9-6, 
