0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 1-1, 0-2 x 0-10 = 1-3, 0-2 x 0-11 = 1-5, 0-2 x 0-12 = 1-7, 0-2 x 0-13 = 1-9, 0-2 x 0-14 = 1-11, 0-2 x 0-15 = 1-13, 0-2 x 0-16 = 1-15, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 1-1, 0-3 x 0-7 = 1-4, 0-3 x 0-8 = 1-7, 0-3 x 0-9 = 1-10, 0-3 x 0-10 = 1-13, 0-3 x 0-11 = 1-16, 0-3 x 0-12 = 2-2, 0-3 x 0-13 = 2-5, 0-3 x 0-14 = 2-8, 0-3 x 0-15 = 2-11, 0-3 x 0-16 = 2-14, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 1-3, 0-4 x 0-6 = 1-7, 0-4 x 0-7 = 1-11, 0-4 x 0-8 = 1-15, 0-4 x 0-9 = 2-2, 0-4 x 0-10 = 2-6, 0-4 x 0-11 = 2-10, 0-4 x 0-12 = 2-14, 0-4 x 0-13 = 3-1, 0-4 x 0-14 = 3-5, 0-4 x 0-15 = 3-9, 0-4 x 0-16 = 3-13, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 1-3, 0-5 x 0-5 = 1-8, 0-5 x 0-6 = 1-13, 0-5 x 0-7 = 2-1, 0-5 x 0-8 = 2-6, 0-5 x 0-9 = 2-11, 0-5 x 0-10 = 2-16, 0-5 x 0-11 = 3-4, 0-5 x 0-12 = 3-9, 0-5 x 0-13 = 3-14, 0-5 x 0-14 = 4-2, 0-5 x 0-15 = 4-7, 0-5 x 0-16 = 4-12, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 1-1, 0-6 x 0-4 = 1-7, 0-6 x 0-5 = 1-13, 0-6 x 0-6 = 2-2, 0-6 x 0-7 = 2-8, 0-6 x 0-8 = 2-14, 0-6 x 0-9 = 3-3, 0-6 x 0-10 = 3-9, 0-6 x 0-11 = 3-15, 0-6 x 0-12 = 4-4, 0-6 x 0-13 = 4-10, 0-6 x 0-14 = 4-16, 0-6 x 0-15 = 5-5, 0-6 x 0-16 = 5-11, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 1-4, 0-7 x 0-4 = 1-11, 0-7 x 0-5 = 2-1, 0-7 x 0-6 = 2-8, 0-7 x 0-7 = 2-15, 0-7 x 0-8 = 3-5, 0-7 x 0-9 = 3-12, 0-7 x 0-10 = 4-2, 0-7 x 0-11 = 4-9, 0-7 x 0-12 = 4-16, 0-7 x 0-13 = 5-6, 0-7 x 0-14 = 5-13, 0-7 x 0-15 = 6-3, 0-7 x 0-16 = 6-10, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 1-7, 0-8 x 0-4 = 1-15, 0-8 x 0-5 = 2-6, 0-8 x 0-6 = 2-14, 0-8 x 0-7 = 3-5, 0-8 x 0-8 = 3-13, 0-8 x 0-9 = 4-4, 0-8 x 0-10 = 4-12, 0-8 x 0-11 = 5-3, 0-8 x 0-12 = 5-11, 0-8 x 0-13 = 6-2, 0-8 x 0-14 = 6-10, 0-8 x 0-15 = 7-1, 0-8 x 0-16 = 7-9, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 1-1, 0-9 x 0-3 = 1-10, 0-9 x 0-4 = 2-2, 0-9 x 0-5 = 2-11, 0-9 x 0-6 = 3-3, 0-9 x 0-7 = 3-12, 0-9 x 0-8 = 4-4, 0-9 x 0-9 = 4-13, 0-9 x 0-10 = 5-5, 0-9 x 0-11 = 5-14, 0-9 x 0-12 = 6-6, 0-9 x 0-13 = 6-15, 0-9 x 0-14 = 7-7, 0-9 x 0-15 = 7-16, 0-9 x 0-16 = 8-8, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 1-3, 0-10 x 0-3 = 1-13, 0-10 x 0-4 = 2-6, 0-10 x 0-5 = 2-16, 0-10 x 0-6 = 3-9, 0-10 x 0-7 = 4-2, 0-10 x 0-8 = 4-12, 0-10 x 0-9 = 5-5, 0-10 x 0-10 = 5-15, 0-10 x 0-11 = 6-8, 0-10 x 0-12 = 7-1, 0-10 x 0-13 = 7-11, 0-10 x 0-14 = 8-4, 0-10 x 0-15 = 8-14, 0-10 x 0-16 = 9-7, 
0-11 x 0-1 = 0-11, 0-11 x 0-2 = 1-5, 0-11 x 0-3 = 1-16, 0-11 x 0-4 = 2-10, 0-11 x 0-5 = 3-4, 0-11 x 0-6 = 3-15, 0-11 x 0-7 = 4-9, 0-11 x 0-8 = 5-3, 0-11 x 0-9 = 5-14, 0-11 x 0-10 = 6-8, 0-11 x 0-11 = 7-2, 0-11 x 0-12 = 7-13, 0-11 x 0-13 = 8-7, 0-11 x 0-14 = 9-1, 0-11 x 0-15 = 9-12, 0-11 x 0-16 = 10-6, 
0-12 x 0-1 = 0-12, 0-12 x 0-2 = 1-7, 0-12 x 0-3 = 2-2, 0-12 x 0-4 = 2-14, 0-12 x 0-5 = 3-9, 0-12 x 0-6 = 4-4, 0-12 x 0-7 = 4-16, 0-12 x 0-8 = 5-11, 0-12 x 0-9 = 6-6, 0-12 x 0-10 = 7-1, 0-12 x 0-11 = 7-13, 0-12 x 0-12 = 8-8, 0-12 x 0-13 = 9-3, 0-12 x 0-14 = 9-15, 0-12 x 0-15 = 10-10, 0-12 x 0-16 = 11-5, 
0-13 x 0-1 = 0-13, 0-13 x 0-2 = 1-9, 0-13 x 0-3 = 2-5, 0-13 x 0-4 = 3-1, 0-13 x 0-5 = 3-14, 0-13 x 0-6 = 4-10, 0-13 x 0-7 = 5-6, 0-13 x 0-8 = 6-2, 0-13 x 0-9 = 6-15, 0-13 x 0-10 = 7-11, 0-13 x 0-11 = 8-7, 0-13 x 0-12 = 9-3, 0-13 x 0-13 = 9-16, 0-13 x 0-14 = 10-12, 0-13 x 0-15 = 11-8, 0-13 x 0-16 = 12-4, 
0-14 x 0-1 = 0-14, 0-14 x 0-2 = 1-11, 0-14 x 0-3 = 2-8, 0-14 x 0-4 = 3-5, 0-14 x 0-5 = 4-2, 0-14 x 0-6 = 4-16, 0-14 x 0-7 = 5-13, 0-14 x 0-8 = 6-10, 0-14 x 0-9 = 7-7, 0-14 x 0-10 = 8-4, 0-14 x 0-11 = 9-1, 0-14 x 0-12 = 9-15, 0-14 x 0-13 = 10-12, 0-14 x 0-14 = 11-9, 0-14 x 0-15 = 12-6, 0-14 x 0-16 = 13-3, 
0-15 x 0-1 = 0-15, 0-15 x 0-2 = 1-13, 0-15 x 0-3 = 2-11, 0-15 x 0-4 = 3-9, 0-15 x 0-5 = 4-7, 0-15 x 0-6 = 5-5, 0-15 x 0-7 = 6-3, 0-15 x 0-8 = 7-1, 0-15 x 0-9 = 7-16, 0-15 x 0-10 = 8-14, 0-15 x 0-11 = 9-12, 0-15 x 0-12 = 10-10, 0-15 x 0-13 = 11-8, 0-15 x 0-14 = 12-6, 0-15 x 0-15 = 13-4, 0-15 x 0-16 = 14-2, 
0-16 x 0-1 = 0-16, 0-16 x 0-2 = 1-15, 0-16 x 0-3 = 2-14, 0-16 x 0-4 = 3-13, 0-16 x 0-5 = 4-12, 0-16 x 0-6 = 5-11, 0-16 x 0-7 = 6-10, 0-16 x 0-8 = 7-9, 0-16 x 0-9 = 8-8, 0-16 x 0-10 = 9-7, 0-16 x 0-11 = 10-6, 0-16 x 0-12 = 11-5, 0-16 x 0-13 = 12-4, 0-16 x 0-14 = 13-3, 0-16 x 0-15 = 14-2, 0-16 x 0-16 = 15-1, 
