0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 1-0, 0-2 x 0-10 = 1-2, 0-2 x 0-11 = 1-4, 0-2 x 0-12 = 1-6, 0-2 x 0-13 = 1-8, 0-2 x 0-14 = 1-10, 0-2 x 0-15 = 1-12, 0-2 x 0-16 = 1-14, 0-2 x 0-17 = 1-16, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 1-0, 0-3 x 0-7 = 1-3, 0-3 x 0-8 = 1-6, 0-3 x 0-9 = 1-9, 0-3 x 0-10 = 1-12, 0-3 x 0-11 = 1-15, 0-3 x 0-12 = 2-0, 0-3 x 0-13 = 2-3, 0-3 x 0-14 = 2-6, 0-3 x 0-15 = 2-9, 0-3 x 0-16 = 2-12, 0-3 x 0-17 = 2-15, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 1-2, 0-4 x 0-6 = 1-6, 0-4 x 0-7 = 1-10, 0-4 x 0-8 = 1-14, 0-4 x 0-9 = 2-0, 0-4 x 0-10 = 2-4, 0-4 x 0-11 = 2-8, 0-4 x 0-12 = 2-12, 0-4 x 0-13 = 2-16, 0-4 x 0-14 = 3-2, 0-4 x 0-15 = 3-6, 0-4 x 0-16 = 3-10, 0-4 x 0-17 = 3-14, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 1-2, 0-5 x 0-5 = 1-7, 0-5 x 0-6 = 1-12, 0-5 x 0-7 = 1-17, 0-5 x 0-8 = 2-4, 0-5 x 0-9 = 2-9, 0-5 x 0-10 = 2-14, 0-5 x 0-11 = 3-1, 0-5 x 0-12 = 3-6, 0-5 x 0-13 = 3-11, 0-5 x 0-14 = 3-16, 0-5 x 0-15 = 4-3, 0-5 x 0-16 = 4-8, 0-5 x 0-17 = 4-13, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 1-0, 0-6 x 0-4 = 1-6, 0-6 x 0-5 = 1-12, 0-6 x 0-6 = 2-0, 0-6 x 0-7 = 2-6, 0-6 x 0-8 = 2-12, 0-6 x 0-9 = 3-0, 0-6 x 0-10 = 3-6, 0-6 x 0-11 = 3-12, 0-6 x 0-12 = 4-0, 0-6 x 0-13 = 4-6, 0-6 x 0-14 = 4-12, 0-6 x 0-15 = 5-0, 0-6 x 0-16 = 5-6, 0-6 x 0-17 = 5-12, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 1-3, 0-7 x 0-4 = 1-10, 0-7 x 0-5 = 1-17, 0-7 x 0-6 = 2-6, 0-7 x 0-7 = 2-13, 0-7 x 0-8 = 3-2, 0-7 x 0-9 = 3-9, 0-7 x 0-10 = 3-16, 0-7 x 0-11 = 4-5, 0-7 x 0-12 = 4-12, 0-7 x 0-13 = 5-1, 0-7 x 0-14 = 5-8, 0-7 x 0-15 = 5-15, 0-7 x 0-16 = 6-4, 0-7 x 0-17 = 6-11, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 1-6, 0-8 x 0-4 = 1-14, 0-8 x 0-5 = 2-4, 0-8 x 0-6 = 2-12, 0-8 x 0-7 = 3-2, 0-8 x 0-8 = 3-10, 0-8 x 0-9 = 4-0, 0-8 x 0-10 = 4-8, 0-8 x 0-11 = 4-16, 0-8 x 0-12 = 5-6, 0-8 x 0-13 = 5-14, 0-8 x 0-14 = 6-4, 0-8 x 0-15 = 6-12, 0-8 x 0-16 = 7-2, 0-8 x 0-17 = 7-10, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 1-0, 0-9 x 0-3 = 1-9, 0-9 x 0-4 = 2-0, 0-9 x 0-5 = 2-9, 0-9 x 0-6 = 3-0, 0-9 x 0-7 = 3-9, 0-9 x 0-8 = 4-0, 0-9 x 0-9 = 4-9, 0-9 x 0-10 = 5-0, 0-9 x 0-11 = 5-9, 0-9 x 0-12 = 6-0, 0-9 x 0-13 = 6-9, 0-9 x 0-14 = 7-0, 0-9 x 0-15 = 7-9, 0-9 x 0-16 = 8-0, 0-9 x 0-17 = 8-9, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 1-2, 0-10 x 0-3 = 1-12, 0-10 x 0-4 = 2-4, 0-10 x 0-5 = 2-14, 0-10 x 0-6 = 3-6, 0-10 x 0-7 = 3-16, 0-10 x 0-8 = 4-8, 0-10 x 0-9 = 5-0, 0-10 x 0-10 = 5-10, 0-10 x 0-11 = 6-2, 0-10 x 0-12 = 6-12, 0-10 x 0-13 = 7-4, 0-10 x 0-14 = 7-14, 0-10 x 0-15 = 8-6, 0-10 x 0-16 = 8-16, 0-10 x 0-17 = 9-8, 
0-11 x 0-1 = 0-11, 0-11 x 0-2 = 1-4, 0-11 x 0-3 = 1-15, 0-11 x 0-4 = 2-8, 0-11 x 0-5 = 3-1, 0-11 x 0-6 = 3-12, 0-11 x 0-7 = 4-5, 0-11 x 0-8 = 4-16, 0-11 x 0-9 = 5-9, 0-11 x 0-10 = 6-2, 0-11 x 0-11 = 6-13, 0-11 x 0-12 = 7-6, 0-11 x 0-13 = 7-17, 0-11 x 0-14 = 8-10, 0-11 x 0-15 = 9-3, 0-11 x 0-16 = 9-14, 0-11 x 0-17 = 10-7, 
0-12 x 0-1 = 0-12, 0-12 x 0-2 = 1-6, 0-12 x 0-3 = 2-0, 0-12 x 0-4 = 2-12, 0-12 x 0-5 = 3-6, 0-12 x 0-6 = 4-0, 0-12 x 0-7 = 4-12, 0-12 x 0-8 = 5-6, 0-12 x 0-9 = 6-0, 0-12 x 0-10 = 6-12, 0-12 x 0-11 = 7-6, 0-12 x 0-12 = 8-0, 0-12 x 0-13 = 8-12, 0-12 x 0-14 = 9-6, 0-12 x 0-15 = 10-0, 0-12 x 0-16 = 10-12, 0-12 x 0-17 = 11-6, 
0-13 x 0-1 = 0-13, 0-13 x 0-2 = 1-8, 0-13 x 0-3 = 2-3, 0-13 x 0-4 = 2-16, 0-13 x 0-5 = 3-11, 0-13 x 0-6 = 4-6, 0-13 x 0-7 = 5-1, 0-13 x 0-8 = 5-14, 0-13 x 0-9 = 6-9, 0-13 x 0-10 = 7-4, 0-13 x 0-11 = 7-17, 0-13 x 0-12 = 8-12, 0-13 x 0-13 = 9-7, 0-13 x 0-14 = 10-2, 0-13 x 0-15 = 10-15, 0-13 x 0-16 = 11-10, 0-13 x 0-17 = 12-5, 
0-14 x 0-1 = 0-14, 0-14 x 0-2 = 1-10, 0-14 x 0-3 = 2-6, 0-14 x 0-4 = 3-2, 0-14 x 0-5 = 3-16, 0-14 x 0-6 = 4-12, 0-14 x 0-7 = 5-8, 0-14 x 0-8 = 6-4, 0-14 x 0-9 = 7-0, 0-14 x 0-10 = 7-14, 0-14 x 0-11 = 8-10, 0-14 x 0-12 = 9-6, 0-14 x 0-13 = 10-2, 0-14 x 0-14 = 10-16, 0-14 x 0-15 = 11-12, 0-14 x 0-16 = 12-8, 0-14 x 0-17 = 13-4, 
0-15 x 0-1 = 0-15, 0-15 x 0-2 = 1-12, 0-15 x 0-3 = 2-9, 0-15 x 0-4 = 3-6, 0-15 x 0-5 = 4-3, 0-15 x 0-6 = 5-0, 0-15 x 0-7 = 5-15, 0-15 x 0-8 = 6-12, 0-15 x 0-9 = 7-9, 0-15 x 0-10 = 8-6, 0-15 x 0-11 = 9-3, 0-15 x 0-12 = 10-0, 0-15 x 0-13 = 10-15, 0-15 x 0-14 = 11-12, 0-15 x 0-15 = 12-9, 0-15 x 0-16 = 13-6, 0-15 x 0-17 = 14-3, 
0-16 x 0-1 = 0-16, 0-16 x 0-2 = 1-14, 0-16 x 0-3 = 2-12, 0-16 x 0-4 = 3-10, 0-16 x 0-5 = 4-8, 0-16 x 0-6 = 5-6, 0-16 x 0-7 = 6-4, 0-16 x 0-8 = 7-2, 0-16 x 0-9 = 8-0, 0-16 x 0-10 = 8-16, 0-16 x 0-11 = 9-14, 0-16 x 0-12 = 10-12, 0-16 x 0-13 = 11-10, 0-16 x 0-14 = 12-8, 0-16 x 0-15 = 13-6, 0-16 x 0-16 = 14-4, 0-16 x 0-17 = 15-2, 
0-17 x 0-1 = 0-17, 0-17 x 0-2 = 1-16, 0-17 x 0-3 = 2-15, 0-17 x 0-4 = 3-14, 0-17 x 0-5 = 4-13, 0-17 x 0-6 = 5-12, 0-17 x 0-7 = 6-11, 0-17 x 0-8 = 7-10, 0-17 x 0-9 = 8-9, 0-17 x 0-10 = 9-8, 0-17 x 0-11 = 10-7, 0-17 x 0-12 = 11-6, 0-17 x 0-13 = 12-5, 0-17 x 0-14 = 13-4, 0-17 x 0-15 = 14-3, 0-17 x 0-16 = 15-2, 0-17 x 0-17 = 16-1, 
