0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 1-1, 0-2 x 0-11 = 1-3, 0-2 x 0-12 = 1-5, 0-2 x 0-13 = 1-7, 0-2 x 0-14 = 1-9, 0-2 x 0-15 = 1-11, 0-2 x 0-16 = 1-13, 0-2 x 0-17 = 1-15, 0-2 x 0-18 = 1-17, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 1-2, 0-3 x 0-8 = 1-5, 0-3 x 0-9 = 1-8, 0-3 x 0-10 = 1-11, 0-3 x 0-11 = 1-14, 0-3 x 0-12 = 1-17, 0-3 x 0-13 = 2-1, 0-3 x 0-14 = 2-4, 0-3 x 0-15 = 2-7, 0-3 x 0-16 = 2-10, 0-3 x 0-17 = 2-13, 0-3 x 0-18 = 2-16, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 1-1, 0-4 x 0-6 = 1-5, 0-4 x 0-7 = 1-9, 0-4 x 0-8 = 1-13, 0-4 x 0-9 = 1-17, 0-4 x 0-10 = 2-2, 0-4 x 0-11 = 2-6, 0-4 x 0-12 = 2-10, 0-4 x 0-13 = 2-14, 0-4 x 0-14 = 2-18, 0-4 x 0-15 = 3-3, 0-4 x 0-16 = 3-7, 0-4 x 0-17 = 3-11, 0-4 x 0-18 = 3-15, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 1-1, 0-5 x 0-5 = 1-6, 0-5 x 0-6 = 1-11, 0-5 x 0-7 = 1-16, 0-5 x 0-8 = 2-2, 0-5 x 0-9 = 2-7, 0-5 x 0-10 = 2-12, 0-5 x 0-11 = 2-17, 0-5 x 0-12 = 3-3, 0-5 x 0-13 = 3-8, 0-5 x 0-14 = 3-13, 0-5 x 0-15 = 3-18, 0-5 x 0-16 = 4-4, 0-5 x 0-17 = 4-9, 0-5 x 0-18 = 4-14, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 1-5, 0-6 x 0-5 = 1-11, 0-6 x 0-6 = 1-17, 0-6 x 0-7 = 2-4, 0-6 x 0-8 = 2-10, 0-6 x 0-9 = 2-16, 0-6 x 0-10 = 3-3, 0-6 x 0-11 = 3-9, 0-6 x 0-12 = 3-15, 0-6 x 0-13 = 4-2, 0-6 x 0-14 = 4-8, 0-6 x 0-15 = 4-14, 0-6 x 0-16 = 5-1, 0-6 x 0-17 = 5-7, 0-6 x 0-18 = 5-13, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 1-2, 0-7 x 0-4 = 1-9, 0-7 x 0-5 = 1-16, 0-7 x 0-6 = 2-4, 0-7 x 0-7 = 2-11, 0-7 x 0-8 = 2-18, 0-7 x 0-9 = 3-6, 0-7 x 0-10 = 3-13, 0-7 x 0-11 = 4-1, 0-7 x 0-12 = 4-8, 0-7 x 0-13 = 4-15, 0-7 x 0-14 = 5-3, 0-7 x 0-15 = 5-10, 0-7 x 0-16 = 5-17, 0-7 x 0-17 = 6-5, 0-7 x 0-18 = 6-12, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 1-5, 0-8 x 0-4 = 1-13, 0-8 x 0-5 = 2-2, 0-8 x 0-6 = 2-10, 0-8 x 0-7 = 2-18, 0-8 x 0-8 = 3-7, 0-8 x 0-9 = 3-15, 0-8 x 0-10 = 4-4, 0-8 x 0-11 = 4-12, 0-8 x 0-12 = 5-1, 0-8 x 0-13 = 5-9, 0-8 x 0-14 = 5-17, 0-8 x 0-15 = 6-6, 0-8 x 0-16 = 6-14, 0-8 x 0-17 = 7-3, 0-8 x 0-18 = 7-11, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 1-8, 0-9 x 0-4 = 1-17, 0-9 x 0-5 = 2-7, 0-9 x 0-6 = 2-16, 0-9 x 0-7 = 3-6, 0-9 x 0-8 = 3-15, 0-9 x 0-9 = 4-5, 0-9 x 0-10 = 4-14, 0-9 x 0-11 = 5-4, 0-9 x 0-12 = 5-13, 0-9 x 0-13 = 6-3, 0-9 x 0-14 = 6-12, 0-9 x 0-15 = 7-2, 0-9 x 0-16 = 7-11, 0-9 x 0-17 = 8-1, 0-9 x 0-18 = 8-10, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 1-1, 0-10 x 0-3 = 1-11, 0-10 x 0-4 = 2-2, 0-10 x 0-5 = 2-12, 0-10 x 0-6 = 3-3, 0-10 x 0-7 = 3-13, 0-10 x 0-8 = 4-4, 0-10 x 0-9 = 4-14, 0-10 x 0-10 = 5-5, 0-10 x 0-11 = 5-15, 0-10 x 0-12 = 6-6, 0-10 x 0-13 = 6-16, 0-10 x 0-14 = 7-7, 0-10 x 0-15 = 7-17, 0-10 x 0-16 = 8-8, 0-10 x 0-17 = 8-18, 0-10 x 0-18 = 9-9, 
