0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 1-1, 0-2 x 0-12 = 1-3, 0-2 x 0-13 = 1-5, 0-2 x 0-14 = 1-7, 0-2 x 0-15 = 1-9, 0-2 x 0-16 = 1-11, 0-2 x 0-17 = 1-13, 0-2 x 0-18 = 1-15, 0-2 x 0-19 = 1-17, 0-2 x 0-20 = 1-19, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 1-0, 0-3 x 0-8 = 1-3, 0-3 x 0-9 = 1-6, 0-3 x 0-10 = 1-9, 0-3 x 0-11 = 1-12, 0-3 x 0-12 = 1-15, 0-3 x 0-13 = 1-18, 0-3 x 0-14 = 2-0, 0-3 x 0-15 = 2-3, 0-3 x 0-16 = 2-6, 0-3 x 0-17 = 2-9, 0-3 x 0-18 = 2-12, 0-3 x 0-19 = 2-15, 0-3 x 0-20 = 2-18, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 1-3, 0-4 x 0-7 = 1-7, 0-4 x 0-8 = 1-11, 0-4 x 0-9 = 1-15, 0-4 x 0-10 = 1-19, 0-4 x 0-11 = 2-2, 0-4 x 0-12 = 2-6, 0-4 x 0-13 = 2-10, 0-4 x 0-14 = 2-14, 0-4 x 0-15 = 2-18, 0-4 x 0-16 = 3-1, 0-4 x 0-17 = 3-5, 0-4 x 0-18 = 3-9, 0-4 x 0-19 = 3-13, 0-4 x 0-20 = 3-17, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 1-4, 0-5 x 0-6 = 1-9, 0-5 x 0-7 = 1-14, 0-5 x 0-8 = 1-19, 0-5 x 0-9 = 2-3, 0-5 x 0-10 = 2-8, 0-5 x 0-11 = 2-13, 0-5 x 0-12 = 2-18, 0-5 x 0-13 = 3-2, 0-5 x 0-14 = 3-7, 0-5 x 0-15 = 3-12, 0-5 x 0-16 = 3-17, 0-5 x 0-17 = 4-1, 0-5 x 0-18 = 4-6, 0-5 x 0-19 = 4-11, 0-5 x 0-20 = 4-16, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 1-3, 0-6 x 0-5 = 1-9, 0-6 x 0-6 = 1-15, 0-6 x 0-7 = 2-0, 0-6 x 0-8 = 2-6, 0-6 x 0-9 = 2-12, 0-6 x 0-10 = 2-18, 0-6 x 0-11 = 3-3, 0-6 x 0-12 = 3-9, 0-6 x 0-13 = 3-15, 0-6 x 0-14 = 4-0, 0-6 x 0-15 = 4-6, 0-6 x 0-16 = 4-12, 0-6 x 0-17 = 4-18, 0-6 x 0-18 = 5-3, 0-6 x 0-19 = 5-9, 0-6 x 0-20 = 5-15, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 1-0, 0-7 x 0-4 = 1-7, 0-7 x 0-5 = 1-14, 0-7 x 0-6 = 2-0, 0-7 x 0-7 = 2-7, 0-7 x 0-8 = 2-14, 0-7 x 0-9 = 3-0, 0-7 x 0-10 = 3-7, 0-7 x 0-11 = 3-14, 0-7 x 0-12 = 4-0, 0-7 x 0-13 = 4-7, 0-7 x 0-14 = 4-14, 0-7 x 0-15 = 5-0, 0-7 x 0-16 = 5-7, 0-7 x 0-17 = 5-14, 0-7 x 0-18 = 6-0, 0-7 x 0-19 = 6-7, 0-7 x 0-20 = 6-14, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 1-3, 0-8 x 0-4 = 1-11, 0-8 x 0-5 = 1-19, 0-8 x 0-6 = 2-6, 0-8 x 0-7 = 2-14, 0-8 x 0-8 = 3-1, 0-8 x 0-9 = 3-9, 0-8 x 0-10 = 3-17, 0-8 x 0-11 = 4-4, 0-8 x 0-12 = 4-12, 0-8 x 0-13 = 4-20, 0-8 x 0-14 = 5-7, 0-8 x 0-15 = 5-15, 0-8 x 0-16 = 6-2, 0-8 x 0-17 = 6-10, 0-8 x 0-18 = 6-18, 0-8 x 0-19 = 7-5, 0-8 x 0-20 = 7-13, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 1-6, 0-9 x 0-4 = 1-15, 0-9 x 0-5 = 2-3, 0-9 x 0-6 = 2-12, 0-9 x 0-7 = 3-0, 0-9 x 0-8 = 3-9, 0-9 x 0-9 = 3-18, 0-9 x 0-10 = 4-6, 0-9 x 0-11 = 4-15, 0-9 x 0-12 = 5-3, 0-9 x 0-13 = 5-12, 0-9 x 0-14 = 6-0, 0-9 x 0-15 = 6-9, 0-9 x 0-16 = 6-18, 0-9 x 0-17 = 7-6, 0-9 x 0-18 = 7-15, 0-9 x 0-19 = 8-3, 0-9 x 0-20 = 8-12, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 1-9, 0-10 x 0-4 = 1-19, 0-10 x 0-5 = 2-8, 0-10 x 0-6 = 2-18, 0-10 x 0-7 = 3-7, 0-10 x 0-8 = 3-17, 0-10 x 0-9 = 4-6, 0-10 x 0-10 = 4-16, 0-10 x 0-11 = 5-5, 0-10 x 0-12 = 5-15, 0-10 x 0-13 = 6-4, 0-10 x 0-14 = 6-14, 0-10 x 0-15 = 7-3, 0-10 x 0-16 = 7-13, 0-10 x 0-17 = 8-2, 0-10 x 0-18 = 8-12, 0-10 x 0-19 = 9-1, 0-10 x 0-20 = 9-11, 
