0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 1-1, 0-2 x 0-13 = 1-3, 0-2 x 0-14 = 1-5, 0-2 x 0-15 = 1-7, 0-2 x 0-16 = 1-9, 0-2 x 0-17 = 1-11, 0-2 x 0-18 = 1-13, 0-2 x 0-19 = 1-15, 0-2 x 0-20 = 1-17, 0-2 x 0-21 = 1-19, 0-2 x 0-22 = 1-21, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 1-1, 0-3 x 0-9 = 1-4, 0-3 x 0-10 = 1-7, 0-3 x 0-11 = 1-10, 0-3 x 0-12 = 1-13, 0-3 x 0-13 = 1-16, 0-3 x 0-14 = 1-19, 0-3 x 0-15 = 1-22, 0-3 x 0-16 = 2-2, 0-3 x 0-17 = 2-5, 0-3 x 0-18 = 2-8, 0-3 x 0-19 = 2-11, 0-3 x 0-20 = 2-14, 0-3 x 0-21 = 2-17, 0-3 x 0-22 = 2-20, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 1-1, 0-4 x 0-7 = 1-5, 0-4 x 0-8 = 1-9, 0-4 x 0-9 = 1-13, 0-4 x 0-10 = 1-17, 0-4 x 0-11 = 1-21, 0-4 x 0-12 = 2-2, 0-4 x 0-13 = 2-6, 0-4 x 0-14 = 2-10, 0-4 x 0-15 = 2-14, 0-4 x 0-16 = 2-18, 0-4 x 0-17 = 2-22, 0-4 x 0-18 = 3-3, 0-4 x 0-19 = 3-7, 0-4 x 0-20 = 3-11, 0-4 x 0-21 = 3-15, 0-4 x 0-22 = 3-19, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 1-2, 0-5 x 0-6 = 1-7, 0-5 x 0-7 = 1-12, 0-5 x 0-8 = 1-17, 0-5 x 0-9 = 1-22, 0-5 x 0-10 = 2-4, 0-5 x 0-11 = 2-9, 0-5 x 0-12 = 2-14, 0-5 x 0-13 = 2-19, 0-5 x 0-14 = 3-1, 0-5 x 0-15 = 3-6, 0-5 x 0-16 = 3-11, 0-5 x 0-17 = 3-16, 0-5 x 0-18 = 3-21, 0-5 x 0-19 = 4-3, 0-5 x 0-20 = 4-8, 0-5 x 0-21 = 4-13, 0-5 x 0-22 = 4-18, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 1-1, 0-6 x 0-5 = 1-7, 0-6 x 0-6 = 1-13, 0-6 x 0-7 = 1-19, 0-6 x 0-8 = 2-2, 0-6 x 0-9 = 2-8, 0-6 x 0-10 = 2-14, 0-6 x 0-11 = 2-20, 0-6 x 0-12 = 3-3, 0-6 x 0-13 = 3-9, 0-6 x 0-14 = 3-15, 0-6 x 0-15 = 3-21, 0-6 x 0-16 = 4-4, 0-6 x 0-17 = 4-10, 0-6 x 0-18 = 4-16, 0-6 x 0-19 = 4-22, 0-6 x 0-20 = 5-5, 0-6 x 0-21 = 5-11, 0-6 x 0-22 = 5-17, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 1-5, 0-7 x 0-5 = 1-12, 0-7 x 0-6 = 1-19, 0-7 x 0-7 = 2-3, 0-7 x 0-8 = 2-10, 0-7 x 0-9 = 2-17, 0-7 x 0-10 = 3-1, 0-7 x 0-11 = 3-8, 0-7 x 0-12 = 3-15, 0-7 x 0-13 = 3-22, 0-7 x 0-14 = 4-6, 0-7 x 0-15 = 4-13, 0-7 x 0-16 = 4-20, 0-7 x 0-17 = 5-4, 0-7 x 0-18 = 5-11, 0-7 x 0-19 = 5-18, 0-7 x 0-20 = 6-2, 0-7 x 0-21 = 6-9, 0-7 x 0-22 = 6-16, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 1-1, 0-8 x 0-4 = 1-9, 0-8 x 0-5 = 1-17, 0-8 x 0-6 = 2-2, 0-8 x 0-7 = 2-10, 0-8 x 0-8 = 2-18, 0-8 x 0-9 = 3-3, 0-8 x 0-10 = 3-11, 0-8 x 0-11 = 3-19, 0-8 x 0-12 = 4-4, 0-8 x 0-13 = 4-12, 0-8 x 0-14 = 4-20, 0-8 x 0-15 = 5-5, 0-8 x 0-16 = 5-13, 0-8 x 0-17 = 5-21, 0-8 x 0-18 = 6-6, 0-8 x 0-19 = 6-14, 0-8 x 0-20 = 6-22, 0-8 x 0-21 = 7-7, 0-8 x 0-22 = 7-15, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 1-4, 0-9 x 0-4 = 1-13, 0-9 x 0-5 = 1-22, 0-9 x 0-6 = 2-8, 0-9 x 0-7 = 2-17, 0-9 x 0-8 = 3-3, 0-9 x 0-9 = 3-12, 0-9 x 0-10 = 3-21, 0-9 x 0-11 = 4-7, 0-9 x 0-12 = 4-16, 0-9 x 0-13 = 5-2, 0-9 x 0-14 = 5-11, 0-9 x 0-15 = 5-20, 0-9 x 0-16 = 6-6, 0-9 x 0-17 = 6-15, 0-9 x 0-18 = 7-1, 0-9 x 0-19 = 7-10, 0-9 x 0-20 = 7-19, 0-9 x 0-21 = 8-5, 0-9 x 0-22 = 8-14, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 1-7, 0-10 x 0-4 = 1-17, 0-10 x 0-5 = 2-4, 0-10 x 0-6 = 2-14, 0-10 x 0-7 = 3-1, 0-10 x 0-8 = 3-11, 0-10 x 0-9 = 3-21, 0-10 x 0-10 = 4-8, 0-10 x 0-11 = 4-18, 0-10 x 0-12 = 5-5, 0-10 x 0-13 = 5-15, 0-10 x 0-14 = 6-2, 0-10 x 0-15 = 6-12, 0-10 x 0-16 = 6-22, 0-10 x 0-17 = 7-9, 0-10 x 0-18 = 7-19, 0-10 x 0-19 = 8-6, 0-10 x 0-20 = 8-16, 0-10 x 0-21 = 9-3, 0-10 x 0-22 = 9-13, 
