1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 1 x 13 = 0-13, 1 x 14 = 0-14, 1 x 15 = 0-15, 1 x 16 = 0-16, 1 x 17 = 0-17, 1 x 18 = 0-18, 1 x 19 = 0-19, 1 x 20 = 0-20, 1 x 21 = 0-21, 1 x 22 = 0-22, 1 x 23 = 0-23, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 0-14, 2 x 8 = 0-16, 2 x 9 = 0-18, 2 x 10 = 0-20, 2 x 11 = 0-22, 2 x 12 = 1-0, 2 x 13 = 1-2, 2 x 14 = 1-4, 2 x 15 = 1-6, 2 x 16 = 1-8, 2 x 17 = 1-10, 2 x 18 = 1-12, 2 x 19 = 1-14, 2 x 20 = 1-16, 2 x 21 = 1-18, 2 x 22 = 1-20, 2 x 23 = 1-22, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 0-15, 3 x 6 = 0-18, 3 x 7 = 0-21, 3 x 8 = 1-0, 3 x 9 = 1-3, 3 x 10 = 1-6, 3 x 11 = 1-9, 3 x 12 = 1-12, 3 x 13 = 1-15, 3 x 14 = 1-18, 3 x 15 = 1-21, 3 x 16 = 2-0, 3 x 17 = 2-3, 3 x 18 = 2-6, 3 x 19 = 2-9, 3 x 20 = 2-12, 3 x 21 = 2-15, 3 x 22 = 2-18, 3 x 23 = 2-21, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 0-16, 4 x 5 = 0-20, 4 x 6 = 1-0, 4 x 7 = 1-4, 4 x 8 = 1-8, 4 x 9 = 1-12, 4 x 10 = 1-16, 4 x 11 = 1-20, 4 x 12 = 2-0, 4 x 13 = 2-4, 4 x 14 = 2-8, 4 x 15 = 2-12, 4 x 16 = 2-16, 4 x 17 = 2-20, 4 x 18 = 3-0, 4 x 19 = 3-4, 4 x 20 = 3-8, 4 x 21 = 3-12, 4 x 22 = 3-16, 4 x 23 = 3-20, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 0-15, 5 x 4 = 0-20, 5 x 5 = 1-1, 5 x 6 = 1-6, 5 x 7 = 1-11, 5 x 8 = 1-16, 5 x 9 = 1-21, 5 x 10 = 2-2, 5 x 11 = 2-7, 5 x 12 = 2-12, 5 x 13 = 2-17, 5 x 14 = 2-22, 5 x 15 = 3-3, 5 x 16 = 3-8, 5 x 17 = 3-13, 5 x 18 = 3-18, 5 x 19 = 3-23, 5 x 20 = 4-4, 5 x 21 = 4-9, 5 x 22 = 4-14, 5 x 23 = 4-19, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 0-18, 6 x 4 = 1-0, 6 x 5 = 1-6, 6 x 6 = 1-12, 6 x 7 = 1-18, 6 x 8 = 2-0, 6 x 9 = 2-6, 6 x 10 = 2-12, 6 x 11 = 2-18, 6 x 12 = 3-0, 6 x 13 = 3-6, 6 x 14 = 3-12, 6 x 15 = 3-18, 6 x 16 = 4-0, 6 x 17 = 4-6, 6 x 18 = 4-12, 6 x 19 = 4-18, 6 x 20 = 5-0, 6 x 21 = 5-6, 6 x 22 = 5-12, 6 x 23 = 5-18, 
7 x 1 = 0-7, 7 x 2 = 0-14, 7 x 3 = 0-21, 7 x 4 = 1-4, 7 x 5 = 1-11, 7 x 6 = 1-18, 7 x 7 = 2-1, 7 x 8 = 2-8, 7 x 9 = 2-15, 7 x 10 = 2-22, 7 x 11 = 3-5, 7 x 12 = 3-12, 7 x 13 = 3-19, 7 x 14 = 4-2, 7 x 15 = 4-9, 7 x 16 = 4-16, 7 x 17 = 4-23, 7 x 18 = 5-6, 7 x 19 = 5-13, 7 x 20 = 5-20, 7 x 21 = 6-3, 7 x 22 = 6-10, 7 x 23 = 6-17, 
8 x 1 = 0-8, 8 x 2 = 0-16, 8 x 3 = 1-0, 8 x 4 = 1-8, 8 x 5 = 1-16, 8 x 6 = 2-0, 8 x 7 = 2-8, 8 x 8 = 2-16, 8 x 9 = 3-0, 8 x 10 = 3-8, 8 x 11 = 3-16, 8 x 12 = 4-0, 8 x 13 = 4-8, 8 x 14 = 4-16, 8 x 15 = 5-0, 8 x 16 = 5-8, 8 x 17 = 5-16, 8 x 18 = 6-0, 8 x 19 = 6-8, 8 x 20 = 6-16, 8 x 21 = 7-0, 8 x 22 = 7-8, 8 x 23 = 7-16, 
9 x 1 = 0-9, 9 x 2 = 0-18, 9 x 3 = 1-3, 9 x 4 = 1-12, 9 x 5 = 1-21, 9 x 6 = 2-6, 9 x 7 = 2-15, 9 x 8 = 3-0, 9 x 9 = 3-9, 9 x 10 = 3-18, 9 x 11 = 4-3, 9 x 12 = 4-12, 9 x 13 = 4-21, 9 x 14 = 5-6, 9 x 15 = 5-15, 9 x 16 = 6-0, 9 x 17 = 6-9, 9 x 18 = 6-18, 9 x 19 = 7-3, 9 x 20 = 7-12, 9 x 21 = 7-21, 9 x 22 = 8-6, 9 x 23 = 8-15, 
10 x 1 = 0-10, 10 x 2 = 0-20, 10 x 3 = 1-6, 10 x 4 = 1-16, 10 x 5 = 2-2, 10 x 6 = 2-12, 10 x 7 = 2-22, 10 x 8 = 3-8, 10 x 9 = 3-18, 10 x 10 = 4-4, 10 x 11 = 4-14, 10 x 12 = 5-0, 10 x 13 = 5-10, 10 x 14 = 5-20, 10 x 15 = 6-6, 10 x 16 = 6-16, 10 x 17 = 7-2, 10 x 18 = 7-12, 10 x 19 = 7-22, 10 x 20 = 8-8, 10 x 21 = 8-18, 10 x 22 = 9-4, 10 x 23 = 9-14, 
