0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 1-1, 0-2 x 0-14 = 1-3, 0-2 x 0-15 = 1-5, 0-2 x 0-16 = 1-7, 0-2 x 0-17 = 1-9, 0-2 x 0-18 = 1-11, 0-2 x 0-19 = 1-13, 0-2 x 0-20 = 1-15, 0-2 x 0-21 = 1-17, 0-2 x 0-22 = 1-19, 0-2 x 0-23 = 1-21, 0-2 x 0-24 = 1-23, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 1-2, 0-3 x 0-10 = 1-5, 0-3 x 0-11 = 1-8, 0-3 x 0-12 = 1-11, 0-3 x 0-13 = 1-14, 0-3 x 0-14 = 1-17, 0-3 x 0-15 = 1-20, 0-3 x 0-16 = 1-23, 0-3 x 0-17 = 2-1, 0-3 x 0-18 = 2-4, 0-3 x 0-19 = 2-7, 0-3 x 0-20 = 2-10, 0-3 x 0-21 = 2-13, 0-3 x 0-22 = 2-16, 0-3 x 0-23 = 2-19, 0-3 x 0-24 = 2-22, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 1-3, 0-4 x 0-8 = 1-7, 0-4 x 0-9 = 1-11, 0-4 x 0-10 = 1-15, 0-4 x 0-11 = 1-19, 0-4 x 0-12 = 1-23, 0-4 x 0-13 = 2-2, 0-4 x 0-14 = 2-6, 0-4 x 0-15 = 2-10, 0-4 x 0-16 = 2-14, 0-4 x 0-17 = 2-18, 0-4 x 0-18 = 2-22, 0-4 x 0-19 = 3-1, 0-4 x 0-20 = 3-5, 0-4 x 0-21 = 3-9, 0-4 x 0-22 = 3-13, 0-4 x 0-23 = 3-17, 0-4 x 0-24 = 3-21, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 1-0, 0-5 x 0-6 = 1-5, 0-5 x 0-7 = 1-10, 0-5 x 0-8 = 1-15, 0-5 x 0-9 = 1-20, 0-5 x 0-10 = 2-0, 0-5 x 0-11 = 2-5, 0-5 x 0-12 = 2-10, 0-5 x 0-13 = 2-15, 0-5 x 0-14 = 2-20, 0-5 x 0-15 = 3-0, 0-5 x 0-16 = 3-5, 0-5 x 0-17 = 3-10, 0-5 x 0-18 = 3-15, 0-5 x 0-19 = 3-20, 0-5 x 0-20 = 4-0, 0-5 x 0-21 = 4-5, 0-5 x 0-22 = 4-10, 0-5 x 0-23 = 4-15, 0-5 x 0-24 = 4-20, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 1-5, 0-6 x 0-6 = 1-11, 0-6 x 0-7 = 1-17, 0-6 x 0-8 = 1-23, 0-6 x 0-9 = 2-4, 0-6 x 0-10 = 2-10, 0-6 x 0-11 = 2-16, 0-6 x 0-12 = 2-22, 0-6 x 0-13 = 3-3, 0-6 x 0-14 = 3-9, 0-6 x 0-15 = 3-15, 0-6 x 0-16 = 3-21, 0-6 x 0-17 = 4-2, 0-6 x 0-18 = 4-8, 0-6 x 0-19 = 4-14, 0-6 x 0-20 = 4-20, 0-6 x 0-21 = 5-1, 0-6 x 0-22 = 5-7, 0-6 x 0-23 = 5-13, 0-6 x 0-24 = 5-19, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 1-3, 0-7 x 0-5 = 1-10, 0-7 x 0-6 = 1-17, 0-7 x 0-7 = 1-24, 0-7 x 0-8 = 2-6, 0-7 x 0-9 = 2-13, 0-7 x 0-10 = 2-20, 0-7 x 0-11 = 3-2, 0-7 x 0-12 = 3-9, 0-7 x 0-13 = 3-16, 0-7 x 0-14 = 3-23, 0-7 x 0-15 = 4-5, 0-7 x 0-16 = 4-12, 0-7 x 0-17 = 4-19, 0-7 x 0-18 = 5-1, 0-7 x 0-19 = 5-8, 0-7 x 0-20 = 5-15, 0-7 x 0-21 = 5-22, 0-7 x 0-22 = 6-4, 0-7 x 0-23 = 6-11, 0-7 x 0-24 = 6-18, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 1-7, 0-8 x 0-5 = 1-15, 0-8 x 0-6 = 1-23, 0-8 x 0-7 = 2-6, 0-8 x 0-8 = 2-14, 0-8 x 0-9 = 2-22, 0-8 x 0-10 = 3-5, 0-8 x 0-11 = 3-13, 0-8 x 0-12 = 3-21, 0-8 x 0-13 = 4-4, 0-8 x 0-14 = 4-12, 0-8 x 0-15 = 4-20, 0-8 x 0-16 = 5-3, 0-8 x 0-17 = 5-11, 0-8 x 0-18 = 5-19, 0-8 x 0-19 = 6-2, 0-8 x 0-20 = 6-10, 0-8 x 0-21 = 6-18, 0-8 x 0-22 = 7-1, 0-8 x 0-23 = 7-9, 0-8 x 0-24 = 7-17, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 1-2, 0-9 x 0-4 = 1-11, 0-9 x 0-5 = 1-20, 0-9 x 0-6 = 2-4, 0-9 x 0-7 = 2-13, 0-9 x 0-8 = 2-22, 0-9 x 0-9 = 3-6, 0-9 x 0-10 = 3-15, 0-9 x 0-11 = 3-24, 0-9 x 0-12 = 4-8, 0-9 x 0-13 = 4-17, 0-9 x 0-14 = 5-1, 0-9 x 0-15 = 5-10, 0-9 x 0-16 = 5-19, 0-9 x 0-17 = 6-3, 0-9 x 0-18 = 6-12, 0-9 x 0-19 = 6-21, 0-9 x 0-20 = 7-5, 0-9 x 0-21 = 7-14, 0-9 x 0-22 = 7-23, 0-9 x 0-23 = 8-7, 0-9 x 0-24 = 8-16, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 1-5, 0-10 x 0-4 = 1-15, 0-10 x 0-5 = 2-0, 0-10 x 0-6 = 2-10, 0-10 x 0-7 = 2-20, 0-10 x 0-8 = 3-5, 0-10 x 0-9 = 3-15, 0-10 x 0-10 = 4-0, 0-10 x 0-11 = 4-10, 0-10 x 0-12 = 4-20, 0-10 x 0-13 = 5-5, 0-10 x 0-14 = 5-15, 0-10 x 0-15 = 6-0, 0-10 x 0-16 = 6-10, 0-10 x 0-17 = 6-20, 0-10 x 0-18 = 7-5, 0-10 x 0-19 = 7-15, 0-10 x 0-20 = 8-0, 0-10 x 0-21 = 8-10, 0-10 x 0-22 = 8-20, 0-10 x 0-23 = 9-5, 0-10 x 0-24 = 9-15, 
0-11 x 0-1 = 0-11, 0-11 x 0-2 = 0-22, 0-11 x 0-3 = 1-8, 0-11 x 0-4 = 1-19, 0-11 x 0-5 = 2-5, 0-11 x 0-6 = 2-16, 0-11 x 0-7 = 3-2, 0-11 x 0-8 = 3-13, 0-11 x 0-9 = 3-24, 0-11 x 0-10 = 4-10, 0-11 x 0-11 = 4-21, 0-11 x 0-12 = 5-7, 0-11 x 0-13 = 5-18, 0-11 x 0-14 = 6-4, 0-11 x 0-15 = 6-15, 0-11 x 0-16 = 7-1, 0-11 x 0-17 = 7-12, 0-11 x 0-18 = 7-23, 0-11 x 0-19 = 8-9, 0-11 x 0-20 = 8-20, 0-11 x 0-21 = 9-6, 0-11 x 0-22 = 9-17, 0-11 x 0-23 = 10-3, 0-11 x 0-24 = 10-14, 
0-12 x 0-1 = 0-12, 0-12 x 0-2 = 0-24, 0-12 x 0-3 = 1-11, 0-12 x 0-4 = 1-23, 0-12 x 0-5 = 2-10, 0-12 x 0-6 = 2-22, 0-12 x 0-7 = 3-9, 0-12 x 0-8 = 3-21, 0-12 x 0-9 = 4-8, 0-12 x 0-10 = 4-20, 0-12 x 0-11 = 5-7, 0-12 x 0-12 = 5-19, 0-12 x 0-13 = 6-6, 0-12 x 0-14 = 6-18, 0-12 x 0-15 = 7-5, 0-12 x 0-16 = 7-17, 0-12 x 0-17 = 8-4, 0-12 x 0-18 = 8-16, 0-12 x 0-19 = 9-3, 0-12 x 0-20 = 9-15, 0-12 x 0-21 = 10-2, 0-12 x 0-22 = 10-14, 0-12 x 0-23 = 11-1, 0-12 x 0-24 = 11-13, 
0-13 x 0-1 = 0-13, 0-13 x 0-2 = 1-1, 0-13 x 0-3 = 1-14, 0-13 x 0-4 = 2-2, 0-13 x 0-5 = 2-15, 0-13 x 0-6 = 3-3, 0-13 x 0-7 = 3-16, 0-13 x 0-8 = 4-4, 0-13 x 0-9 = 4-17, 0-13 x 0-10 = 5-5, 0-13 x 0-11 = 5-18, 0-13 x 0-12 = 6-6, 0-13 x 0-13 = 6-19, 0-13 x 0-14 = 7-7, 0-13 x 0-15 = 7-20, 0-13 x 0-16 = 8-8, 0-13 x 0-17 = 8-21, 0-13 x 0-18 = 9-9, 0-13 x 0-19 = 9-22, 0-13 x 0-20 = 10-10, 0-13 x 0-21 = 10-23, 0-13 x 0-22 = 11-11, 0-13 x 0-23 = 11-24, 0-13 x 0-24 = 12-12, 
0-14 x 0-1 = 0-14, 0-14 x 0-2 = 1-3, 0-14 x 0-3 = 1-17, 0-14 x 0-4 = 2-6, 0-14 x 0-5 = 2-20, 0-14 x 0-6 = 3-9, 0-14 x 0-7 = 3-23, 0-14 x 0-8 = 4-12, 0-14 x 0-9 = 5-1, 0-14 x 0-10 = 5-15, 0-14 x 0-11 = 6-4, 0-14 x 0-12 = 6-18, 0-14 x 0-13 = 7-7, 0-14 x 0-14 = 7-21, 0-14 x 0-15 = 8-10, 0-14 x 0-16 = 8-24, 0-14 x 0-17 = 9-13, 0-14 x 0-18 = 10-2, 0-14 x 0-19 = 10-16, 0-14 x 0-20 = 11-5, 0-14 x 0-21 = 11-19, 0-14 x 0-22 = 12-8, 0-14 x 0-23 = 12-22, 0-14 x 0-24 = 13-11, 
