0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 1-1, 0-2 x 0-15 = 1-3, 0-2 x 0-16 = 1-5, 0-2 x 0-17 = 1-7, 0-2 x 0-18 = 1-9, 0-2 x 0-19 = 1-11, 0-2 x 0-20 = 1-13, 0-2 x 0-21 = 1-15, 0-2 x 0-22 = 1-17, 0-2 x 0-23 = 1-19, 0-2 x 0-24 = 1-21, 0-2 x 0-25 = 1-23, 0-2 x 0-26 = 1-25, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 1-0, 0-3 x 0-10 = 1-3, 0-3 x 0-11 = 1-6, 0-3 x 0-12 = 1-9, 0-3 x 0-13 = 1-12, 0-3 x 0-14 = 1-15, 0-3 x 0-15 = 1-18, 0-3 x 0-16 = 1-21, 0-3 x 0-17 = 1-24, 0-3 x 0-18 = 2-0, 0-3 x 0-19 = 2-3, 0-3 x 0-20 = 2-6, 0-3 x 0-21 = 2-9, 0-3 x 0-22 = 2-12, 0-3 x 0-23 = 2-15, 0-3 x 0-24 = 2-18, 0-3 x 0-25 = 2-21, 0-3 x 0-26 = 2-24, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 1-1, 0-4 x 0-8 = 1-5, 0-4 x 0-9 = 1-9, 0-4 x 0-10 = 1-13, 0-4 x 0-11 = 1-17, 0-4 x 0-12 = 1-21, 0-4 x 0-13 = 1-25, 0-4 x 0-14 = 2-2, 0-4 x 0-15 = 2-6, 0-4 x 0-16 = 2-10, 0-4 x 0-17 = 2-14, 0-4 x 0-18 = 2-18, 0-4 x 0-19 = 2-22, 0-4 x 0-20 = 2-26, 0-4 x 0-21 = 3-3, 0-4 x 0-22 = 3-7, 0-4 x 0-23 = 3-11, 0-4 x 0-24 = 3-15, 0-4 x 0-25 = 3-19, 0-4 x 0-26 = 3-23, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 1-3, 0-5 x 0-7 = 1-8, 0-5 x 0-8 = 1-13, 0-5 x 0-9 = 1-18, 0-5 x 0-10 = 1-23, 0-5 x 0-11 = 2-1, 0-5 x 0-12 = 2-6, 0-5 x 0-13 = 2-11, 0-5 x 0-14 = 2-16, 0-5 x 0-15 = 2-21, 0-5 x 0-16 = 2-26, 0-5 x 0-17 = 3-4, 0-5 x 0-18 = 3-9, 0-5 x 0-19 = 3-14, 0-5 x 0-20 = 3-19, 0-5 x 0-21 = 3-24, 0-5 x 0-22 = 4-2, 0-5 x 0-23 = 4-7, 0-5 x 0-24 = 4-12, 0-5 x 0-25 = 4-17, 0-5 x 0-26 = 4-22, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 1-3, 0-6 x 0-6 = 1-9, 0-6 x 0-7 = 1-15, 0-6 x 0-8 = 1-21, 0-6 x 0-9 = 2-0, 0-6 x 0-10 = 2-6, 0-6 x 0-11 = 2-12, 0-6 x 0-12 = 2-18, 0-6 x 0-13 = 2-24, 0-6 x 0-14 = 3-3, 0-6 x 0-15 = 3-9, 0-6 x 0-16 = 3-15, 0-6 x 0-17 = 3-21, 0-6 x 0-18 = 4-0, 0-6 x 0-19 = 4-6, 0-6 x 0-20 = 4-12, 0-6 x 0-21 = 4-18, 0-6 x 0-22 = 4-24, 0-6 x 0-23 = 5-3, 0-6 x 0-24 = 5-9, 0-6 x 0-25 = 5-15, 0-6 x 0-26 = 5-21, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 1-1, 0-7 x 0-5 = 1-8, 0-7 x 0-6 = 1-15, 0-7 x 0-7 = 1-22, 0-7 x 0-8 = 2-2, 0-7 x 0-9 = 2-9, 0-7 x 0-10 = 2-16, 0-7 x 0-11 = 2-23, 0-7 x 0-12 = 3-3, 0-7 x 0-13 = 3-10, 0-7 x 0-14 = 3-17, 0-7 x 0-15 = 3-24, 0-7 x 0-16 = 4-4, 0-7 x 0-17 = 4-11, 0-7 x 0-18 = 4-18, 0-7 x 0-19 = 4-25, 0-7 x 0-20 = 5-5, 0-7 x 0-21 = 5-12, 0-7 x 0-22 = 5-19, 0-7 x 0-23 = 5-26, 0-7 x 0-24 = 6-6, 0-7 x 0-25 = 6-13, 0-7 x 0-26 = 6-20, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 1-5, 0-8 x 0-5 = 1-13, 0-8 x 0-6 = 1-21, 0-8 x 0-7 = 2-2, 0-8 x 0-8 = 2-10, 0-8 x 0-9 = 2-18, 0-8 x 0-10 = 2-26, 0-8 x 0-11 = 3-7, 0-8 x 0-12 = 3-15, 0-8 x 0-13 = 3-23, 0-8 x 0-14 = 4-4, 0-8 x 0-15 = 4-12, 0-8 x 0-16 = 4-20, 0-8 x 0-17 = 5-1, 0-8 x 0-18 = 5-9, 0-8 x 0-19 = 5-17, 0-8 x 0-20 = 5-25, 0-8 x 0-21 = 6-6, 0-8 x 0-22 = 6-14, 0-8 x 0-23 = 6-22, 0-8 x 0-24 = 7-3, 0-8 x 0-25 = 7-11, 0-8 x 0-26 = 7-19, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 1-0, 0-9 x 0-4 = 1-9, 0-9 x 0-5 = 1-18, 0-9 x 0-6 = 2-0, 0-9 x 0-7 = 2-9, 0-9 x 0-8 = 2-18, 0-9 x 0-9 = 3-0, 0-9 x 0-10 = 3-9, 0-9 x 0-11 = 3-18, 0-9 x 0-12 = 4-0, 0-9 x 0-13 = 4-9, 0-9 x 0-14 = 4-18, 0-9 x 0-15 = 5-0, 0-9 x 0-16 = 5-9, 0-9 x 0-17 = 5-18, 0-9 x 0-18 = 6-0, 0-9 x 0-19 = 6-9, 0-9 x 0-20 = 6-18, 0-9 x 0-21 = 7-0, 0-9 x 0-22 = 7-9, 0-9 x 0-23 = 7-18, 0-9 x 0-24 = 8-0, 0-9 x 0-25 = 8-9, 0-9 x 0-26 = 8-18, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 1-3, 0-10 x 0-4 = 1-13, 0-10 x 0-5 = 1-23, 0-10 x 0-6 = 2-6, 0-10 x 0-7 = 2-16, 0-10 x 0-8 = 2-26, 0-10 x 0-9 = 3-9, 0-10 x 0-10 = 3-19, 0-10 x 0-11 = 4-2, 0-10 x 0-12 = 4-12, 0-10 x 0-13 = 4-22, 0-10 x 0-14 = 5-5, 0-10 x 0-15 = 5-15, 0-10 x 0-16 = 5-25, 0-10 x 0-17 = 6-8, 0-10 x 0-18 = 6-18, 0-10 x 0-19 = 7-1, 0-10 x 0-20 = 7-11, 0-10 x 0-21 = 7-21, 0-10 x 0-22 = 8-4, 0-10 x 0-23 = 8-14, 0-10 x 0-24 = 8-24, 0-10 x 0-25 = 9-7, 0-10 x 0-26 = 9-17, 
