1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 1 x 13 = 0-13, 1 x 14 = 0-14, 1 x 15 = 0-15, 1 x 16 = 0-16, 1 x 17 = 0-17, 1 x 18 = 0-18, 1 x 19 = 0-19, 1 x 20 = 0-20, 1 x 21 = 0-21, 1 x 22 = 0-22, 1 x 23 = 0-23, 1 x 24 = 0-24, 1 x 25 = 0-25, 1 x 26 = 0-26, 1 x 27 = 0-27, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 0-14, 2 x 8 = 0-16, 2 x 9 = 0-18, 2 x 10 = 0-20, 2 x 11 = 0-22, 2 x 12 = 0-24, 2 x 13 = 0-26, 2 x 14 = 1-0, 2 x 15 = 1-2, 2 x 16 = 1-4, 2 x 17 = 1-6, 2 x 18 = 1-8, 2 x 19 = 1-10, 2 x 20 = 1-12, 2 x 21 = 1-14, 2 x 22 = 1-16, 2 x 23 = 1-18, 2 x 24 = 1-20, 2 x 25 = 1-22, 2 x 26 = 1-24, 2 x 27 = 1-26, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 0-15, 3 x 6 = 0-18, 3 x 7 = 0-21, 3 x 8 = 0-24, 3 x 9 = 0-27, 3 x 10 = 1-2, 3 x 11 = 1-5, 3 x 12 = 1-8, 3 x 13 = 1-11, 3 x 14 = 1-14, 3 x 15 = 1-17, 3 x 16 = 1-20, 3 x 17 = 1-23, 3 x 18 = 1-26, 3 x 19 = 2-1, 3 x 20 = 2-4, 3 x 21 = 2-7, 3 x 22 = 2-10, 3 x 23 = 2-13, 3 x 24 = 2-16, 3 x 25 = 2-19, 3 x 26 = 2-22, 3 x 27 = 2-25, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 0-16, 4 x 5 = 0-20, 4 x 6 = 0-24, 4 x 7 = 1-0, 4 x 8 = 1-4, 4 x 9 = 1-8, 4 x 10 = 1-12, 4 x 11 = 1-16, 4 x 12 = 1-20, 4 x 13 = 1-24, 4 x 14 = 2-0, 4 x 15 = 2-4, 4 x 16 = 2-8, 4 x 17 = 2-12, 4 x 18 = 2-16, 4 x 19 = 2-20, 4 x 20 = 2-24, 4 x 21 = 3-0, 4 x 22 = 3-4, 4 x 23 = 3-8, 4 x 24 = 3-12, 4 x 25 = 3-16, 4 x 26 = 3-20, 4 x 27 = 3-24, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 0-15, 5 x 4 = 0-20, 5 x 5 = 0-25, 5 x 6 = 1-2, 5 x 7 = 1-7, 5 x 8 = 1-12, 5 x 9 = 1-17, 5 x 10 = 1-22, 5 x 11 = 1-27, 5 x 12 = 2-4, 5 x 13 = 2-9, 5 x 14 = 2-14, 5 x 15 = 2-19, 5 x 16 = 2-24, 5 x 17 = 3-1, 5 x 18 = 3-6, 5 x 19 = 3-11, 5 x 20 = 3-16, 5 x 21 = 3-21, 5 x 22 = 3-26, 5 x 23 = 4-3, 5 x 24 = 4-8, 5 x 25 = 4-13, 5 x 26 = 4-18, 5 x 27 = 4-23, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 0-18, 6 x 4 = 0-24, 6 x 5 = 1-2, 6 x 6 = 1-8, 6 x 7 = 1-14, 6 x 8 = 1-20, 6 x 9 = 1-26, 6 x 10 = 2-4, 6 x 11 = 2-10, 6 x 12 = 2-16, 6 x 13 = 2-22, 6 x 14 = 3-0, 6 x 15 = 3-6, 6 x 16 = 3-12, 6 x 17 = 3-18, 6 x 18 = 3-24, 6 x 19 = 4-2, 6 x 20 = 4-8, 6 x 21 = 4-14, 6 x 22 = 4-20, 6 x 23 = 4-26, 6 x 24 = 5-4, 6 x 25 = 5-10, 6 x 26 = 5-16, 6 x 27 = 5-22, 
7 x 1 = 0-7, 7 x 2 = 0-14, 7 x 3 = 0-21, 7 x 4 = 1-0, 7 x 5 = 1-7, 7 x 6 = 1-14, 7 x 7 = 1-21, 7 x 8 = 2-0, 7 x 9 = 2-7, 7 x 10 = 2-14, 7 x 11 = 2-21, 7 x 12 = 3-0, 7 x 13 = 3-7, 7 x 14 = 3-14, 7 x 15 = 3-21, 7 x 16 = 4-0, 7 x 17 = 4-7, 7 x 18 = 4-14, 7 x 19 = 4-21, 7 x 20 = 5-0, 7 x 21 = 5-7, 7 x 22 = 5-14, 7 x 23 = 5-21, 7 x 24 = 6-0, 7 x 25 = 6-7, 7 x 26 = 6-14, 7 x 27 = 6-21, 
8 x 1 = 0-8, 8 x 2 = 0-16, 8 x 3 = 0-24, 8 x 4 = 1-4, 8 x 5 = 1-12, 8 x 6 = 1-20, 8 x 7 = 2-0, 8 x 8 = 2-8, 8 x 9 = 2-16, 8 x 10 = 2-24, 8 x 11 = 3-4, 8 x 12 = 3-12, 8 x 13 = 3-20, 8 x 14 = 4-0, 8 x 15 = 4-8, 8 x 16 = 4-16, 8 x 17 = 4-24, 8 x 18 = 5-4, 8 x 19 = 5-12, 8 x 20 = 5-20, 8 x 21 = 6-0, 8 x 22 = 6-8, 8 x 23 = 6-16, 8 x 24 = 6-24, 8 x 25 = 7-4, 8 x 26 = 7-12, 8 x 27 = 7-20, 
9 x 1 = 0-9, 9 x 2 = 0-18, 9 x 3 = 0-27, 9 x 4 = 1-8, 9 x 5 = 1-17, 9 x 6 = 1-26, 9 x 7 = 2-7, 9 x 8 = 2-16, 9 x 9 = 2-25, 9 x 10 = 3-6, 9 x 11 = 3-15, 9 x 12 = 3-24, 9 x 13 = 4-5, 9 x 14 = 4-14, 9 x 15 = 4-23, 9 x 16 = 5-4, 9 x 17 = 5-13, 9 x 18 = 5-22, 9 x 19 = 6-3, 9 x 20 = 6-12, 9 x 21 = 6-21, 9 x 22 = 7-2, 9 x 23 = 7-11, 9 x 24 = 7-20, 9 x 25 = 8-1, 9 x 26 = 8-10, 9 x 27 = 8-19, 
10 x 1 = 0-10, 10 x 2 = 0-20, 10 x 3 = 1-2, 10 x 4 = 1-12, 10 x 5 = 1-22, 10 x 6 = 2-4, 10 x 7 = 2-14, 10 x 8 = 2-24, 10 x 9 = 3-6, 10 x 10 = 3-16, 10 x 11 = 3-26, 10 x 12 = 4-8, 10 x 13 = 4-18, 10 x 14 = 5-0, 10 x 15 = 5-10, 10 x 16 = 5-20, 10 x 17 = 6-2, 10 x 18 = 6-12, 10 x 19 = 6-22, 10 x 20 = 7-4, 10 x 21 = 7-14, 10 x 22 = 7-24, 10 x 23 = 8-6, 10 x 24 = 8-16, 10 x 25 = 8-26, 10 x 26 = 9-8, 10 x 27 = 9-18, 
11 x 1 = 0-11, 11 x 2 = 0-22, 11 x 3 = 1-5, 11 x 4 = 1-16, 11 x 5 = 1-27, 11 x 6 = 2-10, 11 x 7 = 2-21, 11 x 8 = 3-4, 11 x 9 = 3-15, 11 x 10 = 3-26, 11 x 11 = 4-9, 11 x 12 = 4-20, 11 x 13 = 5-3, 11 x 14 = 5-14, 11 x 15 = 5-25, 11 x 16 = 6-8, 11 x 17 = 6-19, 11 x 18 = 7-2, 11 x 19 = 7-13, 11 x 20 = 7-24, 11 x 21 = 8-7, 11 x 22 = 8-18, 11 x 23 = 9-1, 11 x 24 = 9-12, 11 x 25 = 9-23, 11 x 26 = 10-6, 11 x 27 = 10-17, 
