1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 1 x 13 = 0-13, 1 x 14 = 0-14, 1 x 15 = 0-15, 1 x 16 = 0-16, 1 x 17 = 0-17, 1 x 18 = 0-18, 1 x 19 = 0-19, 1 x 20 = 0-20, 1 x 21 = 0-21, 1 x 22 = 0-22, 1 x 23 = 0-23, 1 x 24 = 0-24, 1 x 25 = 0-25, 1 x 26 = 0-26, 1 x 27 = 0-27, 1 x 28 = 0-28, 1 x 29 = 0-29, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 0-14, 2 x 8 = 0-16, 2 x 9 = 0-18, 2 x 10 = 0-20, 2 x 11 = 0-22, 2 x 12 = 0-24, 2 x 13 = 0-26, 2 x 14 = 0-28, 2 x 15 = 1-0, 2 x 16 = 1-2, 2 x 17 = 1-4, 2 x 18 = 1-6, 2 x 19 = 1-8, 2 x 20 = 1-10, 2 x 21 = 1-12, 2 x 22 = 1-14, 2 x 23 = 1-16, 2 x 24 = 1-18, 2 x 25 = 1-20, 2 x 26 = 1-22, 2 x 27 = 1-24, 2 x 28 = 1-26, 2 x 29 = 1-28, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 0-15, 3 x 6 = 0-18, 3 x 7 = 0-21, 3 x 8 = 0-24, 3 x 9 = 0-27, 3 x 10 = 1-0, 3 x 11 = 1-3, 3 x 12 = 1-6, 3 x 13 = 1-9, 3 x 14 = 1-12, 3 x 15 = 1-15, 3 x 16 = 1-18, 3 x 17 = 1-21, 3 x 18 = 1-24, 3 x 19 = 1-27, 3 x 20 = 2-0, 3 x 21 = 2-3, 3 x 22 = 2-6, 3 x 23 = 2-9, 3 x 24 = 2-12, 3 x 25 = 2-15, 3 x 26 = 2-18, 3 x 27 = 2-21, 3 x 28 = 2-24, 3 x 29 = 2-27, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 0-16, 4 x 5 = 0-20, 4 x 6 = 0-24, 4 x 7 = 0-28, 4 x 8 = 1-2, 4 x 9 = 1-6, 4 x 10 = 1-10, 4 x 11 = 1-14, 4 x 12 = 1-18, 4 x 13 = 1-22, 4 x 14 = 1-26, 4 x 15 = 2-0, 4 x 16 = 2-4, 4 x 17 = 2-8, 4 x 18 = 2-12, 4 x 19 = 2-16, 4 x 20 = 2-20, 4 x 21 = 2-24, 4 x 22 = 2-28, 4 x 23 = 3-2, 4 x 24 = 3-6, 4 x 25 = 3-10, 4 x 26 = 3-14, 4 x 27 = 3-18, 4 x 28 = 3-22, 4 x 29 = 3-26, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 0-15, 5 x 4 = 0-20, 5 x 5 = 0-25, 5 x 6 = 1-0, 5 x 7 = 1-5, 5 x 8 = 1-10, 5 x 9 = 1-15, 5 x 10 = 1-20, 5 x 11 = 1-25, 5 x 12 = 2-0, 5 x 13 = 2-5, 5 x 14 = 2-10, 5 x 15 = 2-15, 5 x 16 = 2-20, 5 x 17 = 2-25, 5 x 18 = 3-0, 5 x 19 = 3-5, 5 x 20 = 3-10, 5 x 21 = 3-15, 5 x 22 = 3-20, 5 x 23 = 3-25, 5 x 24 = 4-0, 5 x 25 = 4-5, 5 x 26 = 4-10, 5 x 27 = 4-15, 5 x 28 = 4-20, 5 x 29 = 4-25, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 0-18, 6 x 4 = 0-24, 6 x 5 = 1-0, 6 x 6 = 1-6, 6 x 7 = 1-12, 6 x 8 = 1-18, 6 x 9 = 1-24, 6 x 10 = 2-0, 6 x 11 = 2-6, 6 x 12 = 2-12, 6 x 13 = 2-18, 6 x 14 = 2-24, 6 x 15 = 3-0, 6 x 16 = 3-6, 6 x 17 = 3-12, 6 x 18 = 3-18, 6 x 19 = 3-24, 6 x 20 = 4-0, 6 x 21 = 4-6, 6 x 22 = 4-12, 6 x 23 = 4-18, 6 x 24 = 4-24, 6 x 25 = 5-0, 6 x 26 = 5-6, 6 x 27 = 5-12, 6 x 28 = 5-18, 6 x 29 = 5-24, 
7 x 1 = 0-7, 7 x 2 = 0-14, 7 x 3 = 0-21, 7 x 4 = 0-28, 7 x 5 = 1-5, 7 x 6 = 1-12, 7 x 7 = 1-19, 7 x 8 = 1-26, 7 x 9 = 2-3, 7 x 10 = 2-10, 7 x 11 = 2-17, 7 x 12 = 2-24, 7 x 13 = 3-1, 7 x 14 = 3-8, 7 x 15 = 3-15, 7 x 16 = 3-22, 7 x 17 = 3-29, 7 x 18 = 4-6, 7 x 19 = 4-13, 7 x 20 = 4-20, 7 x 21 = 4-27, 7 x 22 = 5-4, 7 x 23 = 5-11, 7 x 24 = 5-18, 7 x 25 = 5-25, 7 x 26 = 6-2, 7 x 27 = 6-9, 7 x 28 = 6-16, 7 x 29 = 6-23, 
8 x 1 = 0-8, 8 x 2 = 0-16, 8 x 3 = 0-24, 8 x 4 = 1-2, 8 x 5 = 1-10, 8 x 6 = 1-18, 8 x 7 = 1-26, 8 x 8 = 2-4, 8 x 9 = 2-12, 8 x 10 = 2-20, 8 x 11 = 2-28, 8 x 12 = 3-6, 8 x 13 = 3-14, 8 x 14 = 3-22, 8 x 15 = 4-0, 8 x 16 = 4-8, 8 x 17 = 4-16, 8 x 18 = 4-24, 8 x 19 = 5-2, 8 x 20 = 5-10, 8 x 21 = 5-18, 8 x 22 = 5-26, 8 x 23 = 6-4, 8 x 24 = 6-12, 8 x 25 = 6-20, 8 x 26 = 6-28, 8 x 27 = 7-6, 8 x 28 = 7-14, 8 x 29 = 7-22, 
9 x 1 = 0-9, 9 x 2 = 0-18, 9 x 3 = 0-27, 9 x 4 = 1-6, 9 x 5 = 1-15, 9 x 6 = 1-24, 9 x 7 = 2-3, 9 x 8 = 2-12, 9 x 9 = 2-21, 9 x 10 = 3-0, 9 x 11 = 3-9, 9 x 12 = 3-18, 9 x 13 = 3-27, 9 x 14 = 4-6, 9 x 15 = 4-15, 9 x 16 = 4-24, 9 x 17 = 5-3, 9 x 18 = 5-12, 9 x 19 = 5-21, 9 x 20 = 6-0, 9 x 21 = 6-9, 9 x 22 = 6-18, 9 x 23 = 6-27, 9 x 24 = 7-6, 9 x 25 = 7-15, 9 x 26 = 7-24, 9 x 27 = 8-3, 9 x 28 = 8-12, 9 x 29 = 8-21, 
10 x 1 = 0-10, 10 x 2 = 0-20, 10 x 3 = 1-0, 10 x 4 = 1-10, 10 x 5 = 1-20, 10 x 6 = 2-0, 10 x 7 = 2-10, 10 x 8 = 2-20, 10 x 9 = 3-0, 10 x 10 = 3-10, 10 x 11 = 3-20, 10 x 12 = 4-0, 10 x 13 = 4-10, 10 x 14 = 4-20, 10 x 15 = 5-0, 10 x 16 = 5-10, 10 x 17 = 5-20, 10 x 18 = 6-0, 10 x 19 = 6-10, 10 x 20 = 6-20, 10 x 21 = 7-0, 10 x 22 = 7-10, 10 x 23 = 7-20, 10 x 24 = 8-0, 10 x 25 = 8-10, 10 x 26 = 8-20, 10 x 27 = 9-0, 10 x 28 = 9-10, 10 x 29 = 9-20, 
11 x 1 = 0-11, 11 x 2 = 0-22, 11 x 3 = 1-3, 11 x 4 = 1-14, 11 x 5 = 1-25, 11 x 6 = 2-6, 11 x 7 = 2-17, 11 x 8 = 2-28, 11 x 9 = 3-9, 11 x 10 = 3-20, 11 x 11 = 4-1, 11 x 12 = 4-12, 11 x 13 = 4-23, 11 x 14 = 5-4, 11 x 15 = 5-15, 11 x 16 = 5-26, 11 x 17 = 6-7, 11 x 18 = 6-18, 11 x 19 = 6-29, 11 x 20 = 7-10, 11 x 21 = 7-21, 11 x 22 = 8-2, 11 x 23 = 8-13, 11 x 24 = 8-24, 11 x 25 = 9-5, 11 x 26 = 9-16, 11 x 27 = 9-27, 11 x 28 = 10-8, 11 x 29 = 10-19, 
12 x 1 = 0-12, 12 x 2 = 0-24, 12 x 3 = 1-6, 12 x 4 = 1-18, 12 x 5 = 2-0, 12 x 6 = 2-12, 12 x 7 = 2-24, 12 x 8 = 3-6, 12 x 9 = 3-18, 12 x 10 = 4-0, 12 x 11 = 4-12, 12 x 12 = 4-24, 12 x 13 = 5-6, 12 x 14 = 5-18, 12 x 15 = 6-0, 12 x 16 = 6-12, 12 x 17 = 6-24, 12 x 18 = 7-6, 12 x 19 = 7-18, 12 x 20 = 8-0, 12 x 21 = 8-12, 12 x 22 = 8-24, 12 x 23 = 9-6, 12 x 24 = 9-18, 12 x 25 = 10-0, 12 x 26 = 10-12, 12 x 27 = 10-24, 12 x 28 = 11-6, 12 x 29 = 11-18, 
13 x 1 = 0-13, 13 x 2 = 0-26, 13 x 3 = 1-9, 13 x 4 = 1-22, 13 x 5 = 2-5, 13 x 6 = 2-18, 13 x 7 = 3-1, 13 x 8 = 3-14, 13 x 9 = 3-27, 13 x 10 = 4-10, 13 x 11 = 4-23, 13 x 12 = 5-6, 13 x 13 = 5-19, 13 x 14 = 6-2, 13 x 15 = 6-15, 13 x 16 = 6-28, 13 x 17 = 7-11, 13 x 18 = 7-24, 13 x 19 = 8-7, 13 x 20 = 8-20, 13 x 21 = 9-3, 13 x 22 = 9-16, 13 x 23 = 9-29, 13 x 24 = 10-12, 13 x 25 = 10-25, 13 x 26 = 11-8, 13 x 27 = 11-21, 13 x 28 = 12-4, 13 x 29 = 12-17, 
14 x 1 = 0-14, 14 x 2 = 0-28, 14 x 3 = 1-12, 14 x 4 = 1-26, 14 x 5 = 2-10, 14 x 6 = 2-24, 14 x 7 = 3-8, 14 x 8 = 3-22, 14 x 9 = 4-6, 14 x 10 = 4-20, 14 x 11 = 5-4, 14 x 12 = 5-18, 14 x 13 = 6-2, 14 x 14 = 6-16, 14 x 15 = 7-0, 14 x 16 = 7-14, 14 x 17 = 7-28, 14 x 18 = 8-12, 14 x 19 = 8-26, 14 x 20 = 9-10, 14 x 21 = 9-24, 14 x 22 = 10-8, 14 x 23 = 10-22, 14 x 24 = 11-6, 14 x 25 = 11-20, 14 x 26 = 12-4, 14 x 27 = 12-18, 14 x 28 = 13-2, 14 x 29 = 13-16, 
15 x 1 = 0-15, 15 x 2 = 1-0, 15 x 3 = 1-15, 15 x 4 = 2-0, 15 x 5 = 2-15, 15 x 6 = 3-0, 15 x 7 = 3-15, 15 x 8 = 4-0, 15 x 9 = 4-15, 15 x 10 = 5-0, 15 x 11 = 5-15, 15 x 12 = 6-0, 15 x 13 = 6-15, 15 x 14 = 7-0, 15 x 15 = 7-15, 15 x 16 = 8-0, 15 x 17 = 8-15, 15 x 18 = 9-0, 15 x 19 = 9-15, 15 x 20 = 10-0, 15 x 21 = 10-15, 15 x 22 = 11-0, 15 x 23 = 11-15, 15 x 24 = 12-0, 15 x 25 = 12-15, 15 x 26 = 13-0, 15 x 27 = 13-15, 15 x 28 = 14-0, 15 x 29 = 14-15, 
16 x 1 = 0-16, 16 x 2 = 1-2, 16 x 3 = 1-18, 16 x 4 = 2-4, 16 x 5 = 2-20, 16 x 6 = 3-6, 16 x 7 = 3-22, 16 x 8 = 4-8, 16 x 9 = 4-24, 16 x 10 = 5-10, 16 x 11 = 5-26, 16 x 12 = 6-12, 16 x 13 = 6-28, 16 x 14 = 7-14, 16 x 15 = 8-0, 16 x 16 = 8-16, 16 x 17 = 9-2, 16 x 18 = 9-18, 16 x 19 = 10-4, 16 x 20 = 10-20, 16 x 21 = 11-6, 16 x 22 = 11-22, 16 x 23 = 12-8, 16 x 24 = 12-24, 16 x 25 = 13-10, 16 x 26 = 13-26, 16 x 27 = 14-12, 16 x 28 = 14-28, 16 x 29 = 15-14, 
17 x 1 = 0-17, 17 x 2 = 1-4, 17 x 3 = 1-21, 17 x 4 = 2-8, 17 x 5 = 2-25, 17 x 6 = 3-12, 17 x 7 = 3-29, 17 x 8 = 4-16, 17 x 9 = 5-3, 17 x 10 = 5-20, 17 x 11 = 6-7, 17 x 12 = 6-24, 17 x 13 = 7-11, 17 x 14 = 7-28, 17 x 15 = 8-15, 17 x 16 = 9-2, 17 x 17 = 9-19, 17 x 18 = 10-6, 17 x 19 = 10-23, 17 x 20 = 11-10, 17 x 21 = 11-27, 17 x 22 = 12-14, 17 x 23 = 13-1, 17 x 24 = 13-18, 17 x 25 = 14-5, 17 x 26 = 14-22, 17 x 27 = 15-9, 17 x 28 = 15-26, 17 x 29 = 16-13, 
18 x 1 = 0-18, 18 x 2 = 1-6, 18 x 3 = 1-24, 18 x 4 = 2-12, 18 x 5 = 3-0, 18 x 6 = 3-18, 18 x 7 = 4-6, 18 x 8 = 4-24, 18 x 9 = 5-12, 18 x 10 = 6-0, 18 x 11 = 6-18, 18 x 12 = 7-6, 18 x 13 = 7-24, 18 x 14 = 8-12, 18 x 15 = 9-0, 18 x 16 = 9-18, 18 x 17 = 10-6, 18 x 18 = 10-24, 18 x 19 = 11-12, 18 x 20 = 12-0, 18 x 21 = 12-18, 18 x 22 = 13-6, 18 x 23 = 13-24, 18 x 24 = 14-12, 18 x 25 = 15-0, 18 x 26 = 15-18, 18 x 27 = 16-6, 18 x 28 = 16-24, 18 x 29 = 17-12, 
19 x 1 = 0-19, 19 x 2 = 1-8, 19 x 3 = 1-27, 19 x 4 = 2-16, 19 x 5 = 3-5, 19 x 6 = 3-24, 19 x 7 = 4-13, 19 x 8 = 5-2, 19 x 9 = 5-21, 19 x 10 = 6-10, 19 x 11 = 6-29, 19 x 12 = 7-18, 19 x 13 = 8-7, 19 x 14 = 8-26, 19 x 15 = 9-15, 19 x 16 = 10-4, 19 x 17 = 10-23, 19 x 18 = 11-12, 19 x 19 = 12-1, 19 x 20 = 12-20, 19 x 21 = 13-9, 19 x 22 = 13-28, 19 x 23 = 14-17, 19 x 24 = 15-6, 19 x 25 = 15-25, 19 x 26 = 16-14, 19 x 27 = 17-3, 19 x 28 = 17-22, 19 x 29 = 18-11, 
20 x 1 = 0-20, 20 x 2 = 1-10, 20 x 3 = 2-0, 20 x 4 = 2-20, 20 x 5 = 3-10, 20 x 6 = 4-0, 20 x 7 = 4-20, 20 x 8 = 5-10, 20 x 9 = 6-0, 20 x 10 = 6-20, 20 x 11 = 7-10, 20 x 12 = 8-0, 20 x 13 = 8-20, 20 x 14 = 9-10, 20 x 15 = 10-0, 20 x 16 = 10-20, 20 x 17 = 11-10, 20 x 18 = 12-0, 20 x 19 = 12-20, 20 x 20 = 13-10, 20 x 21 = 14-0, 20 x 22 = 14-20, 20 x 23 = 15-10, 20 x 24 = 16-0, 20 x 25 = 16-20, 20 x 26 = 17-10, 20 x 27 = 18-0, 20 x 28 = 18-20, 20 x 29 = 19-10, 
21 x 1 = 0-21, 21 x 2 = 1-12, 21 x 3 = 2-3, 21 x 4 = 2-24, 21 x 5 = 3-15, 21 x 6 = 4-6, 21 x 7 = 4-27, 21 x 8 = 5-18, 21 x 9 = 6-9, 21 x 10 = 7-0, 21 x 11 = 7-21, 21 x 12 = 8-12, 21 x 13 = 9-3, 21 x 14 = 9-24, 21 x 15 = 10-15, 21 x 16 = 11-6, 21 x 17 = 11-27, 21 x 18 = 12-18, 21 x 19 = 13-9, 21 x 20 = 14-0, 21 x 21 = 14-21, 21 x 22 = 15-12, 21 x 23 = 16-3, 21 x 24 = 16-24, 21 x 25 = 17-15, 21 x 26 = 18-6, 21 x 27 = 18-27, 21 x 28 = 19-18, 21 x 29 = 20-9, 
