0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 1-0, 0-2 x 0-17 = 1-2, 0-2 x 0-18 = 1-4, 0-2 x 0-19 = 1-6, 0-2 x 0-20 = 1-8, 0-2 x 0-21 = 1-10, 0-2 x 0-22 = 1-12, 0-2 x 0-23 = 1-14, 0-2 x 0-24 = 1-16, 0-2 x 0-25 = 1-18, 0-2 x 0-26 = 1-20, 0-2 x 0-27 = 1-22, 0-2 x 0-28 = 1-24, 0-2 x 0-29 = 1-26, 0-2 x 0-30 = 1-28, 0-2 x 0-31 = 1-30, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 1-1, 0-3 x 0-12 = 1-4, 0-3 x 0-13 = 1-7, 0-3 x 0-14 = 1-10, 0-3 x 0-15 = 1-13, 0-3 x 0-16 = 1-16, 0-3 x 0-17 = 1-19, 0-3 x 0-18 = 1-22, 0-3 x 0-19 = 1-25, 0-3 x 0-20 = 1-28, 0-3 x 0-21 = 1-31, 0-3 x 0-22 = 2-2, 0-3 x 0-23 = 2-5, 0-3 x 0-24 = 2-8, 0-3 x 0-25 = 2-11, 0-3 x 0-26 = 2-14, 0-3 x 0-27 = 2-17, 0-3 x 0-28 = 2-20, 0-3 x 0-29 = 2-23, 0-3 x 0-30 = 2-26, 0-3 x 0-31 = 2-29, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 1-0, 0-4 x 0-9 = 1-4, 0-4 x 0-10 = 1-8, 0-4 x 0-11 = 1-12, 0-4 x 0-12 = 1-16, 0-4 x 0-13 = 1-20, 0-4 x 0-14 = 1-24, 0-4 x 0-15 = 1-28, 0-4 x 0-16 = 2-0, 0-4 x 0-17 = 2-4, 0-4 x 0-18 = 2-8, 0-4 x 0-19 = 2-12, 0-4 x 0-20 = 2-16, 0-4 x 0-21 = 2-20, 0-4 x 0-22 = 2-24, 0-4 x 0-23 = 2-28, 0-4 x 0-24 = 3-0, 0-4 x 0-25 = 3-4, 0-4 x 0-26 = 3-8, 0-4 x 0-27 = 3-12, 0-4 x 0-28 = 3-16, 0-4 x 0-29 = 3-20, 0-4 x 0-30 = 3-24, 0-4 x 0-31 = 3-28, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 1-3, 0-5 x 0-8 = 1-8, 0-5 x 0-9 = 1-13, 0-5 x 0-10 = 1-18, 0-5 x 0-11 = 1-23, 0-5 x 0-12 = 1-28, 0-5 x 0-13 = 2-1, 0-5 x 0-14 = 2-6, 0-5 x 0-15 = 2-11, 0-5 x 0-16 = 2-16, 0-5 x 0-17 = 2-21, 0-5 x 0-18 = 2-26, 0-5 x 0-19 = 2-31, 0-5 x 0-20 = 3-4, 0-5 x 0-21 = 3-9, 0-5 x 0-22 = 3-14, 0-5 x 0-23 = 3-19, 0-5 x 0-24 = 3-24, 0-5 x 0-25 = 3-29, 0-5 x 0-26 = 4-2, 0-5 x 0-27 = 4-7, 0-5 x 0-28 = 4-12, 0-5 x 0-29 = 4-17, 0-5 x 0-30 = 4-22, 0-5 x 0-31 = 4-27, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 1-4, 0-6 x 0-7 = 1-10, 0-6 x 0-8 = 1-16, 0-6 x 0-9 = 1-22, 0-6 x 0-10 = 1-28, 0-6 x 0-11 = 2-2, 0-6 x 0-12 = 2-8, 0-6 x 0-13 = 2-14, 0-6 x 0-14 = 2-20, 0-6 x 0-15 = 2-26, 0-6 x 0-16 = 3-0, 0-6 x 0-17 = 3-6, 0-6 x 0-18 = 3-12, 0-6 x 0-19 = 3-18, 0-6 x 0-20 = 3-24, 0-6 x 0-21 = 3-30, 0-6 x 0-22 = 4-4, 0-6 x 0-23 = 4-10, 0-6 x 0-24 = 4-16, 0-6 x 0-25 = 4-22, 0-6 x 0-26 = 4-28, 0-6 x 0-27 = 5-2, 0-6 x 0-28 = 5-8, 0-6 x 0-29 = 5-14, 0-6 x 0-30 = 5-20, 0-6 x 0-31 = 5-26, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 1-3, 0-7 x 0-6 = 1-10, 0-7 x 0-7 = 1-17, 0-7 x 0-8 = 1-24, 0-7 x 0-9 = 1-31, 0-7 x 0-10 = 2-6, 0-7 x 0-11 = 2-13, 0-7 x 0-12 = 2-20, 0-7 x 0-13 = 2-27, 0-7 x 0-14 = 3-2, 0-7 x 0-15 = 3-9, 0-7 x 0-16 = 3-16, 0-7 x 0-17 = 3-23, 0-7 x 0-18 = 3-30, 0-7 x 0-19 = 4-5, 0-7 x 0-20 = 4-12, 0-7 x 0-21 = 4-19, 0-7 x 0-22 = 4-26, 0-7 x 0-23 = 5-1, 0-7 x 0-24 = 5-8, 0-7 x 0-25 = 5-15, 0-7 x 0-26 = 5-22, 0-7 x 0-27 = 5-29, 0-7 x 0-28 = 6-4, 0-7 x 0-29 = 6-11, 0-7 x 0-30 = 6-18, 0-7 x 0-31 = 6-25, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 1-0, 0-8 x 0-5 = 1-8, 0-8 x 0-6 = 1-16, 0-8 x 0-7 = 1-24, 0-8 x 0-8 = 2-0, 0-8 x 0-9 = 2-8, 0-8 x 0-10 = 2-16, 0-8 x 0-11 = 2-24, 0-8 x 0-12 = 3-0, 0-8 x 0-13 = 3-8, 0-8 x 0-14 = 3-16, 0-8 x 0-15 = 3-24, 0-8 x 0-16 = 4-0, 0-8 x 0-17 = 4-8, 0-8 x 0-18 = 4-16, 0-8 x 0-19 = 4-24, 0-8 x 0-20 = 5-0, 0-8 x 0-21 = 5-8, 0-8 x 0-22 = 5-16, 0-8 x 0-23 = 5-24, 0-8 x 0-24 = 6-0, 0-8 x 0-25 = 6-8, 0-8 x 0-26 = 6-16, 0-8 x 0-27 = 6-24, 0-8 x 0-28 = 7-0, 0-8 x 0-29 = 7-8, 0-8 x 0-30 = 7-16, 0-8 x 0-31 = 7-24, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 1-4, 0-9 x 0-5 = 1-13, 0-9 x 0-6 = 1-22, 0-9 x 0-7 = 1-31, 0-9 x 0-8 = 2-8, 0-9 x 0-9 = 2-17, 0-9 x 0-10 = 2-26, 0-9 x 0-11 = 3-3, 0-9 x 0-12 = 3-12, 0-9 x 0-13 = 3-21, 0-9 x 0-14 = 3-30, 0-9 x 0-15 = 4-7, 0-9 x 0-16 = 4-16, 0-9 x 0-17 = 4-25, 0-9 x 0-18 = 5-2, 0-9 x 0-19 = 5-11, 0-9 x 0-20 = 5-20, 0-9 x 0-21 = 5-29, 0-9 x 0-22 = 6-6, 0-9 x 0-23 = 6-15, 0-9 x 0-24 = 6-24, 0-9 x 0-25 = 7-1, 0-9 x 0-26 = 7-10, 0-9 x 0-27 = 7-19, 0-9 x 0-28 = 7-28, 0-9 x 0-29 = 8-5, 0-9 x 0-30 = 8-14, 0-9 x 0-31 = 8-23, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 1-8, 0-10 x 0-5 = 1-18, 0-10 x 0-6 = 1-28, 0-10 x 0-7 = 2-6, 0-10 x 0-8 = 2-16, 0-10 x 0-9 = 2-26, 0-10 x 0-10 = 3-4, 0-10 x 0-11 = 3-14, 0-10 x 0-12 = 3-24, 0-10 x 0-13 = 4-2, 0-10 x 0-14 = 4-12, 0-10 x 0-15 = 4-22, 0-10 x 0-16 = 5-0, 0-10 x 0-17 = 5-10, 0-10 x 0-18 = 5-20, 0-10 x 0-19 = 5-30, 0-10 x 0-20 = 6-8, 0-10 x 0-21 = 6-18, 0-10 x 0-22 = 6-28, 0-10 x 0-23 = 7-6, 0-10 x 0-24 = 7-16, 0-10 x 0-25 = 7-26, 0-10 x 0-26 = 8-4, 0-10 x 0-27 = 8-14, 0-10 x 0-28 = 8-24, 0-10 x 0-29 = 9-2, 0-10 x 0-30 = 9-12, 0-10 x 0-31 = 9-22, 
