0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 1-1, 0-2 x 0-18 = 1-3, 0-2 x 0-19 = 1-5, 0-2 x 0-20 = 1-7, 0-2 x 0-21 = 1-9, 0-2 x 0-22 = 1-11, 0-2 x 0-23 = 1-13, 0-2 x 0-24 = 1-15, 0-2 x 0-25 = 1-17, 0-2 x 0-26 = 1-19, 0-2 x 0-27 = 1-21, 0-2 x 0-28 = 1-23, 0-2 x 0-29 = 1-25, 0-2 x 0-30 = 1-27, 0-2 x 0-31 = 1-29, 0-2 x 0-32 = 1-31, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 1-0, 0-3 x 0-12 = 1-3, 0-3 x 0-13 = 1-6, 0-3 x 0-14 = 1-9, 0-3 x 0-15 = 1-12, 0-3 x 0-16 = 1-15, 0-3 x 0-17 = 1-18, 0-3 x 0-18 = 1-21, 0-3 x 0-19 = 1-24, 0-3 x 0-20 = 1-27, 0-3 x 0-21 = 1-30, 0-3 x 0-22 = 2-0, 0-3 x 0-23 = 2-3, 0-3 x 0-24 = 2-6, 0-3 x 0-25 = 2-9, 0-3 x 0-26 = 2-12, 0-3 x 0-27 = 2-15, 0-3 x 0-28 = 2-18, 0-3 x 0-29 = 2-21, 0-3 x 0-30 = 2-24, 0-3 x 0-31 = 2-27, 0-3 x 0-32 = 2-30, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 1-3, 0-4 x 0-10 = 1-7, 0-4 x 0-11 = 1-11, 0-4 x 0-12 = 1-15, 0-4 x 0-13 = 1-19, 0-4 x 0-14 = 1-23, 0-4 x 0-15 = 1-27, 0-4 x 0-16 = 1-31, 0-4 x 0-17 = 2-2, 0-4 x 0-18 = 2-6, 0-4 x 0-19 = 2-10, 0-4 x 0-20 = 2-14, 0-4 x 0-21 = 2-18, 0-4 x 0-22 = 2-22, 0-4 x 0-23 = 2-26, 0-4 x 0-24 = 2-30, 0-4 x 0-25 = 3-1, 0-4 x 0-26 = 3-5, 0-4 x 0-27 = 3-9, 0-4 x 0-28 = 3-13, 0-4 x 0-29 = 3-17, 0-4 x 0-30 = 3-21, 0-4 x 0-31 = 3-25, 0-4 x 0-32 = 3-29, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 1-2, 0-5 x 0-8 = 1-7, 0-5 x 0-9 = 1-12, 0-5 x 0-10 = 1-17, 0-5 x 0-11 = 1-22, 0-5 x 0-12 = 1-27, 0-5 x 0-13 = 1-32, 0-5 x 0-14 = 2-4, 0-5 x 0-15 = 2-9, 0-5 x 0-16 = 2-14, 0-5 x 0-17 = 2-19, 0-5 x 0-18 = 2-24, 0-5 x 0-19 = 2-29, 0-5 x 0-20 = 3-1, 0-5 x 0-21 = 3-6, 0-5 x 0-22 = 3-11, 0-5 x 0-23 = 3-16, 0-5 x 0-24 = 3-21, 0-5 x 0-25 = 3-26, 0-5 x 0-26 = 3-31, 0-5 x 0-27 = 4-3, 0-5 x 0-28 = 4-8, 0-5 x 0-29 = 4-13, 0-5 x 0-30 = 4-18, 0-5 x 0-31 = 4-23, 0-5 x 0-32 = 4-28, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 1-3, 0-6 x 0-7 = 1-9, 0-6 x 0-8 = 1-15, 0-6 x 0-9 = 1-21, 0-6 x 0-10 = 1-27, 0-6 x 0-11 = 2-0, 0-6 x 0-12 = 2-6, 0-6 x 0-13 = 2-12, 0-6 x 0-14 = 2-18, 0-6 x 0-15 = 2-24, 0-6 x 0-16 = 2-30, 0-6 x 0-17 = 3-3, 0-6 x 0-18 = 3-9, 0-6 x 0-19 = 3-15, 0-6 x 0-20 = 3-21, 0-6 x 0-21 = 3-27, 0-6 x 0-22 = 4-0, 0-6 x 0-23 = 4-6, 0-6 x 0-24 = 4-12, 0-6 x 0-25 = 4-18, 0-6 x 0-26 = 4-24, 0-6 x 0-27 = 4-30, 0-6 x 0-28 = 5-3, 0-6 x 0-29 = 5-9, 0-6 x 0-30 = 5-15, 0-6 x 0-31 = 5-21, 0-6 x 0-32 = 5-27, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 1-2, 0-7 x 0-6 = 1-9, 0-7 x 0-7 = 1-16, 0-7 x 0-8 = 1-23, 0-7 x 0-9 = 1-30, 0-7 x 0-10 = 2-4, 0-7 x 0-11 = 2-11, 0-7 x 0-12 = 2-18, 0-7 x 0-13 = 2-25, 0-7 x 0-14 = 2-32, 0-7 x 0-15 = 3-6, 0-7 x 0-16 = 3-13, 0-7 x 0-17 = 3-20, 0-7 x 0-18 = 3-27, 0-7 x 0-19 = 4-1, 0-7 x 0-20 = 4-8, 0-7 x 0-21 = 4-15, 0-7 x 0-22 = 4-22, 0-7 x 0-23 = 4-29, 0-7 x 0-24 = 5-3, 0-7 x 0-25 = 5-10, 0-7 x 0-26 = 5-17, 0-7 x 0-27 = 5-24, 0-7 x 0-28 = 5-31, 0-7 x 0-29 = 6-5, 0-7 x 0-30 = 6-12, 0-7 x 0-31 = 6-19, 0-7 x 0-32 = 6-26, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 1-7, 0-8 x 0-6 = 1-15, 0-8 x 0-7 = 1-23, 0-8 x 0-8 = 1-31, 0-8 x 0-9 = 2-6, 0-8 x 0-10 = 2-14, 0-8 x 0-11 = 2-22, 0-8 x 0-12 = 2-30, 0-8 x 0-13 = 3-5, 0-8 x 0-14 = 3-13, 0-8 x 0-15 = 3-21, 0-8 x 0-16 = 3-29, 0-8 x 0-17 = 4-4, 0-8 x 0-18 = 4-12, 0-8 x 0-19 = 4-20, 0-8 x 0-20 = 4-28, 0-8 x 0-21 = 5-3, 0-8 x 0-22 = 5-11, 0-8 x 0-23 = 5-19, 0-8 x 0-24 = 5-27, 0-8 x 0-25 = 6-2, 0-8 x 0-26 = 6-10, 0-8 x 0-27 = 6-18, 0-8 x 0-28 = 6-26, 0-8 x 0-29 = 7-1, 0-8 x 0-30 = 7-9, 0-8 x 0-31 = 7-17, 0-8 x 0-32 = 7-25, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 1-3, 0-9 x 0-5 = 1-12, 0-9 x 0-6 = 1-21, 0-9 x 0-7 = 1-30, 0-9 x 0-8 = 2-6, 0-9 x 0-9 = 2-15, 0-9 x 0-10 = 2-24, 0-9 x 0-11 = 3-0, 0-9 x 0-12 = 3-9, 0-9 x 0-13 = 3-18, 0-9 x 0-14 = 3-27, 0-9 x 0-15 = 4-3, 0-9 x 0-16 = 4-12, 0-9 x 0-17 = 4-21, 0-9 x 0-18 = 4-30, 0-9 x 0-19 = 5-6, 0-9 x 0-20 = 5-15, 0-9 x 0-21 = 5-24, 0-9 x 0-22 = 6-0, 0-9 x 0-23 = 6-9, 0-9 x 0-24 = 6-18, 0-9 x 0-25 = 6-27, 0-9 x 0-26 = 7-3, 0-9 x 0-27 = 7-12, 0-9 x 0-28 = 7-21, 0-9 x 0-29 = 7-30, 0-9 x 0-30 = 8-6, 0-9 x 0-31 = 8-15, 0-9 x 0-32 = 8-24, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 1-7, 0-10 x 0-5 = 1-17, 0-10 x 0-6 = 1-27, 0-10 x 0-7 = 2-4, 0-10 x 0-8 = 2-14, 0-10 x 0-9 = 2-24, 0-10 x 0-10 = 3-1, 0-10 x 0-11 = 3-11, 0-10 x 0-12 = 3-21, 0-10 x 0-13 = 3-31, 0-10 x 0-14 = 4-8, 0-10 x 0-15 = 4-18, 0-10 x 0-16 = 4-28, 0-10 x 0-17 = 5-5, 0-10 x 0-18 = 5-15, 0-10 x 0-19 = 5-25, 0-10 x 0-20 = 6-2, 0-10 x 0-21 = 6-12, 0-10 x 0-22 = 6-22, 0-10 x 0-23 = 6-32, 0-10 x 0-24 = 7-9, 0-10 x 0-25 = 7-19, 0-10 x 0-26 = 7-29, 0-10 x 0-27 = 8-6, 0-10 x 0-28 = 8-16, 0-10 x 0-29 = 8-26, 0-10 x 0-30 = 9-3, 0-10 x 0-31 = 9-13, 0-10 x 0-32 = 9-23, 
