0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 1-1, 0-2 x 0-19 = 1-3, 0-2 x 0-20 = 1-5, 0-2 x 0-21 = 1-7, 0-2 x 0-22 = 1-9, 0-2 x 0-23 = 1-11, 0-2 x 0-24 = 1-13, 0-2 x 0-25 = 1-15, 0-2 x 0-26 = 1-17, 0-2 x 0-27 = 1-19, 0-2 x 0-28 = 1-21, 0-2 x 0-29 = 1-23, 0-2 x 0-30 = 1-25, 0-2 x 0-31 = 1-27, 0-2 x 0-32 = 1-29, 0-2 x 0-33 = 1-31, 0-2 x 0-34 = 1-33, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 1-1, 0-3 x 0-13 = 1-4, 0-3 x 0-14 = 1-7, 0-3 x 0-15 = 1-10, 0-3 x 0-16 = 1-13, 0-3 x 0-17 = 1-16, 0-3 x 0-18 = 1-19, 0-3 x 0-19 = 1-22, 0-3 x 0-20 = 1-25, 0-3 x 0-21 = 1-28, 0-3 x 0-22 = 1-31, 0-3 x 0-23 = 1-34, 0-3 x 0-24 = 2-2, 0-3 x 0-25 = 2-5, 0-3 x 0-26 = 2-8, 0-3 x 0-27 = 2-11, 0-3 x 0-28 = 2-14, 0-3 x 0-29 = 2-17, 0-3 x 0-30 = 2-20, 0-3 x 0-31 = 2-23, 0-3 x 0-32 = 2-26, 0-3 x 0-33 = 2-29, 0-3 x 0-34 = 2-32, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 1-1, 0-4 x 0-10 = 1-5, 0-4 x 0-11 = 1-9, 0-4 x 0-12 = 1-13, 0-4 x 0-13 = 1-17, 0-4 x 0-14 = 1-21, 0-4 x 0-15 = 1-25, 0-4 x 0-16 = 1-29, 0-4 x 0-17 = 1-33, 0-4 x 0-18 = 2-2, 0-4 x 0-19 = 2-6, 0-4 x 0-20 = 2-10, 0-4 x 0-21 = 2-14, 0-4 x 0-22 = 2-18, 0-4 x 0-23 = 2-22, 0-4 x 0-24 = 2-26, 0-4 x 0-25 = 2-30, 0-4 x 0-26 = 2-34, 0-4 x 0-27 = 3-3, 0-4 x 0-28 = 3-7, 0-4 x 0-29 = 3-11, 0-4 x 0-30 = 3-15, 0-4 x 0-31 = 3-19, 0-4 x 0-32 = 3-23, 0-4 x 0-33 = 3-27, 0-4 x 0-34 = 3-31, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 1-0, 0-5 x 0-8 = 1-5, 0-5 x 0-9 = 1-10, 0-5 x 0-10 = 1-15, 0-5 x 0-11 = 1-20, 0-5 x 0-12 = 1-25, 0-5 x 0-13 = 1-30, 0-5 x 0-14 = 2-0, 0-5 x 0-15 = 2-5, 0-5 x 0-16 = 2-10, 0-5 x 0-17 = 2-15, 0-5 x 0-18 = 2-20, 0-5 x 0-19 = 2-25, 0-5 x 0-20 = 2-30, 0-5 x 0-21 = 3-0, 0-5 x 0-22 = 3-5, 0-5 x 0-23 = 3-10, 0-5 x 0-24 = 3-15, 0-5 x 0-25 = 3-20, 0-5 x 0-26 = 3-25, 0-5 x 0-27 = 3-30, 0-5 x 0-28 = 4-0, 0-5 x 0-29 = 4-5, 0-5 x 0-30 = 4-10, 0-5 x 0-31 = 4-15, 0-5 x 0-32 = 4-20, 0-5 x 0-33 = 4-25, 0-5 x 0-34 = 4-30, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 1-1, 0-6 x 0-7 = 1-7, 0-6 x 0-8 = 1-13, 0-6 x 0-9 = 1-19, 0-6 x 0-10 = 1-25, 0-6 x 0-11 = 1-31, 0-6 x 0-12 = 2-2, 0-6 x 0-13 = 2-8, 0-6 x 0-14 = 2-14, 0-6 x 0-15 = 2-20, 0-6 x 0-16 = 2-26, 0-6 x 0-17 = 2-32, 0-6 x 0-18 = 3-3, 0-6 x 0-19 = 3-9, 0-6 x 0-20 = 3-15, 0-6 x 0-21 = 3-21, 0-6 x 0-22 = 3-27, 0-6 x 0-23 = 3-33, 0-6 x 0-24 = 4-4, 0-6 x 0-25 = 4-10, 0-6 x 0-26 = 4-16, 0-6 x 0-27 = 4-22, 0-6 x 0-28 = 4-28, 0-6 x 0-29 = 4-34, 0-6 x 0-30 = 5-5, 0-6 x 0-31 = 5-11, 0-6 x 0-32 = 5-17, 0-6 x 0-33 = 5-23, 0-6 x 0-34 = 5-29, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 1-0, 0-7 x 0-6 = 1-7, 0-7 x 0-7 = 1-14, 0-7 x 0-8 = 1-21, 0-7 x 0-9 = 1-28, 0-7 x 0-10 = 2-0, 0-7 x 0-11 = 2-7, 0-7 x 0-12 = 2-14, 0-7 x 0-13 = 2-21, 0-7 x 0-14 = 2-28, 0-7 x 0-15 = 3-0, 0-7 x 0-16 = 3-7, 0-7 x 0-17 = 3-14, 0-7 x 0-18 = 3-21, 0-7 x 0-19 = 3-28, 0-7 x 0-20 = 4-0, 0-7 x 0-21 = 4-7, 0-7 x 0-22 = 4-14, 0-7 x 0-23 = 4-21, 0-7 x 0-24 = 4-28, 0-7 x 0-25 = 5-0, 0-7 x 0-26 = 5-7, 0-7 x 0-27 = 5-14, 0-7 x 0-28 = 5-21, 0-7 x 0-29 = 5-28, 0-7 x 0-30 = 6-0, 0-7 x 0-31 = 6-7, 0-7 x 0-32 = 6-14, 0-7 x 0-33 = 6-21, 0-7 x 0-34 = 6-28, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 1-5, 0-8 x 0-6 = 1-13, 0-8 x 0-7 = 1-21, 0-8 x 0-8 = 1-29, 0-8 x 0-9 = 2-2, 0-8 x 0-10 = 2-10, 0-8 x 0-11 = 2-18, 0-8 x 0-12 = 2-26, 0-8 x 0-13 = 2-34, 0-8 x 0-14 = 3-7, 0-8 x 0-15 = 3-15, 0-8 x 0-16 = 3-23, 0-8 x 0-17 = 3-31, 0-8 x 0-18 = 4-4, 0-8 x 0-19 = 4-12, 0-8 x 0-20 = 4-20, 0-8 x 0-21 = 4-28, 0-8 x 0-22 = 5-1, 0-8 x 0-23 = 5-9, 0-8 x 0-24 = 5-17, 0-8 x 0-25 = 5-25, 0-8 x 0-26 = 5-33, 0-8 x 0-27 = 6-6, 0-8 x 0-28 = 6-14, 0-8 x 0-29 = 6-22, 0-8 x 0-30 = 6-30, 0-8 x 0-31 = 7-3, 0-8 x 0-32 = 7-11, 0-8 x 0-33 = 7-19, 0-8 x 0-34 = 7-27, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 1-1, 0-9 x 0-5 = 1-10, 0-9 x 0-6 = 1-19, 0-9 x 0-7 = 1-28, 0-9 x 0-8 = 2-2, 0-9 x 0-9 = 2-11, 0-9 x 0-10 = 2-20, 0-9 x 0-11 = 2-29, 0-9 x 0-12 = 3-3, 0-9 x 0-13 = 3-12, 0-9 x 0-14 = 3-21, 0-9 x 0-15 = 3-30, 0-9 x 0-16 = 4-4, 0-9 x 0-17 = 4-13, 0-9 x 0-18 = 4-22, 0-9 x 0-19 = 4-31, 0-9 x 0-20 = 5-5, 0-9 x 0-21 = 5-14, 0-9 x 0-22 = 5-23, 0-9 x 0-23 = 5-32, 0-9 x 0-24 = 6-6, 0-9 x 0-25 = 6-15, 0-9 x 0-26 = 6-24, 0-9 x 0-27 = 6-33, 0-9 x 0-28 = 7-7, 0-9 x 0-29 = 7-16, 0-9 x 0-30 = 7-25, 0-9 x 0-31 = 7-34, 0-9 x 0-32 = 8-8, 0-9 x 0-33 = 8-17, 0-9 x 0-34 = 8-26, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 1-5, 0-10 x 0-5 = 1-15, 0-10 x 0-6 = 1-25, 0-10 x 0-7 = 2-0, 0-10 x 0-8 = 2-10, 0-10 x 0-9 = 2-20, 0-10 x 0-10 = 2-30, 0-10 x 0-11 = 3-5, 0-10 x 0-12 = 3-15, 0-10 x 0-13 = 3-25, 0-10 x 0-14 = 4-0, 0-10 x 0-15 = 4-10, 0-10 x 0-16 = 4-20, 0-10 x 0-17 = 4-30, 0-10 x 0-18 = 5-5, 0-10 x 0-19 = 5-15, 0-10 x 0-20 = 5-25, 0-10 x 0-21 = 6-0, 0-10 x 0-22 = 6-10, 0-10 x 0-23 = 6-20, 0-10 x 0-24 = 6-30, 0-10 x 0-25 = 7-5, 0-10 x 0-26 = 7-15, 0-10 x 0-27 = 7-25, 0-10 x 0-28 = 8-0, 0-10 x 0-29 = 8-10, 0-10 x 0-30 = 8-20, 0-10 x 0-31 = 8-30, 0-10 x 0-32 = 9-5, 0-10 x 0-33 = 9-15, 0-10 x 0-34 = 9-25, 
