0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 1-0, 0-2 x 0-19 = 1-2, 0-2 x 0-20 = 1-4, 0-2 x 0-21 = 1-6, 0-2 x 0-22 = 1-8, 0-2 x 0-23 = 1-10, 0-2 x 0-24 = 1-12, 0-2 x 0-25 = 1-14, 0-2 x 0-26 = 1-16, 0-2 x 0-27 = 1-18, 0-2 x 0-28 = 1-20, 0-2 x 0-29 = 1-22, 0-2 x 0-30 = 1-24, 0-2 x 0-31 = 1-26, 0-2 x 0-32 = 1-28, 0-2 x 0-33 = 1-30, 0-2 x 0-34 = 1-32, 0-2 x 0-35 = 1-34, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 1-0, 0-3 x 0-13 = 1-3, 0-3 x 0-14 = 1-6, 0-3 x 0-15 = 1-9, 0-3 x 0-16 = 1-12, 0-3 x 0-17 = 1-15, 0-3 x 0-18 = 1-18, 0-3 x 0-19 = 1-21, 0-3 x 0-20 = 1-24, 0-3 x 0-21 = 1-27, 0-3 x 0-22 = 1-30, 0-3 x 0-23 = 1-33, 0-3 x 0-24 = 2-0, 0-3 x 0-25 = 2-3, 0-3 x 0-26 = 2-6, 0-3 x 0-27 = 2-9, 0-3 x 0-28 = 2-12, 0-3 x 0-29 = 2-15, 0-3 x 0-30 = 2-18, 0-3 x 0-31 = 2-21, 0-3 x 0-32 = 2-24, 0-3 x 0-33 = 2-27, 0-3 x 0-34 = 2-30, 0-3 x 0-35 = 2-33, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 1-0, 0-4 x 0-10 = 1-4, 0-4 x 0-11 = 1-8, 0-4 x 0-12 = 1-12, 0-4 x 0-13 = 1-16, 0-4 x 0-14 = 1-20, 0-4 x 0-15 = 1-24, 0-4 x 0-16 = 1-28, 0-4 x 0-17 = 1-32, 0-4 x 0-18 = 2-0, 0-4 x 0-19 = 2-4, 0-4 x 0-20 = 2-8, 0-4 x 0-21 = 2-12, 0-4 x 0-22 = 2-16, 0-4 x 0-23 = 2-20, 0-4 x 0-24 = 2-24, 0-4 x 0-25 = 2-28, 0-4 x 0-26 = 2-32, 0-4 x 0-27 = 3-0, 0-4 x 0-28 = 3-4, 0-4 x 0-29 = 3-8, 0-4 x 0-30 = 3-12, 0-4 x 0-31 = 3-16, 0-4 x 0-32 = 3-20, 0-4 x 0-33 = 3-24, 0-4 x 0-34 = 3-28, 0-4 x 0-35 = 3-32, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 1-4, 0-5 x 0-9 = 1-9, 0-5 x 0-10 = 1-14, 0-5 x 0-11 = 1-19, 0-5 x 0-12 = 1-24, 0-5 x 0-13 = 1-29, 0-5 x 0-14 = 1-34, 0-5 x 0-15 = 2-3, 0-5 x 0-16 = 2-8, 0-5 x 0-17 = 2-13, 0-5 x 0-18 = 2-18, 0-5 x 0-19 = 2-23, 0-5 x 0-20 = 2-28, 0-5 x 0-21 = 2-33, 0-5 x 0-22 = 3-2, 0-5 x 0-23 = 3-7, 0-5 x 0-24 = 3-12, 0-5 x 0-25 = 3-17, 0-5 x 0-26 = 3-22, 0-5 x 0-27 = 3-27, 0-5 x 0-28 = 3-32, 0-5 x 0-29 = 4-1, 0-5 x 0-30 = 4-6, 0-5 x 0-31 = 4-11, 0-5 x 0-32 = 4-16, 0-5 x 0-33 = 4-21, 0-5 x 0-34 = 4-26, 0-5 x 0-35 = 4-31, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 1-0, 0-6 x 0-7 = 1-6, 0-6 x 0-8 = 1-12, 0-6 x 0-9 = 1-18, 0-6 x 0-10 = 1-24, 0-6 x 0-11 = 1-30, 0-6 x 0-12 = 2-0, 0-6 x 0-13 = 2-6, 0-6 x 0-14 = 2-12, 0-6 x 0-15 = 2-18, 0-6 x 0-16 = 2-24, 0-6 x 0-17 = 2-30, 0-6 x 0-18 = 3-0, 0-6 x 0-19 = 3-6, 0-6 x 0-20 = 3-12, 0-6 x 0-21 = 3-18, 0-6 x 0-22 = 3-24, 0-6 x 0-23 = 3-30, 0-6 x 0-24 = 4-0, 0-6 x 0-25 = 4-6, 0-6 x 0-26 = 4-12, 0-6 x 0-27 = 4-18, 0-6 x 0-28 = 4-24, 0-6 x 0-29 = 4-30, 0-6 x 0-30 = 5-0, 0-6 x 0-31 = 5-6, 0-6 x 0-32 = 5-12, 0-6 x 0-33 = 5-18, 0-6 x 0-34 = 5-24, 0-6 x 0-35 = 5-30, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 1-6, 0-7 x 0-7 = 1-13, 0-7 x 0-8 = 1-20, 0-7 x 0-9 = 1-27, 0-7 x 0-10 = 1-34, 0-7 x 0-11 = 2-5, 0-7 x 0-12 = 2-12, 0-7 x 0-13 = 2-19, 0-7 x 0-14 = 2-26, 0-7 x 0-15 = 2-33, 0-7 x 0-16 = 3-4, 0-7 x 0-17 = 3-11, 0-7 x 0-18 = 3-18, 0-7 x 0-19 = 3-25, 0-7 x 0-20 = 3-32, 0-7 x 0-21 = 4-3, 0-7 x 0-22 = 4-10, 0-7 x 0-23 = 4-17, 0-7 x 0-24 = 4-24, 0-7 x 0-25 = 4-31, 0-7 x 0-26 = 5-2, 0-7 x 0-27 = 5-9, 0-7 x 0-28 = 5-16, 0-7 x 0-29 = 5-23, 0-7 x 0-30 = 5-30, 0-7 x 0-31 = 6-1, 0-7 x 0-32 = 6-8, 0-7 x 0-33 = 6-15, 0-7 x 0-34 = 6-22, 0-7 x 0-35 = 6-29, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 1-4, 0-8 x 0-6 = 1-12, 0-8 x 0-7 = 1-20, 0-8 x 0-8 = 1-28, 0-8 x 0-9 = 2-0, 0-8 x 0-10 = 2-8, 0-8 x 0-11 = 2-16, 0-8 x 0-12 = 2-24, 0-8 x 0-13 = 2-32, 0-8 x 0-14 = 3-4, 0-8 x 0-15 = 3-12, 0-8 x 0-16 = 3-20, 0-8 x 0-17 = 3-28, 0-8 x 0-18 = 4-0, 0-8 x 0-19 = 4-8, 0-8 x 0-20 = 4-16, 0-8 x 0-21 = 4-24, 0-8 x 0-22 = 4-32, 0-8 x 0-23 = 5-4, 0-8 x 0-24 = 5-12, 0-8 x 0-25 = 5-20, 0-8 x 0-26 = 5-28, 0-8 x 0-27 = 6-0, 0-8 x 0-28 = 6-8, 0-8 x 0-29 = 6-16, 0-8 x 0-30 = 6-24, 0-8 x 0-31 = 6-32, 0-8 x 0-32 = 7-4, 0-8 x 0-33 = 7-12, 0-8 x 0-34 = 7-20, 0-8 x 0-35 = 7-28, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 1-0, 0-9 x 0-5 = 1-9, 0-9 x 0-6 = 1-18, 0-9 x 0-7 = 1-27, 0-9 x 0-8 = 2-0, 0-9 x 0-9 = 2-9, 0-9 x 0-10 = 2-18, 0-9 x 0-11 = 2-27, 0-9 x 0-12 = 3-0, 0-9 x 0-13 = 3-9, 0-9 x 0-14 = 3-18, 0-9 x 0-15 = 3-27, 0-9 x 0-16 = 4-0, 0-9 x 0-17 = 4-9, 0-9 x 0-18 = 4-18, 0-9 x 0-19 = 4-27, 0-9 x 0-20 = 5-0, 0-9 x 0-21 = 5-9, 0-9 x 0-22 = 5-18, 0-9 x 0-23 = 5-27, 0-9 x 0-24 = 6-0, 0-9 x 0-25 = 6-9, 0-9 x 0-26 = 6-18, 0-9 x 0-27 = 6-27, 0-9 x 0-28 = 7-0, 0-9 x 0-29 = 7-9, 0-9 x 0-30 = 7-18, 0-9 x 0-31 = 7-27, 0-9 x 0-32 = 8-0, 0-9 x 0-33 = 8-9, 0-9 x 0-34 = 8-18, 0-9 x 0-35 = 8-27, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 1-4, 0-10 x 0-5 = 1-14, 0-10 x 0-6 = 1-24, 0-10 x 0-7 = 1-34, 0-10 x 0-8 = 2-8, 0-10 x 0-9 = 2-18, 0-10 x 0-10 = 2-28, 0-10 x 0-11 = 3-2, 0-10 x 0-12 = 3-12, 0-10 x 0-13 = 3-22, 0-10 x 0-14 = 3-32, 0-10 x 0-15 = 4-6, 0-10 x 0-16 = 4-16, 0-10 x 0-17 = 4-26, 0-10 x 0-18 = 5-0, 0-10 x 0-19 = 5-10, 0-10 x 0-20 = 5-20, 0-10 x 0-21 = 5-30, 0-10 x 0-22 = 6-4, 0-10 x 0-23 = 6-14, 0-10 x 0-24 = 6-24, 0-10 x 0-25 = 6-34, 0-10 x 0-26 = 7-8, 0-10 x 0-27 = 7-18, 0-10 x 0-28 = 7-28, 0-10 x 0-29 = 8-2, 0-10 x 0-30 = 8-12, 0-10 x 0-31 = 8-22, 0-10 x 0-32 = 8-32, 0-10 x 0-33 = 9-6, 0-10 x 0-34 = 9-16, 0-10 x 0-35 = 9-26, 
