0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 1-1, 0-2 x 0-20 = 1-3, 0-2 x 0-21 = 1-5, 0-2 x 0-22 = 1-7, 0-2 x 0-23 = 1-9, 0-2 x 0-24 = 1-11, 0-2 x 0-25 = 1-13, 0-2 x 0-26 = 1-15, 0-2 x 0-27 = 1-17, 0-2 x 0-28 = 1-19, 0-2 x 0-29 = 1-21, 0-2 x 0-30 = 1-23, 0-2 x 0-31 = 1-25, 0-2 x 0-32 = 1-27, 0-2 x 0-33 = 1-29, 0-2 x 0-34 = 1-31, 0-2 x 0-35 = 1-33, 0-2 x 0-36 = 1-35, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 1-2, 0-3 x 0-14 = 1-5, 0-3 x 0-15 = 1-8, 0-3 x 0-16 = 1-11, 0-3 x 0-17 = 1-14, 0-3 x 0-18 = 1-17, 0-3 x 0-19 = 1-20, 0-3 x 0-20 = 1-23, 0-3 x 0-21 = 1-26, 0-3 x 0-22 = 1-29, 0-3 x 0-23 = 1-32, 0-3 x 0-24 = 1-35, 0-3 x 0-25 = 2-1, 0-3 x 0-26 = 2-4, 0-3 x 0-27 = 2-7, 0-3 x 0-28 = 2-10, 0-3 x 0-29 = 2-13, 0-3 x 0-30 = 2-16, 0-3 x 0-31 = 2-19, 0-3 x 0-32 = 2-22, 0-3 x 0-33 = 2-25, 0-3 x 0-34 = 2-28, 0-3 x 0-35 = 2-31, 0-3 x 0-36 = 2-34, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 1-3, 0-4 x 0-11 = 1-7, 0-4 x 0-12 = 1-11, 0-4 x 0-13 = 1-15, 0-4 x 0-14 = 1-19, 0-4 x 0-15 = 1-23, 0-4 x 0-16 = 1-27, 0-4 x 0-17 = 1-31, 0-4 x 0-18 = 1-35, 0-4 x 0-19 = 2-2, 0-4 x 0-20 = 2-6, 0-4 x 0-21 = 2-10, 0-4 x 0-22 = 2-14, 0-4 x 0-23 = 2-18, 0-4 x 0-24 = 2-22, 0-4 x 0-25 = 2-26, 0-4 x 0-26 = 2-30, 0-4 x 0-27 = 2-34, 0-4 x 0-28 = 3-1, 0-4 x 0-29 = 3-5, 0-4 x 0-30 = 3-9, 0-4 x 0-31 = 3-13, 0-4 x 0-32 = 3-17, 0-4 x 0-33 = 3-21, 0-4 x 0-34 = 3-25, 0-4 x 0-35 = 3-29, 0-4 x 0-36 = 3-33, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 1-3, 0-5 x 0-9 = 1-8, 0-5 x 0-10 = 1-13, 0-5 x 0-11 = 1-18, 0-5 x 0-12 = 1-23, 0-5 x 0-13 = 1-28, 0-5 x 0-14 = 1-33, 0-5 x 0-15 = 2-1, 0-5 x 0-16 = 2-6, 0-5 x 0-17 = 2-11, 0-5 x 0-18 = 2-16, 0-5 x 0-19 = 2-21, 0-5 x 0-20 = 2-26, 0-5 x 0-21 = 2-31, 0-5 x 0-22 = 2-36, 0-5 x 0-23 = 3-4, 0-5 x 0-24 = 3-9, 0-5 x 0-25 = 3-14, 0-5 x 0-26 = 3-19, 0-5 x 0-27 = 3-24, 0-5 x 0-28 = 3-29, 0-5 x 0-29 = 3-34, 0-5 x 0-30 = 4-2, 0-5 x 0-31 = 4-7, 0-5 x 0-32 = 4-12, 0-5 x 0-33 = 4-17, 0-5 x 0-34 = 4-22, 0-5 x 0-35 = 4-27, 0-5 x 0-36 = 4-32, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 1-5, 0-6 x 0-8 = 1-11, 0-6 x 0-9 = 1-17, 0-6 x 0-10 = 1-23, 0-6 x 0-11 = 1-29, 0-6 x 0-12 = 1-35, 0-6 x 0-13 = 2-4, 0-6 x 0-14 = 2-10, 0-6 x 0-15 = 2-16, 0-6 x 0-16 = 2-22, 0-6 x 0-17 = 2-28, 0-6 x 0-18 = 2-34, 0-6 x 0-19 = 3-3, 0-6 x 0-20 = 3-9, 0-6 x 0-21 = 3-15, 0-6 x 0-22 = 3-21, 0-6 x 0-23 = 3-27, 0-6 x 0-24 = 3-33, 0-6 x 0-25 = 4-2, 0-6 x 0-26 = 4-8, 0-6 x 0-27 = 4-14, 0-6 x 0-28 = 4-20, 0-6 x 0-29 = 4-26, 0-6 x 0-30 = 4-32, 0-6 x 0-31 = 5-1, 0-6 x 0-32 = 5-7, 0-6 x 0-33 = 5-13, 0-6 x 0-34 = 5-19, 0-6 x 0-35 = 5-25, 0-6 x 0-36 = 5-31, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 1-5, 0-7 x 0-7 = 1-12, 0-7 x 0-8 = 1-19, 0-7 x 0-9 = 1-26, 0-7 x 0-10 = 1-33, 0-7 x 0-11 = 2-3, 0-7 x 0-12 = 2-10, 0-7 x 0-13 = 2-17, 0-7 x 0-14 = 2-24, 0-7 x 0-15 = 2-31, 0-7 x 0-16 = 3-1, 0-7 x 0-17 = 3-8, 0-7 x 0-18 = 3-15, 0-7 x 0-19 = 3-22, 0-7 x 0-20 = 3-29, 0-7 x 0-21 = 3-36, 0-7 x 0-22 = 4-6, 0-7 x 0-23 = 4-13, 0-7 x 0-24 = 4-20, 0-7 x 0-25 = 4-27, 0-7 x 0-26 = 4-34, 0-7 x 0-27 = 5-4, 0-7 x 0-28 = 5-11, 0-7 x 0-29 = 5-18, 0-7 x 0-30 = 5-25, 0-7 x 0-31 = 5-32, 0-7 x 0-32 = 6-2, 0-7 x 0-33 = 6-9, 0-7 x 0-34 = 6-16, 0-7 x 0-35 = 6-23, 0-7 x 0-36 = 6-30, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 1-3, 0-8 x 0-6 = 1-11, 0-8 x 0-7 = 1-19, 0-8 x 0-8 = 1-27, 0-8 x 0-9 = 1-35, 0-8 x 0-10 = 2-6, 0-8 x 0-11 = 2-14, 0-8 x 0-12 = 2-22, 0-8 x 0-13 = 2-30, 0-8 x 0-14 = 3-1, 0-8 x 0-15 = 3-9, 0-8 x 0-16 = 3-17, 0-8 x 0-17 = 3-25, 0-8 x 0-18 = 3-33, 0-8 x 0-19 = 4-4, 0-8 x 0-20 = 4-12, 0-8 x 0-21 = 4-20, 0-8 x 0-22 = 4-28, 0-8 x 0-23 = 4-36, 0-8 x 0-24 = 5-7, 0-8 x 0-25 = 5-15, 0-8 x 0-26 = 5-23, 0-8 x 0-27 = 5-31, 0-8 x 0-28 = 6-2, 0-8 x 0-29 = 6-10, 0-8 x 0-30 = 6-18, 0-8 x 0-31 = 6-26, 0-8 x 0-32 = 6-34, 0-8 x 0-33 = 7-5, 0-8 x 0-34 = 7-13, 0-8 x 0-35 = 7-21, 0-8 x 0-36 = 7-29, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 1-8, 0-9 x 0-6 = 1-17, 0-9 x 0-7 = 1-26, 0-9 x 0-8 = 1-35, 0-9 x 0-9 = 2-7, 0-9 x 0-10 = 2-16, 0-9 x 0-11 = 2-25, 0-9 x 0-12 = 2-34, 0-9 x 0-13 = 3-6, 0-9 x 0-14 = 3-15, 0-9 x 0-15 = 3-24, 0-9 x 0-16 = 3-33, 0-9 x 0-17 = 4-5, 0-9 x 0-18 = 4-14, 0-9 x 0-19 = 4-23, 0-9 x 0-20 = 4-32, 0-9 x 0-21 = 5-4, 0-9 x 0-22 = 5-13, 0-9 x 0-23 = 5-22, 0-9 x 0-24 = 5-31, 0-9 x 0-25 = 6-3, 0-9 x 0-26 = 6-12, 0-9 x 0-27 = 6-21, 0-9 x 0-28 = 6-30, 0-9 x 0-29 = 7-2, 0-9 x 0-30 = 7-11, 0-9 x 0-31 = 7-20, 0-9 x 0-32 = 7-29, 0-9 x 0-33 = 8-1, 0-9 x 0-34 = 8-10, 0-9 x 0-35 = 8-19, 0-9 x 0-36 = 8-28, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 1-3, 0-10 x 0-5 = 1-13, 0-10 x 0-6 = 1-23, 0-10 x 0-7 = 1-33, 0-10 x 0-8 = 2-6, 0-10 x 0-9 = 2-16, 0-10 x 0-10 = 2-26, 0-10 x 0-11 = 2-36, 0-10 x 0-12 = 3-9, 0-10 x 0-13 = 3-19, 0-10 x 0-14 = 3-29, 0-10 x 0-15 = 4-2, 0-10 x 0-16 = 4-12, 0-10 x 0-17 = 4-22, 0-10 x 0-18 = 4-32, 0-10 x 0-19 = 5-5, 0-10 x 0-20 = 5-15, 0-10 x 0-21 = 5-25, 0-10 x 0-22 = 5-35, 0-10 x 0-23 = 6-8, 0-10 x 0-24 = 6-18, 0-10 x 0-25 = 6-28, 0-10 x 0-26 = 7-1, 0-10 x 0-27 = 7-11, 0-10 x 0-28 = 7-21, 0-10 x 0-29 = 7-31, 0-10 x 0-30 = 8-4, 0-10 x 0-31 = 8-14, 0-10 x 0-32 = 8-24, 0-10 x 0-33 = 8-34, 0-10 x 0-34 = 9-7, 0-10 x 0-35 = 9-17, 0-10 x 0-36 = 9-27, 
