0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 1-0, 0-2 x 0-21 = 1-2, 0-2 x 0-22 = 1-4, 0-2 x 0-23 = 1-6, 0-2 x 0-24 = 1-8, 0-2 x 0-25 = 1-10, 0-2 x 0-26 = 1-12, 0-2 x 0-27 = 1-14, 0-2 x 0-28 = 1-16, 0-2 x 0-29 = 1-18, 0-2 x 0-30 = 1-20, 0-2 x 0-31 = 1-22, 0-2 x 0-32 = 1-24, 0-2 x 0-33 = 1-26, 0-2 x 0-34 = 1-28, 0-2 x 0-35 = 1-30, 0-2 x 0-36 = 1-32, 0-2 x 0-37 = 1-34, 0-2 x 0-38 = 1-36, 0-2 x 0-39 = 1-38, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 1-2, 0-3 x 0-15 = 1-5, 0-3 x 0-16 = 1-8, 0-3 x 0-17 = 1-11, 0-3 x 0-18 = 1-14, 0-3 x 0-19 = 1-17, 0-3 x 0-20 = 1-20, 0-3 x 0-21 = 1-23, 0-3 x 0-22 = 1-26, 0-3 x 0-23 = 1-29, 0-3 x 0-24 = 1-32, 0-3 x 0-25 = 1-35, 0-3 x 0-26 = 1-38, 0-3 x 0-27 = 2-1, 0-3 x 0-28 = 2-4, 0-3 x 0-29 = 2-7, 0-3 x 0-30 = 2-10, 0-3 x 0-31 = 2-13, 0-3 x 0-32 = 2-16, 0-3 x 0-33 = 2-19, 0-3 x 0-34 = 2-22, 0-3 x 0-35 = 2-25, 0-3 x 0-36 = 2-28, 0-3 x 0-37 = 2-31, 0-3 x 0-38 = 2-34, 0-3 x 0-39 = 2-37, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 1-0, 0-4 x 0-11 = 1-4, 0-4 x 0-12 = 1-8, 0-4 x 0-13 = 1-12, 0-4 x 0-14 = 1-16, 0-4 x 0-15 = 1-20, 0-4 x 0-16 = 1-24, 0-4 x 0-17 = 1-28, 0-4 x 0-18 = 1-32, 0-4 x 0-19 = 1-36, 0-4 x 0-20 = 2-0, 0-4 x 0-21 = 2-4, 0-4 x 0-22 = 2-8, 0-4 x 0-23 = 2-12, 0-4 x 0-24 = 2-16, 0-4 x 0-25 = 2-20, 0-4 x 0-26 = 2-24, 0-4 x 0-27 = 2-28, 0-4 x 0-28 = 2-32, 0-4 x 0-29 = 2-36, 0-4 x 0-30 = 3-0, 0-4 x 0-31 = 3-4, 0-4 x 0-32 = 3-8, 0-4 x 0-33 = 3-12, 0-4 x 0-34 = 3-16, 0-4 x 0-35 = 3-20, 0-4 x 0-36 = 3-24, 0-4 x 0-37 = 3-28, 0-4 x 0-38 = 3-32, 0-4 x 0-39 = 3-36, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 1-0, 0-5 x 0-9 = 1-5, 0-5 x 0-10 = 1-10, 0-5 x 0-11 = 1-15, 0-5 x 0-12 = 1-20, 0-5 x 0-13 = 1-25, 0-5 x 0-14 = 1-30, 0-5 x 0-15 = 1-35, 0-5 x 0-16 = 2-0, 0-5 x 0-17 = 2-5, 0-5 x 0-18 = 2-10, 0-5 x 0-19 = 2-15, 0-5 x 0-20 = 2-20, 0-5 x 0-21 = 2-25, 0-5 x 0-22 = 2-30, 0-5 x 0-23 = 2-35, 0-5 x 0-24 = 3-0, 0-5 x 0-25 = 3-5, 0-5 x 0-26 = 3-10, 0-5 x 0-27 = 3-15, 0-5 x 0-28 = 3-20, 0-5 x 0-29 = 3-25, 0-5 x 0-30 = 3-30, 0-5 x 0-31 = 3-35, 0-5 x 0-32 = 4-0, 0-5 x 0-33 = 4-5, 0-5 x 0-34 = 4-10, 0-5 x 0-35 = 4-15, 0-5 x 0-36 = 4-20, 0-5 x 0-37 = 4-25, 0-5 x 0-38 = 4-30, 0-5 x 0-39 = 4-35, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 1-2, 0-6 x 0-8 = 1-8, 0-6 x 0-9 = 1-14, 0-6 x 0-10 = 1-20, 0-6 x 0-11 = 1-26, 0-6 x 0-12 = 1-32, 0-6 x 0-13 = 1-38, 0-6 x 0-14 = 2-4, 0-6 x 0-15 = 2-10, 0-6 x 0-16 = 2-16, 0-6 x 0-17 = 2-22, 0-6 x 0-18 = 2-28, 0-6 x 0-19 = 2-34, 0-6 x 0-20 = 3-0, 0-6 x 0-21 = 3-6, 0-6 x 0-22 = 3-12, 0-6 x 0-23 = 3-18, 0-6 x 0-24 = 3-24, 0-6 x 0-25 = 3-30, 0-6 x 0-26 = 3-36, 0-6 x 0-27 = 4-2, 0-6 x 0-28 = 4-8, 0-6 x 0-29 = 4-14, 0-6 x 0-30 = 4-20, 0-6 x 0-31 = 4-26, 0-6 x 0-32 = 4-32, 0-6 x 0-33 = 4-38, 0-6 x 0-34 = 5-4, 0-6 x 0-35 = 5-10, 0-6 x 0-36 = 5-16, 0-6 x 0-37 = 5-22, 0-6 x 0-38 = 5-28, 0-6 x 0-39 = 5-34, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 1-2, 0-7 x 0-7 = 1-9, 0-7 x 0-8 = 1-16, 0-7 x 0-9 = 1-23, 0-7 x 0-10 = 1-30, 0-7 x 0-11 = 1-37, 0-7 x 0-12 = 2-4, 0-7 x 0-13 = 2-11, 0-7 x 0-14 = 2-18, 0-7 x 0-15 = 2-25, 0-7 x 0-16 = 2-32, 0-7 x 0-17 = 2-39, 0-7 x 0-18 = 3-6, 0-7 x 0-19 = 3-13, 0-7 x 0-20 = 3-20, 0-7 x 0-21 = 3-27, 0-7 x 0-22 = 3-34, 0-7 x 0-23 = 4-1, 0-7 x 0-24 = 4-8, 0-7 x 0-25 = 4-15, 0-7 x 0-26 = 4-22, 0-7 x 0-27 = 4-29, 0-7 x 0-28 = 4-36, 0-7 x 0-29 = 5-3, 0-7 x 0-30 = 5-10, 0-7 x 0-31 = 5-17, 0-7 x 0-32 = 5-24, 0-7 x 0-33 = 5-31, 0-7 x 0-34 = 5-38, 0-7 x 0-35 = 6-5, 0-7 x 0-36 = 6-12, 0-7 x 0-37 = 6-19, 0-7 x 0-38 = 6-26, 0-7 x 0-39 = 6-33, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 1-0, 0-8 x 0-6 = 1-8, 0-8 x 0-7 = 1-16, 0-8 x 0-8 = 1-24, 0-8 x 0-9 = 1-32, 0-8 x 0-10 = 2-0, 0-8 x 0-11 = 2-8, 0-8 x 0-12 = 2-16, 0-8 x 0-13 = 2-24, 0-8 x 0-14 = 2-32, 0-8 x 0-15 = 3-0, 0-8 x 0-16 = 3-8, 0-8 x 0-17 = 3-16, 0-8 x 0-18 = 3-24, 0-8 x 0-19 = 3-32, 0-8 x 0-20 = 4-0, 0-8 x 0-21 = 4-8, 0-8 x 0-22 = 4-16, 0-8 x 0-23 = 4-24, 0-8 x 0-24 = 4-32, 0-8 x 0-25 = 5-0, 0-8 x 0-26 = 5-8, 0-8 x 0-27 = 5-16, 0-8 x 0-28 = 5-24, 0-8 x 0-29 = 5-32, 0-8 x 0-30 = 6-0, 0-8 x 0-31 = 6-8, 0-8 x 0-32 = 6-16, 0-8 x 0-33 = 6-24, 0-8 x 0-34 = 6-32, 0-8 x 0-35 = 7-0, 0-8 x 0-36 = 7-8, 0-8 x 0-37 = 7-16, 0-8 x 0-38 = 7-24, 0-8 x 0-39 = 7-32, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 1-5, 0-9 x 0-6 = 1-14, 0-9 x 0-7 = 1-23, 0-9 x 0-8 = 1-32, 0-9 x 0-9 = 2-1, 0-9 x 0-10 = 2-10, 0-9 x 0-11 = 2-19, 0-9 x 0-12 = 2-28, 0-9 x 0-13 = 2-37, 0-9 x 0-14 = 3-6, 0-9 x 0-15 = 3-15, 0-9 x 0-16 = 3-24, 0-9 x 0-17 = 3-33, 0-9 x 0-18 = 4-2, 0-9 x 0-19 = 4-11, 0-9 x 0-20 = 4-20, 0-9 x 0-21 = 4-29, 0-9 x 0-22 = 4-38, 0-9 x 0-23 = 5-7, 0-9 x 0-24 = 5-16, 0-9 x 0-25 = 5-25, 0-9 x 0-26 = 5-34, 0-9 x 0-27 = 6-3, 0-9 x 0-28 = 6-12, 0-9 x 0-29 = 6-21, 0-9 x 0-30 = 6-30, 0-9 x 0-31 = 6-39, 0-9 x 0-32 = 7-8, 0-9 x 0-33 = 7-17, 0-9 x 0-34 = 7-26, 0-9 x 0-35 = 7-35, 0-9 x 0-36 = 8-4, 0-9 x 0-37 = 8-13, 0-9 x 0-38 = 8-22, 0-9 x 0-39 = 8-31, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 1-0, 0-10 x 0-5 = 1-10, 0-10 x 0-6 = 1-20, 0-10 x 0-7 = 1-30, 0-10 x 0-8 = 2-0, 0-10 x 0-9 = 2-10, 0-10 x 0-10 = 2-20, 0-10 x 0-11 = 2-30, 0-10 x 0-12 = 3-0, 0-10 x 0-13 = 3-10, 0-10 x 0-14 = 3-20, 0-10 x 0-15 = 3-30, 0-10 x 0-16 = 4-0, 0-10 x 0-17 = 4-10, 0-10 x 0-18 = 4-20, 0-10 x 0-19 = 4-30, 0-10 x 0-20 = 5-0, 0-10 x 0-21 = 5-10, 0-10 x 0-22 = 5-20, 0-10 x 0-23 = 5-30, 0-10 x 0-24 = 6-0, 0-10 x 0-25 = 6-10, 0-10 x 0-26 = 6-20, 0-10 x 0-27 = 6-30, 0-10 x 0-28 = 7-0, 0-10 x 0-29 = 7-10, 0-10 x 0-30 = 7-20, 0-10 x 0-31 = 7-30, 0-10 x 0-32 = 8-0, 0-10 x 0-33 = 8-10, 0-10 x 0-34 = 8-20, 0-10 x 0-35 = 8-30, 0-10 x 0-36 = 9-0, 0-10 x 0-37 = 9-10, 0-10 x 0-38 = 9-20, 0-10 x 0-39 = 9-30, 
