0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 1-1, 0-2 x 0-22 = 1-3, 0-2 x 0-23 = 1-5, 0-2 x 0-24 = 1-7, 0-2 x 0-25 = 1-9, 0-2 x 0-26 = 1-11, 0-2 x 0-27 = 1-13, 0-2 x 0-28 = 1-15, 0-2 x 0-29 = 1-17, 0-2 x 0-30 = 1-19, 0-2 x 0-31 = 1-21, 0-2 x 0-32 = 1-23, 0-2 x 0-33 = 1-25, 0-2 x 0-34 = 1-27, 0-2 x 0-35 = 1-29, 0-2 x 0-36 = 1-31, 0-2 x 0-37 = 1-33, 0-2 x 0-38 = 1-35, 0-2 x 0-39 = 1-37, 0-2 x 0-40 = 1-39, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 1-1, 0-3 x 0-15 = 1-4, 0-3 x 0-16 = 1-7, 0-3 x 0-17 = 1-10, 0-3 x 0-18 = 1-13, 0-3 x 0-19 = 1-16, 0-3 x 0-20 = 1-19, 0-3 x 0-21 = 1-22, 0-3 x 0-22 = 1-25, 0-3 x 0-23 = 1-28, 0-3 x 0-24 = 1-31, 0-3 x 0-25 = 1-34, 0-3 x 0-26 = 1-37, 0-3 x 0-27 = 1-40, 0-3 x 0-28 = 2-2, 0-3 x 0-29 = 2-5, 0-3 x 0-30 = 2-8, 0-3 x 0-31 = 2-11, 0-3 x 0-32 = 2-14, 0-3 x 0-33 = 2-17, 0-3 x 0-34 = 2-20, 0-3 x 0-35 = 2-23, 0-3 x 0-36 = 2-26, 0-3 x 0-37 = 2-29, 0-3 x 0-38 = 2-32, 0-3 x 0-39 = 2-35, 0-3 x 0-40 = 2-38, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 1-3, 0-4 x 0-12 = 1-7, 0-4 x 0-13 = 1-11, 0-4 x 0-14 = 1-15, 0-4 x 0-15 = 1-19, 0-4 x 0-16 = 1-23, 0-4 x 0-17 = 1-27, 0-4 x 0-18 = 1-31, 0-4 x 0-19 = 1-35, 0-4 x 0-20 = 1-39, 0-4 x 0-21 = 2-2, 0-4 x 0-22 = 2-6, 0-4 x 0-23 = 2-10, 0-4 x 0-24 = 2-14, 0-4 x 0-25 = 2-18, 0-4 x 0-26 = 2-22, 0-4 x 0-27 = 2-26, 0-4 x 0-28 = 2-30, 0-4 x 0-29 = 2-34, 0-4 x 0-30 = 2-38, 0-4 x 0-31 = 3-1, 0-4 x 0-32 = 3-5, 0-4 x 0-33 = 3-9, 0-4 x 0-34 = 3-13, 0-4 x 0-35 = 3-17, 0-4 x 0-36 = 3-21, 0-4 x 0-37 = 3-25, 0-4 x 0-38 = 3-29, 0-4 x 0-39 = 3-33, 0-4 x 0-40 = 3-37, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 1-4, 0-5 x 0-10 = 1-9, 0-5 x 0-11 = 1-14, 0-5 x 0-12 = 1-19, 0-5 x 0-13 = 1-24, 0-5 x 0-14 = 1-29, 0-5 x 0-15 = 1-34, 0-5 x 0-16 = 1-39, 0-5 x 0-17 = 2-3, 0-5 x 0-18 = 2-8, 0-5 x 0-19 = 2-13, 0-5 x 0-20 = 2-18, 0-5 x 0-21 = 2-23, 0-5 x 0-22 = 2-28, 0-5 x 0-23 = 2-33, 0-5 x 0-24 = 2-38, 0-5 x 0-25 = 3-2, 0-5 x 0-26 = 3-7, 0-5 x 0-27 = 3-12, 0-5 x 0-28 = 3-17, 0-5 x 0-29 = 3-22, 0-5 x 0-30 = 3-27, 0-5 x 0-31 = 3-32, 0-5 x 0-32 = 3-37, 0-5 x 0-33 = 4-1, 0-5 x 0-34 = 4-6, 0-5 x 0-35 = 4-11, 0-5 x 0-36 = 4-16, 0-5 x 0-37 = 4-21, 0-5 x 0-38 = 4-26, 0-5 x 0-39 = 4-31, 0-5 x 0-40 = 4-36, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 1-1, 0-6 x 0-8 = 1-7, 0-6 x 0-9 = 1-13, 0-6 x 0-10 = 1-19, 0-6 x 0-11 = 1-25, 0-6 x 0-12 = 1-31, 0-6 x 0-13 = 1-37, 0-6 x 0-14 = 2-2, 0-6 x 0-15 = 2-8, 0-6 x 0-16 = 2-14, 0-6 x 0-17 = 2-20, 0-6 x 0-18 = 2-26, 0-6 x 0-19 = 2-32, 0-6 x 0-20 = 2-38, 0-6 x 0-21 = 3-3, 0-6 x 0-22 = 3-9, 0-6 x 0-23 = 3-15, 0-6 x 0-24 = 3-21, 0-6 x 0-25 = 3-27, 0-6 x 0-26 = 3-33, 0-6 x 0-27 = 3-39, 0-6 x 0-28 = 4-4, 0-6 x 0-29 = 4-10, 0-6 x 0-30 = 4-16, 0-6 x 0-31 = 4-22, 0-6 x 0-32 = 4-28, 0-6 x 0-33 = 4-34, 0-6 x 0-34 = 4-40, 0-6 x 0-35 = 5-5, 0-6 x 0-36 = 5-11, 0-6 x 0-37 = 5-17, 0-6 x 0-38 = 5-23, 0-6 x 0-39 = 5-29, 0-6 x 0-40 = 5-35, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 1-1, 0-7 x 0-7 = 1-8, 0-7 x 0-8 = 1-15, 0-7 x 0-9 = 1-22, 0-7 x 0-10 = 1-29, 0-7 x 0-11 = 1-36, 0-7 x 0-12 = 2-2, 0-7 x 0-13 = 2-9, 0-7 x 0-14 = 2-16, 0-7 x 0-15 = 2-23, 0-7 x 0-16 = 2-30, 0-7 x 0-17 = 2-37, 0-7 x 0-18 = 3-3, 0-7 x 0-19 = 3-10, 0-7 x 0-20 = 3-17, 0-7 x 0-21 = 3-24, 0-7 x 0-22 = 3-31, 0-7 x 0-23 = 3-38, 0-7 x 0-24 = 4-4, 0-7 x 0-25 = 4-11, 0-7 x 0-26 = 4-18, 0-7 x 0-27 = 4-25, 0-7 x 0-28 = 4-32, 0-7 x 0-29 = 4-39, 0-7 x 0-30 = 5-5, 0-7 x 0-31 = 5-12, 0-7 x 0-32 = 5-19, 0-7 x 0-33 = 5-26, 0-7 x 0-34 = 5-33, 0-7 x 0-35 = 5-40, 0-7 x 0-36 = 6-6, 0-7 x 0-37 = 6-13, 0-7 x 0-38 = 6-20, 0-7 x 0-39 = 6-27, 0-7 x 0-40 = 6-34, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 1-7, 0-8 x 0-7 = 1-15, 0-8 x 0-8 = 1-23, 0-8 x 0-9 = 1-31, 0-8 x 0-10 = 1-39, 0-8 x 0-11 = 2-6, 0-8 x 0-12 = 2-14, 0-8 x 0-13 = 2-22, 0-8 x 0-14 = 2-30, 0-8 x 0-15 = 2-38, 0-8 x 0-16 = 3-5, 0-8 x 0-17 = 3-13, 0-8 x 0-18 = 3-21, 0-8 x 0-19 = 3-29, 0-8 x 0-20 = 3-37, 0-8 x 0-21 = 4-4, 0-8 x 0-22 = 4-12, 0-8 x 0-23 = 4-20, 0-8 x 0-24 = 4-28, 0-8 x 0-25 = 4-36, 0-8 x 0-26 = 5-3, 0-8 x 0-27 = 5-11, 0-8 x 0-28 = 5-19, 0-8 x 0-29 = 5-27, 0-8 x 0-30 = 5-35, 0-8 x 0-31 = 6-2, 0-8 x 0-32 = 6-10, 0-8 x 0-33 = 6-18, 0-8 x 0-34 = 6-26, 0-8 x 0-35 = 6-34, 0-8 x 0-36 = 7-1, 0-8 x 0-37 = 7-9, 0-8 x 0-38 = 7-17, 0-8 x 0-39 = 7-25, 0-8 x 0-40 = 7-33, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 1-4, 0-9 x 0-6 = 1-13, 0-9 x 0-7 = 1-22, 0-9 x 0-8 = 1-31, 0-9 x 0-9 = 1-40, 0-9 x 0-10 = 2-8, 0-9 x 0-11 = 2-17, 0-9 x 0-12 = 2-26, 0-9 x 0-13 = 2-35, 0-9 x 0-14 = 3-3, 0-9 x 0-15 = 3-12, 0-9 x 0-16 = 3-21, 0-9 x 0-17 = 3-30, 0-9 x 0-18 = 3-39, 0-9 x 0-19 = 4-7, 0-9 x 0-20 = 4-16, 0-9 x 0-21 = 4-25, 0-9 x 0-22 = 4-34, 0-9 x 0-23 = 5-2, 0-9 x 0-24 = 5-11, 0-9 x 0-25 = 5-20, 0-9 x 0-26 = 5-29, 0-9 x 0-27 = 5-38, 0-9 x 0-28 = 6-6, 0-9 x 0-29 = 6-15, 0-9 x 0-30 = 6-24, 0-9 x 0-31 = 6-33, 0-9 x 0-32 = 7-1, 0-9 x 0-33 = 7-10, 0-9 x 0-34 = 7-19, 0-9 x 0-35 = 7-28, 0-9 x 0-36 = 7-37, 0-9 x 0-37 = 8-5, 0-9 x 0-38 = 8-14, 0-9 x 0-39 = 8-23, 0-9 x 0-40 = 8-32, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 1-9, 0-10 x 0-6 = 1-19, 0-10 x 0-7 = 1-29, 0-10 x 0-8 = 1-39, 0-10 x 0-9 = 2-8, 0-10 x 0-10 = 2-18, 0-10 x 0-11 = 2-28, 0-10 x 0-12 = 2-38, 0-10 x 0-13 = 3-7, 0-10 x 0-14 = 3-17, 0-10 x 0-15 = 3-27, 0-10 x 0-16 = 3-37, 0-10 x 0-17 = 4-6, 0-10 x 0-18 = 4-16, 0-10 x 0-19 = 4-26, 0-10 x 0-20 = 4-36, 0-10 x 0-21 = 5-5, 0-10 x 0-22 = 5-15, 0-10 x 0-23 = 5-25, 0-10 x 0-24 = 5-35, 0-10 x 0-25 = 6-4, 0-10 x 0-26 = 6-14, 0-10 x 0-27 = 6-24, 0-10 x 0-28 = 6-34, 0-10 x 0-29 = 7-3, 0-10 x 0-30 = 7-13, 0-10 x 0-31 = 7-23, 0-10 x 0-32 = 7-33, 0-10 x 0-33 = 8-2, 0-10 x 0-34 = 8-12, 0-10 x 0-35 = 8-22, 0-10 x 0-36 = 8-32, 0-10 x 0-37 = 9-1, 0-10 x 0-38 = 9-11, 0-10 x 0-39 = 9-21, 0-10 x 0-40 = 9-31, 
