1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 1 x 13 = 0-13, 1 x 14 = 0-14, 1 x 15 = 0-15, 1 x 16 = 0-16, 1 x 17 = 0-17, 1 x 18 = 0-18, 1 x 19 = 0-19, 1 x 20 = 0-20, 1 x 21 = 0-21, 1 x 22 = 0-22, 1 x 23 = 0-23, 1 x 24 = 0-24, 1 x 25 = 0-25, 1 x 26 = 0-26, 1 x 27 = 0-27, 1 x 28 = 0-28, 1 x 29 = 0-29, 1 x 30 = 0-30, 1 x 31 = 0-31, 1 x 32 = 0-32, 1 x 33 = 0-33, 1 x 34 = 0-34, 1 x 35 = 0-35, 1 x 36 = 0-36, 1 x 37 = 0-37, 1 x 38 = 0-38, 1 x 39 = 0-39, 1 x 40 = 0-40, 1 x 41 = 0-41, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 0-14, 2 x 8 = 0-16, 2 x 9 = 0-18, 2 x 10 = 0-20, 2 x 11 = 0-22, 2 x 12 = 0-24, 2 x 13 = 0-26, 2 x 14 = 0-28, 2 x 15 = 0-30, 2 x 16 = 0-32, 2 x 17 = 0-34, 2 x 18 = 0-36, 2 x 19 = 0-38, 2 x 20 = 0-40, 2 x 21 = 1-0, 2 x 22 = 1-2, 2 x 23 = 1-4, 2 x 24 = 1-6, 2 x 25 = 1-8, 2 x 26 = 1-10, 2 x 27 = 1-12, 2 x 28 = 1-14, 2 x 29 = 1-16, 2 x 30 = 1-18, 2 x 31 = 1-20, 2 x 32 = 1-22, 2 x 33 = 1-24, 2 x 34 = 1-26, 2 x 35 = 1-28, 2 x 36 = 1-30, 2 x 37 = 1-32, 2 x 38 = 1-34, 2 x 39 = 1-36, 2 x 40 = 1-38, 2 x 41 = 1-40, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 0-15, 3 x 6 = 0-18, 3 x 7 = 0-21, 3 x 8 = 0-24, 3 x 9 = 0-27, 3 x 10 = 0-30, 3 x 11 = 0-33, 3 x 12 = 0-36, 3 x 13 = 0-39, 3 x 14 = 1-0, 3 x 15 = 1-3, 3 x 16 = 1-6, 3 x 17 = 1-9, 3 x 18 = 1-12, 3 x 19 = 1-15, 3 x 20 = 1-18, 3 x 21 = 1-21, 3 x 22 = 1-24, 3 x 23 = 1-27, 3 x 24 = 1-30, 3 x 25 = 1-33, 3 x 26 = 1-36, 3 x 27 = 1-39, 3 x 28 = 2-0, 3 x 29 = 2-3, 3 x 30 = 2-6, 3 x 31 = 2-9, 3 x 32 = 2-12, 3 x 33 = 2-15, 3 x 34 = 2-18, 3 x 35 = 2-21, 3 x 36 = 2-24, 3 x 37 = 2-27, 3 x 38 = 2-30, 3 x 39 = 2-33, 3 x 40 = 2-36, 3 x 41 = 2-39, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 0-16, 4 x 5 = 0-20, 4 x 6 = 0-24, 4 x 7 = 0-28, 4 x 8 = 0-32, 4 x 9 = 0-36, 4 x 10 = 0-40, 4 x 11 = 1-2, 4 x 12 = 1-6, 4 x 13 = 1-10, 4 x 14 = 1-14, 4 x 15 = 1-18, 4 x 16 = 1-22, 4 x 17 = 1-26, 4 x 18 = 1-30, 4 x 19 = 1-34, 4 x 20 = 1-38, 4 x 21 = 2-0, 4 x 22 = 2-4, 4 x 23 = 2-8, 4 x 24 = 2-12, 4 x 25 = 2-16, 4 x 26 = 2-20, 4 x 27 = 2-24, 4 x 28 = 2-28, 4 x 29 = 2-32, 4 x 30 = 2-36, 4 x 31 = 2-40, 4 x 32 = 3-2, 4 x 33 = 3-6, 4 x 34 = 3-10, 4 x 35 = 3-14, 4 x 36 = 3-18, 4 x 37 = 3-22, 4 x 38 = 3-26, 4 x 39 = 3-30, 4 x 40 = 3-34, 4 x 41 = 3-38, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 0-15, 5 x 4 = 0-20, 5 x 5 = 0-25, 5 x 6 = 0-30, 5 x 7 = 0-35, 5 x 8 = 0-40, 5 x 9 = 1-3, 5 x 10 = 1-8, 5 x 11 = 1-13, 5 x 12 = 1-18, 5 x 13 = 1-23, 5 x 14 = 1-28, 5 x 15 = 1-33, 5 x 16 = 1-38, 5 x 17 = 2-1, 5 x 18 = 2-6, 5 x 19 = 2-11, 5 x 20 = 2-16, 5 x 21 = 2-21, 5 x 22 = 2-26, 5 x 23 = 2-31, 5 x 24 = 2-36, 5 x 25 = 2-41, 5 x 26 = 3-4, 5 x 27 = 3-9, 5 x 28 = 3-14, 5 x 29 = 3-19, 5 x 30 = 3-24, 5 x 31 = 3-29, 5 x 32 = 3-34, 5 x 33 = 3-39, 5 x 34 = 4-2, 5 x 35 = 4-7, 5 x 36 = 4-12, 5 x 37 = 4-17, 5 x 38 = 4-22, 5 x 39 = 4-27, 5 x 40 = 4-32, 5 x 41 = 4-37, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 0-18, 6 x 4 = 0-24, 6 x 5 = 0-30, 6 x 6 = 0-36, 6 x 7 = 1-0, 6 x 8 = 1-6, 6 x 9 = 1-12, 6 x 10 = 1-18, 6 x 11 = 1-24, 6 x 12 = 1-30, 6 x 13 = 1-36, 6 x 14 = 2-0, 6 x 15 = 2-6, 6 x 16 = 2-12, 6 x 17 = 2-18, 6 x 18 = 2-24, 6 x 19 = 2-30, 6 x 20 = 2-36, 6 x 21 = 3-0, 6 x 22 = 3-6, 6 x 23 = 3-12, 6 x 24 = 3-18, 6 x 25 = 3-24, 6 x 26 = 3-30, 6 x 27 = 3-36, 6 x 28 = 4-0, 6 x 29 = 4-6, 6 x 30 = 4-12, 6 x 31 = 4-18, 6 x 32 = 4-24, 6 x 33 = 4-30, 6 x 34 = 4-36, 6 x 35 = 5-0, 6 x 36 = 5-6, 6 x 37 = 5-12, 6 x 38 = 5-18, 6 x 39 = 5-24, 6 x 40 = 5-30, 6 x 41 = 5-36, 
7 x 1 = 0-7, 7 x 2 = 0-14, 7 x 3 = 0-21, 7 x 4 = 0-28, 7 x 5 = 0-35, 7 x 6 = 1-0, 7 x 7 = 1-7, 7 x 8 = 1-14, 7 x 9 = 1-21, 7 x 10 = 1-28, 7 x 11 = 1-35, 7 x 12 = 2-0, 7 x 13 = 2-7, 7 x 14 = 2-14, 7 x 15 = 2-21, 7 x 16 = 2-28, 7 x 17 = 2-35, 7 x 18 = 3-0, 7 x 19 = 3-7, 7 x 20 = 3-14, 7 x 21 = 3-21, 7 x 22 = 3-28, 7 x 23 = 3-35, 7 x 24 = 4-0, 7 x 25 = 4-7, 7 x 26 = 4-14, 7 x 27 = 4-21, 7 x 28 = 4-28, 7 x 29 = 4-35, 7 x 30 = 5-0, 7 x 31 = 5-7, 7 x 32 = 5-14, 7 x 33 = 5-21, 7 x 34 = 5-28, 7 x 35 = 5-35, 7 x 36 = 6-0, 7 x 37 = 6-7, 7 x 38 = 6-14, 7 x 39 = 6-21, 7 x 40 = 6-28, 7 x 41 = 6-35, 
8 x 1 = 0-8, 8 x 2 = 0-16, 8 x 3 = 0-24, 8 x 4 = 0-32, 8 x 5 = 0-40, 8 x 6 = 1-6, 8 x 7 = 1-14, 8 x 8 = 1-22, 8 x 9 = 1-30, 8 x 10 = 1-38, 8 x 11 = 2-4, 8 x 12 = 2-12, 8 x 13 = 2-20, 8 x 14 = 2-28, 8 x 15 = 2-36, 8 x 16 = 3-2, 8 x 17 = 3-10, 8 x 18 = 3-18, 8 x 19 = 3-26, 8 x 20 = 3-34, 8 x 21 = 4-0, 8 x 22 = 4-8, 8 x 23 = 4-16, 8 x 24 = 4-24, 8 x 25 = 4-32, 8 x 26 = 4-40, 8 x 27 = 5-6, 8 x 28 = 5-14, 8 x 29 = 5-22, 8 x 30 = 5-30, 8 x 31 = 5-38, 8 x 32 = 6-4, 8 x 33 = 6-12, 8 x 34 = 6-20, 8 x 35 = 6-28, 8 x 36 = 6-36, 8 x 37 = 7-2, 8 x 38 = 7-10, 8 x 39 = 7-18, 8 x 40 = 7-26, 8 x 41 = 7-34, 
9 x 1 = 0-9, 9 x 2 = 0-18, 9 x 3 = 0-27, 9 x 4 = 0-36, 9 x 5 = 1-3, 9 x 6 = 1-12, 9 x 7 = 1-21, 9 x 8 = 1-30, 9 x 9 = 1-39, 9 x 10 = 2-6, 9 x 11 = 2-15, 9 x 12 = 2-24, 9 x 13 = 2-33, 9 x 14 = 3-0, 9 x 15 = 3-9, 9 x 16 = 3-18, 9 x 17 = 3-27, 9 x 18 = 3-36, 9 x 19 = 4-3, 9 x 20 = 4-12, 9 x 21 = 4-21, 9 x 22 = 4-30, 9 x 23 = 4-39, 9 x 24 = 5-6, 9 x 25 = 5-15, 9 x 26 = 5-24, 9 x 27 = 5-33, 9 x 28 = 6-0, 9 x 29 = 6-9, 9 x 30 = 6-18, 9 x 31 = 6-27, 9 x 32 = 6-36, 9 x 33 = 7-3, 9 x 34 = 7-12, 9 x 35 = 7-21, 9 x 36 = 7-30, 9 x 37 = 7-39, 9 x 38 = 8-6, 9 x 39 = 8-15, 9 x 40 = 8-24, 9 x 41 = 8-33, 
10 x 1 = 0-10, 10 x 2 = 0-20, 10 x 3 = 0-30, 10 x 4 = 0-40, 10 x 5 = 1-8, 10 x 6 = 1-18, 10 x 7 = 1-28, 10 x 8 = 1-38, 10 x 9 = 2-6, 10 x 10 = 2-16, 10 x 11 = 2-26, 10 x 12 = 2-36, 10 x 13 = 3-4, 10 x 14 = 3-14, 10 x 15 = 3-24, 10 x 16 = 3-34, 10 x 17 = 4-2, 10 x 18 = 4-12, 10 x 19 = 4-22, 10 x 20 = 4-32, 10 x 21 = 5-0, 10 x 22 = 5-10, 10 x 23 = 5-20, 10 x 24 = 5-30, 10 x 25 = 5-40, 10 x 26 = 6-8, 10 x 27 = 6-18, 10 x 28 = 6-28, 10 x 29 = 6-38, 10 x 30 = 7-6, 10 x 31 = 7-16, 10 x 32 = 7-26, 10 x 33 = 7-36, 10 x 34 = 8-4, 10 x 35 = 8-14, 10 x 36 = 8-24, 10 x 37 = 8-34, 10 x 38 = 9-2, 10 x 39 = 9-12, 10 x 40 = 9-22, 10 x 41 = 9-32, 
