0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 1-0, 0-2 x 0-23 = 1-2, 0-2 x 0-24 = 1-4, 0-2 x 0-25 = 1-6, 0-2 x 0-26 = 1-8, 0-2 x 0-27 = 1-10, 0-2 x 0-28 = 1-12, 0-2 x 0-29 = 1-14, 0-2 x 0-30 = 1-16, 0-2 x 0-31 = 1-18, 0-2 x 0-32 = 1-20, 0-2 x 0-33 = 1-22, 0-2 x 0-34 = 1-24, 0-2 x 0-35 = 1-26, 0-2 x 0-36 = 1-28, 0-2 x 0-37 = 1-30, 0-2 x 0-38 = 1-32, 0-2 x 0-39 = 1-34, 0-2 x 0-40 = 1-36, 0-2 x 0-41 = 1-38, 0-2 x 0-42 = 1-40, 0-2 x 0-43 = 1-42, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 1-1, 0-3 x 0-16 = 1-4, 0-3 x 0-17 = 1-7, 0-3 x 0-18 = 1-10, 0-3 x 0-19 = 1-13, 0-3 x 0-20 = 1-16, 0-3 x 0-21 = 1-19, 0-3 x 0-22 = 1-22, 0-3 x 0-23 = 1-25, 0-3 x 0-24 = 1-28, 0-3 x 0-25 = 1-31, 0-3 x 0-26 = 1-34, 0-3 x 0-27 = 1-37, 0-3 x 0-28 = 1-40, 0-3 x 0-29 = 1-43, 0-3 x 0-30 = 2-2, 0-3 x 0-31 = 2-5, 0-3 x 0-32 = 2-8, 0-3 x 0-33 = 2-11, 0-3 x 0-34 = 2-14, 0-3 x 0-35 = 2-17, 0-3 x 0-36 = 2-20, 0-3 x 0-37 = 2-23, 0-3 x 0-38 = 2-26, 0-3 x 0-39 = 2-29, 0-3 x 0-40 = 2-32, 0-3 x 0-41 = 2-35, 0-3 x 0-42 = 2-38, 0-3 x 0-43 = 2-41, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 1-0, 0-4 x 0-12 = 1-4, 0-4 x 0-13 = 1-8, 0-4 x 0-14 = 1-12, 0-4 x 0-15 = 1-16, 0-4 x 0-16 = 1-20, 0-4 x 0-17 = 1-24, 0-4 x 0-18 = 1-28, 0-4 x 0-19 = 1-32, 0-4 x 0-20 = 1-36, 0-4 x 0-21 = 1-40, 0-4 x 0-22 = 2-0, 0-4 x 0-23 = 2-4, 0-4 x 0-24 = 2-8, 0-4 x 0-25 = 2-12, 0-4 x 0-26 = 2-16, 0-4 x 0-27 = 2-20, 0-4 x 0-28 = 2-24, 0-4 x 0-29 = 2-28, 0-4 x 0-30 = 2-32, 0-4 x 0-31 = 2-36, 0-4 x 0-32 = 2-40, 0-4 x 0-33 = 3-0, 0-4 x 0-34 = 3-4, 0-4 x 0-35 = 3-8, 0-4 x 0-36 = 3-12, 0-4 x 0-37 = 3-16, 0-4 x 0-38 = 3-20, 0-4 x 0-39 = 3-24, 0-4 x 0-40 = 3-28, 0-4 x 0-41 = 3-32, 0-4 x 0-42 = 3-36, 0-4 x 0-43 = 3-40, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 1-1, 0-5 x 0-10 = 1-6, 0-5 x 0-11 = 1-11, 0-5 x 0-12 = 1-16, 0-5 x 0-13 = 1-21, 0-5 x 0-14 = 1-26, 0-5 x 0-15 = 1-31, 0-5 x 0-16 = 1-36, 0-5 x 0-17 = 1-41, 0-5 x 0-18 = 2-2, 0-5 x 0-19 = 2-7, 0-5 x 0-20 = 2-12, 0-5 x 0-21 = 2-17, 0-5 x 0-22 = 2-22, 0-5 x 0-23 = 2-27, 0-5 x 0-24 = 2-32, 0-5 x 0-25 = 2-37, 0-5 x 0-26 = 2-42, 0-5 x 0-27 = 3-3, 0-5 x 0-28 = 3-8, 0-5 x 0-29 = 3-13, 0-5 x 0-30 = 3-18, 0-5 x 0-31 = 3-23, 0-5 x 0-32 = 3-28, 0-5 x 0-33 = 3-33, 0-5 x 0-34 = 3-38, 0-5 x 0-35 = 3-43, 0-5 x 0-36 = 4-4, 0-5 x 0-37 = 4-9, 0-5 x 0-38 = 4-14, 0-5 x 0-39 = 4-19, 0-5 x 0-40 = 4-24, 0-5 x 0-41 = 4-29, 0-5 x 0-42 = 4-34, 0-5 x 0-43 = 4-39, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 1-4, 0-6 x 0-9 = 1-10, 0-6 x 0-10 = 1-16, 0-6 x 0-11 = 1-22, 0-6 x 0-12 = 1-28, 0-6 x 0-13 = 1-34, 0-6 x 0-14 = 1-40, 0-6 x 0-15 = 2-2, 0-6 x 0-16 = 2-8, 0-6 x 0-17 = 2-14, 0-6 x 0-18 = 2-20, 0-6 x 0-19 = 2-26, 0-6 x 0-20 = 2-32, 0-6 x 0-21 = 2-38, 0-6 x 0-22 = 3-0, 0-6 x 0-23 = 3-6, 0-6 x 0-24 = 3-12, 0-6 x 0-25 = 3-18, 0-6 x 0-26 = 3-24, 0-6 x 0-27 = 3-30, 0-6 x 0-28 = 3-36, 0-6 x 0-29 = 3-42, 0-6 x 0-30 = 4-4, 0-6 x 0-31 = 4-10, 0-6 x 0-32 = 4-16, 0-6 x 0-33 = 4-22, 0-6 x 0-34 = 4-28, 0-6 x 0-35 = 4-34, 0-6 x 0-36 = 4-40, 0-6 x 0-37 = 5-2, 0-6 x 0-38 = 5-8, 0-6 x 0-39 = 5-14, 0-6 x 0-40 = 5-20, 0-6 x 0-41 = 5-26, 0-6 x 0-42 = 5-32, 0-6 x 0-43 = 5-38, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 1-5, 0-7 x 0-8 = 1-12, 0-7 x 0-9 = 1-19, 0-7 x 0-10 = 1-26, 0-7 x 0-11 = 1-33, 0-7 x 0-12 = 1-40, 0-7 x 0-13 = 2-3, 0-7 x 0-14 = 2-10, 0-7 x 0-15 = 2-17, 0-7 x 0-16 = 2-24, 0-7 x 0-17 = 2-31, 0-7 x 0-18 = 2-38, 0-7 x 0-19 = 3-1, 0-7 x 0-20 = 3-8, 0-7 x 0-21 = 3-15, 0-7 x 0-22 = 3-22, 0-7 x 0-23 = 3-29, 0-7 x 0-24 = 3-36, 0-7 x 0-25 = 3-43, 0-7 x 0-26 = 4-6, 0-7 x 0-27 = 4-13, 0-7 x 0-28 = 4-20, 0-7 x 0-29 = 4-27, 0-7 x 0-30 = 4-34, 0-7 x 0-31 = 4-41, 0-7 x 0-32 = 5-4, 0-7 x 0-33 = 5-11, 0-7 x 0-34 = 5-18, 0-7 x 0-35 = 5-25, 0-7 x 0-36 = 5-32, 0-7 x 0-37 = 5-39, 0-7 x 0-38 = 6-2, 0-7 x 0-39 = 6-9, 0-7 x 0-40 = 6-16, 0-7 x 0-41 = 6-23, 0-7 x 0-42 = 6-30, 0-7 x 0-43 = 6-37, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 1-4, 0-8 x 0-7 = 1-12, 0-8 x 0-8 = 1-20, 0-8 x 0-9 = 1-28, 0-8 x 0-10 = 1-36, 0-8 x 0-11 = 2-0, 0-8 x 0-12 = 2-8, 0-8 x 0-13 = 2-16, 0-8 x 0-14 = 2-24, 0-8 x 0-15 = 2-32, 0-8 x 0-16 = 2-40, 0-8 x 0-17 = 3-4, 0-8 x 0-18 = 3-12, 0-8 x 0-19 = 3-20, 0-8 x 0-20 = 3-28, 0-8 x 0-21 = 3-36, 0-8 x 0-22 = 4-0, 0-8 x 0-23 = 4-8, 0-8 x 0-24 = 4-16, 0-8 x 0-25 = 4-24, 0-8 x 0-26 = 4-32, 0-8 x 0-27 = 4-40, 0-8 x 0-28 = 5-4, 0-8 x 0-29 = 5-12, 0-8 x 0-30 = 5-20, 0-8 x 0-31 = 5-28, 0-8 x 0-32 = 5-36, 0-8 x 0-33 = 6-0, 0-8 x 0-34 = 6-8, 0-8 x 0-35 = 6-16, 0-8 x 0-36 = 6-24, 0-8 x 0-37 = 6-32, 0-8 x 0-38 = 6-40, 0-8 x 0-39 = 7-4, 0-8 x 0-40 = 7-12, 0-8 x 0-41 = 7-20, 0-8 x 0-42 = 7-28, 0-8 x 0-43 = 7-36, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 1-1, 0-9 x 0-6 = 1-10, 0-9 x 0-7 = 1-19, 0-9 x 0-8 = 1-28, 0-9 x 0-9 = 1-37, 0-9 x 0-10 = 2-2, 0-9 x 0-11 = 2-11, 0-9 x 0-12 = 2-20, 0-9 x 0-13 = 2-29, 0-9 x 0-14 = 2-38, 0-9 x 0-15 = 3-3, 0-9 x 0-16 = 3-12, 0-9 x 0-17 = 3-21, 0-9 x 0-18 = 3-30, 0-9 x 0-19 = 3-39, 0-9 x 0-20 = 4-4, 0-9 x 0-21 = 4-13, 0-9 x 0-22 = 4-22, 0-9 x 0-23 = 4-31, 0-9 x 0-24 = 4-40, 0-9 x 0-25 = 5-5, 0-9 x 0-26 = 5-14, 0-9 x 0-27 = 5-23, 0-9 x 0-28 = 5-32, 0-9 x 0-29 = 5-41, 0-9 x 0-30 = 6-6, 0-9 x 0-31 = 6-15, 0-9 x 0-32 = 6-24, 0-9 x 0-33 = 6-33, 0-9 x 0-34 = 6-42, 0-9 x 0-35 = 7-7, 0-9 x 0-36 = 7-16, 0-9 x 0-37 = 7-25, 0-9 x 0-38 = 7-34, 0-9 x 0-39 = 7-43, 0-9 x 0-40 = 8-8, 0-9 x 0-41 = 8-17, 0-9 x 0-42 = 8-26, 0-9 x 0-43 = 8-35, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 1-6, 0-10 x 0-6 = 1-16, 0-10 x 0-7 = 1-26, 0-10 x 0-8 = 1-36, 0-10 x 0-9 = 2-2, 0-10 x 0-10 = 2-12, 0-10 x 0-11 = 2-22, 0-10 x 0-12 = 2-32, 0-10 x 0-13 = 2-42, 0-10 x 0-14 = 3-8, 0-10 x 0-15 = 3-18, 0-10 x 0-16 = 3-28, 0-10 x 0-17 = 3-38, 0-10 x 0-18 = 4-4, 0-10 x 0-19 = 4-14, 0-10 x 0-20 = 4-24, 0-10 x 0-21 = 4-34, 0-10 x 0-22 = 5-0, 0-10 x 0-23 = 5-10, 0-10 x 0-24 = 5-20, 0-10 x 0-25 = 5-30, 0-10 x 0-26 = 5-40, 0-10 x 0-27 = 6-6, 0-10 x 0-28 = 6-16, 0-10 x 0-29 = 6-26, 0-10 x 0-30 = 6-36, 0-10 x 0-31 = 7-2, 0-10 x 0-32 = 7-12, 0-10 x 0-33 = 7-22, 0-10 x 0-34 = 7-32, 0-10 x 0-35 = 7-42, 0-10 x 0-36 = 8-8, 0-10 x 0-37 = 8-18, 0-10 x 0-38 = 8-28, 0-10 x 0-39 = 8-38, 0-10 x 0-40 = 9-4, 0-10 x 0-41 = 9-14, 0-10 x 0-42 = 9-24, 0-10 x 0-43 = 9-34, 
