0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 0-1 x 0-44 = 0-44, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 0-44, 0-2 x 0-23 = 1-1, 0-2 x 0-24 = 1-3, 0-2 x 0-25 = 1-5, 0-2 x 0-26 = 1-7, 0-2 x 0-27 = 1-9, 0-2 x 0-28 = 1-11, 0-2 x 0-29 = 1-13, 0-2 x 0-30 = 1-15, 0-2 x 0-31 = 1-17, 0-2 x 0-32 = 1-19, 0-2 x 0-33 = 1-21, 0-2 x 0-34 = 1-23, 0-2 x 0-35 = 1-25, 0-2 x 0-36 = 1-27, 0-2 x 0-37 = 1-29, 0-2 x 0-38 = 1-31, 0-2 x 0-39 = 1-33, 0-2 x 0-40 = 1-35, 0-2 x 0-41 = 1-37, 0-2 x 0-42 = 1-39, 0-2 x 0-43 = 1-41, 0-2 x 0-44 = 1-43, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 1-0, 0-3 x 0-16 = 1-3, 0-3 x 0-17 = 1-6, 0-3 x 0-18 = 1-9, 0-3 x 0-19 = 1-12, 0-3 x 0-20 = 1-15, 0-3 x 0-21 = 1-18, 0-3 x 0-22 = 1-21, 0-3 x 0-23 = 1-24, 0-3 x 0-24 = 1-27, 0-3 x 0-25 = 1-30, 0-3 x 0-26 = 1-33, 0-3 x 0-27 = 1-36, 0-3 x 0-28 = 1-39, 0-3 x 0-29 = 1-42, 0-3 x 0-30 = 2-0, 0-3 x 0-31 = 2-3, 0-3 x 0-32 = 2-6, 0-3 x 0-33 = 2-9, 0-3 x 0-34 = 2-12, 0-3 x 0-35 = 2-15, 0-3 x 0-36 = 2-18, 0-3 x 0-37 = 2-21, 0-3 x 0-38 = 2-24, 0-3 x 0-39 = 2-27, 0-3 x 0-40 = 2-30, 0-3 x 0-41 = 2-33, 0-3 x 0-42 = 2-36, 0-3 x 0-43 = 2-39, 0-3 x 0-44 = 2-42, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 0-44, 0-4 x 0-12 = 1-3, 0-4 x 0-13 = 1-7, 0-4 x 0-14 = 1-11, 0-4 x 0-15 = 1-15, 0-4 x 0-16 = 1-19, 0-4 x 0-17 = 1-23, 0-4 x 0-18 = 1-27, 0-4 x 0-19 = 1-31, 0-4 x 0-20 = 1-35, 0-4 x 0-21 = 1-39, 0-4 x 0-22 = 1-43, 0-4 x 0-23 = 2-2, 0-4 x 0-24 = 2-6, 0-4 x 0-25 = 2-10, 0-4 x 0-26 = 2-14, 0-4 x 0-27 = 2-18, 0-4 x 0-28 = 2-22, 0-4 x 0-29 = 2-26, 0-4 x 0-30 = 2-30, 0-4 x 0-31 = 2-34, 0-4 x 0-32 = 2-38, 0-4 x 0-33 = 2-42, 0-4 x 0-34 = 3-1, 0-4 x 0-35 = 3-5, 0-4 x 0-36 = 3-9, 0-4 x 0-37 = 3-13, 0-4 x 0-38 = 3-17, 0-4 x 0-39 = 3-21, 0-4 x 0-40 = 3-25, 0-4 x 0-41 = 3-29, 0-4 x 0-42 = 3-33, 0-4 x 0-43 = 3-37, 0-4 x 0-44 = 3-41, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 1-0, 0-5 x 0-10 = 1-5, 0-5 x 0-11 = 1-10, 0-5 x 0-12 = 1-15, 0-5 x 0-13 = 1-20, 0-5 x 0-14 = 1-25, 0-5 x 0-15 = 1-30, 0-5 x 0-16 = 1-35, 0-5 x 0-17 = 1-40, 0-5 x 0-18 = 2-0, 0-5 x 0-19 = 2-5, 0-5 x 0-20 = 2-10, 0-5 x 0-21 = 2-15, 0-5 x 0-22 = 2-20, 0-5 x 0-23 = 2-25, 0-5 x 0-24 = 2-30, 0-5 x 0-25 = 2-35, 0-5 x 0-26 = 2-40, 0-5 x 0-27 = 3-0, 0-5 x 0-28 = 3-5, 0-5 x 0-29 = 3-10, 0-5 x 0-30 = 3-15, 0-5 x 0-31 = 3-20, 0-5 x 0-32 = 3-25, 0-5 x 0-33 = 3-30, 0-5 x 0-34 = 3-35, 0-5 x 0-35 = 3-40, 0-5 x 0-36 = 4-0, 0-5 x 0-37 = 4-5, 0-5 x 0-38 = 4-10, 0-5 x 0-39 = 4-15, 0-5 x 0-40 = 4-20, 0-5 x 0-41 = 4-25, 0-5 x 0-42 = 4-30, 0-5 x 0-43 = 4-35, 0-5 x 0-44 = 4-40, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 1-3, 0-6 x 0-9 = 1-9, 0-6 x 0-10 = 1-15, 0-6 x 0-11 = 1-21, 0-6 x 0-12 = 1-27, 0-6 x 0-13 = 1-33, 0-6 x 0-14 = 1-39, 0-6 x 0-15 = 2-0, 0-6 x 0-16 = 2-6, 0-6 x 0-17 = 2-12, 0-6 x 0-18 = 2-18, 0-6 x 0-19 = 2-24, 0-6 x 0-20 = 2-30, 0-6 x 0-21 = 2-36, 0-6 x 0-22 = 2-42, 0-6 x 0-23 = 3-3, 0-6 x 0-24 = 3-9, 0-6 x 0-25 = 3-15, 0-6 x 0-26 = 3-21, 0-6 x 0-27 = 3-27, 0-6 x 0-28 = 3-33, 0-6 x 0-29 = 3-39, 0-6 x 0-30 = 4-0, 0-6 x 0-31 = 4-6, 0-6 x 0-32 = 4-12, 0-6 x 0-33 = 4-18, 0-6 x 0-34 = 4-24, 0-6 x 0-35 = 4-30, 0-6 x 0-36 = 4-36, 0-6 x 0-37 = 4-42, 0-6 x 0-38 = 5-3, 0-6 x 0-39 = 5-9, 0-6 x 0-40 = 5-15, 0-6 x 0-41 = 5-21, 0-6 x 0-42 = 5-27, 0-6 x 0-43 = 5-33, 0-6 x 0-44 = 5-39, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 1-4, 0-7 x 0-8 = 1-11, 0-7 x 0-9 = 1-18, 0-7 x 0-10 = 1-25, 0-7 x 0-11 = 1-32, 0-7 x 0-12 = 1-39, 0-7 x 0-13 = 2-1, 0-7 x 0-14 = 2-8, 0-7 x 0-15 = 2-15, 0-7 x 0-16 = 2-22, 0-7 x 0-17 = 2-29, 0-7 x 0-18 = 2-36, 0-7 x 0-19 = 2-43, 0-7 x 0-20 = 3-5, 0-7 x 0-21 = 3-12, 0-7 x 0-22 = 3-19, 0-7 x 0-23 = 3-26, 0-7 x 0-24 = 3-33, 0-7 x 0-25 = 3-40, 0-7 x 0-26 = 4-2, 0-7 x 0-27 = 4-9, 0-7 x 0-28 = 4-16, 0-7 x 0-29 = 4-23, 0-7 x 0-30 = 4-30, 0-7 x 0-31 = 4-37, 0-7 x 0-32 = 4-44, 0-7 x 0-33 = 5-6, 0-7 x 0-34 = 5-13, 0-7 x 0-35 = 5-20, 0-7 x 0-36 = 5-27, 0-7 x 0-37 = 5-34, 0-7 x 0-38 = 5-41, 0-7 x 0-39 = 6-3, 0-7 x 0-40 = 6-10, 0-7 x 0-41 = 6-17, 0-7 x 0-42 = 6-24, 0-7 x 0-43 = 6-31, 0-7 x 0-44 = 6-38, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 1-3, 0-8 x 0-7 = 1-11, 0-8 x 0-8 = 1-19, 0-8 x 0-9 = 1-27, 0-8 x 0-10 = 1-35, 0-8 x 0-11 = 1-43, 0-8 x 0-12 = 2-6, 0-8 x 0-13 = 2-14, 0-8 x 0-14 = 2-22, 0-8 x 0-15 = 2-30, 0-8 x 0-16 = 2-38, 0-8 x 0-17 = 3-1, 0-8 x 0-18 = 3-9, 0-8 x 0-19 = 3-17, 0-8 x 0-20 = 3-25, 0-8 x 0-21 = 3-33, 0-8 x 0-22 = 3-41, 0-8 x 0-23 = 4-4, 0-8 x 0-24 = 4-12, 0-8 x 0-25 = 4-20, 0-8 x 0-26 = 4-28, 0-8 x 0-27 = 4-36, 0-8 x 0-28 = 4-44, 0-8 x 0-29 = 5-7, 0-8 x 0-30 = 5-15, 0-8 x 0-31 = 5-23, 0-8 x 0-32 = 5-31, 0-8 x 0-33 = 5-39, 0-8 x 0-34 = 6-2, 0-8 x 0-35 = 6-10, 0-8 x 0-36 = 6-18, 0-8 x 0-37 = 6-26, 0-8 x 0-38 = 6-34, 0-8 x 0-39 = 6-42, 0-8 x 0-40 = 7-5, 0-8 x 0-41 = 7-13, 0-8 x 0-42 = 7-21, 0-8 x 0-43 = 7-29, 0-8 x 0-44 = 7-37, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 1-0, 0-9 x 0-6 = 1-9, 0-9 x 0-7 = 1-18, 0-9 x 0-8 = 1-27, 0-9 x 0-9 = 1-36, 0-9 x 0-10 = 2-0, 0-9 x 0-11 = 2-9, 0-9 x 0-12 = 2-18, 0-9 x 0-13 = 2-27, 0-9 x 0-14 = 2-36, 0-9 x 0-15 = 3-0, 0-9 x 0-16 = 3-9, 0-9 x 0-17 = 3-18, 0-9 x 0-18 = 3-27, 0-9 x 0-19 = 3-36, 0-9 x 0-20 = 4-0, 0-9 x 0-21 = 4-9, 0-9 x 0-22 = 4-18, 0-9 x 0-23 = 4-27, 0-9 x 0-24 = 4-36, 0-9 x 0-25 = 5-0, 0-9 x 0-26 = 5-9, 0-9 x 0-27 = 5-18, 0-9 x 0-28 = 5-27, 0-9 x 0-29 = 5-36, 0-9 x 0-30 = 6-0, 0-9 x 0-31 = 6-9, 0-9 x 0-32 = 6-18, 0-9 x 0-33 = 6-27, 0-9 x 0-34 = 6-36, 0-9 x 0-35 = 7-0, 0-9 x 0-36 = 7-9, 0-9 x 0-37 = 7-18, 0-9 x 0-38 = 7-27, 0-9 x 0-39 = 7-36, 0-9 x 0-40 = 8-0, 0-9 x 0-41 = 8-9, 0-9 x 0-42 = 8-18, 0-9 x 0-43 = 8-27, 0-9 x 0-44 = 8-36, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 1-5, 0-10 x 0-6 = 1-15, 0-10 x 0-7 = 1-25, 0-10 x 0-8 = 1-35, 0-10 x 0-9 = 2-0, 0-10 x 0-10 = 2-10, 0-10 x 0-11 = 2-20, 0-10 x 0-12 = 2-30, 0-10 x 0-13 = 2-40, 0-10 x 0-14 = 3-5, 0-10 x 0-15 = 3-15, 0-10 x 0-16 = 3-25, 0-10 x 0-17 = 3-35, 0-10 x 0-18 = 4-0, 0-10 x 0-19 = 4-10, 0-10 x 0-20 = 4-20, 0-10 x 0-21 = 4-30, 0-10 x 0-22 = 4-40, 0-10 x 0-23 = 5-5, 0-10 x 0-24 = 5-15, 0-10 x 0-25 = 5-25, 0-10 x 0-26 = 5-35, 0-10 x 0-27 = 6-0, 0-10 x 0-28 = 6-10, 0-10 x 0-29 = 6-20, 0-10 x 0-30 = 6-30, 0-10 x 0-31 = 6-40, 0-10 x 0-32 = 7-5, 0-10 x 0-33 = 7-15, 0-10 x 0-34 = 7-25, 0-10 x 0-35 = 7-35, 0-10 x 0-36 = 8-0, 0-10 x 0-37 = 8-10, 0-10 x 0-38 = 8-20, 0-10 x 0-39 = 8-30, 0-10 x 0-40 = 8-40, 0-10 x 0-41 = 9-5, 0-10 x 0-42 = 9-15, 0-10 x 0-43 = 9-25, 0-10 x 0-44 = 9-35, 
