0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 0-1 x 0-44 = 0-44, 0-1 x 0-45 = 0-45, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 0-44, 0-2 x 0-23 = 1-0, 0-2 x 0-24 = 1-2, 0-2 x 0-25 = 1-4, 0-2 x 0-26 = 1-6, 0-2 x 0-27 = 1-8, 0-2 x 0-28 = 1-10, 0-2 x 0-29 = 1-12, 0-2 x 0-30 = 1-14, 0-2 x 0-31 = 1-16, 0-2 x 0-32 = 1-18, 0-2 x 0-33 = 1-20, 0-2 x 0-34 = 1-22, 0-2 x 0-35 = 1-24, 0-2 x 0-36 = 1-26, 0-2 x 0-37 = 1-28, 0-2 x 0-38 = 1-30, 0-2 x 0-39 = 1-32, 0-2 x 0-40 = 1-34, 0-2 x 0-41 = 1-36, 0-2 x 0-42 = 1-38, 0-2 x 0-43 = 1-40, 0-2 x 0-44 = 1-42, 0-2 x 0-45 = 1-44, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 0-45, 0-3 x 0-16 = 1-2, 0-3 x 0-17 = 1-5, 0-3 x 0-18 = 1-8, 0-3 x 0-19 = 1-11, 0-3 x 0-20 = 1-14, 0-3 x 0-21 = 1-17, 0-3 x 0-22 = 1-20, 0-3 x 0-23 = 1-23, 0-3 x 0-24 = 1-26, 0-3 x 0-25 = 1-29, 0-3 x 0-26 = 1-32, 0-3 x 0-27 = 1-35, 0-3 x 0-28 = 1-38, 0-3 x 0-29 = 1-41, 0-3 x 0-30 = 1-44, 0-3 x 0-31 = 2-1, 0-3 x 0-32 = 2-4, 0-3 x 0-33 = 2-7, 0-3 x 0-34 = 2-10, 0-3 x 0-35 = 2-13, 0-3 x 0-36 = 2-16, 0-3 x 0-37 = 2-19, 0-3 x 0-38 = 2-22, 0-3 x 0-39 = 2-25, 0-3 x 0-40 = 2-28, 0-3 x 0-41 = 2-31, 0-3 x 0-42 = 2-34, 0-3 x 0-43 = 2-37, 0-3 x 0-44 = 2-40, 0-3 x 0-45 = 2-43, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 0-44, 0-4 x 0-12 = 1-2, 0-4 x 0-13 = 1-6, 0-4 x 0-14 = 1-10, 0-4 x 0-15 = 1-14, 0-4 x 0-16 = 1-18, 0-4 x 0-17 = 1-22, 0-4 x 0-18 = 1-26, 0-4 x 0-19 = 1-30, 0-4 x 0-20 = 1-34, 0-4 x 0-21 = 1-38, 0-4 x 0-22 = 1-42, 0-4 x 0-23 = 2-0, 0-4 x 0-24 = 2-4, 0-4 x 0-25 = 2-8, 0-4 x 0-26 = 2-12, 0-4 x 0-27 = 2-16, 0-4 x 0-28 = 2-20, 0-4 x 0-29 = 2-24, 0-4 x 0-30 = 2-28, 0-4 x 0-31 = 2-32, 0-4 x 0-32 = 2-36, 0-4 x 0-33 = 2-40, 0-4 x 0-34 = 2-44, 0-4 x 0-35 = 3-2, 0-4 x 0-36 = 3-6, 0-4 x 0-37 = 3-10, 0-4 x 0-38 = 3-14, 0-4 x 0-39 = 3-18, 0-4 x 0-40 = 3-22, 0-4 x 0-41 = 3-26, 0-4 x 0-42 = 3-30, 0-4 x 0-43 = 3-34, 0-4 x 0-44 = 3-38, 0-4 x 0-45 = 3-42, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 0-45, 0-5 x 0-10 = 1-4, 0-5 x 0-11 = 1-9, 0-5 x 0-12 = 1-14, 0-5 x 0-13 = 1-19, 0-5 x 0-14 = 1-24, 0-5 x 0-15 = 1-29, 0-5 x 0-16 = 1-34, 0-5 x 0-17 = 1-39, 0-5 x 0-18 = 1-44, 0-5 x 0-19 = 2-3, 0-5 x 0-20 = 2-8, 0-5 x 0-21 = 2-13, 0-5 x 0-22 = 2-18, 0-5 x 0-23 = 2-23, 0-5 x 0-24 = 2-28, 0-5 x 0-25 = 2-33, 0-5 x 0-26 = 2-38, 0-5 x 0-27 = 2-43, 0-5 x 0-28 = 3-2, 0-5 x 0-29 = 3-7, 0-5 x 0-30 = 3-12, 0-5 x 0-31 = 3-17, 0-5 x 0-32 = 3-22, 0-5 x 0-33 = 3-27, 0-5 x 0-34 = 3-32, 0-5 x 0-35 = 3-37, 0-5 x 0-36 = 3-42, 0-5 x 0-37 = 4-1, 0-5 x 0-38 = 4-6, 0-5 x 0-39 = 4-11, 0-5 x 0-40 = 4-16, 0-5 x 0-41 = 4-21, 0-5 x 0-42 = 4-26, 0-5 x 0-43 = 4-31, 0-5 x 0-44 = 4-36, 0-5 x 0-45 = 4-41, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 1-2, 0-6 x 0-9 = 1-8, 0-6 x 0-10 = 1-14, 0-6 x 0-11 = 1-20, 0-6 x 0-12 = 1-26, 0-6 x 0-13 = 1-32, 0-6 x 0-14 = 1-38, 0-6 x 0-15 = 1-44, 0-6 x 0-16 = 2-4, 0-6 x 0-17 = 2-10, 0-6 x 0-18 = 2-16, 0-6 x 0-19 = 2-22, 0-6 x 0-20 = 2-28, 0-6 x 0-21 = 2-34, 0-6 x 0-22 = 2-40, 0-6 x 0-23 = 3-0, 0-6 x 0-24 = 3-6, 0-6 x 0-25 = 3-12, 0-6 x 0-26 = 3-18, 0-6 x 0-27 = 3-24, 0-6 x 0-28 = 3-30, 0-6 x 0-29 = 3-36, 0-6 x 0-30 = 3-42, 0-6 x 0-31 = 4-2, 0-6 x 0-32 = 4-8, 0-6 x 0-33 = 4-14, 0-6 x 0-34 = 4-20, 0-6 x 0-35 = 4-26, 0-6 x 0-36 = 4-32, 0-6 x 0-37 = 4-38, 0-6 x 0-38 = 4-44, 0-6 x 0-39 = 5-4, 0-6 x 0-40 = 5-10, 0-6 x 0-41 = 5-16, 0-6 x 0-42 = 5-22, 0-6 x 0-43 = 5-28, 0-6 x 0-44 = 5-34, 0-6 x 0-45 = 5-40, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 1-3, 0-7 x 0-8 = 1-10, 0-7 x 0-9 = 1-17, 0-7 x 0-10 = 1-24, 0-7 x 0-11 = 1-31, 0-7 x 0-12 = 1-38, 0-7 x 0-13 = 1-45, 0-7 x 0-14 = 2-6, 0-7 x 0-15 = 2-13, 0-7 x 0-16 = 2-20, 0-7 x 0-17 = 2-27, 0-7 x 0-18 = 2-34, 0-7 x 0-19 = 2-41, 0-7 x 0-20 = 3-2, 0-7 x 0-21 = 3-9, 0-7 x 0-22 = 3-16, 0-7 x 0-23 = 3-23, 0-7 x 0-24 = 3-30, 0-7 x 0-25 = 3-37, 0-7 x 0-26 = 3-44, 0-7 x 0-27 = 4-5, 0-7 x 0-28 = 4-12, 0-7 x 0-29 = 4-19, 0-7 x 0-30 = 4-26, 0-7 x 0-31 = 4-33, 0-7 x 0-32 = 4-40, 0-7 x 0-33 = 5-1, 0-7 x 0-34 = 5-8, 0-7 x 0-35 = 5-15, 0-7 x 0-36 = 5-22, 0-7 x 0-37 = 5-29, 0-7 x 0-38 = 5-36, 0-7 x 0-39 = 5-43, 0-7 x 0-40 = 6-4, 0-7 x 0-41 = 6-11, 0-7 x 0-42 = 6-18, 0-7 x 0-43 = 6-25, 0-7 x 0-44 = 6-32, 0-7 x 0-45 = 6-39, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 1-2, 0-8 x 0-7 = 1-10, 0-8 x 0-8 = 1-18, 0-8 x 0-9 = 1-26, 0-8 x 0-10 = 1-34, 0-8 x 0-11 = 1-42, 0-8 x 0-12 = 2-4, 0-8 x 0-13 = 2-12, 0-8 x 0-14 = 2-20, 0-8 x 0-15 = 2-28, 0-8 x 0-16 = 2-36, 0-8 x 0-17 = 2-44, 0-8 x 0-18 = 3-6, 0-8 x 0-19 = 3-14, 0-8 x 0-20 = 3-22, 0-8 x 0-21 = 3-30, 0-8 x 0-22 = 3-38, 0-8 x 0-23 = 4-0, 0-8 x 0-24 = 4-8, 0-8 x 0-25 = 4-16, 0-8 x 0-26 = 4-24, 0-8 x 0-27 = 4-32, 0-8 x 0-28 = 4-40, 0-8 x 0-29 = 5-2, 0-8 x 0-30 = 5-10, 0-8 x 0-31 = 5-18, 0-8 x 0-32 = 5-26, 0-8 x 0-33 = 5-34, 0-8 x 0-34 = 5-42, 0-8 x 0-35 = 6-4, 0-8 x 0-36 = 6-12, 0-8 x 0-37 = 6-20, 0-8 x 0-38 = 6-28, 0-8 x 0-39 = 6-36, 0-8 x 0-40 = 6-44, 0-8 x 0-41 = 7-6, 0-8 x 0-42 = 7-14, 0-8 x 0-43 = 7-22, 0-8 x 0-44 = 7-30, 0-8 x 0-45 = 7-38, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 0-45, 0-9 x 0-6 = 1-8, 0-9 x 0-7 = 1-17, 0-9 x 0-8 = 1-26, 0-9 x 0-9 = 1-35, 0-9 x 0-10 = 1-44, 0-9 x 0-11 = 2-7, 0-9 x 0-12 = 2-16, 0-9 x 0-13 = 2-25, 0-9 x 0-14 = 2-34, 0-9 x 0-15 = 2-43, 0-9 x 0-16 = 3-6, 0-9 x 0-17 = 3-15, 0-9 x 0-18 = 3-24, 0-9 x 0-19 = 3-33, 0-9 x 0-20 = 3-42, 0-9 x 0-21 = 4-5, 0-9 x 0-22 = 4-14, 0-9 x 0-23 = 4-23, 0-9 x 0-24 = 4-32, 0-9 x 0-25 = 4-41, 0-9 x 0-26 = 5-4, 0-9 x 0-27 = 5-13, 0-9 x 0-28 = 5-22, 0-9 x 0-29 = 5-31, 0-9 x 0-30 = 5-40, 0-9 x 0-31 = 6-3, 0-9 x 0-32 = 6-12, 0-9 x 0-33 = 6-21, 0-9 x 0-34 = 6-30, 0-9 x 0-35 = 6-39, 0-9 x 0-36 = 7-2, 0-9 x 0-37 = 7-11, 0-9 x 0-38 = 7-20, 0-9 x 0-39 = 7-29, 0-9 x 0-40 = 7-38, 0-9 x 0-41 = 8-1, 0-9 x 0-42 = 8-10, 0-9 x 0-43 = 8-19, 0-9 x 0-44 = 8-28, 0-9 x 0-45 = 8-37, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 1-4, 0-10 x 0-6 = 1-14, 0-10 x 0-7 = 1-24, 0-10 x 0-8 = 1-34, 0-10 x 0-9 = 1-44, 0-10 x 0-10 = 2-8, 0-10 x 0-11 = 2-18, 0-10 x 0-12 = 2-28, 0-10 x 0-13 = 2-38, 0-10 x 0-14 = 3-2, 0-10 x 0-15 = 3-12, 0-10 x 0-16 = 3-22, 0-10 x 0-17 = 3-32, 0-10 x 0-18 = 3-42, 0-10 x 0-19 = 4-6, 0-10 x 0-20 = 4-16, 0-10 x 0-21 = 4-26, 0-10 x 0-22 = 4-36, 0-10 x 0-23 = 5-0, 0-10 x 0-24 = 5-10, 0-10 x 0-25 = 5-20, 0-10 x 0-26 = 5-30, 0-10 x 0-27 = 5-40, 0-10 x 0-28 = 6-4, 0-10 x 0-29 = 6-14, 0-10 x 0-30 = 6-24, 0-10 x 0-31 = 6-34, 0-10 x 0-32 = 6-44, 0-10 x 0-33 = 7-8, 0-10 x 0-34 = 7-18, 0-10 x 0-35 = 7-28, 0-10 x 0-36 = 7-38, 0-10 x 0-37 = 8-2, 0-10 x 0-38 = 8-12, 0-10 x 0-39 = 8-22, 0-10 x 0-40 = 8-32, 0-10 x 0-41 = 8-42, 0-10 x 0-42 = 9-6, 0-10 x 0-43 = 9-16, 0-10 x 0-44 = 9-26, 0-10 x 0-45 = 9-36, 
