1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 1 x 13 = 0-13, 1 x 14 = 0-14, 1 x 15 = 0-15, 1 x 16 = 0-16, 1 x 17 = 0-17, 1 x 18 = 0-18, 1 x 19 = 0-19, 1 x 20 = 0-20, 1 x 21 = 0-21, 1 x 22 = 0-22, 1 x 23 = 0-23, 1 x 24 = 0-24, 1 x 25 = 0-25, 1 x 26 = 0-26, 1 x 27 = 0-27, 1 x 28 = 0-28, 1 x 29 = 0-29, 1 x 30 = 0-30, 1 x 31 = 0-31, 1 x 32 = 0-32, 1 x 33 = 0-33, 1 x 34 = 0-34, 1 x 35 = 0-35, 1 x 36 = 0-36, 1 x 37 = 0-37, 1 x 38 = 0-38, 1 x 39 = 0-39, 1 x 40 = 0-40, 1 x 41 = 0-41, 1 x 42 = 0-42, 1 x 43 = 0-43, 1 x 44 = 0-44, 1 x 45 = 0-45, 1 x 46 = 0-46, 1 x 47 = 0-47, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 0-14, 2 x 8 = 0-16, 2 x 9 = 0-18, 2 x 10 = 0-20, 2 x 11 = 0-22, 2 x 12 = 0-24, 2 x 13 = 0-26, 2 x 14 = 0-28, 2 x 15 = 0-30, 2 x 16 = 0-32, 2 x 17 = 0-34, 2 x 18 = 0-36, 2 x 19 = 0-38, 2 x 20 = 0-40, 2 x 21 = 0-42, 2 x 22 = 0-44, 2 x 23 = 0-46, 2 x 24 = 1-0, 2 x 25 = 1-2, 2 x 26 = 1-4, 2 x 27 = 1-6, 2 x 28 = 1-8, 2 x 29 = 1-10, 2 x 30 = 1-12, 2 x 31 = 1-14, 2 x 32 = 1-16, 2 x 33 = 1-18, 2 x 34 = 1-20, 2 x 35 = 1-22, 2 x 36 = 1-24, 2 x 37 = 1-26, 2 x 38 = 1-28, 2 x 39 = 1-30, 2 x 40 = 1-32, 2 x 41 = 1-34, 2 x 42 = 1-36, 2 x 43 = 1-38, 2 x 44 = 1-40, 2 x 45 = 1-42, 2 x 46 = 1-44, 2 x 47 = 1-46, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 0-15, 3 x 6 = 0-18, 3 x 7 = 0-21, 3 x 8 = 0-24, 3 x 9 = 0-27, 3 x 10 = 0-30, 3 x 11 = 0-33, 3 x 12 = 0-36, 3 x 13 = 0-39, 3 x 14 = 0-42, 3 x 15 = 0-45, 3 x 16 = 1-0, 3 x 17 = 1-3, 3 x 18 = 1-6, 3 x 19 = 1-9, 3 x 20 = 1-12, 3 x 21 = 1-15, 3 x 22 = 1-18, 3 x 23 = 1-21, 3 x 24 = 1-24, 3 x 25 = 1-27, 3 x 26 = 1-30, 3 x 27 = 1-33, 3 x 28 = 1-36, 3 x 29 = 1-39, 3 x 30 = 1-42, 3 x 31 = 1-45, 3 x 32 = 2-0, 3 x 33 = 2-3, 3 x 34 = 2-6, 3 x 35 = 2-9, 3 x 36 = 2-12, 3 x 37 = 2-15, 3 x 38 = 2-18, 3 x 39 = 2-21, 3 x 40 = 2-24, 3 x 41 = 2-27, 3 x 42 = 2-30, 3 x 43 = 2-33, 3 x 44 = 2-36, 3 x 45 = 2-39, 3 x 46 = 2-42, 3 x 47 = 2-45, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 0-16, 4 x 5 = 0-20, 4 x 6 = 0-24, 4 x 7 = 0-28, 4 x 8 = 0-32, 4 x 9 = 0-36, 4 x 10 = 0-40, 4 x 11 = 0-44, 4 x 12 = 1-0, 4 x 13 = 1-4, 4 x 14 = 1-8, 4 x 15 = 1-12, 4 x 16 = 1-16, 4 x 17 = 1-20, 4 x 18 = 1-24, 4 x 19 = 1-28, 4 x 20 = 1-32, 4 x 21 = 1-36, 4 x 22 = 1-40, 4 x 23 = 1-44, 4 x 24 = 2-0, 4 x 25 = 2-4, 4 x 26 = 2-8, 4 x 27 = 2-12, 4 x 28 = 2-16, 4 x 29 = 2-20, 4 x 30 = 2-24, 4 x 31 = 2-28, 4 x 32 = 2-32, 4 x 33 = 2-36, 4 x 34 = 2-40, 4 x 35 = 2-44, 4 x 36 = 3-0, 4 x 37 = 3-4, 4 x 38 = 3-8, 4 x 39 = 3-12, 4 x 40 = 3-16, 4 x 41 = 3-20, 4 x 42 = 3-24, 4 x 43 = 3-28, 4 x 44 = 3-32, 4 x 45 = 3-36, 4 x 46 = 3-40, 4 x 47 = 3-44, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 0-15, 5 x 4 = 0-20, 5 x 5 = 0-25, 5 x 6 = 0-30, 5 x 7 = 0-35, 5 x 8 = 0-40, 5 x 9 = 0-45, 5 x 10 = 1-2, 5 x 11 = 1-7, 5 x 12 = 1-12, 5 x 13 = 1-17, 5 x 14 = 1-22, 5 x 15 = 1-27, 5 x 16 = 1-32, 5 x 17 = 1-37, 5 x 18 = 1-42, 5 x 19 = 1-47, 5 x 20 = 2-4, 5 x 21 = 2-9, 5 x 22 = 2-14, 5 x 23 = 2-19, 5 x 24 = 2-24, 5 x 25 = 2-29, 5 x 26 = 2-34, 5 x 27 = 2-39, 5 x 28 = 2-44, 5 x 29 = 3-1, 5 x 30 = 3-6, 5 x 31 = 3-11, 5 x 32 = 3-16, 5 x 33 = 3-21, 5 x 34 = 3-26, 5 x 35 = 3-31, 5 x 36 = 3-36, 5 x 37 = 3-41, 5 x 38 = 3-46, 5 x 39 = 4-3, 5 x 40 = 4-8, 5 x 41 = 4-13, 5 x 42 = 4-18, 5 x 43 = 4-23, 5 x 44 = 4-28, 5 x 45 = 4-33, 5 x 46 = 4-38, 5 x 47 = 4-43, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 0-18, 6 x 4 = 0-24, 6 x 5 = 0-30, 6 x 6 = 0-36, 6 x 7 = 0-42, 6 x 8 = 1-0, 6 x 9 = 1-6, 6 x 10 = 1-12, 6 x 11 = 1-18, 6 x 12 = 1-24, 6 x 13 = 1-30, 6 x 14 = 1-36, 6 x 15 = 1-42, 6 x 16 = 2-0, 6 x 17 = 2-6, 6 x 18 = 2-12, 6 x 19 = 2-18, 6 x 20 = 2-24, 6 x 21 = 2-30, 6 x 22 = 2-36, 6 x 23 = 2-42, 6 x 24 = 3-0, 6 x 25 = 3-6, 6 x 26 = 3-12, 6 x 27 = 3-18, 6 x 28 = 3-24, 6 x 29 = 3-30, 6 x 30 = 3-36, 6 x 31 = 3-42, 6 x 32 = 4-0, 6 x 33 = 4-6, 6 x 34 = 4-12, 6 x 35 = 4-18, 6 x 36 = 4-24, 6 x 37 = 4-30, 6 x 38 = 4-36, 6 x 39 = 4-42, 6 x 40 = 5-0, 6 x 41 = 5-6, 6 x 42 = 5-12, 6 x 43 = 5-18, 6 x 44 = 5-24, 6 x 45 = 5-30, 6 x 46 = 5-36, 6 x 47 = 5-42, 
7 x 1 = 0-7, 7 x 2 = 0-14, 7 x 3 = 0-21, 7 x 4 = 0-28, 7 x 5 = 0-35, 7 x 6 = 0-42, 7 x 7 = 1-1, 7 x 8 = 1-8, 7 x 9 = 1-15, 7 x 10 = 1-22, 7 x 11 = 1-29, 7 x 12 = 1-36, 7 x 13 = 1-43, 7 x 14 = 2-2, 7 x 15 = 2-9, 7 x 16 = 2-16, 7 x 17 = 2-23, 7 x 18 = 2-30, 7 x 19 = 2-37, 7 x 20 = 2-44, 7 x 21 = 3-3, 7 x 22 = 3-10, 7 x 23 = 3-17, 7 x 24 = 3-24, 7 x 25 = 3-31, 7 x 26 = 3-38, 7 x 27 = 3-45, 7 x 28 = 4-4, 7 x 29 = 4-11, 7 x 30 = 4-18, 7 x 31 = 4-25, 7 x 32 = 4-32, 7 x 33 = 4-39, 7 x 34 = 4-46, 7 x 35 = 5-5, 7 x 36 = 5-12, 7 x 37 = 5-19, 7 x 38 = 5-26, 7 x 39 = 5-33, 7 x 40 = 5-40, 7 x 41 = 5-47, 7 x 42 = 6-6, 7 x 43 = 6-13, 7 x 44 = 6-20, 7 x 45 = 6-27, 7 x 46 = 6-34, 7 x 47 = 6-41, 
8 x 1 = 0-8, 8 x 2 = 0-16, 8 x 3 = 0-24, 8 x 4 = 0-32, 8 x 5 = 0-40, 8 x 6 = 1-0, 8 x 7 = 1-8, 8 x 8 = 1-16, 8 x 9 = 1-24, 8 x 10 = 1-32, 8 x 11 = 1-40, 8 x 12 = 2-0, 8 x 13 = 2-8, 8 x 14 = 2-16, 8 x 15 = 2-24, 8 x 16 = 2-32, 8 x 17 = 2-40, 8 x 18 = 3-0, 8 x 19 = 3-8, 8 x 20 = 3-16, 8 x 21 = 3-24, 8 x 22 = 3-32, 8 x 23 = 3-40, 8 x 24 = 4-0, 8 x 25 = 4-8, 8 x 26 = 4-16, 8 x 27 = 4-24, 8 x 28 = 4-32, 8 x 29 = 4-40, 8 x 30 = 5-0, 8 x 31 = 5-8, 8 x 32 = 5-16, 8 x 33 = 5-24, 8 x 34 = 5-32, 8 x 35 = 5-40, 8 x 36 = 6-0, 8 x 37 = 6-8, 8 x 38 = 6-16, 8 x 39 = 6-24, 8 x 40 = 6-32, 8 x 41 = 6-40, 8 x 42 = 7-0, 8 x 43 = 7-8, 8 x 44 = 7-16, 8 x 45 = 7-24, 8 x 46 = 7-32, 8 x 47 = 7-40, 
9 x 1 = 0-9, 9 x 2 = 0-18, 9 x 3 = 0-27, 9 x 4 = 0-36, 9 x 5 = 0-45, 9 x 6 = 1-6, 9 x 7 = 1-15, 9 x 8 = 1-24, 9 x 9 = 1-33, 9 x 10 = 1-42, 9 x 11 = 2-3, 9 x 12 = 2-12, 9 x 13 = 2-21, 9 x 14 = 2-30, 9 x 15 = 2-39, 9 x 16 = 3-0, 9 x 17 = 3-9, 9 x 18 = 3-18, 9 x 19 = 3-27, 9 x 20 = 3-36, 9 x 21 = 3-45, 9 x 22 = 4-6, 9 x 23 = 4-15, 9 x 24 = 4-24, 9 x 25 = 4-33, 9 x 26 = 4-42, 9 x 27 = 5-3, 9 x 28 = 5-12, 9 x 29 = 5-21, 9 x 30 = 5-30, 9 x 31 = 5-39, 9 x 32 = 6-0, 9 x 33 = 6-9, 9 x 34 = 6-18, 9 x 35 = 6-27, 9 x 36 = 6-36, 9 x 37 = 6-45, 9 x 38 = 7-6, 9 x 39 = 7-15, 9 x 40 = 7-24, 9 x 41 = 7-33, 9 x 42 = 7-42, 9 x 43 = 8-3, 9 x 44 = 8-12, 9 x 45 = 8-21, 9 x 46 = 8-30, 9 x 47 = 8-39, 
10 x 1 = 0-10, 10 x 2 = 0-20, 10 x 3 = 0-30, 10 x 4 = 0-40, 10 x 5 = 1-2, 10 x 6 = 1-12, 10 x 7 = 1-22, 10 x 8 = 1-32, 10 x 9 = 1-42, 10 x 10 = 2-4, 10 x 11 = 2-14, 10 x 12 = 2-24, 10 x 13 = 2-34, 10 x 14 = 2-44, 10 x 15 = 3-6, 10 x 16 = 3-16, 10 x 17 = 3-26, 10 x 18 = 3-36, 10 x 19 = 3-46, 10 x 20 = 4-8, 10 x 21 = 4-18, 10 x 22 = 4-28, 10 x 23 = 4-38, 10 x 24 = 5-0, 10 x 25 = 5-10, 10 x 26 = 5-20, 10 x 27 = 5-30, 10 x 28 = 5-40, 10 x 29 = 6-2, 10 x 30 = 6-12, 10 x 31 = 6-22, 10 x 32 = 6-32, 10 x 33 = 6-42, 10 x 34 = 7-4, 10 x 35 = 7-14, 10 x 36 = 7-24, 10 x 37 = 7-34, 10 x 38 = 7-44, 10 x 39 = 8-6, 10 x 40 = 8-16, 10 x 41 = 8-26, 10 x 42 = 8-36, 10 x 43 = 8-46, 10 x 44 = 9-8, 10 x 45 = 9-18, 10 x 46 = 9-28, 10 x 47 = 9-38, 
