0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 0-1 x 0-44 = 0-44, 0-1 x 0-45 = 0-45, 0-1 x 0-46 = 0-46, 0-1 x 0-47 = 0-47, 0-1 x 0-48 = 0-48, 0-1 x 0-49 = 0-49, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 0-44, 0-2 x 0-23 = 0-46, 0-2 x 0-24 = 0-48, 0-2 x 0-25 = 1-0, 0-2 x 0-26 = 1-2, 0-2 x 0-27 = 1-4, 0-2 x 0-28 = 1-6, 0-2 x 0-29 = 1-8, 0-2 x 0-30 = 1-10, 0-2 x 0-31 = 1-12, 0-2 x 0-32 = 1-14, 0-2 x 0-33 = 1-16, 0-2 x 0-34 = 1-18, 0-2 x 0-35 = 1-20, 0-2 x 0-36 = 1-22, 0-2 x 0-37 = 1-24, 0-2 x 0-38 = 1-26, 0-2 x 0-39 = 1-28, 0-2 x 0-40 = 1-30, 0-2 x 0-41 = 1-32, 0-2 x 0-42 = 1-34, 0-2 x 0-43 = 1-36, 0-2 x 0-44 = 1-38, 0-2 x 0-45 = 1-40, 0-2 x 0-46 = 1-42, 0-2 x 0-47 = 1-44, 0-2 x 0-48 = 1-46, 0-2 x 0-49 = 1-48, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 0-45, 0-3 x 0-16 = 0-48, 0-3 x 0-17 = 1-1, 0-3 x 0-18 = 1-4, 0-3 x 0-19 = 1-7, 0-3 x 0-20 = 1-10, 0-3 x 0-21 = 1-13, 0-3 x 0-22 = 1-16, 0-3 x 0-23 = 1-19, 0-3 x 0-24 = 1-22, 0-3 x 0-25 = 1-25, 0-3 x 0-26 = 1-28, 0-3 x 0-27 = 1-31, 0-3 x 0-28 = 1-34, 0-3 x 0-29 = 1-37, 0-3 x 0-30 = 1-40, 0-3 x 0-31 = 1-43, 0-3 x 0-32 = 1-46, 0-3 x 0-33 = 1-49, 0-3 x 0-34 = 2-2, 0-3 x 0-35 = 2-5, 0-3 x 0-36 = 2-8, 0-3 x 0-37 = 2-11, 0-3 x 0-38 = 2-14, 0-3 x 0-39 = 2-17, 0-3 x 0-40 = 2-20, 0-3 x 0-41 = 2-23, 0-3 x 0-42 = 2-26, 0-3 x 0-43 = 2-29, 0-3 x 0-44 = 2-32, 0-3 x 0-45 = 2-35, 0-3 x 0-46 = 2-38, 0-3 x 0-47 = 2-41, 0-3 x 0-48 = 2-44, 0-3 x 0-49 = 2-47, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 0-44, 0-4 x 0-12 = 0-48, 0-4 x 0-13 = 1-2, 0-4 x 0-14 = 1-6, 0-4 x 0-15 = 1-10, 0-4 x 0-16 = 1-14, 0-4 x 0-17 = 1-18, 0-4 x 0-18 = 1-22, 0-4 x 0-19 = 1-26, 0-4 x 0-20 = 1-30, 0-4 x 0-21 = 1-34, 0-4 x 0-22 = 1-38, 0-4 x 0-23 = 1-42, 0-4 x 0-24 = 1-46, 0-4 x 0-25 = 2-0, 0-4 x 0-26 = 2-4, 0-4 x 0-27 = 2-8, 0-4 x 0-28 = 2-12, 0-4 x 0-29 = 2-16, 0-4 x 0-30 = 2-20, 0-4 x 0-31 = 2-24, 0-4 x 0-32 = 2-28, 0-4 x 0-33 = 2-32, 0-4 x 0-34 = 2-36, 0-4 x 0-35 = 2-40, 0-4 x 0-36 = 2-44, 0-4 x 0-37 = 2-48, 0-4 x 0-38 = 3-2, 0-4 x 0-39 = 3-6, 0-4 x 0-40 = 3-10, 0-4 x 0-41 = 3-14, 0-4 x 0-42 = 3-18, 0-4 x 0-43 = 3-22, 0-4 x 0-44 = 3-26, 0-4 x 0-45 = 3-30, 0-4 x 0-46 = 3-34, 0-4 x 0-47 = 3-38, 0-4 x 0-48 = 3-42, 0-4 x 0-49 = 3-46, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 0-45, 0-5 x 0-10 = 1-0, 0-5 x 0-11 = 1-5, 0-5 x 0-12 = 1-10, 0-5 x 0-13 = 1-15, 0-5 x 0-14 = 1-20, 0-5 x 0-15 = 1-25, 0-5 x 0-16 = 1-30, 0-5 x 0-17 = 1-35, 0-5 x 0-18 = 1-40, 0-5 x 0-19 = 1-45, 0-5 x 0-20 = 2-0, 0-5 x 0-21 = 2-5, 0-5 x 0-22 = 2-10, 0-5 x 0-23 = 2-15, 0-5 x 0-24 = 2-20, 0-5 x 0-25 = 2-25, 0-5 x 0-26 = 2-30, 0-5 x 0-27 = 2-35, 0-5 x 0-28 = 2-40, 0-5 x 0-29 = 2-45, 0-5 x 0-30 = 3-0, 0-5 x 0-31 = 3-5, 0-5 x 0-32 = 3-10, 0-5 x 0-33 = 3-15, 0-5 x 0-34 = 3-20, 0-5 x 0-35 = 3-25, 0-5 x 0-36 = 3-30, 0-5 x 0-37 = 3-35, 0-5 x 0-38 = 3-40, 0-5 x 0-39 = 3-45, 0-5 x 0-40 = 4-0, 0-5 x 0-41 = 4-5, 0-5 x 0-42 = 4-10, 0-5 x 0-43 = 4-15, 0-5 x 0-44 = 4-20, 0-5 x 0-45 = 4-25, 0-5 x 0-46 = 4-30, 0-5 x 0-47 = 4-35, 0-5 x 0-48 = 4-40, 0-5 x 0-49 = 4-45, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 0-48, 0-6 x 0-9 = 1-4, 0-6 x 0-10 = 1-10, 0-6 x 0-11 = 1-16, 0-6 x 0-12 = 1-22, 0-6 x 0-13 = 1-28, 0-6 x 0-14 = 1-34, 0-6 x 0-15 = 1-40, 0-6 x 0-16 = 1-46, 0-6 x 0-17 = 2-2, 0-6 x 0-18 = 2-8, 0-6 x 0-19 = 2-14, 0-6 x 0-20 = 2-20, 0-6 x 0-21 = 2-26, 0-6 x 0-22 = 2-32, 0-6 x 0-23 = 2-38, 0-6 x 0-24 = 2-44, 0-6 x 0-25 = 3-0, 0-6 x 0-26 = 3-6, 0-6 x 0-27 = 3-12, 0-6 x 0-28 = 3-18, 0-6 x 0-29 = 3-24, 0-6 x 0-30 = 3-30, 0-6 x 0-31 = 3-36, 0-6 x 0-32 = 3-42, 0-6 x 0-33 = 3-48, 0-6 x 0-34 = 4-4, 0-6 x 0-35 = 4-10, 0-6 x 0-36 = 4-16, 0-6 x 0-37 = 4-22, 0-6 x 0-38 = 4-28, 0-6 x 0-39 = 4-34, 0-6 x 0-40 = 4-40, 0-6 x 0-41 = 4-46, 0-6 x 0-42 = 5-2, 0-6 x 0-43 = 5-8, 0-6 x 0-44 = 5-14, 0-6 x 0-45 = 5-20, 0-6 x 0-46 = 5-26, 0-6 x 0-47 = 5-32, 0-6 x 0-48 = 5-38, 0-6 x 0-49 = 5-44, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 0-49, 0-7 x 0-8 = 1-6, 0-7 x 0-9 = 1-13, 0-7 x 0-10 = 1-20, 0-7 x 0-11 = 1-27, 0-7 x 0-12 = 1-34, 0-7 x 0-13 = 1-41, 0-7 x 0-14 = 1-48, 0-7 x 0-15 = 2-5, 0-7 x 0-16 = 2-12, 0-7 x 0-17 = 2-19, 0-7 x 0-18 = 2-26, 0-7 x 0-19 = 2-33, 0-7 x 0-20 = 2-40, 0-7 x 0-21 = 2-47, 0-7 x 0-22 = 3-4, 0-7 x 0-23 = 3-11, 0-7 x 0-24 = 3-18, 0-7 x 0-25 = 3-25, 0-7 x 0-26 = 3-32, 0-7 x 0-27 = 3-39, 0-7 x 0-28 = 3-46, 0-7 x 0-29 = 4-3, 0-7 x 0-30 = 4-10, 0-7 x 0-31 = 4-17, 0-7 x 0-32 = 4-24, 0-7 x 0-33 = 4-31, 0-7 x 0-34 = 4-38, 0-7 x 0-35 = 4-45, 0-7 x 0-36 = 5-2, 0-7 x 0-37 = 5-9, 0-7 x 0-38 = 5-16, 0-7 x 0-39 = 5-23, 0-7 x 0-40 = 5-30, 0-7 x 0-41 = 5-37, 0-7 x 0-42 = 5-44, 0-7 x 0-43 = 6-1, 0-7 x 0-44 = 6-8, 0-7 x 0-45 = 6-15, 0-7 x 0-46 = 6-22, 0-7 x 0-47 = 6-29, 0-7 x 0-48 = 6-36, 0-7 x 0-49 = 6-43, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 0-48, 0-8 x 0-7 = 1-6, 0-8 x 0-8 = 1-14, 0-8 x 0-9 = 1-22, 0-8 x 0-10 = 1-30, 0-8 x 0-11 = 1-38, 0-8 x 0-12 = 1-46, 0-8 x 0-13 = 2-4, 0-8 x 0-14 = 2-12, 0-8 x 0-15 = 2-20, 0-8 x 0-16 = 2-28, 0-8 x 0-17 = 2-36, 0-8 x 0-18 = 2-44, 0-8 x 0-19 = 3-2, 0-8 x 0-20 = 3-10, 0-8 x 0-21 = 3-18, 0-8 x 0-22 = 3-26, 0-8 x 0-23 = 3-34, 0-8 x 0-24 = 3-42, 0-8 x 0-25 = 4-0, 0-8 x 0-26 = 4-8, 0-8 x 0-27 = 4-16, 0-8 x 0-28 = 4-24, 0-8 x 0-29 = 4-32, 0-8 x 0-30 = 4-40, 0-8 x 0-31 = 4-48, 0-8 x 0-32 = 5-6, 0-8 x 0-33 = 5-14, 0-8 x 0-34 = 5-22, 0-8 x 0-35 = 5-30, 0-8 x 0-36 = 5-38, 0-8 x 0-37 = 5-46, 0-8 x 0-38 = 6-4, 0-8 x 0-39 = 6-12, 0-8 x 0-40 = 6-20, 0-8 x 0-41 = 6-28, 0-8 x 0-42 = 6-36, 0-8 x 0-43 = 6-44, 0-8 x 0-44 = 7-2, 0-8 x 0-45 = 7-10, 0-8 x 0-46 = 7-18, 0-8 x 0-47 = 7-26, 0-8 x 0-48 = 7-34, 0-8 x 0-49 = 7-42, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 0-45, 0-9 x 0-6 = 1-4, 0-9 x 0-7 = 1-13, 0-9 x 0-8 = 1-22, 0-9 x 0-9 = 1-31, 0-9 x 0-10 = 1-40, 0-9 x 0-11 = 1-49, 0-9 x 0-12 = 2-8, 0-9 x 0-13 = 2-17, 0-9 x 0-14 = 2-26, 0-9 x 0-15 = 2-35, 0-9 x 0-16 = 2-44, 0-9 x 0-17 = 3-3, 0-9 x 0-18 = 3-12, 0-9 x 0-19 = 3-21, 0-9 x 0-20 = 3-30, 0-9 x 0-21 = 3-39, 0-9 x 0-22 = 3-48, 0-9 x 0-23 = 4-7, 0-9 x 0-24 = 4-16, 0-9 x 0-25 = 4-25, 0-9 x 0-26 = 4-34, 0-9 x 0-27 = 4-43, 0-9 x 0-28 = 5-2, 0-9 x 0-29 = 5-11, 0-9 x 0-30 = 5-20, 0-9 x 0-31 = 5-29, 0-9 x 0-32 = 5-38, 0-9 x 0-33 = 5-47, 0-9 x 0-34 = 6-6, 0-9 x 0-35 = 6-15, 0-9 x 0-36 = 6-24, 0-9 x 0-37 = 6-33, 0-9 x 0-38 = 6-42, 0-9 x 0-39 = 7-1, 0-9 x 0-40 = 7-10, 0-9 x 0-41 = 7-19, 0-9 x 0-42 = 7-28, 0-9 x 0-43 = 7-37, 0-9 x 0-44 = 7-46, 0-9 x 0-45 = 8-5, 0-9 x 0-46 = 8-14, 0-9 x 0-47 = 8-23, 0-9 x 0-48 = 8-32, 0-9 x 0-49 = 8-41, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 1-0, 0-10 x 0-6 = 1-10, 0-10 x 0-7 = 1-20, 0-10 x 0-8 = 1-30, 0-10 x 0-9 = 1-40, 0-10 x 0-10 = 2-0, 0-10 x 0-11 = 2-10, 0-10 x 0-12 = 2-20, 0-10 x 0-13 = 2-30, 0-10 x 0-14 = 2-40, 0-10 x 0-15 = 3-0, 0-10 x 0-16 = 3-10, 0-10 x 0-17 = 3-20, 0-10 x 0-18 = 3-30, 0-10 x 0-19 = 3-40, 0-10 x 0-20 = 4-0, 0-10 x 0-21 = 4-10, 0-10 x 0-22 = 4-20, 0-10 x 0-23 = 4-30, 0-10 x 0-24 = 4-40, 0-10 x 0-25 = 5-0, 0-10 x 0-26 = 5-10, 0-10 x 0-27 = 5-20, 0-10 x 0-28 = 5-30, 0-10 x 0-29 = 5-40, 0-10 x 0-30 = 6-0, 0-10 x 0-31 = 6-10, 0-10 x 0-32 = 6-20, 0-10 x 0-33 = 6-30, 0-10 x 0-34 = 6-40, 0-10 x 0-35 = 7-0, 0-10 x 0-36 = 7-10, 0-10 x 0-37 = 7-20, 0-10 x 0-38 = 7-30, 0-10 x 0-39 = 7-40, 0-10 x 0-40 = 8-0, 0-10 x 0-41 = 8-10, 0-10 x 0-42 = 8-20, 0-10 x 0-43 = 8-30, 0-10 x 0-44 = 8-40, 0-10 x 0-45 = 9-0, 0-10 x 0-46 = 9-10, 0-10 x 0-47 = 9-20, 0-10 x 0-48 = 9-30, 0-10 x 0-49 = 9-40, 
