0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 0-1 x 0-44 = 0-44, 0-1 x 0-45 = 0-45, 0-1 x 0-46 = 0-46, 0-1 x 0-47 = 0-47, 0-1 x 0-48 = 0-48, 0-1 x 0-49 = 0-49, 0-1 x 0-50 = 0-50, 0-1 x 0-51 = 0-51, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 0-44, 0-2 x 0-23 = 0-46, 0-2 x 0-24 = 0-48, 0-2 x 0-25 = 0-50, 0-2 x 0-26 = 1-0, 0-2 x 0-27 = 1-2, 0-2 x 0-28 = 1-4, 0-2 x 0-29 = 1-6, 0-2 x 0-30 = 1-8, 0-2 x 0-31 = 1-10, 0-2 x 0-32 = 1-12, 0-2 x 0-33 = 1-14, 0-2 x 0-34 = 1-16, 0-2 x 0-35 = 1-18, 0-2 x 0-36 = 1-20, 0-2 x 0-37 = 1-22, 0-2 x 0-38 = 1-24, 0-2 x 0-39 = 1-26, 0-2 x 0-40 = 1-28, 0-2 x 0-41 = 1-30, 0-2 x 0-42 = 1-32, 0-2 x 0-43 = 1-34, 0-2 x 0-44 = 1-36, 0-2 x 0-45 = 1-38, 0-2 x 0-46 = 1-40, 0-2 x 0-47 = 1-42, 0-2 x 0-48 = 1-44, 0-2 x 0-49 = 1-46, 0-2 x 0-50 = 1-48, 0-2 x 0-51 = 1-50, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 0-45, 0-3 x 0-16 = 0-48, 0-3 x 0-17 = 0-51, 0-3 x 0-18 = 1-2, 0-3 x 0-19 = 1-5, 0-3 x 0-20 = 1-8, 0-3 x 0-21 = 1-11, 0-3 x 0-22 = 1-14, 0-3 x 0-23 = 1-17, 0-3 x 0-24 = 1-20, 0-3 x 0-25 = 1-23, 0-3 x 0-26 = 1-26, 0-3 x 0-27 = 1-29, 0-3 x 0-28 = 1-32, 0-3 x 0-29 = 1-35, 0-3 x 0-30 = 1-38, 0-3 x 0-31 = 1-41, 0-3 x 0-32 = 1-44, 0-3 x 0-33 = 1-47, 0-3 x 0-34 = 1-50, 0-3 x 0-35 = 2-1, 0-3 x 0-36 = 2-4, 0-3 x 0-37 = 2-7, 0-3 x 0-38 = 2-10, 0-3 x 0-39 = 2-13, 0-3 x 0-40 = 2-16, 0-3 x 0-41 = 2-19, 0-3 x 0-42 = 2-22, 0-3 x 0-43 = 2-25, 0-3 x 0-44 = 2-28, 0-3 x 0-45 = 2-31, 0-3 x 0-46 = 2-34, 0-3 x 0-47 = 2-37, 0-3 x 0-48 = 2-40, 0-3 x 0-49 = 2-43, 0-3 x 0-50 = 2-46, 0-3 x 0-51 = 2-49, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 0-44, 0-4 x 0-12 = 0-48, 0-4 x 0-13 = 1-0, 0-4 x 0-14 = 1-4, 0-4 x 0-15 = 1-8, 0-4 x 0-16 = 1-12, 0-4 x 0-17 = 1-16, 0-4 x 0-18 = 1-20, 0-4 x 0-19 = 1-24, 0-4 x 0-20 = 1-28, 0-4 x 0-21 = 1-32, 0-4 x 0-22 = 1-36, 0-4 x 0-23 = 1-40, 0-4 x 0-24 = 1-44, 0-4 x 0-25 = 1-48, 0-4 x 0-26 = 2-0, 0-4 x 0-27 = 2-4, 0-4 x 0-28 = 2-8, 0-4 x 0-29 = 2-12, 0-4 x 0-30 = 2-16, 0-4 x 0-31 = 2-20, 0-4 x 0-32 = 2-24, 0-4 x 0-33 = 2-28, 0-4 x 0-34 = 2-32, 0-4 x 0-35 = 2-36, 0-4 x 0-36 = 2-40, 0-4 x 0-37 = 2-44, 0-4 x 0-38 = 2-48, 0-4 x 0-39 = 3-0, 0-4 x 0-40 = 3-4, 0-4 x 0-41 = 3-8, 0-4 x 0-42 = 3-12, 0-4 x 0-43 = 3-16, 0-4 x 0-44 = 3-20, 0-4 x 0-45 = 3-24, 0-4 x 0-46 = 3-28, 0-4 x 0-47 = 3-32, 0-4 x 0-48 = 3-36, 0-4 x 0-49 = 3-40, 0-4 x 0-50 = 3-44, 0-4 x 0-51 = 3-48, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 0-45, 0-5 x 0-10 = 0-50, 0-5 x 0-11 = 1-3, 0-5 x 0-12 = 1-8, 0-5 x 0-13 = 1-13, 0-5 x 0-14 = 1-18, 0-5 x 0-15 = 1-23, 0-5 x 0-16 = 1-28, 0-5 x 0-17 = 1-33, 0-5 x 0-18 = 1-38, 0-5 x 0-19 = 1-43, 0-5 x 0-20 = 1-48, 0-5 x 0-21 = 2-1, 0-5 x 0-22 = 2-6, 0-5 x 0-23 = 2-11, 0-5 x 0-24 = 2-16, 0-5 x 0-25 = 2-21, 0-5 x 0-26 = 2-26, 0-5 x 0-27 = 2-31, 0-5 x 0-28 = 2-36, 0-5 x 0-29 = 2-41, 0-5 x 0-30 = 2-46, 0-5 x 0-31 = 2-51, 0-5 x 0-32 = 3-4, 0-5 x 0-33 = 3-9, 0-5 x 0-34 = 3-14, 0-5 x 0-35 = 3-19, 0-5 x 0-36 = 3-24, 0-5 x 0-37 = 3-29, 0-5 x 0-38 = 3-34, 0-5 x 0-39 = 3-39, 0-5 x 0-40 = 3-44, 0-5 x 0-41 = 3-49, 0-5 x 0-42 = 4-2, 0-5 x 0-43 = 4-7, 0-5 x 0-44 = 4-12, 0-5 x 0-45 = 4-17, 0-5 x 0-46 = 4-22, 0-5 x 0-47 = 4-27, 0-5 x 0-48 = 4-32, 0-5 x 0-49 = 4-37, 0-5 x 0-50 = 4-42, 0-5 x 0-51 = 4-47, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 0-48, 0-6 x 0-9 = 1-2, 0-6 x 0-10 = 1-8, 0-6 x 0-11 = 1-14, 0-6 x 0-12 = 1-20, 0-6 x 0-13 = 1-26, 0-6 x 0-14 = 1-32, 0-6 x 0-15 = 1-38, 0-6 x 0-16 = 1-44, 0-6 x 0-17 = 1-50, 0-6 x 0-18 = 2-4, 0-6 x 0-19 = 2-10, 0-6 x 0-20 = 2-16, 0-6 x 0-21 = 2-22, 0-6 x 0-22 = 2-28, 0-6 x 0-23 = 2-34, 0-6 x 0-24 = 2-40, 0-6 x 0-25 = 2-46, 0-6 x 0-26 = 3-0, 0-6 x 0-27 = 3-6, 0-6 x 0-28 = 3-12, 0-6 x 0-29 = 3-18, 0-6 x 0-30 = 3-24, 0-6 x 0-31 = 3-30, 0-6 x 0-32 = 3-36, 0-6 x 0-33 = 3-42, 0-6 x 0-34 = 3-48, 0-6 x 0-35 = 4-2, 0-6 x 0-36 = 4-8, 0-6 x 0-37 = 4-14, 0-6 x 0-38 = 4-20, 0-6 x 0-39 = 4-26, 0-6 x 0-40 = 4-32, 0-6 x 0-41 = 4-38, 0-6 x 0-42 = 4-44, 0-6 x 0-43 = 4-50, 0-6 x 0-44 = 5-4, 0-6 x 0-45 = 5-10, 0-6 x 0-46 = 5-16, 0-6 x 0-47 = 5-22, 0-6 x 0-48 = 5-28, 0-6 x 0-49 = 5-34, 0-6 x 0-50 = 5-40, 0-6 x 0-51 = 5-46, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 0-49, 0-7 x 0-8 = 1-4, 0-7 x 0-9 = 1-11, 0-7 x 0-10 = 1-18, 0-7 x 0-11 = 1-25, 0-7 x 0-12 = 1-32, 0-7 x 0-13 = 1-39, 0-7 x 0-14 = 1-46, 0-7 x 0-15 = 2-1, 0-7 x 0-16 = 2-8, 0-7 x 0-17 = 2-15, 0-7 x 0-18 = 2-22, 0-7 x 0-19 = 2-29, 0-7 x 0-20 = 2-36, 0-7 x 0-21 = 2-43, 0-7 x 0-22 = 2-50, 0-7 x 0-23 = 3-5, 0-7 x 0-24 = 3-12, 0-7 x 0-25 = 3-19, 0-7 x 0-26 = 3-26, 0-7 x 0-27 = 3-33, 0-7 x 0-28 = 3-40, 0-7 x 0-29 = 3-47, 0-7 x 0-30 = 4-2, 0-7 x 0-31 = 4-9, 0-7 x 0-32 = 4-16, 0-7 x 0-33 = 4-23, 0-7 x 0-34 = 4-30, 0-7 x 0-35 = 4-37, 0-7 x 0-36 = 4-44, 0-7 x 0-37 = 4-51, 0-7 x 0-38 = 5-6, 0-7 x 0-39 = 5-13, 0-7 x 0-40 = 5-20, 0-7 x 0-41 = 5-27, 0-7 x 0-42 = 5-34, 0-7 x 0-43 = 5-41, 0-7 x 0-44 = 5-48, 0-7 x 0-45 = 6-3, 0-7 x 0-46 = 6-10, 0-7 x 0-47 = 6-17, 0-7 x 0-48 = 6-24, 0-7 x 0-49 = 6-31, 0-7 x 0-50 = 6-38, 0-7 x 0-51 = 6-45, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 0-48, 0-8 x 0-7 = 1-4, 0-8 x 0-8 = 1-12, 0-8 x 0-9 = 1-20, 0-8 x 0-10 = 1-28, 0-8 x 0-11 = 1-36, 0-8 x 0-12 = 1-44, 0-8 x 0-13 = 2-0, 0-8 x 0-14 = 2-8, 0-8 x 0-15 = 2-16, 0-8 x 0-16 = 2-24, 0-8 x 0-17 = 2-32, 0-8 x 0-18 = 2-40, 0-8 x 0-19 = 2-48, 0-8 x 0-20 = 3-4, 0-8 x 0-21 = 3-12, 0-8 x 0-22 = 3-20, 0-8 x 0-23 = 3-28, 0-8 x 0-24 = 3-36, 0-8 x 0-25 = 3-44, 0-8 x 0-26 = 4-0, 0-8 x 0-27 = 4-8, 0-8 x 0-28 = 4-16, 0-8 x 0-29 = 4-24, 0-8 x 0-30 = 4-32, 0-8 x 0-31 = 4-40, 0-8 x 0-32 = 4-48, 0-8 x 0-33 = 5-4, 0-8 x 0-34 = 5-12, 0-8 x 0-35 = 5-20, 0-8 x 0-36 = 5-28, 0-8 x 0-37 = 5-36, 0-8 x 0-38 = 5-44, 0-8 x 0-39 = 6-0, 0-8 x 0-40 = 6-8, 0-8 x 0-41 = 6-16, 0-8 x 0-42 = 6-24, 0-8 x 0-43 = 6-32, 0-8 x 0-44 = 6-40, 0-8 x 0-45 = 6-48, 0-8 x 0-46 = 7-4, 0-8 x 0-47 = 7-12, 0-8 x 0-48 = 7-20, 0-8 x 0-49 = 7-28, 0-8 x 0-50 = 7-36, 0-8 x 0-51 = 7-44, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 0-45, 0-9 x 0-6 = 1-2, 0-9 x 0-7 = 1-11, 0-9 x 0-8 = 1-20, 0-9 x 0-9 = 1-29, 0-9 x 0-10 = 1-38, 0-9 x 0-11 = 1-47, 0-9 x 0-12 = 2-4, 0-9 x 0-13 = 2-13, 0-9 x 0-14 = 2-22, 0-9 x 0-15 = 2-31, 0-9 x 0-16 = 2-40, 0-9 x 0-17 = 2-49, 0-9 x 0-18 = 3-6, 0-9 x 0-19 = 3-15, 0-9 x 0-20 = 3-24, 0-9 x 0-21 = 3-33, 0-9 x 0-22 = 3-42, 0-9 x 0-23 = 3-51, 0-9 x 0-24 = 4-8, 0-9 x 0-25 = 4-17, 0-9 x 0-26 = 4-26, 0-9 x 0-27 = 4-35, 0-9 x 0-28 = 4-44, 0-9 x 0-29 = 5-1, 0-9 x 0-30 = 5-10, 0-9 x 0-31 = 5-19, 0-9 x 0-32 = 5-28, 0-9 x 0-33 = 5-37, 0-9 x 0-34 = 5-46, 0-9 x 0-35 = 6-3, 0-9 x 0-36 = 6-12, 0-9 x 0-37 = 6-21, 0-9 x 0-38 = 6-30, 0-9 x 0-39 = 6-39, 0-9 x 0-40 = 6-48, 0-9 x 0-41 = 7-5, 0-9 x 0-42 = 7-14, 0-9 x 0-43 = 7-23, 0-9 x 0-44 = 7-32, 0-9 x 0-45 = 7-41, 0-9 x 0-46 = 7-50, 0-9 x 0-47 = 8-7, 0-9 x 0-48 = 8-16, 0-9 x 0-49 = 8-25, 0-9 x 0-50 = 8-34, 0-9 x 0-51 = 8-43, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 0-50, 0-10 x 0-6 = 1-8, 0-10 x 0-7 = 1-18, 0-10 x 0-8 = 1-28, 0-10 x 0-9 = 1-38, 0-10 x 0-10 = 1-48, 0-10 x 0-11 = 2-6, 0-10 x 0-12 = 2-16, 0-10 x 0-13 = 2-26, 0-10 x 0-14 = 2-36, 0-10 x 0-15 = 2-46, 0-10 x 0-16 = 3-4, 0-10 x 0-17 = 3-14, 0-10 x 0-18 = 3-24, 0-10 x 0-19 = 3-34, 0-10 x 0-20 = 3-44, 0-10 x 0-21 = 4-2, 0-10 x 0-22 = 4-12, 0-10 x 0-23 = 4-22, 0-10 x 0-24 = 4-32, 0-10 x 0-25 = 4-42, 0-10 x 0-26 = 5-0, 0-10 x 0-27 = 5-10, 0-10 x 0-28 = 5-20, 0-10 x 0-29 = 5-30, 0-10 x 0-30 = 5-40, 0-10 x 0-31 = 5-50, 0-10 x 0-32 = 6-8, 0-10 x 0-33 = 6-18, 0-10 x 0-34 = 6-28, 0-10 x 0-35 = 6-38, 0-10 x 0-36 = 6-48, 0-10 x 0-37 = 7-6, 0-10 x 0-38 = 7-16, 0-10 x 0-39 = 7-26, 0-10 x 0-40 = 7-36, 0-10 x 0-41 = 7-46, 0-10 x 0-42 = 8-4, 0-10 x 0-43 = 8-14, 0-10 x 0-44 = 8-24, 0-10 x 0-45 = 8-34, 0-10 x 0-46 = 8-44, 0-10 x 0-47 = 9-2, 0-10 x 0-48 = 9-12, 0-10 x 0-49 = 9-22, 0-10 x 0-50 = 9-32, 0-10 x 0-51 = 9-42, 
