1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 1 x 13 = 0-13, 1 x 14 = 0-14, 1 x 15 = 0-15, 1 x 16 = 0-16, 1 x 17 = 0-17, 1 x 18 = 0-18, 1 x 19 = 0-19, 1 x 20 = 0-20, 1 x 21 = 0-21, 1 x 22 = 0-22, 1 x 23 = 0-23, 1 x 24 = 0-24, 1 x 25 = 0-25, 1 x 26 = 0-26, 1 x 27 = 0-27, 1 x 28 = 0-28, 1 x 29 = 0-29, 1 x 30 = 0-30, 1 x 31 = 0-31, 1 x 32 = 0-32, 1 x 33 = 0-33, 1 x 34 = 0-34, 1 x 35 = 0-35, 1 x 36 = 0-36, 1 x 37 = 0-37, 1 x 38 = 0-38, 1 x 39 = 0-39, 1 x 40 = 0-40, 1 x 41 = 0-41, 1 x 42 = 0-42, 1 x 43 = 0-43, 1 x 44 = 0-44, 1 x 45 = 0-45, 1 x 46 = 0-46, 1 x 47 = 0-47, 1 x 48 = 0-48, 1 x 49 = 0-49, 1 x 50 = 0-50, 1 x 51 = 0-51, 1 x 52 = 0-52, 1 x 53 = 0-53, 1 x 54 = 0-54, 1 x 55 = 0-55, 1 x 56 = 0-56, 1 x 57 = 0-57, 1 x 58 = 0-58, 1 x 59 = 0-59, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 0-14, 2 x 8 = 0-16, 2 x 9 = 0-18, 2 x 10 = 0-20, 2 x 11 = 0-22, 2 x 12 = 0-24, 2 x 13 = 0-26, 2 x 14 = 0-28, 2 x 15 = 0-30, 2 x 16 = 0-32, 2 x 17 = 0-34, 2 x 18 = 0-36, 2 x 19 = 0-38, 2 x 20 = 0-40, 2 x 21 = 0-42, 2 x 22 = 0-44, 2 x 23 = 0-46, 2 x 24 = 0-48, 2 x 25 = 0-50, 2 x 26 = 0-52, 2 x 27 = 0-54, 2 x 28 = 0-56, 2 x 29 = 0-58, 2 x 30 = 1-0, 2 x 31 = 1-2, 2 x 32 = 1-4, 2 x 33 = 1-6, 2 x 34 = 1-8, 2 x 35 = 1-10, 2 x 36 = 1-12, 2 x 37 = 1-14, 2 x 38 = 1-16, 2 x 39 = 1-18, 2 x 40 = 1-20, 2 x 41 = 1-22, 2 x 42 = 1-24, 2 x 43 = 1-26, 2 x 44 = 1-28, 2 x 45 = 1-30, 2 x 46 = 1-32, 2 x 47 = 1-34, 2 x 48 = 1-36, 2 x 49 = 1-38, 2 x 50 = 1-40, 2 x 51 = 1-42, 2 x 52 = 1-44, 2 x 53 = 1-46, 2 x 54 = 1-48, 2 x 55 = 1-50, 2 x 56 = 1-52, 2 x 57 = 1-54, 2 x 58 = 1-56, 2 x 59 = 1-58, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 0-15, 3 x 6 = 0-18, 3 x 7 = 0-21, 3 x 8 = 0-24, 3 x 9 = 0-27, 3 x 10 = 0-30, 3 x 11 = 0-33, 3 x 12 = 0-36, 3 x 13 = 0-39, 3 x 14 = 0-42, 3 x 15 = 0-45, 3 x 16 = 0-48, 3 x 17 = 0-51, 3 x 18 = 0-54, 3 x 19 = 0-57, 3 x 20 = 1-0, 3 x 21 = 1-3, 3 x 22 = 1-6, 3 x 23 = 1-9, 3 x 24 = 1-12, 3 x 25 = 1-15, 3 x 26 = 1-18, 3 x 27 = 1-21, 3 x 28 = 1-24, 3 x 29 = 1-27, 3 x 30 = 1-30, 3 x 31 = 1-33, 3 x 32 = 1-36, 3 x 33 = 1-39, 3 x 34 = 1-42, 3 x 35 = 1-45, 3 x 36 = 1-48, 3 x 37 = 1-51, 3 x 38 = 1-54, 3 x 39 = 1-57, 3 x 40 = 2-0, 3 x 41 = 2-3, 3 x 42 = 2-6, 3 x 43 = 2-9, 3 x 44 = 2-12, 3 x 45 = 2-15, 3 x 46 = 2-18, 3 x 47 = 2-21, 3 x 48 = 2-24, 3 x 49 = 2-27, 3 x 50 = 2-30, 3 x 51 = 2-33, 3 x 52 = 2-36, 3 x 53 = 2-39, 3 x 54 = 2-42, 3 x 55 = 2-45, 3 x 56 = 2-48, 3 x 57 = 2-51, 3 x 58 = 2-54, 3 x 59 = 2-57, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 0-16, 4 x 5 = 0-20, 4 x 6 = 0-24, 4 x 7 = 0-28, 4 x 8 = 0-32, 4 x 9 = 0-36, 4 x 10 = 0-40, 4 x 11 = 0-44, 4 x 12 = 0-48, 4 x 13 = 0-52, 4 x 14 = 0-56, 4 x 15 = 1-0, 4 x 16 = 1-4, 4 x 17 = 1-8, 4 x 18 = 1-12, 4 x 19 = 1-16, 4 x 20 = 1-20, 4 x 21 = 1-24, 4 x 22 = 1-28, 4 x 23 = 1-32, 4 x 24 = 1-36, 4 x 25 = 1-40, 4 x 26 = 1-44, 4 x 27 = 1-48, 4 x 28 = 1-52, 4 x 29 = 1-56, 4 x 30 = 2-0, 4 x 31 = 2-4, 4 x 32 = 2-8, 4 x 33 = 2-12, 4 x 34 = 2-16, 4 x 35 = 2-20, 4 x 36 = 2-24, 4 x 37 = 2-28, 4 x 38 = 2-32, 4 x 39 = 2-36, 4 x 40 = 2-40, 4 x 41 = 2-44, 4 x 42 = 2-48, 4 x 43 = 2-52, 4 x 44 = 2-56, 4 x 45 = 3-0, 4 x 46 = 3-4, 4 x 47 = 3-8, 4 x 48 = 3-12, 4 x 49 = 3-16, 4 x 50 = 3-20, 4 x 51 = 3-24, 4 x 52 = 3-28, 4 x 53 = 3-32, 4 x 54 = 3-36, 4 x 55 = 3-40, 4 x 56 = 3-44, 4 x 57 = 3-48, 4 x 58 = 3-52, 4 x 59 = 3-56, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 0-15, 5 x 4 = 0-20, 5 x 5 = 0-25, 5 x 6 = 0-30, 5 x 7 = 0-35, 5 x 8 = 0-40, 5 x 9 = 0-45, 5 x 10 = 0-50, 5 x 11 = 0-55, 5 x 12 = 1-0, 5 x 13 = 1-5, 5 x 14 = 1-10, 5 x 15 = 1-15, 5 x 16 = 1-20, 5 x 17 = 1-25, 5 x 18 = 1-30, 5 x 19 = 1-35, 5 x 20 = 1-40, 5 x 21 = 1-45, 5 x 22 = 1-50, 5 x 23 = 1-55, 5 x 24 = 2-0, 5 x 25 = 2-5, 5 x 26 = 2-10, 5 x 27 = 2-15, 5 x 28 = 2-20, 5 x 29 = 2-25, 5 x 30 = 2-30, 5 x 31 = 2-35, 5 x 32 = 2-40, 5 x 33 = 2-45, 5 x 34 = 2-50, 5 x 35 = 2-55, 5 x 36 = 3-0, 5 x 37 = 3-5, 5 x 38 = 3-10, 5 x 39 = 3-15, 5 x 40 = 3-20, 5 x 41 = 3-25, 5 x 42 = 3-30, 5 x 43 = 3-35, 5 x 44 = 3-40, 5 x 45 = 3-45, 5 x 46 = 3-50, 5 x 47 = 3-55, 5 x 48 = 4-0, 5 x 49 = 4-5, 5 x 50 = 4-10, 5 x 51 = 4-15, 5 x 52 = 4-20, 5 x 53 = 4-25, 5 x 54 = 4-30, 5 x 55 = 4-35, 5 x 56 = 4-40, 5 x 57 = 4-45, 5 x 58 = 4-50, 5 x 59 = 4-55, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 0-18, 6 x 4 = 0-24, 6 x 5 = 0-30, 6 x 6 = 0-36, 6 x 7 = 0-42, 6 x 8 = 0-48, 6 x 9 = 0-54, 6 x 10 = 1-0, 6 x 11 = 1-6, 6 x 12 = 1-12, 6 x 13 = 1-18, 6 x 14 = 1-24, 6 x 15 = 1-30, 6 x 16 = 1-36, 6 x 17 = 1-42, 6 x 18 = 1-48, 6 x 19 = 1-54, 6 x 20 = 2-0, 6 x 21 = 2-6, 6 x 22 = 2-12, 6 x 23 = 2-18, 6 x 24 = 2-24, 6 x 25 = 2-30, 6 x 26 = 2-36, 6 x 27 = 2-42, 6 x 28 = 2-48, 6 x 29 = 2-54, 6 x 30 = 3-0, 6 x 31 = 3-6, 6 x 32 = 3-12, 6 x 33 = 3-18, 6 x 34 = 3-24, 6 x 35 = 3-30, 6 x 36 = 3-36, 6 x 37 = 3-42, 6 x 38 = 3-48, 6 x 39 = 3-54, 6 x 40 = 4-0, 6 x 41 = 4-6, 6 x 42 = 4-12, 6 x 43 = 4-18, 6 x 44 = 4-24, 6 x 45 = 4-30, 6 x 46 = 4-36, 6 x 47 = 4-42, 6 x 48 = 4-48, 6 x 49 = 4-54, 6 x 50 = 5-0, 6 x 51 = 5-6, 6 x 52 = 5-12, 6 x 53 = 5-18, 6 x 54 = 5-24, 6 x 55 = 5-30, 6 x 56 = 5-36, 6 x 57 = 5-42, 6 x 58 = 5-48, 6 x 59 = 5-54, 
7 x 1 = 0-7, 7 x 2 = 0-14, 7 x 3 = 0-21, 7 x 4 = 0-28, 7 x 5 = 0-35, 7 x 6 = 0-42, 7 x 7 = 0-49, 7 x 8 = 0-56, 7 x 9 = 1-3, 7 x 10 = 1-10, 7 x 11 = 1-17, 7 x 12 = 1-24, 7 x 13 = 1-31, 7 x 14 = 1-38, 7 x 15 = 1-45, 7 x 16 = 1-52, 7 x 17 = 1-59, 7 x 18 = 2-6, 7 x 19 = 2-13, 7 x 20 = 2-20, 7 x 21 = 2-27, 7 x 22 = 2-34, 7 x 23 = 2-41, 7 x 24 = 2-48, 7 x 25 = 2-55, 7 x 26 = 3-2, 7 x 27 = 3-9, 7 x 28 = 3-16, 7 x 29 = 3-23, 7 x 30 = 3-30, 7 x 31 = 3-37, 7 x 32 = 3-44, 7 x 33 = 3-51, 7 x 34 = 3-58, 7 x 35 = 4-5, 7 x 36 = 4-12, 7 x 37 = 4-19, 7 x 38 = 4-26, 7 x 39 = 4-33, 7 x 40 = 4-40, 7 x 41 = 4-47, 7 x 42 = 4-54, 7 x 43 = 5-1, 7 x 44 = 5-8, 7 x 45 = 5-15, 7 x 46 = 5-22, 7 x 47 = 5-29, 7 x 48 = 5-36, 7 x 49 = 5-43, 7 x 50 = 5-50, 7 x 51 = 5-57, 7 x 52 = 6-4, 7 x 53 = 6-11, 7 x 54 = 6-18, 7 x 55 = 6-25, 7 x 56 = 6-32, 7 x 57 = 6-39, 7 x 58 = 6-46, 7 x 59 = 6-53, 
8 x 1 = 0-8, 8 x 2 = 0-16, 8 x 3 = 0-24, 8 x 4 = 0-32, 8 x 5 = 0-40, 8 x 6 = 0-48, 8 x 7 = 0-56, 8 x 8 = 1-4, 8 x 9 = 1-12, 8 x 10 = 1-20, 8 x 11 = 1-28, 8 x 12 = 1-36, 8 x 13 = 1-44, 8 x 14 = 1-52, 8 x 15 = 2-0, 8 x 16 = 2-8, 8 x 17 = 2-16, 8 x 18 = 2-24, 8 x 19 = 2-32, 8 x 20 = 2-40, 8 x 21 = 2-48, 8 x 22 = 2-56, 8 x 23 = 3-4, 8 x 24 = 3-12, 8 x 25 = 3-20, 8 x 26 = 3-28, 8 x 27 = 3-36, 8 x 28 = 3-44, 8 x 29 = 3-52, 8 x 30 = 4-0, 8 x 31 = 4-8, 8 x 32 = 4-16, 8 x 33 = 4-24, 8 x 34 = 4-32, 8 x 35 = 4-40, 8 x 36 = 4-48, 8 x 37 = 4-56, 8 x 38 = 5-4, 8 x 39 = 5-12, 8 x 40 = 5-20, 8 x 41 = 5-28, 8 x 42 = 5-36, 8 x 43 = 5-44, 8 x 44 = 5-52, 8 x 45 = 6-0, 8 x 46 = 6-8, 8 x 47 = 6-16, 8 x 48 = 6-24, 8 x 49 = 6-32, 8 x 50 = 6-40, 8 x 51 = 6-48, 8 x 52 = 6-56, 8 x 53 = 7-4, 8 x 54 = 7-12, 8 x 55 = 7-20, 8 x 56 = 7-28, 8 x 57 = 7-36, 8 x 58 = 7-44, 8 x 59 = 7-52, 
9 x 1 = 0-9, 9 x 2 = 0-18, 9 x 3 = 0-27, 9 x 4 = 0-36, 9 x 5 = 0-45, 9 x 6 = 0-54, 9 x 7 = 1-3, 9 x 8 = 1-12, 9 x 9 = 1-21, 9 x 10 = 1-30, 9 x 11 = 1-39, 9 x 12 = 1-48, 9 x 13 = 1-57, 9 x 14 = 2-6, 9 x 15 = 2-15, 9 x 16 = 2-24, 9 x 17 = 2-33, 9 x 18 = 2-42, 9 x 19 = 2-51, 9 x 20 = 3-0, 9 x 21 = 3-9, 9 x 22 = 3-18, 9 x 23 = 3-27, 9 x 24 = 3-36, 9 x 25 = 3-45, 9 x 26 = 3-54, 9 x 27 = 4-3, 9 x 28 = 4-12, 9 x 29 = 4-21, 9 x 30 = 4-30, 9 x 31 = 4-39, 9 x 32 = 4-48, 9 x 33 = 4-57, 9 x 34 = 5-6, 9 x 35 = 5-15, 9 x 36 = 5-24, 9 x 37 = 5-33, 9 x 38 = 5-42, 9 x 39 = 5-51, 9 x 40 = 6-0, 9 x 41 = 6-9, 9 x 42 = 6-18, 9 x 43 = 6-27, 9 x 44 = 6-36, 9 x 45 = 6-45, 9 x 46 = 6-54, 9 x 47 = 7-3, 9 x 48 = 7-12, 9 x 49 = 7-21, 9 x 50 = 7-30, 9 x 51 = 7-39, 9 x 52 = 7-48, 9 x 53 = 7-57, 9 x 54 = 8-6, 9 x 55 = 8-15, 9 x 56 = 8-24, 9 x 57 = 8-33, 9 x 58 = 8-42, 9 x 59 = 8-51, 
10 x 1 = 0-10, 10 x 2 = 0-20, 10 x 3 = 0-30, 10 x 4 = 0-40, 10 x 5 = 0-50, 10 x 6 = 1-0, 10 x 7 = 1-10, 10 x 8 = 1-20, 10 x 9 = 1-30, 10 x 10 = 1-40, 10 x 11 = 1-50, 10 x 12 = 2-0, 10 x 13 = 2-10, 10 x 14 = 2-20, 10 x 15 = 2-30, 10 x 16 = 2-40, 10 x 17 = 2-50, 10 x 18 = 3-0, 10 x 19 = 3-10, 10 x 20 = 3-20, 10 x 21 = 3-30, 10 x 22 = 3-40, 10 x 23 = 3-50, 10 x 24 = 4-0, 10 x 25 = 4-10, 10 x 26 = 4-20, 10 x 27 = 4-30, 10 x 28 = 4-40, 10 x 29 = 4-50, 10 x 30 = 5-0, 10 x 31 = 5-10, 10 x 32 = 5-20, 10 x 33 = 5-30, 10 x 34 = 5-40, 10 x 35 = 5-50, 10 x 36 = 6-0, 10 x 37 = 6-10, 10 x 38 = 6-20, 10 x 39 = 6-30, 10 x 40 = 6-40, 10 x 41 = 6-50, 10 x 42 = 7-0, 10 x 43 = 7-10, 10 x 44 = 7-20, 10 x 45 = 7-30, 10 x 46 = 7-40, 10 x 47 = 7-50, 10 x 48 = 8-0, 10 x 49 = 8-10, 10 x 50 = 8-20, 10 x 51 = 8-30, 10 x 52 = 8-40, 10 x 53 = 8-50, 10 x 54 = 9-0, 10 x 55 = 9-10, 10 x 56 = 9-20, 10 x 57 = 9-30, 10 x 58 = 9-40, 10 x 59 = 9-50, 
