0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 0-1 x 0-44 = 0-44, 0-1 x 0-45 = 0-45, 0-1 x 0-46 = 0-46, 0-1 x 0-47 = 0-47, 0-1 x 0-48 = 0-48, 0-1 x 0-49 = 0-49, 0-1 x 0-50 = 0-50, 0-1 x 0-51 = 0-51, 0-1 x 0-52 = 0-52, 0-1 x 0-53 = 0-53, 0-1 x 0-54 = 0-54, 0-1 x 0-55 = 0-55, 0-1 x 0-56 = 0-56, 0-1 x 0-57 = 0-57, 0-1 x 0-58 = 0-58, 0-1 x 0-59 = 0-59, 0-1 x 0-60 = 0-60, 0-1 x 0-61 = 0-61, 0-1 x 0-62 = 0-62, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 0-44, 0-2 x 0-23 = 0-46, 0-2 x 0-24 = 0-48, 0-2 x 0-25 = 0-50, 0-2 x 0-26 = 0-52, 0-2 x 0-27 = 0-54, 0-2 x 0-28 = 0-56, 0-2 x 0-29 = 0-58, 0-2 x 0-30 = 0-60, 0-2 x 0-31 = 0-62, 0-2 x 0-32 = 1-1, 0-2 x 0-33 = 1-3, 0-2 x 0-34 = 1-5, 0-2 x 0-35 = 1-7, 0-2 x 0-36 = 1-9, 0-2 x 0-37 = 1-11, 0-2 x 0-38 = 1-13, 0-2 x 0-39 = 1-15, 0-2 x 0-40 = 1-17, 0-2 x 0-41 = 1-19, 0-2 x 0-42 = 1-21, 0-2 x 0-43 = 1-23, 0-2 x 0-44 = 1-25, 0-2 x 0-45 = 1-27, 0-2 x 0-46 = 1-29, 0-2 x 0-47 = 1-31, 0-2 x 0-48 = 1-33, 0-2 x 0-49 = 1-35, 0-2 x 0-50 = 1-37, 0-2 x 0-51 = 1-39, 0-2 x 0-52 = 1-41, 0-2 x 0-53 = 1-43, 0-2 x 0-54 = 1-45, 0-2 x 0-55 = 1-47, 0-2 x 0-56 = 1-49, 0-2 x 0-57 = 1-51, 0-2 x 0-58 = 1-53, 0-2 x 0-59 = 1-55, 0-2 x 0-60 = 1-57, 0-2 x 0-61 = 1-59, 0-2 x 0-62 = 1-61, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 0-45, 0-3 x 0-16 = 0-48, 0-3 x 0-17 = 0-51, 0-3 x 0-18 = 0-54, 0-3 x 0-19 = 0-57, 0-3 x 0-20 = 0-60, 0-3 x 0-21 = 1-0, 0-3 x 0-22 = 1-3, 0-3 x 0-23 = 1-6, 0-3 x 0-24 = 1-9, 0-3 x 0-25 = 1-12, 0-3 x 0-26 = 1-15, 0-3 x 0-27 = 1-18, 0-3 x 0-28 = 1-21, 0-3 x 0-29 = 1-24, 0-3 x 0-30 = 1-27, 0-3 x 0-31 = 1-30, 0-3 x 0-32 = 1-33, 0-3 x 0-33 = 1-36, 0-3 x 0-34 = 1-39, 0-3 x 0-35 = 1-42, 0-3 x 0-36 = 1-45, 0-3 x 0-37 = 1-48, 0-3 x 0-38 = 1-51, 0-3 x 0-39 = 1-54, 0-3 x 0-40 = 1-57, 0-3 x 0-41 = 1-60, 0-3 x 0-42 = 2-0, 0-3 x 0-43 = 2-3, 0-3 x 0-44 = 2-6, 0-3 x 0-45 = 2-9, 0-3 x 0-46 = 2-12, 0-3 x 0-47 = 2-15, 0-3 x 0-48 = 2-18, 0-3 x 0-49 = 2-21, 0-3 x 0-50 = 2-24, 0-3 x 0-51 = 2-27, 0-3 x 0-52 = 2-30, 0-3 x 0-53 = 2-33, 0-3 x 0-54 = 2-36, 0-3 x 0-55 = 2-39, 0-3 x 0-56 = 2-42, 0-3 x 0-57 = 2-45, 0-3 x 0-58 = 2-48, 0-3 x 0-59 = 2-51, 0-3 x 0-60 = 2-54, 0-3 x 0-61 = 2-57, 0-3 x 0-62 = 2-60, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 0-44, 0-4 x 0-12 = 0-48, 0-4 x 0-13 = 0-52, 0-4 x 0-14 = 0-56, 0-4 x 0-15 = 0-60, 0-4 x 0-16 = 1-1, 0-4 x 0-17 = 1-5, 0-4 x 0-18 = 1-9, 0-4 x 0-19 = 1-13, 0-4 x 0-20 = 1-17, 0-4 x 0-21 = 1-21, 0-4 x 0-22 = 1-25, 0-4 x 0-23 = 1-29, 0-4 x 0-24 = 1-33, 0-4 x 0-25 = 1-37, 0-4 x 0-26 = 1-41, 0-4 x 0-27 = 1-45, 0-4 x 0-28 = 1-49, 0-4 x 0-29 = 1-53, 0-4 x 0-30 = 1-57, 0-4 x 0-31 = 1-61, 0-4 x 0-32 = 2-2, 0-4 x 0-33 = 2-6, 0-4 x 0-34 = 2-10, 0-4 x 0-35 = 2-14, 0-4 x 0-36 = 2-18, 0-4 x 0-37 = 2-22, 0-4 x 0-38 = 2-26, 0-4 x 0-39 = 2-30, 0-4 x 0-40 = 2-34, 0-4 x 0-41 = 2-38, 0-4 x 0-42 = 2-42, 0-4 x 0-43 = 2-46, 0-4 x 0-44 = 2-50, 0-4 x 0-45 = 2-54, 0-4 x 0-46 = 2-58, 0-4 x 0-47 = 2-62, 0-4 x 0-48 = 3-3, 0-4 x 0-49 = 3-7, 0-4 x 0-50 = 3-11, 0-4 x 0-51 = 3-15, 0-4 x 0-52 = 3-19, 0-4 x 0-53 = 3-23, 0-4 x 0-54 = 3-27, 0-4 x 0-55 = 3-31, 0-4 x 0-56 = 3-35, 0-4 x 0-57 = 3-39, 0-4 x 0-58 = 3-43, 0-4 x 0-59 = 3-47, 0-4 x 0-60 = 3-51, 0-4 x 0-61 = 3-55, 0-4 x 0-62 = 3-59, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 0-45, 0-5 x 0-10 = 0-50, 0-5 x 0-11 = 0-55, 0-5 x 0-12 = 0-60, 0-5 x 0-13 = 1-2, 0-5 x 0-14 = 1-7, 0-5 x 0-15 = 1-12, 0-5 x 0-16 = 1-17, 0-5 x 0-17 = 1-22, 0-5 x 0-18 = 1-27, 0-5 x 0-19 = 1-32, 0-5 x 0-20 = 1-37, 0-5 x 0-21 = 1-42, 0-5 x 0-22 = 1-47, 0-5 x 0-23 = 1-52, 0-5 x 0-24 = 1-57, 0-5 x 0-25 = 1-62, 0-5 x 0-26 = 2-4, 0-5 x 0-27 = 2-9, 0-5 x 0-28 = 2-14, 0-5 x 0-29 = 2-19, 0-5 x 0-30 = 2-24, 0-5 x 0-31 = 2-29, 0-5 x 0-32 = 2-34, 0-5 x 0-33 = 2-39, 0-5 x 0-34 = 2-44, 0-5 x 0-35 = 2-49, 0-5 x 0-36 = 2-54, 0-5 x 0-37 = 2-59, 0-5 x 0-38 = 3-1, 0-5 x 0-39 = 3-6, 0-5 x 0-40 = 3-11, 0-5 x 0-41 = 3-16, 0-5 x 0-42 = 3-21, 0-5 x 0-43 = 3-26, 0-5 x 0-44 = 3-31, 0-5 x 0-45 = 3-36, 0-5 x 0-46 = 3-41, 0-5 x 0-47 = 3-46, 0-5 x 0-48 = 3-51, 0-5 x 0-49 = 3-56, 0-5 x 0-50 = 3-61, 0-5 x 0-51 = 4-3, 0-5 x 0-52 = 4-8, 0-5 x 0-53 = 4-13, 0-5 x 0-54 = 4-18, 0-5 x 0-55 = 4-23, 0-5 x 0-56 = 4-28, 0-5 x 0-57 = 4-33, 0-5 x 0-58 = 4-38, 0-5 x 0-59 = 4-43, 0-5 x 0-60 = 4-48, 0-5 x 0-61 = 4-53, 0-5 x 0-62 = 4-58, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 0-48, 0-6 x 0-9 = 0-54, 0-6 x 0-10 = 0-60, 0-6 x 0-11 = 1-3, 0-6 x 0-12 = 1-9, 0-6 x 0-13 = 1-15, 0-6 x 0-14 = 1-21, 0-6 x 0-15 = 1-27, 0-6 x 0-16 = 1-33, 0-6 x 0-17 = 1-39, 0-6 x 0-18 = 1-45, 0-6 x 0-19 = 1-51, 0-6 x 0-20 = 1-57, 0-6 x 0-21 = 2-0, 0-6 x 0-22 = 2-6, 0-6 x 0-23 = 2-12, 0-6 x 0-24 = 2-18, 0-6 x 0-25 = 2-24, 0-6 x 0-26 = 2-30, 0-6 x 0-27 = 2-36, 0-6 x 0-28 = 2-42, 0-6 x 0-29 = 2-48, 0-6 x 0-30 = 2-54, 0-6 x 0-31 = 2-60, 0-6 x 0-32 = 3-3, 0-6 x 0-33 = 3-9, 0-6 x 0-34 = 3-15, 0-6 x 0-35 = 3-21, 0-6 x 0-36 = 3-27, 0-6 x 0-37 = 3-33, 0-6 x 0-38 = 3-39, 0-6 x 0-39 = 3-45, 0-6 x 0-40 = 3-51, 0-6 x 0-41 = 3-57, 0-6 x 0-42 = 4-0, 0-6 x 0-43 = 4-6, 0-6 x 0-44 = 4-12, 0-6 x 0-45 = 4-18, 0-6 x 0-46 = 4-24, 0-6 x 0-47 = 4-30, 0-6 x 0-48 = 4-36, 0-6 x 0-49 = 4-42, 0-6 x 0-50 = 4-48, 0-6 x 0-51 = 4-54, 0-6 x 0-52 = 4-60, 0-6 x 0-53 = 5-3, 0-6 x 0-54 = 5-9, 0-6 x 0-55 = 5-15, 0-6 x 0-56 = 5-21, 0-6 x 0-57 = 5-27, 0-6 x 0-58 = 5-33, 0-6 x 0-59 = 5-39, 0-6 x 0-60 = 5-45, 0-6 x 0-61 = 5-51, 0-6 x 0-62 = 5-57, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 0-49, 0-7 x 0-8 = 0-56, 0-7 x 0-9 = 1-0, 0-7 x 0-10 = 1-7, 0-7 x 0-11 = 1-14, 0-7 x 0-12 = 1-21, 0-7 x 0-13 = 1-28, 0-7 x 0-14 = 1-35, 0-7 x 0-15 = 1-42, 0-7 x 0-16 = 1-49, 0-7 x 0-17 = 1-56, 0-7 x 0-18 = 2-0, 0-7 x 0-19 = 2-7, 0-7 x 0-20 = 2-14, 0-7 x 0-21 = 2-21, 0-7 x 0-22 = 2-28, 0-7 x 0-23 = 2-35, 0-7 x 0-24 = 2-42, 0-7 x 0-25 = 2-49, 0-7 x 0-26 = 2-56, 0-7 x 0-27 = 3-0, 0-7 x 0-28 = 3-7, 0-7 x 0-29 = 3-14, 0-7 x 0-30 = 3-21, 0-7 x 0-31 = 3-28, 0-7 x 0-32 = 3-35, 0-7 x 0-33 = 3-42, 0-7 x 0-34 = 3-49, 0-7 x 0-35 = 3-56, 0-7 x 0-36 = 4-0, 0-7 x 0-37 = 4-7, 0-7 x 0-38 = 4-14, 0-7 x 0-39 = 4-21, 0-7 x 0-40 = 4-28, 0-7 x 0-41 = 4-35, 0-7 x 0-42 = 4-42, 0-7 x 0-43 = 4-49, 0-7 x 0-44 = 4-56, 0-7 x 0-45 = 5-0, 0-7 x 0-46 = 5-7, 0-7 x 0-47 = 5-14, 0-7 x 0-48 = 5-21, 0-7 x 0-49 = 5-28, 0-7 x 0-50 = 5-35, 0-7 x 0-51 = 5-42, 0-7 x 0-52 = 5-49, 0-7 x 0-53 = 5-56, 0-7 x 0-54 = 6-0, 0-7 x 0-55 = 6-7, 0-7 x 0-56 = 6-14, 0-7 x 0-57 = 6-21, 0-7 x 0-58 = 6-28, 0-7 x 0-59 = 6-35, 0-7 x 0-60 = 6-42, 0-7 x 0-61 = 6-49, 0-7 x 0-62 = 6-56, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 0-48, 0-8 x 0-7 = 0-56, 0-8 x 0-8 = 1-1, 0-8 x 0-9 = 1-9, 0-8 x 0-10 = 1-17, 0-8 x 0-11 = 1-25, 0-8 x 0-12 = 1-33, 0-8 x 0-13 = 1-41, 0-8 x 0-14 = 1-49, 0-8 x 0-15 = 1-57, 0-8 x 0-16 = 2-2, 0-8 x 0-17 = 2-10, 0-8 x 0-18 = 2-18, 0-8 x 0-19 = 2-26, 0-8 x 0-20 = 2-34, 0-8 x 0-21 = 2-42, 0-8 x 0-22 = 2-50, 0-8 x 0-23 = 2-58, 0-8 x 0-24 = 3-3, 0-8 x 0-25 = 3-11, 0-8 x 0-26 = 3-19, 0-8 x 0-27 = 3-27, 0-8 x 0-28 = 3-35, 0-8 x 0-29 = 3-43, 0-8 x 0-30 = 3-51, 0-8 x 0-31 = 3-59, 0-8 x 0-32 = 4-4, 0-8 x 0-33 = 4-12, 0-8 x 0-34 = 4-20, 0-8 x 0-35 = 4-28, 0-8 x 0-36 = 4-36, 0-8 x 0-37 = 4-44, 0-8 x 0-38 = 4-52, 0-8 x 0-39 = 4-60, 0-8 x 0-40 = 5-5, 0-8 x 0-41 = 5-13, 0-8 x 0-42 = 5-21, 0-8 x 0-43 = 5-29, 0-8 x 0-44 = 5-37, 0-8 x 0-45 = 5-45, 0-8 x 0-46 = 5-53, 0-8 x 0-47 = 5-61, 0-8 x 0-48 = 6-6, 0-8 x 0-49 = 6-14, 0-8 x 0-50 = 6-22, 0-8 x 0-51 = 6-30, 0-8 x 0-52 = 6-38, 0-8 x 0-53 = 6-46, 0-8 x 0-54 = 6-54, 0-8 x 0-55 = 6-62, 0-8 x 0-56 = 7-7, 0-8 x 0-57 = 7-15, 0-8 x 0-58 = 7-23, 0-8 x 0-59 = 7-31, 0-8 x 0-60 = 7-39, 0-8 x 0-61 = 7-47, 0-8 x 0-62 = 7-55, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 0-45, 0-9 x 0-6 = 0-54, 0-9 x 0-7 = 1-0, 0-9 x 0-8 = 1-9, 0-9 x 0-9 = 1-18, 0-9 x 0-10 = 1-27, 0-9 x 0-11 = 1-36, 0-9 x 0-12 = 1-45, 0-9 x 0-13 = 1-54, 0-9 x 0-14 = 2-0, 0-9 x 0-15 = 2-9, 0-9 x 0-16 = 2-18, 0-9 x 0-17 = 2-27, 0-9 x 0-18 = 2-36, 0-9 x 0-19 = 2-45, 0-9 x 0-20 = 2-54, 0-9 x 0-21 = 3-0, 0-9 x 0-22 = 3-9, 0-9 x 0-23 = 3-18, 0-9 x 0-24 = 3-27, 0-9 x 0-25 = 3-36, 0-9 x 0-26 = 3-45, 0-9 x 0-27 = 3-54, 0-9 x 0-28 = 4-0, 0-9 x 0-29 = 4-9, 0-9 x 0-30 = 4-18, 0-9 x 0-31 = 4-27, 0-9 x 0-32 = 4-36, 0-9 x 0-33 = 4-45, 0-9 x 0-34 = 4-54, 0-9 x 0-35 = 5-0, 0-9 x 0-36 = 5-9, 0-9 x 0-37 = 5-18, 0-9 x 0-38 = 5-27, 0-9 x 0-39 = 5-36, 0-9 x 0-40 = 5-45, 0-9 x 0-41 = 5-54, 0-9 x 0-42 = 6-0, 0-9 x 0-43 = 6-9, 0-9 x 0-44 = 6-18, 0-9 x 0-45 = 6-27, 0-9 x 0-46 = 6-36, 0-9 x 0-47 = 6-45, 0-9 x 0-48 = 6-54, 0-9 x 0-49 = 7-0, 0-9 x 0-50 = 7-9, 0-9 x 0-51 = 7-18, 0-9 x 0-52 = 7-27, 0-9 x 0-53 = 7-36, 0-9 x 0-54 = 7-45, 0-9 x 0-55 = 7-54, 0-9 x 0-56 = 8-0, 0-9 x 0-57 = 8-9, 0-9 x 0-58 = 8-18, 0-9 x 0-59 = 8-27, 0-9 x 0-60 = 8-36, 0-9 x 0-61 = 8-45, 0-9 x 0-62 = 8-54, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 0-50, 0-10 x 0-6 = 0-60, 0-10 x 0-7 = 1-7, 0-10 x 0-8 = 1-17, 0-10 x 0-9 = 1-27, 0-10 x 0-10 = 1-37, 0-10 x 0-11 = 1-47, 0-10 x 0-12 = 1-57, 0-10 x 0-13 = 2-4, 0-10 x 0-14 = 2-14, 0-10 x 0-15 = 2-24, 0-10 x 0-16 = 2-34, 0-10 x 0-17 = 2-44, 0-10 x 0-18 = 2-54, 0-10 x 0-19 = 3-1, 0-10 x 0-20 = 3-11, 0-10 x 0-21 = 3-21, 0-10 x 0-22 = 3-31, 0-10 x 0-23 = 3-41, 0-10 x 0-24 = 3-51, 0-10 x 0-25 = 3-61, 0-10 x 0-26 = 4-8, 0-10 x 0-27 = 4-18, 0-10 x 0-28 = 4-28, 0-10 x 0-29 = 4-38, 0-10 x 0-30 = 4-48, 0-10 x 0-31 = 4-58, 0-10 x 0-32 = 5-5, 0-10 x 0-33 = 5-15, 0-10 x 0-34 = 5-25, 0-10 x 0-35 = 5-35, 0-10 x 0-36 = 5-45, 0-10 x 0-37 = 5-55, 0-10 x 0-38 = 6-2, 0-10 x 0-39 = 6-12, 0-10 x 0-40 = 6-22, 0-10 x 0-41 = 6-32, 0-10 x 0-42 = 6-42, 0-10 x 0-43 = 6-52, 0-10 x 0-44 = 6-62, 0-10 x 0-45 = 7-9, 0-10 x 0-46 = 7-19, 0-10 x 0-47 = 7-29, 0-10 x 0-48 = 7-39, 0-10 x 0-49 = 7-49, 0-10 x 0-50 = 7-59, 0-10 x 0-51 = 8-6, 0-10 x 0-52 = 8-16, 0-10 x 0-53 = 8-26, 0-10 x 0-54 = 8-36, 0-10 x 0-55 = 8-46, 0-10 x 0-56 = 8-56, 0-10 x 0-57 = 9-3, 0-10 x 0-58 = 9-13, 0-10 x 0-59 = 9-23, 0-10 x 0-60 = 9-33, 0-10 x 0-61 = 9-43, 0-10 x 0-62 = 9-53, 
