0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 0-1 x 0-44 = 0-44, 0-1 x 0-45 = 0-45, 0-1 x 0-46 = 0-46, 0-1 x 0-47 = 0-47, 0-1 x 0-48 = 0-48, 0-1 x 0-49 = 0-49, 0-1 x 0-50 = 0-50, 0-1 x 0-51 = 0-51, 0-1 x 0-52 = 0-52, 0-1 x 0-53 = 0-53, 0-1 x 0-54 = 0-54, 0-1 x 0-55 = 0-55, 0-1 x 0-56 = 0-56, 0-1 x 0-57 = 0-57, 0-1 x 0-58 = 0-58, 0-1 x 0-59 = 0-59, 0-1 x 0-60 = 0-60, 0-1 x 0-61 = 0-61, 0-1 x 0-62 = 0-62, 0-1 x 0-63 = 0-63, 0-1 x 0-64 = 0-64, 0-1 x 0-65 = 0-65, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 0-44, 0-2 x 0-23 = 0-46, 0-2 x 0-24 = 0-48, 0-2 x 0-25 = 0-50, 0-2 x 0-26 = 0-52, 0-2 x 0-27 = 0-54, 0-2 x 0-28 = 0-56, 0-2 x 0-29 = 0-58, 0-2 x 0-30 = 0-60, 0-2 x 0-31 = 0-62, 0-2 x 0-32 = 0-64, 0-2 x 0-33 = 1-0, 0-2 x 0-34 = 1-2, 0-2 x 0-35 = 1-4, 0-2 x 0-36 = 1-6, 0-2 x 0-37 = 1-8, 0-2 x 0-38 = 1-10, 0-2 x 0-39 = 1-12, 0-2 x 0-40 = 1-14, 0-2 x 0-41 = 1-16, 0-2 x 0-42 = 1-18, 0-2 x 0-43 = 1-20, 0-2 x 0-44 = 1-22, 0-2 x 0-45 = 1-24, 0-2 x 0-46 = 1-26, 0-2 x 0-47 = 1-28, 0-2 x 0-48 = 1-30, 0-2 x 0-49 = 1-32, 0-2 x 0-50 = 1-34, 0-2 x 0-51 = 1-36, 0-2 x 0-52 = 1-38, 0-2 x 0-53 = 1-40, 0-2 x 0-54 = 1-42, 0-2 x 0-55 = 1-44, 0-2 x 0-56 = 1-46, 0-2 x 0-57 = 1-48, 0-2 x 0-58 = 1-50, 0-2 x 0-59 = 1-52, 0-2 x 0-60 = 1-54, 0-2 x 0-61 = 1-56, 0-2 x 0-62 = 1-58, 0-2 x 0-63 = 1-60, 0-2 x 0-64 = 1-62, 0-2 x 0-65 = 1-64, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 0-45, 0-3 x 0-16 = 0-48, 0-3 x 0-17 = 0-51, 0-3 x 0-18 = 0-54, 0-3 x 0-19 = 0-57, 0-3 x 0-20 = 0-60, 0-3 x 0-21 = 0-63, 0-3 x 0-22 = 1-0, 0-3 x 0-23 = 1-3, 0-3 x 0-24 = 1-6, 0-3 x 0-25 = 1-9, 0-3 x 0-26 = 1-12, 0-3 x 0-27 = 1-15, 0-3 x 0-28 = 1-18, 0-3 x 0-29 = 1-21, 0-3 x 0-30 = 1-24, 0-3 x 0-31 = 1-27, 0-3 x 0-32 = 1-30, 0-3 x 0-33 = 1-33, 0-3 x 0-34 = 1-36, 0-3 x 0-35 = 1-39, 0-3 x 0-36 = 1-42, 0-3 x 0-37 = 1-45, 0-3 x 0-38 = 1-48, 0-3 x 0-39 = 1-51, 0-3 x 0-40 = 1-54, 0-3 x 0-41 = 1-57, 0-3 x 0-42 = 1-60, 0-3 x 0-43 = 1-63, 0-3 x 0-44 = 2-0, 0-3 x 0-45 = 2-3, 0-3 x 0-46 = 2-6, 0-3 x 0-47 = 2-9, 0-3 x 0-48 = 2-12, 0-3 x 0-49 = 2-15, 0-3 x 0-50 = 2-18, 0-3 x 0-51 = 2-21, 0-3 x 0-52 = 2-24, 0-3 x 0-53 = 2-27, 0-3 x 0-54 = 2-30, 0-3 x 0-55 = 2-33, 0-3 x 0-56 = 2-36, 0-3 x 0-57 = 2-39, 0-3 x 0-58 = 2-42, 0-3 x 0-59 = 2-45, 0-3 x 0-60 = 2-48, 0-3 x 0-61 = 2-51, 0-3 x 0-62 = 2-54, 0-3 x 0-63 = 2-57, 0-3 x 0-64 = 2-60, 0-3 x 0-65 = 2-63, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 0-44, 0-4 x 0-12 = 0-48, 0-4 x 0-13 = 0-52, 0-4 x 0-14 = 0-56, 0-4 x 0-15 = 0-60, 0-4 x 0-16 = 0-64, 0-4 x 0-17 = 1-2, 0-4 x 0-18 = 1-6, 0-4 x 0-19 = 1-10, 0-4 x 0-20 = 1-14, 0-4 x 0-21 = 1-18, 0-4 x 0-22 = 1-22, 0-4 x 0-23 = 1-26, 0-4 x 0-24 = 1-30, 0-4 x 0-25 = 1-34, 0-4 x 0-26 = 1-38, 0-4 x 0-27 = 1-42, 0-4 x 0-28 = 1-46, 0-4 x 0-29 = 1-50, 0-4 x 0-30 = 1-54, 0-4 x 0-31 = 1-58, 0-4 x 0-32 = 1-62, 0-4 x 0-33 = 2-0, 0-4 x 0-34 = 2-4, 0-4 x 0-35 = 2-8, 0-4 x 0-36 = 2-12, 0-4 x 0-37 = 2-16, 0-4 x 0-38 = 2-20, 0-4 x 0-39 = 2-24, 0-4 x 0-40 = 2-28, 0-4 x 0-41 = 2-32, 0-4 x 0-42 = 2-36, 0-4 x 0-43 = 2-40, 0-4 x 0-44 = 2-44, 0-4 x 0-45 = 2-48, 0-4 x 0-46 = 2-52, 0-4 x 0-47 = 2-56, 0-4 x 0-48 = 2-60, 0-4 x 0-49 = 2-64, 0-4 x 0-50 = 3-2, 0-4 x 0-51 = 3-6, 0-4 x 0-52 = 3-10, 0-4 x 0-53 = 3-14, 0-4 x 0-54 = 3-18, 0-4 x 0-55 = 3-22, 0-4 x 0-56 = 3-26, 0-4 x 0-57 = 3-30, 0-4 x 0-58 = 3-34, 0-4 x 0-59 = 3-38, 0-4 x 0-60 = 3-42, 0-4 x 0-61 = 3-46, 0-4 x 0-62 = 3-50, 0-4 x 0-63 = 3-54, 0-4 x 0-64 = 3-58, 0-4 x 0-65 = 3-62, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 0-45, 0-5 x 0-10 = 0-50, 0-5 x 0-11 = 0-55, 0-5 x 0-12 = 0-60, 0-5 x 0-13 = 0-65, 0-5 x 0-14 = 1-4, 0-5 x 0-15 = 1-9, 0-5 x 0-16 = 1-14, 0-5 x 0-17 = 1-19, 0-5 x 0-18 = 1-24, 0-5 x 0-19 = 1-29, 0-5 x 0-20 = 1-34, 0-5 x 0-21 = 1-39, 0-5 x 0-22 = 1-44, 0-5 x 0-23 = 1-49, 0-5 x 0-24 = 1-54, 0-5 x 0-25 = 1-59, 0-5 x 0-26 = 1-64, 0-5 x 0-27 = 2-3, 0-5 x 0-28 = 2-8, 0-5 x 0-29 = 2-13, 0-5 x 0-30 = 2-18, 0-5 x 0-31 = 2-23, 0-5 x 0-32 = 2-28, 0-5 x 0-33 = 2-33, 0-5 x 0-34 = 2-38, 0-5 x 0-35 = 2-43, 0-5 x 0-36 = 2-48, 0-5 x 0-37 = 2-53, 0-5 x 0-38 = 2-58, 0-5 x 0-39 = 2-63, 0-5 x 0-40 = 3-2, 0-5 x 0-41 = 3-7, 0-5 x 0-42 = 3-12, 0-5 x 0-43 = 3-17, 0-5 x 0-44 = 3-22, 0-5 x 0-45 = 3-27, 0-5 x 0-46 = 3-32, 0-5 x 0-47 = 3-37, 0-5 x 0-48 = 3-42, 0-5 x 0-49 = 3-47, 0-5 x 0-50 = 3-52, 0-5 x 0-51 = 3-57, 0-5 x 0-52 = 3-62, 0-5 x 0-53 = 4-1, 0-5 x 0-54 = 4-6, 0-5 x 0-55 = 4-11, 0-5 x 0-56 = 4-16, 0-5 x 0-57 = 4-21, 0-5 x 0-58 = 4-26, 0-5 x 0-59 = 4-31, 0-5 x 0-60 = 4-36, 0-5 x 0-61 = 4-41, 0-5 x 0-62 = 4-46, 0-5 x 0-63 = 4-51, 0-5 x 0-64 = 4-56, 0-5 x 0-65 = 4-61, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 0-48, 0-6 x 0-9 = 0-54, 0-6 x 0-10 = 0-60, 0-6 x 0-11 = 1-0, 0-6 x 0-12 = 1-6, 0-6 x 0-13 = 1-12, 0-6 x 0-14 = 1-18, 0-6 x 0-15 = 1-24, 0-6 x 0-16 = 1-30, 0-6 x 0-17 = 1-36, 0-6 x 0-18 = 1-42, 0-6 x 0-19 = 1-48, 0-6 x 0-20 = 1-54, 0-6 x 0-21 = 1-60, 0-6 x 0-22 = 2-0, 0-6 x 0-23 = 2-6, 0-6 x 0-24 = 2-12, 0-6 x 0-25 = 2-18, 0-6 x 0-26 = 2-24, 0-6 x 0-27 = 2-30, 0-6 x 0-28 = 2-36, 0-6 x 0-29 = 2-42, 0-6 x 0-30 = 2-48, 0-6 x 0-31 = 2-54, 0-6 x 0-32 = 2-60, 0-6 x 0-33 = 3-0, 0-6 x 0-34 = 3-6, 0-6 x 0-35 = 3-12, 0-6 x 0-36 = 3-18, 0-6 x 0-37 = 3-24, 0-6 x 0-38 = 3-30, 0-6 x 0-39 = 3-36, 0-6 x 0-40 = 3-42, 0-6 x 0-41 = 3-48, 0-6 x 0-42 = 3-54, 0-6 x 0-43 = 3-60, 0-6 x 0-44 = 4-0, 0-6 x 0-45 = 4-6, 0-6 x 0-46 = 4-12, 0-6 x 0-47 = 4-18, 0-6 x 0-48 = 4-24, 0-6 x 0-49 = 4-30, 0-6 x 0-50 = 4-36, 0-6 x 0-51 = 4-42, 0-6 x 0-52 = 4-48, 0-6 x 0-53 = 4-54, 0-6 x 0-54 = 4-60, 0-6 x 0-55 = 5-0, 0-6 x 0-56 = 5-6, 0-6 x 0-57 = 5-12, 0-6 x 0-58 = 5-18, 0-6 x 0-59 = 5-24, 0-6 x 0-60 = 5-30, 0-6 x 0-61 = 5-36, 0-6 x 0-62 = 5-42, 0-6 x 0-63 = 5-48, 0-6 x 0-64 = 5-54, 0-6 x 0-65 = 5-60, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 0-49, 0-7 x 0-8 = 0-56, 0-7 x 0-9 = 0-63, 0-7 x 0-10 = 1-4, 0-7 x 0-11 = 1-11, 0-7 x 0-12 = 1-18, 0-7 x 0-13 = 1-25, 0-7 x 0-14 = 1-32, 0-7 x 0-15 = 1-39, 0-7 x 0-16 = 1-46, 0-7 x 0-17 = 1-53, 0-7 x 0-18 = 1-60, 0-7 x 0-19 = 2-1, 0-7 x 0-20 = 2-8, 0-7 x 0-21 = 2-15, 0-7 x 0-22 = 2-22, 0-7 x 0-23 = 2-29, 0-7 x 0-24 = 2-36, 0-7 x 0-25 = 2-43, 0-7 x 0-26 = 2-50, 0-7 x 0-27 = 2-57, 0-7 x 0-28 = 2-64, 0-7 x 0-29 = 3-5, 0-7 x 0-30 = 3-12, 0-7 x 0-31 = 3-19, 0-7 x 0-32 = 3-26, 0-7 x 0-33 = 3-33, 0-7 x 0-34 = 3-40, 0-7 x 0-35 = 3-47, 0-7 x 0-36 = 3-54, 0-7 x 0-37 = 3-61, 0-7 x 0-38 = 4-2, 0-7 x 0-39 = 4-9, 0-7 x 0-40 = 4-16, 0-7 x 0-41 = 4-23, 0-7 x 0-42 = 4-30, 0-7 x 0-43 = 4-37, 0-7 x 0-44 = 4-44, 0-7 x 0-45 = 4-51, 0-7 x 0-46 = 4-58, 0-7 x 0-47 = 4-65, 0-7 x 0-48 = 5-6, 0-7 x 0-49 = 5-13, 0-7 x 0-50 = 5-20, 0-7 x 0-51 = 5-27, 0-7 x 0-52 = 5-34, 0-7 x 0-53 = 5-41, 0-7 x 0-54 = 5-48, 0-7 x 0-55 = 5-55, 0-7 x 0-56 = 5-62, 0-7 x 0-57 = 6-3, 0-7 x 0-58 = 6-10, 0-7 x 0-59 = 6-17, 0-7 x 0-60 = 6-24, 0-7 x 0-61 = 6-31, 0-7 x 0-62 = 6-38, 0-7 x 0-63 = 6-45, 0-7 x 0-64 = 6-52, 0-7 x 0-65 = 6-59, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 0-48, 0-8 x 0-7 = 0-56, 0-8 x 0-8 = 0-64, 0-8 x 0-9 = 1-6, 0-8 x 0-10 = 1-14, 0-8 x 0-11 = 1-22, 0-8 x 0-12 = 1-30, 0-8 x 0-13 = 1-38, 0-8 x 0-14 = 1-46, 0-8 x 0-15 = 1-54, 0-8 x 0-16 = 1-62, 0-8 x 0-17 = 2-4, 0-8 x 0-18 = 2-12, 0-8 x 0-19 = 2-20, 0-8 x 0-20 = 2-28, 0-8 x 0-21 = 2-36, 0-8 x 0-22 = 2-44, 0-8 x 0-23 = 2-52, 0-8 x 0-24 = 2-60, 0-8 x 0-25 = 3-2, 0-8 x 0-26 = 3-10, 0-8 x 0-27 = 3-18, 0-8 x 0-28 = 3-26, 0-8 x 0-29 = 3-34, 0-8 x 0-30 = 3-42, 0-8 x 0-31 = 3-50, 0-8 x 0-32 = 3-58, 0-8 x 0-33 = 4-0, 0-8 x 0-34 = 4-8, 0-8 x 0-35 = 4-16, 0-8 x 0-36 = 4-24, 0-8 x 0-37 = 4-32, 0-8 x 0-38 = 4-40, 0-8 x 0-39 = 4-48, 0-8 x 0-40 = 4-56, 0-8 x 0-41 = 4-64, 0-8 x 0-42 = 5-6, 0-8 x 0-43 = 5-14, 0-8 x 0-44 = 5-22, 0-8 x 0-45 = 5-30, 0-8 x 0-46 = 5-38, 0-8 x 0-47 = 5-46, 0-8 x 0-48 = 5-54, 0-8 x 0-49 = 5-62, 0-8 x 0-50 = 6-4, 0-8 x 0-51 = 6-12, 0-8 x 0-52 = 6-20, 0-8 x 0-53 = 6-28, 0-8 x 0-54 = 6-36, 0-8 x 0-55 = 6-44, 0-8 x 0-56 = 6-52, 0-8 x 0-57 = 6-60, 0-8 x 0-58 = 7-2, 0-8 x 0-59 = 7-10, 0-8 x 0-60 = 7-18, 0-8 x 0-61 = 7-26, 0-8 x 0-62 = 7-34, 0-8 x 0-63 = 7-42, 0-8 x 0-64 = 7-50, 0-8 x 0-65 = 7-58, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 0-45, 0-9 x 0-6 = 0-54, 0-9 x 0-7 = 0-63, 0-9 x 0-8 = 1-6, 0-9 x 0-9 = 1-15, 0-9 x 0-10 = 1-24, 0-9 x 0-11 = 1-33, 0-9 x 0-12 = 1-42, 0-9 x 0-13 = 1-51, 0-9 x 0-14 = 1-60, 0-9 x 0-15 = 2-3, 0-9 x 0-16 = 2-12, 0-9 x 0-17 = 2-21, 0-9 x 0-18 = 2-30, 0-9 x 0-19 = 2-39, 0-9 x 0-20 = 2-48, 0-9 x 0-21 = 2-57, 0-9 x 0-22 = 3-0, 0-9 x 0-23 = 3-9, 0-9 x 0-24 = 3-18, 0-9 x 0-25 = 3-27, 0-9 x 0-26 = 3-36, 0-9 x 0-27 = 3-45, 0-9 x 0-28 = 3-54, 0-9 x 0-29 = 3-63, 0-9 x 0-30 = 4-6, 0-9 x 0-31 = 4-15, 0-9 x 0-32 = 4-24, 0-9 x 0-33 = 4-33, 0-9 x 0-34 = 4-42, 0-9 x 0-35 = 4-51, 0-9 x 0-36 = 4-60, 0-9 x 0-37 = 5-3, 0-9 x 0-38 = 5-12, 0-9 x 0-39 = 5-21, 0-9 x 0-40 = 5-30, 0-9 x 0-41 = 5-39, 0-9 x 0-42 = 5-48, 0-9 x 0-43 = 5-57, 0-9 x 0-44 = 6-0, 0-9 x 0-45 = 6-9, 0-9 x 0-46 = 6-18, 0-9 x 0-47 = 6-27, 0-9 x 0-48 = 6-36, 0-9 x 0-49 = 6-45, 0-9 x 0-50 = 6-54, 0-9 x 0-51 = 6-63, 0-9 x 0-52 = 7-6, 0-9 x 0-53 = 7-15, 0-9 x 0-54 = 7-24, 0-9 x 0-55 = 7-33, 0-9 x 0-56 = 7-42, 0-9 x 0-57 = 7-51, 0-9 x 0-58 = 7-60, 0-9 x 0-59 = 8-3, 0-9 x 0-60 = 8-12, 0-9 x 0-61 = 8-21, 0-9 x 0-62 = 8-30, 0-9 x 0-63 = 8-39, 0-9 x 0-64 = 8-48, 0-9 x 0-65 = 8-57, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 0-50, 0-10 x 0-6 = 0-60, 0-10 x 0-7 = 1-4, 0-10 x 0-8 = 1-14, 0-10 x 0-9 = 1-24, 0-10 x 0-10 = 1-34, 0-10 x 0-11 = 1-44, 0-10 x 0-12 = 1-54, 0-10 x 0-13 = 1-64, 0-10 x 0-14 = 2-8, 0-10 x 0-15 = 2-18, 0-10 x 0-16 = 2-28, 0-10 x 0-17 = 2-38, 0-10 x 0-18 = 2-48, 0-10 x 0-19 = 2-58, 0-10 x 0-20 = 3-2, 0-10 x 0-21 = 3-12, 0-10 x 0-22 = 3-22, 0-10 x 0-23 = 3-32, 0-10 x 0-24 = 3-42, 0-10 x 0-25 = 3-52, 0-10 x 0-26 = 3-62, 0-10 x 0-27 = 4-6, 0-10 x 0-28 = 4-16, 0-10 x 0-29 = 4-26, 0-10 x 0-30 = 4-36, 0-10 x 0-31 = 4-46, 0-10 x 0-32 = 4-56, 0-10 x 0-33 = 5-0, 0-10 x 0-34 = 5-10, 0-10 x 0-35 = 5-20, 0-10 x 0-36 = 5-30, 0-10 x 0-37 = 5-40, 0-10 x 0-38 = 5-50, 0-10 x 0-39 = 5-60, 0-10 x 0-40 = 6-4, 0-10 x 0-41 = 6-14, 0-10 x 0-42 = 6-24, 0-10 x 0-43 = 6-34, 0-10 x 0-44 = 6-44, 0-10 x 0-45 = 6-54, 0-10 x 0-46 = 6-64, 0-10 x 0-47 = 7-8, 0-10 x 0-48 = 7-18, 0-10 x 0-49 = 7-28, 0-10 x 0-50 = 7-38, 0-10 x 0-51 = 7-48, 0-10 x 0-52 = 7-58, 0-10 x 0-53 = 8-2, 0-10 x 0-54 = 8-12, 0-10 x 0-55 = 8-22, 0-10 x 0-56 = 8-32, 0-10 x 0-57 = 8-42, 0-10 x 0-58 = 8-52, 0-10 x 0-59 = 8-62, 0-10 x 0-60 = 9-6, 0-10 x 0-61 = 9-16, 0-10 x 0-62 = 9-26, 0-10 x 0-63 = 9-36, 0-10 x 0-64 = 9-46, 0-10 x 0-65 = 9-56, 
