0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 0-1 x 0-44 = 0-44, 0-1 x 0-45 = 0-45, 0-1 x 0-46 = 0-46, 0-1 x 0-47 = 0-47, 0-1 x 0-48 = 0-48, 0-1 x 0-49 = 0-49, 0-1 x 0-50 = 0-50, 0-1 x 0-51 = 0-51, 0-1 x 0-52 = 0-52, 0-1 x 0-53 = 0-53, 0-1 x 0-54 = 0-54, 0-1 x 0-55 = 0-55, 0-1 x 0-56 = 0-56, 0-1 x 0-57 = 0-57, 0-1 x 0-58 = 0-58, 0-1 x 0-59 = 0-59, 0-1 x 0-60 = 0-60, 0-1 x 0-61 = 0-61, 0-1 x 0-62 = 0-62, 0-1 x 0-63 = 0-63, 0-1 x 0-64 = 0-64, 0-1 x 0-65 = 0-65, 0-1 x 0-66 = 0-66, 0-1 x 0-67 = 0-67, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 0-44, 0-2 x 0-23 = 0-46, 0-2 x 0-24 = 0-48, 0-2 x 0-25 = 0-50, 0-2 x 0-26 = 0-52, 0-2 x 0-27 = 0-54, 0-2 x 0-28 = 0-56, 0-2 x 0-29 = 0-58, 0-2 x 0-30 = 0-60, 0-2 x 0-31 = 0-62, 0-2 x 0-32 = 0-64, 0-2 x 0-33 = 0-66, 0-2 x 0-34 = 1-0, 0-2 x 0-35 = 1-2, 0-2 x 0-36 = 1-4, 0-2 x 0-37 = 1-6, 0-2 x 0-38 = 1-8, 0-2 x 0-39 = 1-10, 0-2 x 0-40 = 1-12, 0-2 x 0-41 = 1-14, 0-2 x 0-42 = 1-16, 0-2 x 0-43 = 1-18, 0-2 x 0-44 = 1-20, 0-2 x 0-45 = 1-22, 0-2 x 0-46 = 1-24, 0-2 x 0-47 = 1-26, 0-2 x 0-48 = 1-28, 0-2 x 0-49 = 1-30, 0-2 x 0-50 = 1-32, 0-2 x 0-51 = 1-34, 0-2 x 0-52 = 1-36, 0-2 x 0-53 = 1-38, 0-2 x 0-54 = 1-40, 0-2 x 0-55 = 1-42, 0-2 x 0-56 = 1-44, 0-2 x 0-57 = 1-46, 0-2 x 0-58 = 1-48, 0-2 x 0-59 = 1-50, 0-2 x 0-60 = 1-52, 0-2 x 0-61 = 1-54, 0-2 x 0-62 = 1-56, 0-2 x 0-63 = 1-58, 0-2 x 0-64 = 1-60, 0-2 x 0-65 = 1-62, 0-2 x 0-66 = 1-64, 0-2 x 0-67 = 1-66, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 0-45, 0-3 x 0-16 = 0-48, 0-3 x 0-17 = 0-51, 0-3 x 0-18 = 0-54, 0-3 x 0-19 = 0-57, 0-3 x 0-20 = 0-60, 0-3 x 0-21 = 0-63, 0-3 x 0-22 = 0-66, 0-3 x 0-23 = 1-1, 0-3 x 0-24 = 1-4, 0-3 x 0-25 = 1-7, 0-3 x 0-26 = 1-10, 0-3 x 0-27 = 1-13, 0-3 x 0-28 = 1-16, 0-3 x 0-29 = 1-19, 0-3 x 0-30 = 1-22, 0-3 x 0-31 = 1-25, 0-3 x 0-32 = 1-28, 0-3 x 0-33 = 1-31, 0-3 x 0-34 = 1-34, 0-3 x 0-35 = 1-37, 0-3 x 0-36 = 1-40, 0-3 x 0-37 = 1-43, 0-3 x 0-38 = 1-46, 0-3 x 0-39 = 1-49, 0-3 x 0-40 = 1-52, 0-3 x 0-41 = 1-55, 0-3 x 0-42 = 1-58, 0-3 x 0-43 = 1-61, 0-3 x 0-44 = 1-64, 0-3 x 0-45 = 1-67, 0-3 x 0-46 = 2-2, 0-3 x 0-47 = 2-5, 0-3 x 0-48 = 2-8, 0-3 x 0-49 = 2-11, 0-3 x 0-50 = 2-14, 0-3 x 0-51 = 2-17, 0-3 x 0-52 = 2-20, 0-3 x 0-53 = 2-23, 0-3 x 0-54 = 2-26, 0-3 x 0-55 = 2-29, 0-3 x 0-56 = 2-32, 0-3 x 0-57 = 2-35, 0-3 x 0-58 = 2-38, 0-3 x 0-59 = 2-41, 0-3 x 0-60 = 2-44, 0-3 x 0-61 = 2-47, 0-3 x 0-62 = 2-50, 0-3 x 0-63 = 2-53, 0-3 x 0-64 = 2-56, 0-3 x 0-65 = 2-59, 0-3 x 0-66 = 2-62, 0-3 x 0-67 = 2-65, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 0-44, 0-4 x 0-12 = 0-48, 0-4 x 0-13 = 0-52, 0-4 x 0-14 = 0-56, 0-4 x 0-15 = 0-60, 0-4 x 0-16 = 0-64, 0-4 x 0-17 = 1-0, 0-4 x 0-18 = 1-4, 0-4 x 0-19 = 1-8, 0-4 x 0-20 = 1-12, 0-4 x 0-21 = 1-16, 0-4 x 0-22 = 1-20, 0-4 x 0-23 = 1-24, 0-4 x 0-24 = 1-28, 0-4 x 0-25 = 1-32, 0-4 x 0-26 = 1-36, 0-4 x 0-27 = 1-40, 0-4 x 0-28 = 1-44, 0-4 x 0-29 = 1-48, 0-4 x 0-30 = 1-52, 0-4 x 0-31 = 1-56, 0-4 x 0-32 = 1-60, 0-4 x 0-33 = 1-64, 0-4 x 0-34 = 2-0, 0-4 x 0-35 = 2-4, 0-4 x 0-36 = 2-8, 0-4 x 0-37 = 2-12, 0-4 x 0-38 = 2-16, 0-4 x 0-39 = 2-20, 0-4 x 0-40 = 2-24, 0-4 x 0-41 = 2-28, 0-4 x 0-42 = 2-32, 0-4 x 0-43 = 2-36, 0-4 x 0-44 = 2-40, 0-4 x 0-45 = 2-44, 0-4 x 0-46 = 2-48, 0-4 x 0-47 = 2-52, 0-4 x 0-48 = 2-56, 0-4 x 0-49 = 2-60, 0-4 x 0-50 = 2-64, 0-4 x 0-51 = 3-0, 0-4 x 0-52 = 3-4, 0-4 x 0-53 = 3-8, 0-4 x 0-54 = 3-12, 0-4 x 0-55 = 3-16, 0-4 x 0-56 = 3-20, 0-4 x 0-57 = 3-24, 0-4 x 0-58 = 3-28, 0-4 x 0-59 = 3-32, 0-4 x 0-60 = 3-36, 0-4 x 0-61 = 3-40, 0-4 x 0-62 = 3-44, 0-4 x 0-63 = 3-48, 0-4 x 0-64 = 3-52, 0-4 x 0-65 = 3-56, 0-4 x 0-66 = 3-60, 0-4 x 0-67 = 3-64, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 0-45, 0-5 x 0-10 = 0-50, 0-5 x 0-11 = 0-55, 0-5 x 0-12 = 0-60, 0-5 x 0-13 = 0-65, 0-5 x 0-14 = 1-2, 0-5 x 0-15 = 1-7, 0-5 x 0-16 = 1-12, 0-5 x 0-17 = 1-17, 0-5 x 0-18 = 1-22, 0-5 x 0-19 = 1-27, 0-5 x 0-20 = 1-32, 0-5 x 0-21 = 1-37, 0-5 x 0-22 = 1-42, 0-5 x 0-23 = 1-47, 0-5 x 0-24 = 1-52, 0-5 x 0-25 = 1-57, 0-5 x 0-26 = 1-62, 0-5 x 0-27 = 1-67, 0-5 x 0-28 = 2-4, 0-5 x 0-29 = 2-9, 0-5 x 0-30 = 2-14, 0-5 x 0-31 = 2-19, 0-5 x 0-32 = 2-24, 0-5 x 0-33 = 2-29, 0-5 x 0-34 = 2-34, 0-5 x 0-35 = 2-39, 0-5 x 0-36 = 2-44, 0-5 x 0-37 = 2-49, 0-5 x 0-38 = 2-54, 0-5 x 0-39 = 2-59, 0-5 x 0-40 = 2-64, 0-5 x 0-41 = 3-1, 0-5 x 0-42 = 3-6, 0-5 x 0-43 = 3-11, 0-5 x 0-44 = 3-16, 0-5 x 0-45 = 3-21, 0-5 x 0-46 = 3-26, 0-5 x 0-47 = 3-31, 0-5 x 0-48 = 3-36, 0-5 x 0-49 = 3-41, 0-5 x 0-50 = 3-46, 0-5 x 0-51 = 3-51, 0-5 x 0-52 = 3-56, 0-5 x 0-53 = 3-61, 0-5 x 0-54 = 3-66, 0-5 x 0-55 = 4-3, 0-5 x 0-56 = 4-8, 0-5 x 0-57 = 4-13, 0-5 x 0-58 = 4-18, 0-5 x 0-59 = 4-23, 0-5 x 0-60 = 4-28, 0-5 x 0-61 = 4-33, 0-5 x 0-62 = 4-38, 0-5 x 0-63 = 4-43, 0-5 x 0-64 = 4-48, 0-5 x 0-65 = 4-53, 0-5 x 0-66 = 4-58, 0-5 x 0-67 = 4-63, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 0-48, 0-6 x 0-9 = 0-54, 0-6 x 0-10 = 0-60, 0-6 x 0-11 = 0-66, 0-6 x 0-12 = 1-4, 0-6 x 0-13 = 1-10, 0-6 x 0-14 = 1-16, 0-6 x 0-15 = 1-22, 0-6 x 0-16 = 1-28, 0-6 x 0-17 = 1-34, 0-6 x 0-18 = 1-40, 0-6 x 0-19 = 1-46, 0-6 x 0-20 = 1-52, 0-6 x 0-21 = 1-58, 0-6 x 0-22 = 1-64, 0-6 x 0-23 = 2-2, 0-6 x 0-24 = 2-8, 0-6 x 0-25 = 2-14, 0-6 x 0-26 = 2-20, 0-6 x 0-27 = 2-26, 0-6 x 0-28 = 2-32, 0-6 x 0-29 = 2-38, 0-6 x 0-30 = 2-44, 0-6 x 0-31 = 2-50, 0-6 x 0-32 = 2-56, 0-6 x 0-33 = 2-62, 0-6 x 0-34 = 3-0, 0-6 x 0-35 = 3-6, 0-6 x 0-36 = 3-12, 0-6 x 0-37 = 3-18, 0-6 x 0-38 = 3-24, 0-6 x 0-39 = 3-30, 0-6 x 0-40 = 3-36, 0-6 x 0-41 = 3-42, 0-6 x 0-42 = 3-48, 0-6 x 0-43 = 3-54, 0-6 x 0-44 = 3-60, 0-6 x 0-45 = 3-66, 0-6 x 0-46 = 4-4, 0-6 x 0-47 = 4-10, 0-6 x 0-48 = 4-16, 0-6 x 0-49 = 4-22, 0-6 x 0-50 = 4-28, 0-6 x 0-51 = 4-34, 0-6 x 0-52 = 4-40, 0-6 x 0-53 = 4-46, 0-6 x 0-54 = 4-52, 0-6 x 0-55 = 4-58, 0-6 x 0-56 = 4-64, 0-6 x 0-57 = 5-2, 0-6 x 0-58 = 5-8, 0-6 x 0-59 = 5-14, 0-6 x 0-60 = 5-20, 0-6 x 0-61 = 5-26, 0-6 x 0-62 = 5-32, 0-6 x 0-63 = 5-38, 0-6 x 0-64 = 5-44, 0-6 x 0-65 = 5-50, 0-6 x 0-66 = 5-56, 0-6 x 0-67 = 5-62, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 0-49, 0-7 x 0-8 = 0-56, 0-7 x 0-9 = 0-63, 0-7 x 0-10 = 1-2, 0-7 x 0-11 = 1-9, 0-7 x 0-12 = 1-16, 0-7 x 0-13 = 1-23, 0-7 x 0-14 = 1-30, 0-7 x 0-15 = 1-37, 0-7 x 0-16 = 1-44, 0-7 x 0-17 = 1-51, 0-7 x 0-18 = 1-58, 0-7 x 0-19 = 1-65, 0-7 x 0-20 = 2-4, 0-7 x 0-21 = 2-11, 0-7 x 0-22 = 2-18, 0-7 x 0-23 = 2-25, 0-7 x 0-24 = 2-32, 0-7 x 0-25 = 2-39, 0-7 x 0-26 = 2-46, 0-7 x 0-27 = 2-53, 0-7 x 0-28 = 2-60, 0-7 x 0-29 = 2-67, 0-7 x 0-30 = 3-6, 0-7 x 0-31 = 3-13, 0-7 x 0-32 = 3-20, 0-7 x 0-33 = 3-27, 0-7 x 0-34 = 3-34, 0-7 x 0-35 = 3-41, 0-7 x 0-36 = 3-48, 0-7 x 0-37 = 3-55, 0-7 x 0-38 = 3-62, 0-7 x 0-39 = 4-1, 0-7 x 0-40 = 4-8, 0-7 x 0-41 = 4-15, 0-7 x 0-42 = 4-22, 0-7 x 0-43 = 4-29, 0-7 x 0-44 = 4-36, 0-7 x 0-45 = 4-43, 0-7 x 0-46 = 4-50, 0-7 x 0-47 = 4-57, 0-7 x 0-48 = 4-64, 0-7 x 0-49 = 5-3, 0-7 x 0-50 = 5-10, 0-7 x 0-51 = 5-17, 0-7 x 0-52 = 5-24, 0-7 x 0-53 = 5-31, 0-7 x 0-54 = 5-38, 0-7 x 0-55 = 5-45, 0-7 x 0-56 = 5-52, 0-7 x 0-57 = 5-59, 0-7 x 0-58 = 5-66, 0-7 x 0-59 = 6-5, 0-7 x 0-60 = 6-12, 0-7 x 0-61 = 6-19, 0-7 x 0-62 = 6-26, 0-7 x 0-63 = 6-33, 0-7 x 0-64 = 6-40, 0-7 x 0-65 = 6-47, 0-7 x 0-66 = 6-54, 0-7 x 0-67 = 6-61, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 0-48, 0-8 x 0-7 = 0-56, 0-8 x 0-8 = 0-64, 0-8 x 0-9 = 1-4, 0-8 x 0-10 = 1-12, 0-8 x 0-11 = 1-20, 0-8 x 0-12 = 1-28, 0-8 x 0-13 = 1-36, 0-8 x 0-14 = 1-44, 0-8 x 0-15 = 1-52, 0-8 x 0-16 = 1-60, 0-8 x 0-17 = 2-0, 0-8 x 0-18 = 2-8, 0-8 x 0-19 = 2-16, 0-8 x 0-20 = 2-24, 0-8 x 0-21 = 2-32, 0-8 x 0-22 = 2-40, 0-8 x 0-23 = 2-48, 0-8 x 0-24 = 2-56, 0-8 x 0-25 = 2-64, 0-8 x 0-26 = 3-4, 0-8 x 0-27 = 3-12, 0-8 x 0-28 = 3-20, 0-8 x 0-29 = 3-28, 0-8 x 0-30 = 3-36, 0-8 x 0-31 = 3-44, 0-8 x 0-32 = 3-52, 0-8 x 0-33 = 3-60, 0-8 x 0-34 = 4-0, 0-8 x 0-35 = 4-8, 0-8 x 0-36 = 4-16, 0-8 x 0-37 = 4-24, 0-8 x 0-38 = 4-32, 0-8 x 0-39 = 4-40, 0-8 x 0-40 = 4-48, 0-8 x 0-41 = 4-56, 0-8 x 0-42 = 4-64, 0-8 x 0-43 = 5-4, 0-8 x 0-44 = 5-12, 0-8 x 0-45 = 5-20, 0-8 x 0-46 = 5-28, 0-8 x 0-47 = 5-36, 0-8 x 0-48 = 5-44, 0-8 x 0-49 = 5-52, 0-8 x 0-50 = 5-60, 0-8 x 0-51 = 6-0, 0-8 x 0-52 = 6-8, 0-8 x 0-53 = 6-16, 0-8 x 0-54 = 6-24, 0-8 x 0-55 = 6-32, 0-8 x 0-56 = 6-40, 0-8 x 0-57 = 6-48, 0-8 x 0-58 = 6-56, 0-8 x 0-59 = 6-64, 0-8 x 0-60 = 7-4, 0-8 x 0-61 = 7-12, 0-8 x 0-62 = 7-20, 0-8 x 0-63 = 7-28, 0-8 x 0-64 = 7-36, 0-8 x 0-65 = 7-44, 0-8 x 0-66 = 7-52, 0-8 x 0-67 = 7-60, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 0-45, 0-9 x 0-6 = 0-54, 0-9 x 0-7 = 0-63, 0-9 x 0-8 = 1-4, 0-9 x 0-9 = 1-13, 0-9 x 0-10 = 1-22, 0-9 x 0-11 = 1-31, 0-9 x 0-12 = 1-40, 0-9 x 0-13 = 1-49, 0-9 x 0-14 = 1-58, 0-9 x 0-15 = 1-67, 0-9 x 0-16 = 2-8, 0-9 x 0-17 = 2-17, 0-9 x 0-18 = 2-26, 0-9 x 0-19 = 2-35, 0-9 x 0-20 = 2-44, 0-9 x 0-21 = 2-53, 0-9 x 0-22 = 2-62, 0-9 x 0-23 = 3-3, 0-9 x 0-24 = 3-12, 0-9 x 0-25 = 3-21, 0-9 x 0-26 = 3-30, 0-9 x 0-27 = 3-39, 0-9 x 0-28 = 3-48, 0-9 x 0-29 = 3-57, 0-9 x 0-30 = 3-66, 0-9 x 0-31 = 4-7, 0-9 x 0-32 = 4-16, 0-9 x 0-33 = 4-25, 0-9 x 0-34 = 4-34, 0-9 x 0-35 = 4-43, 0-9 x 0-36 = 4-52, 0-9 x 0-37 = 4-61, 0-9 x 0-38 = 5-2, 0-9 x 0-39 = 5-11, 0-9 x 0-40 = 5-20, 0-9 x 0-41 = 5-29, 0-9 x 0-42 = 5-38, 0-9 x 0-43 = 5-47, 0-9 x 0-44 = 5-56, 0-9 x 0-45 = 5-65, 0-9 x 0-46 = 6-6, 0-9 x 0-47 = 6-15, 0-9 x 0-48 = 6-24, 0-9 x 0-49 = 6-33, 0-9 x 0-50 = 6-42, 0-9 x 0-51 = 6-51, 0-9 x 0-52 = 6-60, 0-9 x 0-53 = 7-1, 0-9 x 0-54 = 7-10, 0-9 x 0-55 = 7-19, 0-9 x 0-56 = 7-28, 0-9 x 0-57 = 7-37, 0-9 x 0-58 = 7-46, 0-9 x 0-59 = 7-55, 0-9 x 0-60 = 7-64, 0-9 x 0-61 = 8-5, 0-9 x 0-62 = 8-14, 0-9 x 0-63 = 8-23, 0-9 x 0-64 = 8-32, 0-9 x 0-65 = 8-41, 0-9 x 0-66 = 8-50, 0-9 x 0-67 = 8-59, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 0-50, 0-10 x 0-6 = 0-60, 0-10 x 0-7 = 1-2, 0-10 x 0-8 = 1-12, 0-10 x 0-9 = 1-22, 0-10 x 0-10 = 1-32, 0-10 x 0-11 = 1-42, 0-10 x 0-12 = 1-52, 0-10 x 0-13 = 1-62, 0-10 x 0-14 = 2-4, 0-10 x 0-15 = 2-14, 0-10 x 0-16 = 2-24, 0-10 x 0-17 = 2-34, 0-10 x 0-18 = 2-44, 0-10 x 0-19 = 2-54, 0-10 x 0-20 = 2-64, 0-10 x 0-21 = 3-6, 0-10 x 0-22 = 3-16, 0-10 x 0-23 = 3-26, 0-10 x 0-24 = 3-36, 0-10 x 0-25 = 3-46, 0-10 x 0-26 = 3-56, 0-10 x 0-27 = 3-66, 0-10 x 0-28 = 4-8, 0-10 x 0-29 = 4-18, 0-10 x 0-30 = 4-28, 0-10 x 0-31 = 4-38, 0-10 x 0-32 = 4-48, 0-10 x 0-33 = 4-58, 0-10 x 0-34 = 5-0, 0-10 x 0-35 = 5-10, 0-10 x 0-36 = 5-20, 0-10 x 0-37 = 5-30, 0-10 x 0-38 = 5-40, 0-10 x 0-39 = 5-50, 0-10 x 0-40 = 5-60, 0-10 x 0-41 = 6-2, 0-10 x 0-42 = 6-12, 0-10 x 0-43 = 6-22, 0-10 x 0-44 = 6-32, 0-10 x 0-45 = 6-42, 0-10 x 0-46 = 6-52, 0-10 x 0-47 = 6-62, 0-10 x 0-48 = 7-4, 0-10 x 0-49 = 7-14, 0-10 x 0-50 = 7-24, 0-10 x 0-51 = 7-34, 0-10 x 0-52 = 7-44, 0-10 x 0-53 = 7-54, 0-10 x 0-54 = 7-64, 0-10 x 0-55 = 8-6, 0-10 x 0-56 = 8-16, 0-10 x 0-57 = 8-26, 0-10 x 0-58 = 8-36, 0-10 x 0-59 = 8-46, 0-10 x 0-60 = 8-56, 0-10 x 0-61 = 8-66, 0-10 x 0-62 = 9-8, 0-10 x 0-63 = 9-18, 0-10 x 0-64 = 9-28, 0-10 x 0-65 = 9-38, 0-10 x 0-66 = 9-48, 0-10 x 0-67 = 9-58, 
