0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 0-1 x 0-44 = 0-44, 0-1 x 0-45 = 0-45, 0-1 x 0-46 = 0-46, 0-1 x 0-47 = 0-47, 0-1 x 0-48 = 0-48, 0-1 x 0-49 = 0-49, 0-1 x 0-50 = 0-50, 0-1 x 0-51 = 0-51, 0-1 x 0-52 = 0-52, 0-1 x 0-53 = 0-53, 0-1 x 0-54 = 0-54, 0-1 x 0-55 = 0-55, 0-1 x 0-56 = 0-56, 0-1 x 0-57 = 0-57, 0-1 x 0-58 = 0-58, 0-1 x 0-59 = 0-59, 0-1 x 0-60 = 0-60, 0-1 x 0-61 = 0-61, 0-1 x 0-62 = 0-62, 0-1 x 0-63 = 0-63, 0-1 x 0-64 = 0-64, 0-1 x 0-65 = 0-65, 0-1 x 0-66 = 0-66, 0-1 x 0-67 = 0-67, 0-1 x 0-68 = 0-68, 0-1 x 0-69 = 0-69, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 0-44, 0-2 x 0-23 = 0-46, 0-2 x 0-24 = 0-48, 0-2 x 0-25 = 0-50, 0-2 x 0-26 = 0-52, 0-2 x 0-27 = 0-54, 0-2 x 0-28 = 0-56, 0-2 x 0-29 = 0-58, 0-2 x 0-30 = 0-60, 0-2 x 0-31 = 0-62, 0-2 x 0-32 = 0-64, 0-2 x 0-33 = 0-66, 0-2 x 0-34 = 0-68, 0-2 x 0-35 = 1-0, 0-2 x 0-36 = 1-2, 0-2 x 0-37 = 1-4, 0-2 x 0-38 = 1-6, 0-2 x 0-39 = 1-8, 0-2 x 0-40 = 1-10, 0-2 x 0-41 = 1-12, 0-2 x 0-42 = 1-14, 0-2 x 0-43 = 1-16, 0-2 x 0-44 = 1-18, 0-2 x 0-45 = 1-20, 0-2 x 0-46 = 1-22, 0-2 x 0-47 = 1-24, 0-2 x 0-48 = 1-26, 0-2 x 0-49 = 1-28, 0-2 x 0-50 = 1-30, 0-2 x 0-51 = 1-32, 0-2 x 0-52 = 1-34, 0-2 x 0-53 = 1-36, 0-2 x 0-54 = 1-38, 0-2 x 0-55 = 1-40, 0-2 x 0-56 = 1-42, 0-2 x 0-57 = 1-44, 0-2 x 0-58 = 1-46, 0-2 x 0-59 = 1-48, 0-2 x 0-60 = 1-50, 0-2 x 0-61 = 1-52, 0-2 x 0-62 = 1-54, 0-2 x 0-63 = 1-56, 0-2 x 0-64 = 1-58, 0-2 x 0-65 = 1-60, 0-2 x 0-66 = 1-62, 0-2 x 0-67 = 1-64, 0-2 x 0-68 = 1-66, 0-2 x 0-69 = 1-68, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 0-45, 0-3 x 0-16 = 0-48, 0-3 x 0-17 = 0-51, 0-3 x 0-18 = 0-54, 0-3 x 0-19 = 0-57, 0-3 x 0-20 = 0-60, 0-3 x 0-21 = 0-63, 0-3 x 0-22 = 0-66, 0-3 x 0-23 = 0-69, 0-3 x 0-24 = 1-2, 0-3 x 0-25 = 1-5, 0-3 x 0-26 = 1-8, 0-3 x 0-27 = 1-11, 0-3 x 0-28 = 1-14, 0-3 x 0-29 = 1-17, 0-3 x 0-30 = 1-20, 0-3 x 0-31 = 1-23, 0-3 x 0-32 = 1-26, 0-3 x 0-33 = 1-29, 0-3 x 0-34 = 1-32, 0-3 x 0-35 = 1-35, 0-3 x 0-36 = 1-38, 0-3 x 0-37 = 1-41, 0-3 x 0-38 = 1-44, 0-3 x 0-39 = 1-47, 0-3 x 0-40 = 1-50, 0-3 x 0-41 = 1-53, 0-3 x 0-42 = 1-56, 0-3 x 0-43 = 1-59, 0-3 x 0-44 = 1-62, 0-3 x 0-45 = 1-65, 0-3 x 0-46 = 1-68, 0-3 x 0-47 = 2-1, 0-3 x 0-48 = 2-4, 0-3 x 0-49 = 2-7, 0-3 x 0-50 = 2-10, 0-3 x 0-51 = 2-13, 0-3 x 0-52 = 2-16, 0-3 x 0-53 = 2-19, 0-3 x 0-54 = 2-22, 0-3 x 0-55 = 2-25, 0-3 x 0-56 = 2-28, 0-3 x 0-57 = 2-31, 0-3 x 0-58 = 2-34, 0-3 x 0-59 = 2-37, 0-3 x 0-60 = 2-40, 0-3 x 0-61 = 2-43, 0-3 x 0-62 = 2-46, 0-3 x 0-63 = 2-49, 0-3 x 0-64 = 2-52, 0-3 x 0-65 = 2-55, 0-3 x 0-66 = 2-58, 0-3 x 0-67 = 2-61, 0-3 x 0-68 = 2-64, 0-3 x 0-69 = 2-67, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 0-44, 0-4 x 0-12 = 0-48, 0-4 x 0-13 = 0-52, 0-4 x 0-14 = 0-56, 0-4 x 0-15 = 0-60, 0-4 x 0-16 = 0-64, 0-4 x 0-17 = 0-68, 0-4 x 0-18 = 1-2, 0-4 x 0-19 = 1-6, 0-4 x 0-20 = 1-10, 0-4 x 0-21 = 1-14, 0-4 x 0-22 = 1-18, 0-4 x 0-23 = 1-22, 0-4 x 0-24 = 1-26, 0-4 x 0-25 = 1-30, 0-4 x 0-26 = 1-34, 0-4 x 0-27 = 1-38, 0-4 x 0-28 = 1-42, 0-4 x 0-29 = 1-46, 0-4 x 0-30 = 1-50, 0-4 x 0-31 = 1-54, 0-4 x 0-32 = 1-58, 0-4 x 0-33 = 1-62, 0-4 x 0-34 = 1-66, 0-4 x 0-35 = 2-0, 0-4 x 0-36 = 2-4, 0-4 x 0-37 = 2-8, 0-4 x 0-38 = 2-12, 0-4 x 0-39 = 2-16, 0-4 x 0-40 = 2-20, 0-4 x 0-41 = 2-24, 0-4 x 0-42 = 2-28, 0-4 x 0-43 = 2-32, 0-4 x 0-44 = 2-36, 0-4 x 0-45 = 2-40, 0-4 x 0-46 = 2-44, 0-4 x 0-47 = 2-48, 0-4 x 0-48 = 2-52, 0-4 x 0-49 = 2-56, 0-4 x 0-50 = 2-60, 0-4 x 0-51 = 2-64, 0-4 x 0-52 = 2-68, 0-4 x 0-53 = 3-2, 0-4 x 0-54 = 3-6, 0-4 x 0-55 = 3-10, 0-4 x 0-56 = 3-14, 0-4 x 0-57 = 3-18, 0-4 x 0-58 = 3-22, 0-4 x 0-59 = 3-26, 0-4 x 0-60 = 3-30, 0-4 x 0-61 = 3-34, 0-4 x 0-62 = 3-38, 0-4 x 0-63 = 3-42, 0-4 x 0-64 = 3-46, 0-4 x 0-65 = 3-50, 0-4 x 0-66 = 3-54, 0-4 x 0-67 = 3-58, 0-4 x 0-68 = 3-62, 0-4 x 0-69 = 3-66, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 0-45, 0-5 x 0-10 = 0-50, 0-5 x 0-11 = 0-55, 0-5 x 0-12 = 0-60, 0-5 x 0-13 = 0-65, 0-5 x 0-14 = 1-0, 0-5 x 0-15 = 1-5, 0-5 x 0-16 = 1-10, 0-5 x 0-17 = 1-15, 0-5 x 0-18 = 1-20, 0-5 x 0-19 = 1-25, 0-5 x 0-20 = 1-30, 0-5 x 0-21 = 1-35, 0-5 x 0-22 = 1-40, 0-5 x 0-23 = 1-45, 0-5 x 0-24 = 1-50, 0-5 x 0-25 = 1-55, 0-5 x 0-26 = 1-60, 0-5 x 0-27 = 1-65, 0-5 x 0-28 = 2-0, 0-5 x 0-29 = 2-5, 0-5 x 0-30 = 2-10, 0-5 x 0-31 = 2-15, 0-5 x 0-32 = 2-20, 0-5 x 0-33 = 2-25, 0-5 x 0-34 = 2-30, 0-5 x 0-35 = 2-35, 0-5 x 0-36 = 2-40, 0-5 x 0-37 = 2-45, 0-5 x 0-38 = 2-50, 0-5 x 0-39 = 2-55, 0-5 x 0-40 = 2-60, 0-5 x 0-41 = 2-65, 0-5 x 0-42 = 3-0, 0-5 x 0-43 = 3-5, 0-5 x 0-44 = 3-10, 0-5 x 0-45 = 3-15, 0-5 x 0-46 = 3-20, 0-5 x 0-47 = 3-25, 0-5 x 0-48 = 3-30, 0-5 x 0-49 = 3-35, 0-5 x 0-50 = 3-40, 0-5 x 0-51 = 3-45, 0-5 x 0-52 = 3-50, 0-5 x 0-53 = 3-55, 0-5 x 0-54 = 3-60, 0-5 x 0-55 = 3-65, 0-5 x 0-56 = 4-0, 0-5 x 0-57 = 4-5, 0-5 x 0-58 = 4-10, 0-5 x 0-59 = 4-15, 0-5 x 0-60 = 4-20, 0-5 x 0-61 = 4-25, 0-5 x 0-62 = 4-30, 0-5 x 0-63 = 4-35, 0-5 x 0-64 = 4-40, 0-5 x 0-65 = 4-45, 0-5 x 0-66 = 4-50, 0-5 x 0-67 = 4-55, 0-5 x 0-68 = 4-60, 0-5 x 0-69 = 4-65, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 0-48, 0-6 x 0-9 = 0-54, 0-6 x 0-10 = 0-60, 0-6 x 0-11 = 0-66, 0-6 x 0-12 = 1-2, 0-6 x 0-13 = 1-8, 0-6 x 0-14 = 1-14, 0-6 x 0-15 = 1-20, 0-6 x 0-16 = 1-26, 0-6 x 0-17 = 1-32, 0-6 x 0-18 = 1-38, 0-6 x 0-19 = 1-44, 0-6 x 0-20 = 1-50, 0-6 x 0-21 = 1-56, 0-6 x 0-22 = 1-62, 0-6 x 0-23 = 1-68, 0-6 x 0-24 = 2-4, 0-6 x 0-25 = 2-10, 0-6 x 0-26 = 2-16, 0-6 x 0-27 = 2-22, 0-6 x 0-28 = 2-28, 0-6 x 0-29 = 2-34, 0-6 x 0-30 = 2-40, 0-6 x 0-31 = 2-46, 0-6 x 0-32 = 2-52, 0-6 x 0-33 = 2-58, 0-6 x 0-34 = 2-64, 0-6 x 0-35 = 3-0, 0-6 x 0-36 = 3-6, 0-6 x 0-37 = 3-12, 0-6 x 0-38 = 3-18, 0-6 x 0-39 = 3-24, 0-6 x 0-40 = 3-30, 0-6 x 0-41 = 3-36, 0-6 x 0-42 = 3-42, 0-6 x 0-43 = 3-48, 0-6 x 0-44 = 3-54, 0-6 x 0-45 = 3-60, 0-6 x 0-46 = 3-66, 0-6 x 0-47 = 4-2, 0-6 x 0-48 = 4-8, 0-6 x 0-49 = 4-14, 0-6 x 0-50 = 4-20, 0-6 x 0-51 = 4-26, 0-6 x 0-52 = 4-32, 0-6 x 0-53 = 4-38, 0-6 x 0-54 = 4-44, 0-6 x 0-55 = 4-50, 0-6 x 0-56 = 4-56, 0-6 x 0-57 = 4-62, 0-6 x 0-58 = 4-68, 0-6 x 0-59 = 5-4, 0-6 x 0-60 = 5-10, 0-6 x 0-61 = 5-16, 0-6 x 0-62 = 5-22, 0-6 x 0-63 = 5-28, 0-6 x 0-64 = 5-34, 0-6 x 0-65 = 5-40, 0-6 x 0-66 = 5-46, 0-6 x 0-67 = 5-52, 0-6 x 0-68 = 5-58, 0-6 x 0-69 = 5-64, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 0-49, 0-7 x 0-8 = 0-56, 0-7 x 0-9 = 0-63, 0-7 x 0-10 = 1-0, 0-7 x 0-11 = 1-7, 0-7 x 0-12 = 1-14, 0-7 x 0-13 = 1-21, 0-7 x 0-14 = 1-28, 0-7 x 0-15 = 1-35, 0-7 x 0-16 = 1-42, 0-7 x 0-17 = 1-49, 0-7 x 0-18 = 1-56, 0-7 x 0-19 = 1-63, 0-7 x 0-20 = 2-0, 0-7 x 0-21 = 2-7, 0-7 x 0-22 = 2-14, 0-7 x 0-23 = 2-21, 0-7 x 0-24 = 2-28, 0-7 x 0-25 = 2-35, 0-7 x 0-26 = 2-42, 0-7 x 0-27 = 2-49, 0-7 x 0-28 = 2-56, 0-7 x 0-29 = 2-63, 0-7 x 0-30 = 3-0, 0-7 x 0-31 = 3-7, 0-7 x 0-32 = 3-14, 0-7 x 0-33 = 3-21, 0-7 x 0-34 = 3-28, 0-7 x 0-35 = 3-35, 0-7 x 0-36 = 3-42, 0-7 x 0-37 = 3-49, 0-7 x 0-38 = 3-56, 0-7 x 0-39 = 3-63, 0-7 x 0-40 = 4-0, 0-7 x 0-41 = 4-7, 0-7 x 0-42 = 4-14, 0-7 x 0-43 = 4-21, 0-7 x 0-44 = 4-28, 0-7 x 0-45 = 4-35, 0-7 x 0-46 = 4-42, 0-7 x 0-47 = 4-49, 0-7 x 0-48 = 4-56, 0-7 x 0-49 = 4-63, 0-7 x 0-50 = 5-0, 0-7 x 0-51 = 5-7, 0-7 x 0-52 = 5-14, 0-7 x 0-53 = 5-21, 0-7 x 0-54 = 5-28, 0-7 x 0-55 = 5-35, 0-7 x 0-56 = 5-42, 0-7 x 0-57 = 5-49, 0-7 x 0-58 = 5-56, 0-7 x 0-59 = 5-63, 0-7 x 0-60 = 6-0, 0-7 x 0-61 = 6-7, 0-7 x 0-62 = 6-14, 0-7 x 0-63 = 6-21, 0-7 x 0-64 = 6-28, 0-7 x 0-65 = 6-35, 0-7 x 0-66 = 6-42, 0-7 x 0-67 = 6-49, 0-7 x 0-68 = 6-56, 0-7 x 0-69 = 6-63, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 0-48, 0-8 x 0-7 = 0-56, 0-8 x 0-8 = 0-64, 0-8 x 0-9 = 1-2, 0-8 x 0-10 = 1-10, 0-8 x 0-11 = 1-18, 0-8 x 0-12 = 1-26, 0-8 x 0-13 = 1-34, 0-8 x 0-14 = 1-42, 0-8 x 0-15 = 1-50, 0-8 x 0-16 = 1-58, 0-8 x 0-17 = 1-66, 0-8 x 0-18 = 2-4, 0-8 x 0-19 = 2-12, 0-8 x 0-20 = 2-20, 0-8 x 0-21 = 2-28, 0-8 x 0-22 = 2-36, 0-8 x 0-23 = 2-44, 0-8 x 0-24 = 2-52, 0-8 x 0-25 = 2-60, 0-8 x 0-26 = 2-68, 0-8 x 0-27 = 3-6, 0-8 x 0-28 = 3-14, 0-8 x 0-29 = 3-22, 0-8 x 0-30 = 3-30, 0-8 x 0-31 = 3-38, 0-8 x 0-32 = 3-46, 0-8 x 0-33 = 3-54, 0-8 x 0-34 = 3-62, 0-8 x 0-35 = 4-0, 0-8 x 0-36 = 4-8, 0-8 x 0-37 = 4-16, 0-8 x 0-38 = 4-24, 0-8 x 0-39 = 4-32, 0-8 x 0-40 = 4-40, 0-8 x 0-41 = 4-48, 0-8 x 0-42 = 4-56, 0-8 x 0-43 = 4-64, 0-8 x 0-44 = 5-2, 0-8 x 0-45 = 5-10, 0-8 x 0-46 = 5-18, 0-8 x 0-47 = 5-26, 0-8 x 0-48 = 5-34, 0-8 x 0-49 = 5-42, 0-8 x 0-50 = 5-50, 0-8 x 0-51 = 5-58, 0-8 x 0-52 = 5-66, 0-8 x 0-53 = 6-4, 0-8 x 0-54 = 6-12, 0-8 x 0-55 = 6-20, 0-8 x 0-56 = 6-28, 0-8 x 0-57 = 6-36, 0-8 x 0-58 = 6-44, 0-8 x 0-59 = 6-52, 0-8 x 0-60 = 6-60, 0-8 x 0-61 = 6-68, 0-8 x 0-62 = 7-6, 0-8 x 0-63 = 7-14, 0-8 x 0-64 = 7-22, 0-8 x 0-65 = 7-30, 0-8 x 0-66 = 7-38, 0-8 x 0-67 = 7-46, 0-8 x 0-68 = 7-54, 0-8 x 0-69 = 7-62, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 0-45, 0-9 x 0-6 = 0-54, 0-9 x 0-7 = 0-63, 0-9 x 0-8 = 1-2, 0-9 x 0-9 = 1-11, 0-9 x 0-10 = 1-20, 0-9 x 0-11 = 1-29, 0-9 x 0-12 = 1-38, 0-9 x 0-13 = 1-47, 0-9 x 0-14 = 1-56, 0-9 x 0-15 = 1-65, 0-9 x 0-16 = 2-4, 0-9 x 0-17 = 2-13, 0-9 x 0-18 = 2-22, 0-9 x 0-19 = 2-31, 0-9 x 0-20 = 2-40, 0-9 x 0-21 = 2-49, 0-9 x 0-22 = 2-58, 0-9 x 0-23 = 2-67, 0-9 x 0-24 = 3-6, 0-9 x 0-25 = 3-15, 0-9 x 0-26 = 3-24, 0-9 x 0-27 = 3-33, 0-9 x 0-28 = 3-42, 0-9 x 0-29 = 3-51, 0-9 x 0-30 = 3-60, 0-9 x 0-31 = 3-69, 0-9 x 0-32 = 4-8, 0-9 x 0-33 = 4-17, 0-9 x 0-34 = 4-26, 0-9 x 0-35 = 4-35, 0-9 x 0-36 = 4-44, 0-9 x 0-37 = 4-53, 0-9 x 0-38 = 4-62, 0-9 x 0-39 = 5-1, 0-9 x 0-40 = 5-10, 0-9 x 0-41 = 5-19, 0-9 x 0-42 = 5-28, 0-9 x 0-43 = 5-37, 0-9 x 0-44 = 5-46, 0-9 x 0-45 = 5-55, 0-9 x 0-46 = 5-64, 0-9 x 0-47 = 6-3, 0-9 x 0-48 = 6-12, 0-9 x 0-49 = 6-21, 0-9 x 0-50 = 6-30, 0-9 x 0-51 = 6-39, 0-9 x 0-52 = 6-48, 0-9 x 0-53 = 6-57, 0-9 x 0-54 = 6-66, 0-9 x 0-55 = 7-5, 0-9 x 0-56 = 7-14, 0-9 x 0-57 = 7-23, 0-9 x 0-58 = 7-32, 0-9 x 0-59 = 7-41, 0-9 x 0-60 = 7-50, 0-9 x 0-61 = 7-59, 0-9 x 0-62 = 7-68, 0-9 x 0-63 = 8-7, 0-9 x 0-64 = 8-16, 0-9 x 0-65 = 8-25, 0-9 x 0-66 = 8-34, 0-9 x 0-67 = 8-43, 0-9 x 0-68 = 8-52, 0-9 x 0-69 = 8-61, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 0-50, 0-10 x 0-6 = 0-60, 0-10 x 0-7 = 1-0, 0-10 x 0-8 = 1-10, 0-10 x 0-9 = 1-20, 0-10 x 0-10 = 1-30, 0-10 x 0-11 = 1-40, 0-10 x 0-12 = 1-50, 0-10 x 0-13 = 1-60, 0-10 x 0-14 = 2-0, 0-10 x 0-15 = 2-10, 0-10 x 0-16 = 2-20, 0-10 x 0-17 = 2-30, 0-10 x 0-18 = 2-40, 0-10 x 0-19 = 2-50, 0-10 x 0-20 = 2-60, 0-10 x 0-21 = 3-0, 0-10 x 0-22 = 3-10, 0-10 x 0-23 = 3-20, 0-10 x 0-24 = 3-30, 0-10 x 0-25 = 3-40, 0-10 x 0-26 = 3-50, 0-10 x 0-27 = 3-60, 0-10 x 0-28 = 4-0, 0-10 x 0-29 = 4-10, 0-10 x 0-30 = 4-20, 0-10 x 0-31 = 4-30, 0-10 x 0-32 = 4-40, 0-10 x 0-33 = 4-50, 0-10 x 0-34 = 4-60, 0-10 x 0-35 = 5-0, 0-10 x 0-36 = 5-10, 0-10 x 0-37 = 5-20, 0-10 x 0-38 = 5-30, 0-10 x 0-39 = 5-40, 0-10 x 0-40 = 5-50, 0-10 x 0-41 = 5-60, 0-10 x 0-42 = 6-0, 0-10 x 0-43 = 6-10, 0-10 x 0-44 = 6-20, 0-10 x 0-45 = 6-30, 0-10 x 0-46 = 6-40, 0-10 x 0-47 = 6-50, 0-10 x 0-48 = 6-60, 0-10 x 0-49 = 7-0, 0-10 x 0-50 = 7-10, 0-10 x 0-51 = 7-20, 0-10 x 0-52 = 7-30, 0-10 x 0-53 = 7-40, 0-10 x 0-54 = 7-50, 0-10 x 0-55 = 7-60, 0-10 x 0-56 = 8-0, 0-10 x 0-57 = 8-10, 0-10 x 0-58 = 8-20, 0-10 x 0-59 = 8-30, 0-10 x 0-60 = 8-40, 0-10 x 0-61 = 8-50, 0-10 x 0-62 = 8-60, 0-10 x 0-63 = 9-0, 0-10 x 0-64 = 9-10, 0-10 x 0-65 = 9-20, 0-10 x 0-66 = 9-30, 0-10 x 0-67 = 9-40, 0-10 x 0-68 = 9-50, 0-10 x 0-69 = 9-60, 
