0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 0-1 x 0-44 = 0-44, 0-1 x 0-45 = 0-45, 0-1 x 0-46 = 0-46, 0-1 x 0-47 = 0-47, 0-1 x 0-48 = 0-48, 0-1 x 0-49 = 0-49, 0-1 x 0-50 = 0-50, 0-1 x 0-51 = 0-51, 0-1 x 0-52 = 0-52, 0-1 x 0-53 = 0-53, 0-1 x 0-54 = 0-54, 0-1 x 0-55 = 0-55, 0-1 x 0-56 = 0-56, 0-1 x 0-57 = 0-57, 0-1 x 0-58 = 0-58, 0-1 x 0-59 = 0-59, 0-1 x 0-60 = 0-60, 0-1 x 0-61 = 0-61, 0-1 x 0-62 = 0-62, 0-1 x 0-63 = 0-63, 0-1 x 0-64 = 0-64, 0-1 x 0-65 = 0-65, 0-1 x 0-66 = 0-66, 0-1 x 0-67 = 0-67, 0-1 x 0-68 = 0-68, 0-1 x 0-69 = 0-69, 0-1 x 0-70 = 0-70, 0-1 x 0-71 = 0-71, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 0-44, 0-2 x 0-23 = 0-46, 0-2 x 0-24 = 0-48, 0-2 x 0-25 = 0-50, 0-2 x 0-26 = 0-52, 0-2 x 0-27 = 0-54, 0-2 x 0-28 = 0-56, 0-2 x 0-29 = 0-58, 0-2 x 0-30 = 0-60, 0-2 x 0-31 = 0-62, 0-2 x 0-32 = 0-64, 0-2 x 0-33 = 0-66, 0-2 x 0-34 = 0-68, 0-2 x 0-35 = 0-70, 0-2 x 0-36 = 1-0, 0-2 x 0-37 = 1-2, 0-2 x 0-38 = 1-4, 0-2 x 0-39 = 1-6, 0-2 x 0-40 = 1-8, 0-2 x 0-41 = 1-10, 0-2 x 0-42 = 1-12, 0-2 x 0-43 = 1-14, 0-2 x 0-44 = 1-16, 0-2 x 0-45 = 1-18, 0-2 x 0-46 = 1-20, 0-2 x 0-47 = 1-22, 0-2 x 0-48 = 1-24, 0-2 x 0-49 = 1-26, 0-2 x 0-50 = 1-28, 0-2 x 0-51 = 1-30, 0-2 x 0-52 = 1-32, 0-2 x 0-53 = 1-34, 0-2 x 0-54 = 1-36, 0-2 x 0-55 = 1-38, 0-2 x 0-56 = 1-40, 0-2 x 0-57 = 1-42, 0-2 x 0-58 = 1-44, 0-2 x 0-59 = 1-46, 0-2 x 0-60 = 1-48, 0-2 x 0-61 = 1-50, 0-2 x 0-62 = 1-52, 0-2 x 0-63 = 1-54, 0-2 x 0-64 = 1-56, 0-2 x 0-65 = 1-58, 0-2 x 0-66 = 1-60, 0-2 x 0-67 = 1-62, 0-2 x 0-68 = 1-64, 0-2 x 0-69 = 1-66, 0-2 x 0-70 = 1-68, 0-2 x 0-71 = 1-70, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 0-45, 0-3 x 0-16 = 0-48, 0-3 x 0-17 = 0-51, 0-3 x 0-18 = 0-54, 0-3 x 0-19 = 0-57, 0-3 x 0-20 = 0-60, 0-3 x 0-21 = 0-63, 0-3 x 0-22 = 0-66, 0-3 x 0-23 = 0-69, 0-3 x 0-24 = 1-0, 0-3 x 0-25 = 1-3, 0-3 x 0-26 = 1-6, 0-3 x 0-27 = 1-9, 0-3 x 0-28 = 1-12, 0-3 x 0-29 = 1-15, 0-3 x 0-30 = 1-18, 0-3 x 0-31 = 1-21, 0-3 x 0-32 = 1-24, 0-3 x 0-33 = 1-27, 0-3 x 0-34 = 1-30, 0-3 x 0-35 = 1-33, 0-3 x 0-36 = 1-36, 0-3 x 0-37 = 1-39, 0-3 x 0-38 = 1-42, 0-3 x 0-39 = 1-45, 0-3 x 0-40 = 1-48, 0-3 x 0-41 = 1-51, 0-3 x 0-42 = 1-54, 0-3 x 0-43 = 1-57, 0-3 x 0-44 = 1-60, 0-3 x 0-45 = 1-63, 0-3 x 0-46 = 1-66, 0-3 x 0-47 = 1-69, 0-3 x 0-48 = 2-0, 0-3 x 0-49 = 2-3, 0-3 x 0-50 = 2-6, 0-3 x 0-51 = 2-9, 0-3 x 0-52 = 2-12, 0-3 x 0-53 = 2-15, 0-3 x 0-54 = 2-18, 0-3 x 0-55 = 2-21, 0-3 x 0-56 = 2-24, 0-3 x 0-57 = 2-27, 0-3 x 0-58 = 2-30, 0-3 x 0-59 = 2-33, 0-3 x 0-60 = 2-36, 0-3 x 0-61 = 2-39, 0-3 x 0-62 = 2-42, 0-3 x 0-63 = 2-45, 0-3 x 0-64 = 2-48, 0-3 x 0-65 = 2-51, 0-3 x 0-66 = 2-54, 0-3 x 0-67 = 2-57, 0-3 x 0-68 = 2-60, 0-3 x 0-69 = 2-63, 0-3 x 0-70 = 2-66, 0-3 x 0-71 = 2-69, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 0-44, 0-4 x 0-12 = 0-48, 0-4 x 0-13 = 0-52, 0-4 x 0-14 = 0-56, 0-4 x 0-15 = 0-60, 0-4 x 0-16 = 0-64, 0-4 x 0-17 = 0-68, 0-4 x 0-18 = 1-0, 0-4 x 0-19 = 1-4, 0-4 x 0-20 = 1-8, 0-4 x 0-21 = 1-12, 0-4 x 0-22 = 1-16, 0-4 x 0-23 = 1-20, 0-4 x 0-24 = 1-24, 0-4 x 0-25 = 1-28, 0-4 x 0-26 = 1-32, 0-4 x 0-27 = 1-36, 0-4 x 0-28 = 1-40, 0-4 x 0-29 = 1-44, 0-4 x 0-30 = 1-48, 0-4 x 0-31 = 1-52, 0-4 x 0-32 = 1-56, 0-4 x 0-33 = 1-60, 0-4 x 0-34 = 1-64, 0-4 x 0-35 = 1-68, 0-4 x 0-36 = 2-0, 0-4 x 0-37 = 2-4, 0-4 x 0-38 = 2-8, 0-4 x 0-39 = 2-12, 0-4 x 0-40 = 2-16, 0-4 x 0-41 = 2-20, 0-4 x 0-42 = 2-24, 0-4 x 0-43 = 2-28, 0-4 x 0-44 = 2-32, 0-4 x 0-45 = 2-36, 0-4 x 0-46 = 2-40, 0-4 x 0-47 = 2-44, 0-4 x 0-48 = 2-48, 0-4 x 0-49 = 2-52, 0-4 x 0-50 = 2-56, 0-4 x 0-51 = 2-60, 0-4 x 0-52 = 2-64, 0-4 x 0-53 = 2-68, 0-4 x 0-54 = 3-0, 0-4 x 0-55 = 3-4, 0-4 x 0-56 = 3-8, 0-4 x 0-57 = 3-12, 0-4 x 0-58 = 3-16, 0-4 x 0-59 = 3-20, 0-4 x 0-60 = 3-24, 0-4 x 0-61 = 3-28, 0-4 x 0-62 = 3-32, 0-4 x 0-63 = 3-36, 0-4 x 0-64 = 3-40, 0-4 x 0-65 = 3-44, 0-4 x 0-66 = 3-48, 0-4 x 0-67 = 3-52, 0-4 x 0-68 = 3-56, 0-4 x 0-69 = 3-60, 0-4 x 0-70 = 3-64, 0-4 x 0-71 = 3-68, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 0-45, 0-5 x 0-10 = 0-50, 0-5 x 0-11 = 0-55, 0-5 x 0-12 = 0-60, 0-5 x 0-13 = 0-65, 0-5 x 0-14 = 0-70, 0-5 x 0-15 = 1-3, 0-5 x 0-16 = 1-8, 0-5 x 0-17 = 1-13, 0-5 x 0-18 = 1-18, 0-5 x 0-19 = 1-23, 0-5 x 0-20 = 1-28, 0-5 x 0-21 = 1-33, 0-5 x 0-22 = 1-38, 0-5 x 0-23 = 1-43, 0-5 x 0-24 = 1-48, 0-5 x 0-25 = 1-53, 0-5 x 0-26 = 1-58, 0-5 x 0-27 = 1-63, 0-5 x 0-28 = 1-68, 0-5 x 0-29 = 2-1, 0-5 x 0-30 = 2-6, 0-5 x 0-31 = 2-11, 0-5 x 0-32 = 2-16, 0-5 x 0-33 = 2-21, 0-5 x 0-34 = 2-26, 0-5 x 0-35 = 2-31, 0-5 x 0-36 = 2-36, 0-5 x 0-37 = 2-41, 0-5 x 0-38 = 2-46, 0-5 x 0-39 = 2-51, 0-5 x 0-40 = 2-56, 0-5 x 0-41 = 2-61, 0-5 x 0-42 = 2-66, 0-5 x 0-43 = 2-71, 0-5 x 0-44 = 3-4, 0-5 x 0-45 = 3-9, 0-5 x 0-46 = 3-14, 0-5 x 0-47 = 3-19, 0-5 x 0-48 = 3-24, 0-5 x 0-49 = 3-29, 0-5 x 0-50 = 3-34, 0-5 x 0-51 = 3-39, 0-5 x 0-52 = 3-44, 0-5 x 0-53 = 3-49, 0-5 x 0-54 = 3-54, 0-5 x 0-55 = 3-59, 0-5 x 0-56 = 3-64, 0-5 x 0-57 = 3-69, 0-5 x 0-58 = 4-2, 0-5 x 0-59 = 4-7, 0-5 x 0-60 = 4-12, 0-5 x 0-61 = 4-17, 0-5 x 0-62 = 4-22, 0-5 x 0-63 = 4-27, 0-5 x 0-64 = 4-32, 0-5 x 0-65 = 4-37, 0-5 x 0-66 = 4-42, 0-5 x 0-67 = 4-47, 0-5 x 0-68 = 4-52, 0-5 x 0-69 = 4-57, 0-5 x 0-70 = 4-62, 0-5 x 0-71 = 4-67, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 0-48, 0-6 x 0-9 = 0-54, 0-6 x 0-10 = 0-60, 0-6 x 0-11 = 0-66, 0-6 x 0-12 = 1-0, 0-6 x 0-13 = 1-6, 0-6 x 0-14 = 1-12, 0-6 x 0-15 = 1-18, 0-6 x 0-16 = 1-24, 0-6 x 0-17 = 1-30, 0-6 x 0-18 = 1-36, 0-6 x 0-19 = 1-42, 0-6 x 0-20 = 1-48, 0-6 x 0-21 = 1-54, 0-6 x 0-22 = 1-60, 0-6 x 0-23 = 1-66, 0-6 x 0-24 = 2-0, 0-6 x 0-25 = 2-6, 0-6 x 0-26 = 2-12, 0-6 x 0-27 = 2-18, 0-6 x 0-28 = 2-24, 0-6 x 0-29 = 2-30, 0-6 x 0-30 = 2-36, 0-6 x 0-31 = 2-42, 0-6 x 0-32 = 2-48, 0-6 x 0-33 = 2-54, 0-6 x 0-34 = 2-60, 0-6 x 0-35 = 2-66, 0-6 x 0-36 = 3-0, 0-6 x 0-37 = 3-6, 0-6 x 0-38 = 3-12, 0-6 x 0-39 = 3-18, 0-6 x 0-40 = 3-24, 0-6 x 0-41 = 3-30, 0-6 x 0-42 = 3-36, 0-6 x 0-43 = 3-42, 0-6 x 0-44 = 3-48, 0-6 x 0-45 = 3-54, 0-6 x 0-46 = 3-60, 0-6 x 0-47 = 3-66, 0-6 x 0-48 = 4-0, 0-6 x 0-49 = 4-6, 0-6 x 0-50 = 4-12, 0-6 x 0-51 = 4-18, 0-6 x 0-52 = 4-24, 0-6 x 0-53 = 4-30, 0-6 x 0-54 = 4-36, 0-6 x 0-55 = 4-42, 0-6 x 0-56 = 4-48, 0-6 x 0-57 = 4-54, 0-6 x 0-58 = 4-60, 0-6 x 0-59 = 4-66, 0-6 x 0-60 = 5-0, 0-6 x 0-61 = 5-6, 0-6 x 0-62 = 5-12, 0-6 x 0-63 = 5-18, 0-6 x 0-64 = 5-24, 0-6 x 0-65 = 5-30, 0-6 x 0-66 = 5-36, 0-6 x 0-67 = 5-42, 0-6 x 0-68 = 5-48, 0-6 x 0-69 = 5-54, 0-6 x 0-70 = 5-60, 0-6 x 0-71 = 5-66, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 0-49, 0-7 x 0-8 = 0-56, 0-7 x 0-9 = 0-63, 0-7 x 0-10 = 0-70, 0-7 x 0-11 = 1-5, 0-7 x 0-12 = 1-12, 0-7 x 0-13 = 1-19, 0-7 x 0-14 = 1-26, 0-7 x 0-15 = 1-33, 0-7 x 0-16 = 1-40, 0-7 x 0-17 = 1-47, 0-7 x 0-18 = 1-54, 0-7 x 0-19 = 1-61, 0-7 x 0-20 = 1-68, 0-7 x 0-21 = 2-3, 0-7 x 0-22 = 2-10, 0-7 x 0-23 = 2-17, 0-7 x 0-24 = 2-24, 0-7 x 0-25 = 2-31, 0-7 x 0-26 = 2-38, 0-7 x 0-27 = 2-45, 0-7 x 0-28 = 2-52, 0-7 x 0-29 = 2-59, 0-7 x 0-30 = 2-66, 0-7 x 0-31 = 3-1, 0-7 x 0-32 = 3-8, 0-7 x 0-33 = 3-15, 0-7 x 0-34 = 3-22, 0-7 x 0-35 = 3-29, 0-7 x 0-36 = 3-36, 0-7 x 0-37 = 3-43, 0-7 x 0-38 = 3-50, 0-7 x 0-39 = 3-57, 0-7 x 0-40 = 3-64, 0-7 x 0-41 = 3-71, 0-7 x 0-42 = 4-6, 0-7 x 0-43 = 4-13, 0-7 x 0-44 = 4-20, 0-7 x 0-45 = 4-27, 0-7 x 0-46 = 4-34, 0-7 x 0-47 = 4-41, 0-7 x 0-48 = 4-48, 0-7 x 0-49 = 4-55, 0-7 x 0-50 = 4-62, 0-7 x 0-51 = 4-69, 0-7 x 0-52 = 5-4, 0-7 x 0-53 = 5-11, 0-7 x 0-54 = 5-18, 0-7 x 0-55 = 5-25, 0-7 x 0-56 = 5-32, 0-7 x 0-57 = 5-39, 0-7 x 0-58 = 5-46, 0-7 x 0-59 = 5-53, 0-7 x 0-60 = 5-60, 0-7 x 0-61 = 5-67, 0-7 x 0-62 = 6-2, 0-7 x 0-63 = 6-9, 0-7 x 0-64 = 6-16, 0-7 x 0-65 = 6-23, 0-7 x 0-66 = 6-30, 0-7 x 0-67 = 6-37, 0-7 x 0-68 = 6-44, 0-7 x 0-69 = 6-51, 0-7 x 0-70 = 6-58, 0-7 x 0-71 = 6-65, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 0-48, 0-8 x 0-7 = 0-56, 0-8 x 0-8 = 0-64, 0-8 x 0-9 = 1-0, 0-8 x 0-10 = 1-8, 0-8 x 0-11 = 1-16, 0-8 x 0-12 = 1-24, 0-8 x 0-13 = 1-32, 0-8 x 0-14 = 1-40, 0-8 x 0-15 = 1-48, 0-8 x 0-16 = 1-56, 0-8 x 0-17 = 1-64, 0-8 x 0-18 = 2-0, 0-8 x 0-19 = 2-8, 0-8 x 0-20 = 2-16, 0-8 x 0-21 = 2-24, 0-8 x 0-22 = 2-32, 0-8 x 0-23 = 2-40, 0-8 x 0-24 = 2-48, 0-8 x 0-25 = 2-56, 0-8 x 0-26 = 2-64, 0-8 x 0-27 = 3-0, 0-8 x 0-28 = 3-8, 0-8 x 0-29 = 3-16, 0-8 x 0-30 = 3-24, 0-8 x 0-31 = 3-32, 0-8 x 0-32 = 3-40, 0-8 x 0-33 = 3-48, 0-8 x 0-34 = 3-56, 0-8 x 0-35 = 3-64, 0-8 x 0-36 = 4-0, 0-8 x 0-37 = 4-8, 0-8 x 0-38 = 4-16, 0-8 x 0-39 = 4-24, 0-8 x 0-40 = 4-32, 0-8 x 0-41 = 4-40, 0-8 x 0-42 = 4-48, 0-8 x 0-43 = 4-56, 0-8 x 0-44 = 4-64, 0-8 x 0-45 = 5-0, 0-8 x 0-46 = 5-8, 0-8 x 0-47 = 5-16, 0-8 x 0-48 = 5-24, 0-8 x 0-49 = 5-32, 0-8 x 0-50 = 5-40, 0-8 x 0-51 = 5-48, 0-8 x 0-52 = 5-56, 0-8 x 0-53 = 5-64, 0-8 x 0-54 = 6-0, 0-8 x 0-55 = 6-8, 0-8 x 0-56 = 6-16, 0-8 x 0-57 = 6-24, 0-8 x 0-58 = 6-32, 0-8 x 0-59 = 6-40, 0-8 x 0-60 = 6-48, 0-8 x 0-61 = 6-56, 0-8 x 0-62 = 6-64, 0-8 x 0-63 = 7-0, 0-8 x 0-64 = 7-8, 0-8 x 0-65 = 7-16, 0-8 x 0-66 = 7-24, 0-8 x 0-67 = 7-32, 0-8 x 0-68 = 7-40, 0-8 x 0-69 = 7-48, 0-8 x 0-70 = 7-56, 0-8 x 0-71 = 7-64, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 0-45, 0-9 x 0-6 = 0-54, 0-9 x 0-7 = 0-63, 0-9 x 0-8 = 1-0, 0-9 x 0-9 = 1-9, 0-9 x 0-10 = 1-18, 0-9 x 0-11 = 1-27, 0-9 x 0-12 = 1-36, 0-9 x 0-13 = 1-45, 0-9 x 0-14 = 1-54, 0-9 x 0-15 = 1-63, 0-9 x 0-16 = 2-0, 0-9 x 0-17 = 2-9, 0-9 x 0-18 = 2-18, 0-9 x 0-19 = 2-27, 0-9 x 0-20 = 2-36, 0-9 x 0-21 = 2-45, 0-9 x 0-22 = 2-54, 0-9 x 0-23 = 2-63, 0-9 x 0-24 = 3-0, 0-9 x 0-25 = 3-9, 0-9 x 0-26 = 3-18, 0-9 x 0-27 = 3-27, 0-9 x 0-28 = 3-36, 0-9 x 0-29 = 3-45, 0-9 x 0-30 = 3-54, 0-9 x 0-31 = 3-63, 0-9 x 0-32 = 4-0, 0-9 x 0-33 = 4-9, 0-9 x 0-34 = 4-18, 0-9 x 0-35 = 4-27, 0-9 x 0-36 = 4-36, 0-9 x 0-37 = 4-45, 0-9 x 0-38 = 4-54, 0-9 x 0-39 = 4-63, 0-9 x 0-40 = 5-0, 0-9 x 0-41 = 5-9, 0-9 x 0-42 = 5-18, 0-9 x 0-43 = 5-27, 0-9 x 0-44 = 5-36, 0-9 x 0-45 = 5-45, 0-9 x 0-46 = 5-54, 0-9 x 0-47 = 5-63, 0-9 x 0-48 = 6-0, 0-9 x 0-49 = 6-9, 0-9 x 0-50 = 6-18, 0-9 x 0-51 = 6-27, 0-9 x 0-52 = 6-36, 0-9 x 0-53 = 6-45, 0-9 x 0-54 = 6-54, 0-9 x 0-55 = 6-63, 0-9 x 0-56 = 7-0, 0-9 x 0-57 = 7-9, 0-9 x 0-58 = 7-18, 0-9 x 0-59 = 7-27, 0-9 x 0-60 = 7-36, 0-9 x 0-61 = 7-45, 0-9 x 0-62 = 7-54, 0-9 x 0-63 = 7-63, 0-9 x 0-64 = 8-0, 0-9 x 0-65 = 8-9, 0-9 x 0-66 = 8-18, 0-9 x 0-67 = 8-27, 0-9 x 0-68 = 8-36, 0-9 x 0-69 = 8-45, 0-9 x 0-70 = 8-54, 0-9 x 0-71 = 8-63, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 0-50, 0-10 x 0-6 = 0-60, 0-10 x 0-7 = 0-70, 0-10 x 0-8 = 1-8, 0-10 x 0-9 = 1-18, 0-10 x 0-10 = 1-28, 0-10 x 0-11 = 1-38, 0-10 x 0-12 = 1-48, 0-10 x 0-13 = 1-58, 0-10 x 0-14 = 1-68, 0-10 x 0-15 = 2-6, 0-10 x 0-16 = 2-16, 0-10 x 0-17 = 2-26, 0-10 x 0-18 = 2-36, 0-10 x 0-19 = 2-46, 0-10 x 0-20 = 2-56, 0-10 x 0-21 = 2-66, 0-10 x 0-22 = 3-4, 0-10 x 0-23 = 3-14, 0-10 x 0-24 = 3-24, 0-10 x 0-25 = 3-34, 0-10 x 0-26 = 3-44, 0-10 x 0-27 = 3-54, 0-10 x 0-28 = 3-64, 0-10 x 0-29 = 4-2, 0-10 x 0-30 = 4-12, 0-10 x 0-31 = 4-22, 0-10 x 0-32 = 4-32, 0-10 x 0-33 = 4-42, 0-10 x 0-34 = 4-52, 0-10 x 0-35 = 4-62, 0-10 x 0-36 = 5-0, 0-10 x 0-37 = 5-10, 0-10 x 0-38 = 5-20, 0-10 x 0-39 = 5-30, 0-10 x 0-40 = 5-40, 0-10 x 0-41 = 5-50, 0-10 x 0-42 = 5-60, 0-10 x 0-43 = 5-70, 0-10 x 0-44 = 6-8, 0-10 x 0-45 = 6-18, 0-10 x 0-46 = 6-28, 0-10 x 0-47 = 6-38, 0-10 x 0-48 = 6-48, 0-10 x 0-49 = 6-58, 0-10 x 0-50 = 6-68, 0-10 x 0-51 = 7-6, 0-10 x 0-52 = 7-16, 0-10 x 0-53 = 7-26, 0-10 x 0-54 = 7-36, 0-10 x 0-55 = 7-46, 0-10 x 0-56 = 7-56, 0-10 x 0-57 = 7-66, 0-10 x 0-58 = 8-4, 0-10 x 0-59 = 8-14, 0-10 x 0-60 = 8-24, 0-10 x 0-61 = 8-34, 0-10 x 0-62 = 8-44, 0-10 x 0-63 = 8-54, 0-10 x 0-64 = 8-64, 0-10 x 0-65 = 9-2, 0-10 x 0-66 = 9-12, 0-10 x 0-67 = 9-22, 0-10 x 0-68 = 9-32, 0-10 x 0-69 = 9-42, 0-10 x 0-70 = 9-52, 0-10 x 0-71 = 9-62, 
