0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 0-1 x 0-44 = 0-44, 0-1 x 0-45 = 0-45, 0-1 x 0-46 = 0-46, 0-1 x 0-47 = 0-47, 0-1 x 0-48 = 0-48, 0-1 x 0-49 = 0-49, 0-1 x 0-50 = 0-50, 0-1 x 0-51 = 0-51, 0-1 x 0-52 = 0-52, 0-1 x 0-53 = 0-53, 0-1 x 0-54 = 0-54, 0-1 x 0-55 = 0-55, 0-1 x 0-56 = 0-56, 0-1 x 0-57 = 0-57, 0-1 x 0-58 = 0-58, 0-1 x 0-59 = 0-59, 0-1 x 0-60 = 0-60, 0-1 x 0-61 = 0-61, 0-1 x 0-62 = 0-62, 0-1 x 0-63 = 0-63, 0-1 x 0-64 = 0-64, 0-1 x 0-65 = 0-65, 0-1 x 0-66 = 0-66, 0-1 x 0-67 = 0-67, 0-1 x 0-68 = 0-68, 0-1 x 0-69 = 0-69, 0-1 x 0-70 = 0-70, 0-1 x 0-71 = 0-71, 0-1 x 0-72 = 0-72, 0-1 x 0-73 = 0-73, 0-1 x 0-74 = 0-74, 0-1 x 0-75 = 0-75, 0-1 x 0-76 = 0-76, 0-1 x 0-77 = 0-77, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 0-44, 0-2 x 0-23 = 0-46, 0-2 x 0-24 = 0-48, 0-2 x 0-25 = 0-50, 0-2 x 0-26 = 0-52, 0-2 x 0-27 = 0-54, 0-2 x 0-28 = 0-56, 0-2 x 0-29 = 0-58, 0-2 x 0-30 = 0-60, 0-2 x 0-31 = 0-62, 0-2 x 0-32 = 0-64, 0-2 x 0-33 = 0-66, 0-2 x 0-34 = 0-68, 0-2 x 0-35 = 0-70, 0-2 x 0-36 = 0-72, 0-2 x 0-37 = 0-74, 0-2 x 0-38 = 0-76, 0-2 x 0-39 = 1-0, 0-2 x 0-40 = 1-2, 0-2 x 0-41 = 1-4, 0-2 x 0-42 = 1-6, 0-2 x 0-43 = 1-8, 0-2 x 0-44 = 1-10, 0-2 x 0-45 = 1-12, 0-2 x 0-46 = 1-14, 0-2 x 0-47 = 1-16, 0-2 x 0-48 = 1-18, 0-2 x 0-49 = 1-20, 0-2 x 0-50 = 1-22, 0-2 x 0-51 = 1-24, 0-2 x 0-52 = 1-26, 0-2 x 0-53 = 1-28, 0-2 x 0-54 = 1-30, 0-2 x 0-55 = 1-32, 0-2 x 0-56 = 1-34, 0-2 x 0-57 = 1-36, 0-2 x 0-58 = 1-38, 0-2 x 0-59 = 1-40, 0-2 x 0-60 = 1-42, 0-2 x 0-61 = 1-44, 0-2 x 0-62 = 1-46, 0-2 x 0-63 = 1-48, 0-2 x 0-64 = 1-50, 0-2 x 0-65 = 1-52, 0-2 x 0-66 = 1-54, 0-2 x 0-67 = 1-56, 0-2 x 0-68 = 1-58, 0-2 x 0-69 = 1-60, 0-2 x 0-70 = 1-62, 0-2 x 0-71 = 1-64, 0-2 x 0-72 = 1-66, 0-2 x 0-73 = 1-68, 0-2 x 0-74 = 1-70, 0-2 x 0-75 = 1-72, 0-2 x 0-76 = 1-74, 0-2 x 0-77 = 1-76, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 0-45, 0-3 x 0-16 = 0-48, 0-3 x 0-17 = 0-51, 0-3 x 0-18 = 0-54, 0-3 x 0-19 = 0-57, 0-3 x 0-20 = 0-60, 0-3 x 0-21 = 0-63, 0-3 x 0-22 = 0-66, 0-3 x 0-23 = 0-69, 0-3 x 0-24 = 0-72, 0-3 x 0-25 = 0-75, 0-3 x 0-26 = 1-0, 0-3 x 0-27 = 1-3, 0-3 x 0-28 = 1-6, 0-3 x 0-29 = 1-9, 0-3 x 0-30 = 1-12, 0-3 x 0-31 = 1-15, 0-3 x 0-32 = 1-18, 0-3 x 0-33 = 1-21, 0-3 x 0-34 = 1-24, 0-3 x 0-35 = 1-27, 0-3 x 0-36 = 1-30, 0-3 x 0-37 = 1-33, 0-3 x 0-38 = 1-36, 0-3 x 0-39 = 1-39, 0-3 x 0-40 = 1-42, 0-3 x 0-41 = 1-45, 0-3 x 0-42 = 1-48, 0-3 x 0-43 = 1-51, 0-3 x 0-44 = 1-54, 0-3 x 0-45 = 1-57, 0-3 x 0-46 = 1-60, 0-3 x 0-47 = 1-63, 0-3 x 0-48 = 1-66, 0-3 x 0-49 = 1-69, 0-3 x 0-50 = 1-72, 0-3 x 0-51 = 1-75, 0-3 x 0-52 = 2-0, 0-3 x 0-53 = 2-3, 0-3 x 0-54 = 2-6, 0-3 x 0-55 = 2-9, 0-3 x 0-56 = 2-12, 0-3 x 0-57 = 2-15, 0-3 x 0-58 = 2-18, 0-3 x 0-59 = 2-21, 0-3 x 0-60 = 2-24, 0-3 x 0-61 = 2-27, 0-3 x 0-62 = 2-30, 0-3 x 0-63 = 2-33, 0-3 x 0-64 = 2-36, 0-3 x 0-65 = 2-39, 0-3 x 0-66 = 2-42, 0-3 x 0-67 = 2-45, 0-3 x 0-68 = 2-48, 0-3 x 0-69 = 2-51, 0-3 x 0-70 = 2-54, 0-3 x 0-71 = 2-57, 0-3 x 0-72 = 2-60, 0-3 x 0-73 = 2-63, 0-3 x 0-74 = 2-66, 0-3 x 0-75 = 2-69, 0-3 x 0-76 = 2-72, 0-3 x 0-77 = 2-75, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 0-44, 0-4 x 0-12 = 0-48, 0-4 x 0-13 = 0-52, 0-4 x 0-14 = 0-56, 0-4 x 0-15 = 0-60, 0-4 x 0-16 = 0-64, 0-4 x 0-17 = 0-68, 0-4 x 0-18 = 0-72, 0-4 x 0-19 = 0-76, 0-4 x 0-20 = 1-2, 0-4 x 0-21 = 1-6, 0-4 x 0-22 = 1-10, 0-4 x 0-23 = 1-14, 0-4 x 0-24 = 1-18, 0-4 x 0-25 = 1-22, 0-4 x 0-26 = 1-26, 0-4 x 0-27 = 1-30, 0-4 x 0-28 = 1-34, 0-4 x 0-29 = 1-38, 0-4 x 0-30 = 1-42, 0-4 x 0-31 = 1-46, 0-4 x 0-32 = 1-50, 0-4 x 0-33 = 1-54, 0-4 x 0-34 = 1-58, 0-4 x 0-35 = 1-62, 0-4 x 0-36 = 1-66, 0-4 x 0-37 = 1-70, 0-4 x 0-38 = 1-74, 0-4 x 0-39 = 2-0, 0-4 x 0-40 = 2-4, 0-4 x 0-41 = 2-8, 0-4 x 0-42 = 2-12, 0-4 x 0-43 = 2-16, 0-4 x 0-44 = 2-20, 0-4 x 0-45 = 2-24, 0-4 x 0-46 = 2-28, 0-4 x 0-47 = 2-32, 0-4 x 0-48 = 2-36, 0-4 x 0-49 = 2-40, 0-4 x 0-50 = 2-44, 0-4 x 0-51 = 2-48, 0-4 x 0-52 = 2-52, 0-4 x 0-53 = 2-56, 0-4 x 0-54 = 2-60, 0-4 x 0-55 = 2-64, 0-4 x 0-56 = 2-68, 0-4 x 0-57 = 2-72, 0-4 x 0-58 = 2-76, 0-4 x 0-59 = 3-2, 0-4 x 0-60 = 3-6, 0-4 x 0-61 = 3-10, 0-4 x 0-62 = 3-14, 0-4 x 0-63 = 3-18, 0-4 x 0-64 = 3-22, 0-4 x 0-65 = 3-26, 0-4 x 0-66 = 3-30, 0-4 x 0-67 = 3-34, 0-4 x 0-68 = 3-38, 0-4 x 0-69 = 3-42, 0-4 x 0-70 = 3-46, 0-4 x 0-71 = 3-50, 0-4 x 0-72 = 3-54, 0-4 x 0-73 = 3-58, 0-4 x 0-74 = 3-62, 0-4 x 0-75 = 3-66, 0-4 x 0-76 = 3-70, 0-4 x 0-77 = 3-74, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 0-45, 0-5 x 0-10 = 0-50, 0-5 x 0-11 = 0-55, 0-5 x 0-12 = 0-60, 0-5 x 0-13 = 0-65, 0-5 x 0-14 = 0-70, 0-5 x 0-15 = 0-75, 0-5 x 0-16 = 1-2, 0-5 x 0-17 = 1-7, 0-5 x 0-18 = 1-12, 0-5 x 0-19 = 1-17, 0-5 x 0-20 = 1-22, 0-5 x 0-21 = 1-27, 0-5 x 0-22 = 1-32, 0-5 x 0-23 = 1-37, 0-5 x 0-24 = 1-42, 0-5 x 0-25 = 1-47, 0-5 x 0-26 = 1-52, 0-5 x 0-27 = 1-57, 0-5 x 0-28 = 1-62, 0-5 x 0-29 = 1-67, 0-5 x 0-30 = 1-72, 0-5 x 0-31 = 1-77, 0-5 x 0-32 = 2-4, 0-5 x 0-33 = 2-9, 0-5 x 0-34 = 2-14, 0-5 x 0-35 = 2-19, 0-5 x 0-36 = 2-24, 0-5 x 0-37 = 2-29, 0-5 x 0-38 = 2-34, 0-5 x 0-39 = 2-39, 0-5 x 0-40 = 2-44, 0-5 x 0-41 = 2-49, 0-5 x 0-42 = 2-54, 0-5 x 0-43 = 2-59, 0-5 x 0-44 = 2-64, 0-5 x 0-45 = 2-69, 0-5 x 0-46 = 2-74, 0-5 x 0-47 = 3-1, 0-5 x 0-48 = 3-6, 0-5 x 0-49 = 3-11, 0-5 x 0-50 = 3-16, 0-5 x 0-51 = 3-21, 0-5 x 0-52 = 3-26, 0-5 x 0-53 = 3-31, 0-5 x 0-54 = 3-36, 0-5 x 0-55 = 3-41, 0-5 x 0-56 = 3-46, 0-5 x 0-57 = 3-51, 0-5 x 0-58 = 3-56, 0-5 x 0-59 = 3-61, 0-5 x 0-60 = 3-66, 0-5 x 0-61 = 3-71, 0-5 x 0-62 = 3-76, 0-5 x 0-63 = 4-3, 0-5 x 0-64 = 4-8, 0-5 x 0-65 = 4-13, 0-5 x 0-66 = 4-18, 0-5 x 0-67 = 4-23, 0-5 x 0-68 = 4-28, 0-5 x 0-69 = 4-33, 0-5 x 0-70 = 4-38, 0-5 x 0-71 = 4-43, 0-5 x 0-72 = 4-48, 0-5 x 0-73 = 4-53, 0-5 x 0-74 = 4-58, 0-5 x 0-75 = 4-63, 0-5 x 0-76 = 4-68, 0-5 x 0-77 = 4-73, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 0-48, 0-6 x 0-9 = 0-54, 0-6 x 0-10 = 0-60, 0-6 x 0-11 = 0-66, 0-6 x 0-12 = 0-72, 0-6 x 0-13 = 1-0, 0-6 x 0-14 = 1-6, 0-6 x 0-15 = 1-12, 0-6 x 0-16 = 1-18, 0-6 x 0-17 = 1-24, 0-6 x 0-18 = 1-30, 0-6 x 0-19 = 1-36, 0-6 x 0-20 = 1-42, 0-6 x 0-21 = 1-48, 0-6 x 0-22 = 1-54, 0-6 x 0-23 = 1-60, 0-6 x 0-24 = 1-66, 0-6 x 0-25 = 1-72, 0-6 x 0-26 = 2-0, 0-6 x 0-27 = 2-6, 0-6 x 0-28 = 2-12, 0-6 x 0-29 = 2-18, 0-6 x 0-30 = 2-24, 0-6 x 0-31 = 2-30, 0-6 x 0-32 = 2-36, 0-6 x 0-33 = 2-42, 0-6 x 0-34 = 2-48, 0-6 x 0-35 = 2-54, 0-6 x 0-36 = 2-60, 0-6 x 0-37 = 2-66, 0-6 x 0-38 = 2-72, 0-6 x 0-39 = 3-0, 0-6 x 0-40 = 3-6, 0-6 x 0-41 = 3-12, 0-6 x 0-42 = 3-18, 0-6 x 0-43 = 3-24, 0-6 x 0-44 = 3-30, 0-6 x 0-45 = 3-36, 0-6 x 0-46 = 3-42, 0-6 x 0-47 = 3-48, 0-6 x 0-48 = 3-54, 0-6 x 0-49 = 3-60, 0-6 x 0-50 = 3-66, 0-6 x 0-51 = 3-72, 0-6 x 0-52 = 4-0, 0-6 x 0-53 = 4-6, 0-6 x 0-54 = 4-12, 0-6 x 0-55 = 4-18, 0-6 x 0-56 = 4-24, 0-6 x 0-57 = 4-30, 0-6 x 0-58 = 4-36, 0-6 x 0-59 = 4-42, 0-6 x 0-60 = 4-48, 0-6 x 0-61 = 4-54, 0-6 x 0-62 = 4-60, 0-6 x 0-63 = 4-66, 0-6 x 0-64 = 4-72, 0-6 x 0-65 = 5-0, 0-6 x 0-66 = 5-6, 0-6 x 0-67 = 5-12, 0-6 x 0-68 = 5-18, 0-6 x 0-69 = 5-24, 0-6 x 0-70 = 5-30, 0-6 x 0-71 = 5-36, 0-6 x 0-72 = 5-42, 0-6 x 0-73 = 5-48, 0-6 x 0-74 = 5-54, 0-6 x 0-75 = 5-60, 0-6 x 0-76 = 5-66, 0-6 x 0-77 = 5-72, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 0-49, 0-7 x 0-8 = 0-56, 0-7 x 0-9 = 0-63, 0-7 x 0-10 = 0-70, 0-7 x 0-11 = 0-77, 0-7 x 0-12 = 1-6, 0-7 x 0-13 = 1-13, 0-7 x 0-14 = 1-20, 0-7 x 0-15 = 1-27, 0-7 x 0-16 = 1-34, 0-7 x 0-17 = 1-41, 0-7 x 0-18 = 1-48, 0-7 x 0-19 = 1-55, 0-7 x 0-20 = 1-62, 0-7 x 0-21 = 1-69, 0-7 x 0-22 = 1-76, 0-7 x 0-23 = 2-5, 0-7 x 0-24 = 2-12, 0-7 x 0-25 = 2-19, 0-7 x 0-26 = 2-26, 0-7 x 0-27 = 2-33, 0-7 x 0-28 = 2-40, 0-7 x 0-29 = 2-47, 0-7 x 0-30 = 2-54, 0-7 x 0-31 = 2-61, 0-7 x 0-32 = 2-68, 0-7 x 0-33 = 2-75, 0-7 x 0-34 = 3-4, 0-7 x 0-35 = 3-11, 0-7 x 0-36 = 3-18, 0-7 x 0-37 = 3-25, 0-7 x 0-38 = 3-32, 0-7 x 0-39 = 3-39, 0-7 x 0-40 = 3-46, 0-7 x 0-41 = 3-53, 0-7 x 0-42 = 3-60, 0-7 x 0-43 = 3-67, 0-7 x 0-44 = 3-74, 0-7 x 0-45 = 4-3, 0-7 x 0-46 = 4-10, 0-7 x 0-47 = 4-17, 0-7 x 0-48 = 4-24, 0-7 x 0-49 = 4-31, 0-7 x 0-50 = 4-38, 0-7 x 0-51 = 4-45, 0-7 x 0-52 = 4-52, 0-7 x 0-53 = 4-59, 0-7 x 0-54 = 4-66, 0-7 x 0-55 = 4-73, 0-7 x 0-56 = 5-2, 0-7 x 0-57 = 5-9, 0-7 x 0-58 = 5-16, 0-7 x 0-59 = 5-23, 0-7 x 0-60 = 5-30, 0-7 x 0-61 = 5-37, 0-7 x 0-62 = 5-44, 0-7 x 0-63 = 5-51, 0-7 x 0-64 = 5-58, 0-7 x 0-65 = 5-65, 0-7 x 0-66 = 5-72, 0-7 x 0-67 = 6-1, 0-7 x 0-68 = 6-8, 0-7 x 0-69 = 6-15, 0-7 x 0-70 = 6-22, 0-7 x 0-71 = 6-29, 0-7 x 0-72 = 6-36, 0-7 x 0-73 = 6-43, 0-7 x 0-74 = 6-50, 0-7 x 0-75 = 6-57, 0-7 x 0-76 = 6-64, 0-7 x 0-77 = 6-71, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 0-48, 0-8 x 0-7 = 0-56, 0-8 x 0-8 = 0-64, 0-8 x 0-9 = 0-72, 0-8 x 0-10 = 1-2, 0-8 x 0-11 = 1-10, 0-8 x 0-12 = 1-18, 0-8 x 0-13 = 1-26, 0-8 x 0-14 = 1-34, 0-8 x 0-15 = 1-42, 0-8 x 0-16 = 1-50, 0-8 x 0-17 = 1-58, 0-8 x 0-18 = 1-66, 0-8 x 0-19 = 1-74, 0-8 x 0-20 = 2-4, 0-8 x 0-21 = 2-12, 0-8 x 0-22 = 2-20, 0-8 x 0-23 = 2-28, 0-8 x 0-24 = 2-36, 0-8 x 0-25 = 2-44, 0-8 x 0-26 = 2-52, 0-8 x 0-27 = 2-60, 0-8 x 0-28 = 2-68, 0-8 x 0-29 = 2-76, 0-8 x 0-30 = 3-6, 0-8 x 0-31 = 3-14, 0-8 x 0-32 = 3-22, 0-8 x 0-33 = 3-30, 0-8 x 0-34 = 3-38, 0-8 x 0-35 = 3-46, 0-8 x 0-36 = 3-54, 0-8 x 0-37 = 3-62, 0-8 x 0-38 = 3-70, 0-8 x 0-39 = 4-0, 0-8 x 0-40 = 4-8, 0-8 x 0-41 = 4-16, 0-8 x 0-42 = 4-24, 0-8 x 0-43 = 4-32, 0-8 x 0-44 = 4-40, 0-8 x 0-45 = 4-48, 0-8 x 0-46 = 4-56, 0-8 x 0-47 = 4-64, 0-8 x 0-48 = 4-72, 0-8 x 0-49 = 5-2, 0-8 x 0-50 = 5-10, 0-8 x 0-51 = 5-18, 0-8 x 0-52 = 5-26, 0-8 x 0-53 = 5-34, 0-8 x 0-54 = 5-42, 0-8 x 0-55 = 5-50, 0-8 x 0-56 = 5-58, 0-8 x 0-57 = 5-66, 0-8 x 0-58 = 5-74, 0-8 x 0-59 = 6-4, 0-8 x 0-60 = 6-12, 0-8 x 0-61 = 6-20, 0-8 x 0-62 = 6-28, 0-8 x 0-63 = 6-36, 0-8 x 0-64 = 6-44, 0-8 x 0-65 = 6-52, 0-8 x 0-66 = 6-60, 0-8 x 0-67 = 6-68, 0-8 x 0-68 = 6-76, 0-8 x 0-69 = 7-6, 0-8 x 0-70 = 7-14, 0-8 x 0-71 = 7-22, 0-8 x 0-72 = 7-30, 0-8 x 0-73 = 7-38, 0-8 x 0-74 = 7-46, 0-8 x 0-75 = 7-54, 0-8 x 0-76 = 7-62, 0-8 x 0-77 = 7-70, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 0-45, 0-9 x 0-6 = 0-54, 0-9 x 0-7 = 0-63, 0-9 x 0-8 = 0-72, 0-9 x 0-9 = 1-3, 0-9 x 0-10 = 1-12, 0-9 x 0-11 = 1-21, 0-9 x 0-12 = 1-30, 0-9 x 0-13 = 1-39, 0-9 x 0-14 = 1-48, 0-9 x 0-15 = 1-57, 0-9 x 0-16 = 1-66, 0-9 x 0-17 = 1-75, 0-9 x 0-18 = 2-6, 0-9 x 0-19 = 2-15, 0-9 x 0-20 = 2-24, 0-9 x 0-21 = 2-33, 0-9 x 0-22 = 2-42, 0-9 x 0-23 = 2-51, 0-9 x 0-24 = 2-60, 0-9 x 0-25 = 2-69, 0-9 x 0-26 = 3-0, 0-9 x 0-27 = 3-9, 0-9 x 0-28 = 3-18, 0-9 x 0-29 = 3-27, 0-9 x 0-30 = 3-36, 0-9 x 0-31 = 3-45, 0-9 x 0-32 = 3-54, 0-9 x 0-33 = 3-63, 0-9 x 0-34 = 3-72, 0-9 x 0-35 = 4-3, 0-9 x 0-36 = 4-12, 0-9 x 0-37 = 4-21, 0-9 x 0-38 = 4-30, 0-9 x 0-39 = 4-39, 0-9 x 0-40 = 4-48, 0-9 x 0-41 = 4-57, 0-9 x 0-42 = 4-66, 0-9 x 0-43 = 4-75, 0-9 x 0-44 = 5-6, 0-9 x 0-45 = 5-15, 0-9 x 0-46 = 5-24, 0-9 x 0-47 = 5-33, 0-9 x 0-48 = 5-42, 0-9 x 0-49 = 5-51, 0-9 x 0-50 = 5-60, 0-9 x 0-51 = 5-69, 0-9 x 0-52 = 6-0, 0-9 x 0-53 = 6-9, 0-9 x 0-54 = 6-18, 0-9 x 0-55 = 6-27, 0-9 x 0-56 = 6-36, 0-9 x 0-57 = 6-45, 0-9 x 0-58 = 6-54, 0-9 x 0-59 = 6-63, 0-9 x 0-60 = 6-72, 0-9 x 0-61 = 7-3, 0-9 x 0-62 = 7-12, 0-9 x 0-63 = 7-21, 0-9 x 0-64 = 7-30, 0-9 x 0-65 = 7-39, 0-9 x 0-66 = 7-48, 0-9 x 0-67 = 7-57, 0-9 x 0-68 = 7-66, 0-9 x 0-69 = 7-75, 0-9 x 0-70 = 8-6, 0-9 x 0-71 = 8-15, 0-9 x 0-72 = 8-24, 0-9 x 0-73 = 8-33, 0-9 x 0-74 = 8-42, 0-9 x 0-75 = 8-51, 0-9 x 0-76 = 8-60, 0-9 x 0-77 = 8-69, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 0-50, 0-10 x 0-6 = 0-60, 0-10 x 0-7 = 0-70, 0-10 x 0-8 = 1-2, 0-10 x 0-9 = 1-12, 0-10 x 0-10 = 1-22, 0-10 x 0-11 = 1-32, 0-10 x 0-12 = 1-42, 0-10 x 0-13 = 1-52, 0-10 x 0-14 = 1-62, 0-10 x 0-15 = 1-72, 0-10 x 0-16 = 2-4, 0-10 x 0-17 = 2-14, 0-10 x 0-18 = 2-24, 0-10 x 0-19 = 2-34, 0-10 x 0-20 = 2-44, 0-10 x 0-21 = 2-54, 0-10 x 0-22 = 2-64, 0-10 x 0-23 = 2-74, 0-10 x 0-24 = 3-6, 0-10 x 0-25 = 3-16, 0-10 x 0-26 = 3-26, 0-10 x 0-27 = 3-36, 0-10 x 0-28 = 3-46, 0-10 x 0-29 = 3-56, 0-10 x 0-30 = 3-66, 0-10 x 0-31 = 3-76, 0-10 x 0-32 = 4-8, 0-10 x 0-33 = 4-18, 0-10 x 0-34 = 4-28, 0-10 x 0-35 = 4-38, 0-10 x 0-36 = 4-48, 0-10 x 0-37 = 4-58, 0-10 x 0-38 = 4-68, 0-10 x 0-39 = 5-0, 0-10 x 0-40 = 5-10, 0-10 x 0-41 = 5-20, 0-10 x 0-42 = 5-30, 0-10 x 0-43 = 5-40, 0-10 x 0-44 = 5-50, 0-10 x 0-45 = 5-60, 0-10 x 0-46 = 5-70, 0-10 x 0-47 = 6-2, 0-10 x 0-48 = 6-12, 0-10 x 0-49 = 6-22, 0-10 x 0-50 = 6-32, 0-10 x 0-51 = 6-42, 0-10 x 0-52 = 6-52, 0-10 x 0-53 = 6-62, 0-10 x 0-54 = 6-72, 0-10 x 0-55 = 7-4, 0-10 x 0-56 = 7-14, 0-10 x 0-57 = 7-24, 0-10 x 0-58 = 7-34, 0-10 x 0-59 = 7-44, 0-10 x 0-60 = 7-54, 0-10 x 0-61 = 7-64, 0-10 x 0-62 = 7-74, 0-10 x 0-63 = 8-6, 0-10 x 0-64 = 8-16, 0-10 x 0-65 = 8-26, 0-10 x 0-66 = 8-36, 0-10 x 0-67 = 8-46, 0-10 x 0-68 = 8-56, 0-10 x 0-69 = 8-66, 0-10 x 0-70 = 8-76, 0-10 x 0-71 = 9-8, 0-10 x 0-72 = 9-18, 0-10 x 0-73 = 9-28, 0-10 x 0-74 = 9-38, 0-10 x 0-75 = 9-48, 0-10 x 0-76 = 9-58, 0-10 x 0-77 = 9-68, 
