1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 1 x 13 = 0-13, 1 x 14 = 0-14, 1 x 15 = 0-15, 1 x 16 = 0-16, 1 x 17 = 0-17, 1 x 18 = 0-18, 1 x 19 = 0-19, 1 x 20 = 0-20, 1 x 21 = 0-21, 1 x 22 = 0-22, 1 x 23 = 0-23, 1 x 24 = 0-24, 1 x 25 = 0-25, 1 x 26 = 0-26, 1 x 27 = 0-27, 1 x 28 = 0-28, 1 x 29 = 0-29, 1 x 30 = 0-30, 1 x 31 = 0-31, 1 x 32 = 0-32, 1 x 33 = 0-33, 1 x 34 = 0-34, 1 x 35 = 0-35, 1 x 36 = 0-36, 1 x 37 = 0-37, 1 x 38 = 0-38, 1 x 39 = 0-39, 1 x 40 = 0-40, 1 x 41 = 0-41, 1 x 42 = 0-42, 1 x 43 = 0-43, 1 x 44 = 0-44, 1 x 45 = 0-45, 1 x 46 = 0-46, 1 x 47 = 0-47, 1 x 48 = 0-48, 1 x 49 = 0-49, 1 x 50 = 0-50, 1 x 51 = 0-51, 1 x 52 = 0-52, 1 x 53 = 0-53, 1 x 54 = 0-54, 1 x 55 = 0-55, 1 x 56 = 0-56, 1 x 57 = 0-57, 1 x 58 = 0-58, 1 x 59 = 0-59, 1 x 60 = 0-60, 1 x 61 = 0-61, 1 x 62 = 0-62, 1 x 63 = 0-63, 1 x 64 = 0-64, 1 x 65 = 0-65, 1 x 66 = 0-66, 1 x 67 = 0-67, 1 x 68 = 0-68, 1 x 69 = 0-69, 1 x 70 = 0-70, 1 x 71 = 0-71, 1 x 72 = 0-72, 1 x 73 = 0-73, 1 x 74 = 0-74, 1 x 75 = 0-75, 1 x 76 = 0-76, 1 x 77 = 0-77, 1 x 78 = 0-78, 1 x 79 = 0-79, 1 x 80 = 0-80, 1 x 81 = 0-81, 1 x 82 = 0-82, 1 x 83 = 0-83, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 0-14, 2 x 8 = 0-16, 2 x 9 = 0-18, 2 x 10 = 0-20, 2 x 11 = 0-22, 2 x 12 = 0-24, 2 x 13 = 0-26, 2 x 14 = 0-28, 2 x 15 = 0-30, 2 x 16 = 0-32, 2 x 17 = 0-34, 2 x 18 = 0-36, 2 x 19 = 0-38, 2 x 20 = 0-40, 2 x 21 = 0-42, 2 x 22 = 0-44, 2 x 23 = 0-46, 2 x 24 = 0-48, 2 x 25 = 0-50, 2 x 26 = 0-52, 2 x 27 = 0-54, 2 x 28 = 0-56, 2 x 29 = 0-58, 2 x 30 = 0-60, 2 x 31 = 0-62, 2 x 32 = 0-64, 2 x 33 = 0-66, 2 x 34 = 0-68, 2 x 35 = 0-70, 2 x 36 = 0-72, 2 x 37 = 0-74, 2 x 38 = 0-76, 2 x 39 = 0-78, 2 x 40 = 0-80, 2 x 41 = 0-82, 2 x 42 = 1-0, 2 x 43 = 1-2, 2 x 44 = 1-4, 2 x 45 = 1-6, 2 x 46 = 1-8, 2 x 47 = 1-10, 2 x 48 = 1-12, 2 x 49 = 1-14, 2 x 50 = 1-16, 2 x 51 = 1-18, 2 x 52 = 1-20, 2 x 53 = 1-22, 2 x 54 = 1-24, 2 x 55 = 1-26, 2 x 56 = 1-28, 2 x 57 = 1-30, 2 x 58 = 1-32, 2 x 59 = 1-34, 2 x 60 = 1-36, 2 x 61 = 1-38, 2 x 62 = 1-40, 2 x 63 = 1-42, 2 x 64 = 1-44, 2 x 65 = 1-46, 2 x 66 = 1-48, 2 x 67 = 1-50, 2 x 68 = 1-52, 2 x 69 = 1-54, 2 x 70 = 1-56, 2 x 71 = 1-58, 2 x 72 = 1-60, 2 x 73 = 1-62, 2 x 74 = 1-64, 2 x 75 = 1-66, 2 x 76 = 1-68, 2 x 77 = 1-70, 2 x 78 = 1-72, 2 x 79 = 1-74, 2 x 80 = 1-76, 2 x 81 = 1-78, 2 x 82 = 1-80, 2 x 83 = 1-82, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 0-15, 3 x 6 = 0-18, 3 x 7 = 0-21, 3 x 8 = 0-24, 3 x 9 = 0-27, 3 x 10 = 0-30, 3 x 11 = 0-33, 3 x 12 = 0-36, 3 x 13 = 0-39, 3 x 14 = 0-42, 3 x 15 = 0-45, 3 x 16 = 0-48, 3 x 17 = 0-51, 3 x 18 = 0-54, 3 x 19 = 0-57, 3 x 20 = 0-60, 3 x 21 = 0-63, 3 x 22 = 0-66, 3 x 23 = 0-69, 3 x 24 = 0-72, 3 x 25 = 0-75, 3 x 26 = 0-78, 3 x 27 = 0-81, 3 x 28 = 1-0, 3 x 29 = 1-3, 3 x 30 = 1-6, 3 x 31 = 1-9, 3 x 32 = 1-12, 3 x 33 = 1-15, 3 x 34 = 1-18, 3 x 35 = 1-21, 3 x 36 = 1-24, 3 x 37 = 1-27, 3 x 38 = 1-30, 3 x 39 = 1-33, 3 x 40 = 1-36, 3 x 41 = 1-39, 3 x 42 = 1-42, 3 x 43 = 1-45, 3 x 44 = 1-48, 3 x 45 = 1-51, 3 x 46 = 1-54, 3 x 47 = 1-57, 3 x 48 = 1-60, 3 x 49 = 1-63, 3 x 50 = 1-66, 3 x 51 = 1-69, 3 x 52 = 1-72, 3 x 53 = 1-75, 3 x 54 = 1-78, 3 x 55 = 1-81, 3 x 56 = 2-0, 3 x 57 = 2-3, 3 x 58 = 2-6, 3 x 59 = 2-9, 3 x 60 = 2-12, 3 x 61 = 2-15, 3 x 62 = 2-18, 3 x 63 = 2-21, 3 x 64 = 2-24, 3 x 65 = 2-27, 3 x 66 = 2-30, 3 x 67 = 2-33, 3 x 68 = 2-36, 3 x 69 = 2-39, 3 x 70 = 2-42, 3 x 71 = 2-45, 3 x 72 = 2-48, 3 x 73 = 2-51, 3 x 74 = 2-54, 3 x 75 = 2-57, 3 x 76 = 2-60, 3 x 77 = 2-63, 3 x 78 = 2-66, 3 x 79 = 2-69, 3 x 80 = 2-72, 3 x 81 = 2-75, 3 x 82 = 2-78, 3 x 83 = 2-81, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 0-16, 4 x 5 = 0-20, 4 x 6 = 0-24, 4 x 7 = 0-28, 4 x 8 = 0-32, 4 x 9 = 0-36, 4 x 10 = 0-40, 4 x 11 = 0-44, 4 x 12 = 0-48, 4 x 13 = 0-52, 4 x 14 = 0-56, 4 x 15 = 0-60, 4 x 16 = 0-64, 4 x 17 = 0-68, 4 x 18 = 0-72, 4 x 19 = 0-76, 4 x 20 = 0-80, 4 x 21 = 1-0, 4 x 22 = 1-4, 4 x 23 = 1-8, 4 x 24 = 1-12, 4 x 25 = 1-16, 4 x 26 = 1-20, 4 x 27 = 1-24, 4 x 28 = 1-28, 4 x 29 = 1-32, 4 x 30 = 1-36, 4 x 31 = 1-40, 4 x 32 = 1-44, 4 x 33 = 1-48, 4 x 34 = 1-52, 4 x 35 = 1-56, 4 x 36 = 1-60, 4 x 37 = 1-64, 4 x 38 = 1-68, 4 x 39 = 1-72, 4 x 40 = 1-76, 4 x 41 = 1-80, 4 x 42 = 2-0, 4 x 43 = 2-4, 4 x 44 = 2-8, 4 x 45 = 2-12, 4 x 46 = 2-16, 4 x 47 = 2-20, 4 x 48 = 2-24, 4 x 49 = 2-28, 4 x 50 = 2-32, 4 x 51 = 2-36, 4 x 52 = 2-40, 4 x 53 = 2-44, 4 x 54 = 2-48, 4 x 55 = 2-52, 4 x 56 = 2-56, 4 x 57 = 2-60, 4 x 58 = 2-64, 4 x 59 = 2-68, 4 x 60 = 2-72, 4 x 61 = 2-76, 4 x 62 = 2-80, 4 x 63 = 3-0, 4 x 64 = 3-4, 4 x 65 = 3-8, 4 x 66 = 3-12, 4 x 67 = 3-16, 4 x 68 = 3-20, 4 x 69 = 3-24, 4 x 70 = 3-28, 4 x 71 = 3-32, 4 x 72 = 3-36, 4 x 73 = 3-40, 4 x 74 = 3-44, 4 x 75 = 3-48, 4 x 76 = 3-52, 4 x 77 = 3-56, 4 x 78 = 3-60, 4 x 79 = 3-64, 4 x 80 = 3-68, 4 x 81 = 3-72, 4 x 82 = 3-76, 4 x 83 = 3-80, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 0-15, 5 x 4 = 0-20, 5 x 5 = 0-25, 5 x 6 = 0-30, 5 x 7 = 0-35, 5 x 8 = 0-40, 5 x 9 = 0-45, 5 x 10 = 0-50, 5 x 11 = 0-55, 5 x 12 = 0-60, 5 x 13 = 0-65, 5 x 14 = 0-70, 5 x 15 = 0-75, 5 x 16 = 0-80, 5 x 17 = 1-1, 5 x 18 = 1-6, 5 x 19 = 1-11, 5 x 20 = 1-16, 5 x 21 = 1-21, 5 x 22 = 1-26, 5 x 23 = 1-31, 5 x 24 = 1-36, 5 x 25 = 1-41, 5 x 26 = 1-46, 5 x 27 = 1-51, 5 x 28 = 1-56, 5 x 29 = 1-61, 5 x 30 = 1-66, 5 x 31 = 1-71, 5 x 32 = 1-76, 5 x 33 = 1-81, 5 x 34 = 2-2, 5 x 35 = 2-7, 5 x 36 = 2-12, 5 x 37 = 2-17, 5 x 38 = 2-22, 5 x 39 = 2-27, 5 x 40 = 2-32, 5 x 41 = 2-37, 5 x 42 = 2-42, 5 x 43 = 2-47, 5 x 44 = 2-52, 5 x 45 = 2-57, 5 x 46 = 2-62, 5 x 47 = 2-67, 5 x 48 = 2-72, 5 x 49 = 2-77, 5 x 50 = 2-82, 5 x 51 = 3-3, 5 x 52 = 3-8, 5 x 53 = 3-13, 5 x 54 = 3-18, 5 x 55 = 3-23, 5 x 56 = 3-28, 5 x 57 = 3-33, 5 x 58 = 3-38, 5 x 59 = 3-43, 5 x 60 = 3-48, 5 x 61 = 3-53, 5 x 62 = 3-58, 5 x 63 = 3-63, 5 x 64 = 3-68, 5 x 65 = 3-73, 5 x 66 = 3-78, 5 x 67 = 3-83, 5 x 68 = 4-4, 5 x 69 = 4-9, 5 x 70 = 4-14, 5 x 71 = 4-19, 5 x 72 = 4-24, 5 x 73 = 4-29, 5 x 74 = 4-34, 5 x 75 = 4-39, 5 x 76 = 4-44, 5 x 77 = 4-49, 5 x 78 = 4-54, 5 x 79 = 4-59, 5 x 80 = 4-64, 5 x 81 = 4-69, 5 x 82 = 4-74, 5 x 83 = 4-79, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 0-18, 6 x 4 = 0-24, 6 x 5 = 0-30, 6 x 6 = 0-36, 6 x 7 = 0-42, 6 x 8 = 0-48, 6 x 9 = 0-54, 6 x 10 = 0-60, 6 x 11 = 0-66, 6 x 12 = 0-72, 6 x 13 = 0-78, 6 x 14 = 1-0, 6 x 15 = 1-6, 6 x 16 = 1-12, 6 x 17 = 1-18, 6 x 18 = 1-24, 6 x 19 = 1-30, 6 x 20 = 1-36, 6 x 21 = 1-42, 6 x 22 = 1-48, 6 x 23 = 1-54, 6 x 24 = 1-60, 6 x 25 = 1-66, 6 x 26 = 1-72, 6 x 27 = 1-78, 6 x 28 = 2-0, 6 x 29 = 2-6, 6 x 30 = 2-12, 6 x 31 = 2-18, 6 x 32 = 2-24, 6 x 33 = 2-30, 6 x 34 = 2-36, 6 x 35 = 2-42, 6 x 36 = 2-48, 6 x 37 = 2-54, 6 x 38 = 2-60, 6 x 39 = 2-66, 6 x 40 = 2-72, 6 x 41 = 2-78, 6 x 42 = 3-0, 6 x 43 = 3-6, 6 x 44 = 3-12, 6 x 45 = 3-18, 6 x 46 = 3-24, 6 x 47 = 3-30, 6 x 48 = 3-36, 6 x 49 = 3-42, 6 x 50 = 3-48, 6 x 51 = 3-54, 6 x 52 = 3-60, 6 x 53 = 3-66, 6 x 54 = 3-72, 6 x 55 = 3-78, 6 x 56 = 4-0, 6 x 57 = 4-6, 6 x 58 = 4-12, 6 x 59 = 4-18, 6 x 60 = 4-24, 6 x 61 = 4-30, 6 x 62 = 4-36, 6 x 63 = 4-42, 6 x 64 = 4-48, 6 x 65 = 4-54, 6 x 66 = 4-60, 6 x 67 = 4-66, 6 x 68 = 4-72, 6 x 69 = 4-78, 6 x 70 = 5-0, 6 x 71 = 5-6, 6 x 72 = 5-12, 6 x 73 = 5-18, 6 x 74 = 5-24, 6 x 75 = 5-30, 6 x 76 = 5-36, 6 x 77 = 5-42, 6 x 78 = 5-48, 6 x 79 = 5-54, 6 x 80 = 5-60, 6 x 81 = 5-66, 6 x 82 = 5-72, 6 x 83 = 5-78, 
7 x 1 = 0-7, 7 x 2 = 0-14, 7 x 3 = 0-21, 7 x 4 = 0-28, 7 x 5 = 0-35, 7 x 6 = 0-42, 7 x 7 = 0-49, 7 x 8 = 0-56, 7 x 9 = 0-63, 7 x 10 = 0-70, 7 x 11 = 0-77, 7 x 12 = 1-0, 7 x 13 = 1-7, 7 x 14 = 1-14, 7 x 15 = 1-21, 7 x 16 = 1-28, 7 x 17 = 1-35, 7 x 18 = 1-42, 7 x 19 = 1-49, 7 x 20 = 1-56, 7 x 21 = 1-63, 7 x 22 = 1-70, 7 x 23 = 1-77, 7 x 24 = 2-0, 7 x 25 = 2-7, 7 x 26 = 2-14, 7 x 27 = 2-21, 7 x 28 = 2-28, 7 x 29 = 2-35, 7 x 30 = 2-42, 7 x 31 = 2-49, 7 x 32 = 2-56, 7 x 33 = 2-63, 7 x 34 = 2-70, 7 x 35 = 2-77, 7 x 36 = 3-0, 7 x 37 = 3-7, 7 x 38 = 3-14, 7 x 39 = 3-21, 7 x 40 = 3-28, 7 x 41 = 3-35, 7 x 42 = 3-42, 7 x 43 = 3-49, 7 x 44 = 3-56, 7 x 45 = 3-63, 7 x 46 = 3-70, 7 x 47 = 3-77, 7 x 48 = 4-0, 7 x 49 = 4-7, 7 x 50 = 4-14, 7 x 51 = 4-21, 7 x 52 = 4-28, 7 x 53 = 4-35, 7 x 54 = 4-42, 7 x 55 = 4-49, 7 x 56 = 4-56, 7 x 57 = 4-63, 7 x 58 = 4-70, 7 x 59 = 4-77, 7 x 60 = 5-0, 7 x 61 = 5-7, 7 x 62 = 5-14, 7 x 63 = 5-21, 7 x 64 = 5-28, 7 x 65 = 5-35, 7 x 66 = 5-42, 7 x 67 = 5-49, 7 x 68 = 5-56, 7 x 69 = 5-63, 7 x 70 = 5-70, 7 x 71 = 5-77, 7 x 72 = 6-0, 7 x 73 = 6-7, 7 x 74 = 6-14, 7 x 75 = 6-21, 7 x 76 = 6-28, 7 x 77 = 6-35, 7 x 78 = 6-42, 7 x 79 = 6-49, 7 x 80 = 6-56, 7 x 81 = 6-63, 7 x 82 = 6-70, 7 x 83 = 6-77, 
8 x 1 = 0-8, 8 x 2 = 0-16, 8 x 3 = 0-24, 8 x 4 = 0-32, 8 x 5 = 0-40, 8 x 6 = 0-48, 8 x 7 = 0-56, 8 x 8 = 0-64, 8 x 9 = 0-72, 8 x 10 = 0-80, 8 x 11 = 1-4, 8 x 12 = 1-12, 8 x 13 = 1-20, 8 x 14 = 1-28, 8 x 15 = 1-36, 8 x 16 = 1-44, 8 x 17 = 1-52, 8 x 18 = 1-60, 8 x 19 = 1-68, 8 x 20 = 1-76, 8 x 21 = 2-0, 8 x 22 = 2-8, 8 x 23 = 2-16, 8 x 24 = 2-24, 8 x 25 = 2-32, 8 x 26 = 2-40, 8 x 27 = 2-48, 8 x 28 = 2-56, 8 x 29 = 2-64, 8 x 30 = 2-72, 8 x 31 = 2-80, 8 x 32 = 3-4, 8 x 33 = 3-12, 8 x 34 = 3-20, 8 x 35 = 3-28, 8 x 36 = 3-36, 8 x 37 = 3-44, 8 x 38 = 3-52, 8 x 39 = 3-60, 8 x 40 = 3-68, 8 x 41 = 3-76, 8 x 42 = 4-0, 8 x 43 = 4-8, 8 x 44 = 4-16, 8 x 45 = 4-24, 8 x 46 = 4-32, 8 x 47 = 4-40, 8 x 48 = 4-48, 8 x 49 = 4-56, 8 x 50 = 4-64, 8 x 51 = 4-72, 8 x 52 = 4-80, 8 x 53 = 5-4, 8 x 54 = 5-12, 8 x 55 = 5-20, 8 x 56 = 5-28, 8 x 57 = 5-36, 8 x 58 = 5-44, 8 x 59 = 5-52, 8 x 60 = 5-60, 8 x 61 = 5-68, 8 x 62 = 5-76, 8 x 63 = 6-0, 8 x 64 = 6-8, 8 x 65 = 6-16, 8 x 66 = 6-24, 8 x 67 = 6-32, 8 x 68 = 6-40, 8 x 69 = 6-48, 8 x 70 = 6-56, 8 x 71 = 6-64, 8 x 72 = 6-72, 8 x 73 = 6-80, 8 x 74 = 7-4, 8 x 75 = 7-12, 8 x 76 = 7-20, 8 x 77 = 7-28, 8 x 78 = 7-36, 8 x 79 = 7-44, 8 x 80 = 7-52, 8 x 81 = 7-60, 8 x 82 = 7-68, 8 x 83 = 7-76, 
9 x 1 = 0-9, 9 x 2 = 0-18, 9 x 3 = 0-27, 9 x 4 = 0-36, 9 x 5 = 0-45, 9 x 6 = 0-54, 9 x 7 = 0-63, 9 x 8 = 0-72, 9 x 9 = 0-81, 9 x 10 = 1-6, 9 x 11 = 1-15, 9 x 12 = 1-24, 9 x 13 = 1-33, 9 x 14 = 1-42, 9 x 15 = 1-51, 9 x 16 = 1-60, 9 x 17 = 1-69, 9 x 18 = 1-78, 9 x 19 = 2-3, 9 x 20 = 2-12, 9 x 21 = 2-21, 9 x 22 = 2-30, 9 x 23 = 2-39, 9 x 24 = 2-48, 9 x 25 = 2-57, 9 x 26 = 2-66, 9 x 27 = 2-75, 9 x 28 = 3-0, 9 x 29 = 3-9, 9 x 30 = 3-18, 9 x 31 = 3-27, 9 x 32 = 3-36, 9 x 33 = 3-45, 9 x 34 = 3-54, 9 x 35 = 3-63, 9 x 36 = 3-72, 9 x 37 = 3-81, 9 x 38 = 4-6, 9 x 39 = 4-15, 9 x 40 = 4-24, 9 x 41 = 4-33, 9 x 42 = 4-42, 9 x 43 = 4-51, 9 x 44 = 4-60, 9 x 45 = 4-69, 9 x 46 = 4-78, 9 x 47 = 5-3, 9 x 48 = 5-12, 9 x 49 = 5-21, 9 x 50 = 5-30, 9 x 51 = 5-39, 9 x 52 = 5-48, 9 x 53 = 5-57, 9 x 54 = 5-66, 9 x 55 = 5-75, 9 x 56 = 6-0, 9 x 57 = 6-9, 9 x 58 = 6-18, 9 x 59 = 6-27, 9 x 60 = 6-36, 9 x 61 = 6-45, 9 x 62 = 6-54, 9 x 63 = 6-63, 9 x 64 = 6-72, 9 x 65 = 6-81, 9 x 66 = 7-6, 9 x 67 = 7-15, 9 x 68 = 7-24, 9 x 69 = 7-33, 9 x 70 = 7-42, 9 x 71 = 7-51, 9 x 72 = 7-60, 9 x 73 = 7-69, 9 x 74 = 7-78, 9 x 75 = 8-3, 9 x 76 = 8-12, 9 x 77 = 8-21, 9 x 78 = 8-30, 9 x 79 = 8-39, 9 x 80 = 8-48, 9 x 81 = 8-57, 9 x 82 = 8-66, 9 x 83 = 8-75, 
10 x 1 = 0-10, 10 x 2 = 0-20, 10 x 3 = 0-30, 10 x 4 = 0-40, 10 x 5 = 0-50, 10 x 6 = 0-60, 10 x 7 = 0-70, 10 x 8 = 0-80, 10 x 9 = 1-6, 10 x 10 = 1-16, 10 x 11 = 1-26, 10 x 12 = 1-36, 10 x 13 = 1-46, 10 x 14 = 1-56, 10 x 15 = 1-66, 10 x 16 = 1-76, 10 x 17 = 2-2, 10 x 18 = 2-12, 10 x 19 = 2-22, 10 x 20 = 2-32, 10 x 21 = 2-42, 10 x 22 = 2-52, 10 x 23 = 2-62, 10 x 24 = 2-72, 10 x 25 = 2-82, 10 x 26 = 3-8, 10 x 27 = 3-18, 10 x 28 = 3-28, 10 x 29 = 3-38, 10 x 30 = 3-48, 10 x 31 = 3-58, 10 x 32 = 3-68, 10 x 33 = 3-78, 10 x 34 = 4-4, 10 x 35 = 4-14, 10 x 36 = 4-24, 10 x 37 = 4-34, 10 x 38 = 4-44, 10 x 39 = 4-54, 10 x 40 = 4-64, 10 x 41 = 4-74, 10 x 42 = 5-0, 10 x 43 = 5-10, 10 x 44 = 5-20, 10 x 45 = 5-30, 10 x 46 = 5-40, 10 x 47 = 5-50, 10 x 48 = 5-60, 10 x 49 = 5-70, 10 x 50 = 5-80, 10 x 51 = 6-6, 10 x 52 = 6-16, 10 x 53 = 6-26, 10 x 54 = 6-36, 10 x 55 = 6-46, 10 x 56 = 6-56, 10 x 57 = 6-66, 10 x 58 = 6-76, 10 x 59 = 7-2, 10 x 60 = 7-12, 10 x 61 = 7-22, 10 x 62 = 7-32, 10 x 63 = 7-42, 10 x 64 = 7-52, 10 x 65 = 7-62, 10 x 66 = 7-72, 10 x 67 = 7-82, 10 x 68 = 8-8, 10 x 69 = 8-18, 10 x 70 = 8-28, 10 x 71 = 8-38, 10 x 72 = 8-48, 10 x 73 = 8-58, 10 x 74 = 8-68, 10 x 75 = 8-78, 10 x 76 = 9-4, 10 x 77 = 9-14, 10 x 78 = 9-24, 10 x 79 = 9-34, 10 x 80 = 9-44, 10 x 81 = 9-54, 10 x 82 = 9-64, 10 x 83 = 9-74, 
