1 x 1 = 0-1, 1 x 2 = 0-2, 1 x 3 = 0-3, 1 x 4 = 0-4, 1 x 5 = 0-5, 1 x 6 = 0-6, 1 x 7 = 0-7, 1 x 8 = 0-8, 1 x 9 = 0-9, 1 x 10 = 0-10, 1 x 11 = 0-11, 1 x 12 = 0-12, 1 x 13 = 0-13, 1 x 14 = 0-14, 1 x 15 = 0-15, 1 x 16 = 0-16, 1 x 17 = 0-17, 1 x 18 = 0-18, 1 x 19 = 0-19, 1 x 20 = 0-20, 1 x 21 = 0-21, 1 x 22 = 0-22, 1 x 23 = 0-23, 1 x 24 = 0-24, 1 x 25 = 0-25, 1 x 26 = 0-26, 1 x 27 = 0-27, 1 x 28 = 0-28, 1 x 29 = 0-29, 1 x 30 = 0-30, 1 x 31 = 0-31, 1 x 32 = 0-32, 1 x 33 = 0-33, 1 x 34 = 0-34, 1 x 35 = 0-35, 1 x 36 = 0-36, 1 x 37 = 0-37, 1 x 38 = 0-38, 1 x 39 = 0-39, 1 x 40 = 0-40, 1 x 41 = 0-41, 1 x 42 = 0-42, 1 x 43 = 0-43, 1 x 44 = 0-44, 1 x 45 = 0-45, 1 x 46 = 0-46, 1 x 47 = 0-47, 1 x 48 = 0-48, 1 x 49 = 0-49, 1 x 50 = 0-50, 1 x 51 = 0-51, 1 x 52 = 0-52, 1 x 53 = 0-53, 1 x 54 = 0-54, 1 x 55 = 0-55, 1 x 56 = 0-56, 1 x 57 = 0-57, 1 x 58 = 0-58, 1 x 59 = 0-59, 1 x 60 = 0-60, 1 x 61 = 0-61, 1 x 62 = 0-62, 1 x 63 = 0-63, 1 x 64 = 0-64, 1 x 65 = 0-65, 1 x 66 = 0-66, 1 x 67 = 0-67, 1 x 68 = 0-68, 1 x 69 = 0-69, 1 x 70 = 0-70, 1 x 71 = 0-71, 1 x 72 = 0-72, 1 x 73 = 0-73, 1 x 74 = 0-74, 1 x 75 = 0-75, 1 x 76 = 0-76, 1 x 77 = 0-77, 1 x 78 = 0-78, 1 x 79 = 0-79, 1 x 80 = 0-80, 1 x 81 = 0-81, 1 x 82 = 0-82, 1 x 83 = 0-83, 1 x 84 = 0-84, 1 x 85 = 0-85, 1 x 86 = 0-86, 1 x 87 = 0-87, 1 x 88 = 0-88, 1 x 89 = 0-89, 
2 x 1 = 0-2, 2 x 2 = 0-4, 2 x 3 = 0-6, 2 x 4 = 0-8, 2 x 5 = 0-10, 2 x 6 = 0-12, 2 x 7 = 0-14, 2 x 8 = 0-16, 2 x 9 = 0-18, 2 x 10 = 0-20, 2 x 11 = 0-22, 2 x 12 = 0-24, 2 x 13 = 0-26, 2 x 14 = 0-28, 2 x 15 = 0-30, 2 x 16 = 0-32, 2 x 17 = 0-34, 2 x 18 = 0-36, 2 x 19 = 0-38, 2 x 20 = 0-40, 2 x 21 = 0-42, 2 x 22 = 0-44, 2 x 23 = 0-46, 2 x 24 = 0-48, 2 x 25 = 0-50, 2 x 26 = 0-52, 2 x 27 = 0-54, 2 x 28 = 0-56, 2 x 29 = 0-58, 2 x 30 = 0-60, 2 x 31 = 0-62, 2 x 32 = 0-64, 2 x 33 = 0-66, 2 x 34 = 0-68, 2 x 35 = 0-70, 2 x 36 = 0-72, 2 x 37 = 0-74, 2 x 38 = 0-76, 2 x 39 = 0-78, 2 x 40 = 0-80, 2 x 41 = 0-82, 2 x 42 = 0-84, 2 x 43 = 0-86, 2 x 44 = 0-88, 2 x 45 = 1-0, 2 x 46 = 1-2, 2 x 47 = 1-4, 2 x 48 = 1-6, 2 x 49 = 1-8, 2 x 50 = 1-10, 2 x 51 = 1-12, 2 x 52 = 1-14, 2 x 53 = 1-16, 2 x 54 = 1-18, 2 x 55 = 1-20, 2 x 56 = 1-22, 2 x 57 = 1-24, 2 x 58 = 1-26, 2 x 59 = 1-28, 2 x 60 = 1-30, 2 x 61 = 1-32, 2 x 62 = 1-34, 2 x 63 = 1-36, 2 x 64 = 1-38, 2 x 65 = 1-40, 2 x 66 = 1-42, 2 x 67 = 1-44, 2 x 68 = 1-46, 2 x 69 = 1-48, 2 x 70 = 1-50, 2 x 71 = 1-52, 2 x 72 = 1-54, 2 x 73 = 1-56, 2 x 74 = 1-58, 2 x 75 = 1-60, 2 x 76 = 1-62, 2 x 77 = 1-64, 2 x 78 = 1-66, 2 x 79 = 1-68, 2 x 80 = 1-70, 2 x 81 = 1-72, 2 x 82 = 1-74, 2 x 83 = 1-76, 2 x 84 = 1-78, 2 x 85 = 1-80, 2 x 86 = 1-82, 2 x 87 = 1-84, 2 x 88 = 1-86, 2 x 89 = 1-88, 
3 x 1 = 0-3, 3 x 2 = 0-6, 3 x 3 = 0-9, 3 x 4 = 0-12, 3 x 5 = 0-15, 3 x 6 = 0-18, 3 x 7 = 0-21, 3 x 8 = 0-24, 3 x 9 = 0-27, 3 x 10 = 0-30, 3 x 11 = 0-33, 3 x 12 = 0-36, 3 x 13 = 0-39, 3 x 14 = 0-42, 3 x 15 = 0-45, 3 x 16 = 0-48, 3 x 17 = 0-51, 3 x 18 = 0-54, 3 x 19 = 0-57, 3 x 20 = 0-60, 3 x 21 = 0-63, 3 x 22 = 0-66, 3 x 23 = 0-69, 3 x 24 = 0-72, 3 x 25 = 0-75, 3 x 26 = 0-78, 3 x 27 = 0-81, 3 x 28 = 0-84, 3 x 29 = 0-87, 3 x 30 = 1-0, 3 x 31 = 1-3, 3 x 32 = 1-6, 3 x 33 = 1-9, 3 x 34 = 1-12, 3 x 35 = 1-15, 3 x 36 = 1-18, 3 x 37 = 1-21, 3 x 38 = 1-24, 3 x 39 = 1-27, 3 x 40 = 1-30, 3 x 41 = 1-33, 3 x 42 = 1-36, 3 x 43 = 1-39, 3 x 44 = 1-42, 3 x 45 = 1-45, 3 x 46 = 1-48, 3 x 47 = 1-51, 3 x 48 = 1-54, 3 x 49 = 1-57, 3 x 50 = 1-60, 3 x 51 = 1-63, 3 x 52 = 1-66, 3 x 53 = 1-69, 3 x 54 = 1-72, 3 x 55 = 1-75, 3 x 56 = 1-78, 3 x 57 = 1-81, 3 x 58 = 1-84, 3 x 59 = 1-87, 3 x 60 = 2-0, 3 x 61 = 2-3, 3 x 62 = 2-6, 3 x 63 = 2-9, 3 x 64 = 2-12, 3 x 65 = 2-15, 3 x 66 = 2-18, 3 x 67 = 2-21, 3 x 68 = 2-24, 3 x 69 = 2-27, 3 x 70 = 2-30, 3 x 71 = 2-33, 3 x 72 = 2-36, 3 x 73 = 2-39, 3 x 74 = 2-42, 3 x 75 = 2-45, 3 x 76 = 2-48, 3 x 77 = 2-51, 3 x 78 = 2-54, 3 x 79 = 2-57, 3 x 80 = 2-60, 3 x 81 = 2-63, 3 x 82 = 2-66, 3 x 83 = 2-69, 3 x 84 = 2-72, 3 x 85 = 2-75, 3 x 86 = 2-78, 3 x 87 = 2-81, 3 x 88 = 2-84, 3 x 89 = 2-87, 
4 x 1 = 0-4, 4 x 2 = 0-8, 4 x 3 = 0-12, 4 x 4 = 0-16, 4 x 5 = 0-20, 4 x 6 = 0-24, 4 x 7 = 0-28, 4 x 8 = 0-32, 4 x 9 = 0-36, 4 x 10 = 0-40, 4 x 11 = 0-44, 4 x 12 = 0-48, 4 x 13 = 0-52, 4 x 14 = 0-56, 4 x 15 = 0-60, 4 x 16 = 0-64, 4 x 17 = 0-68, 4 x 18 = 0-72, 4 x 19 = 0-76, 4 x 20 = 0-80, 4 x 21 = 0-84, 4 x 22 = 0-88, 4 x 23 = 1-2, 4 x 24 = 1-6, 4 x 25 = 1-10, 4 x 26 = 1-14, 4 x 27 = 1-18, 4 x 28 = 1-22, 4 x 29 = 1-26, 4 x 30 = 1-30, 4 x 31 = 1-34, 4 x 32 = 1-38, 4 x 33 = 1-42, 4 x 34 = 1-46, 4 x 35 = 1-50, 4 x 36 = 1-54, 4 x 37 = 1-58, 4 x 38 = 1-62, 4 x 39 = 1-66, 4 x 40 = 1-70, 4 x 41 = 1-74, 4 x 42 = 1-78, 4 x 43 = 1-82, 4 x 44 = 1-86, 4 x 45 = 2-0, 4 x 46 = 2-4, 4 x 47 = 2-8, 4 x 48 = 2-12, 4 x 49 = 2-16, 4 x 50 = 2-20, 4 x 51 = 2-24, 4 x 52 = 2-28, 4 x 53 = 2-32, 4 x 54 = 2-36, 4 x 55 = 2-40, 4 x 56 = 2-44, 4 x 57 = 2-48, 4 x 58 = 2-52, 4 x 59 = 2-56, 4 x 60 = 2-60, 4 x 61 = 2-64, 4 x 62 = 2-68, 4 x 63 = 2-72, 4 x 64 = 2-76, 4 x 65 = 2-80, 4 x 66 = 2-84, 4 x 67 = 2-88, 4 x 68 = 3-2, 4 x 69 = 3-6, 4 x 70 = 3-10, 4 x 71 = 3-14, 4 x 72 = 3-18, 4 x 73 = 3-22, 4 x 74 = 3-26, 4 x 75 = 3-30, 4 x 76 = 3-34, 4 x 77 = 3-38, 4 x 78 = 3-42, 4 x 79 = 3-46, 4 x 80 = 3-50, 4 x 81 = 3-54, 4 x 82 = 3-58, 4 x 83 = 3-62, 4 x 84 = 3-66, 4 x 85 = 3-70, 4 x 86 = 3-74, 4 x 87 = 3-78, 4 x 88 = 3-82, 4 x 89 = 3-86, 
5 x 1 = 0-5, 5 x 2 = 0-10, 5 x 3 = 0-15, 5 x 4 = 0-20, 5 x 5 = 0-25, 5 x 6 = 0-30, 5 x 7 = 0-35, 5 x 8 = 0-40, 5 x 9 = 0-45, 5 x 10 = 0-50, 5 x 11 = 0-55, 5 x 12 = 0-60, 5 x 13 = 0-65, 5 x 14 = 0-70, 5 x 15 = 0-75, 5 x 16 = 0-80, 5 x 17 = 0-85, 5 x 18 = 1-0, 5 x 19 = 1-5, 5 x 20 = 1-10, 5 x 21 = 1-15, 5 x 22 = 1-20, 5 x 23 = 1-25, 5 x 24 = 1-30, 5 x 25 = 1-35, 5 x 26 = 1-40, 5 x 27 = 1-45, 5 x 28 = 1-50, 5 x 29 = 1-55, 5 x 30 = 1-60, 5 x 31 = 1-65, 5 x 32 = 1-70, 5 x 33 = 1-75, 5 x 34 = 1-80, 5 x 35 = 1-85, 5 x 36 = 2-0, 5 x 37 = 2-5, 5 x 38 = 2-10, 5 x 39 = 2-15, 5 x 40 = 2-20, 5 x 41 = 2-25, 5 x 42 = 2-30, 5 x 43 = 2-35, 5 x 44 = 2-40, 5 x 45 = 2-45, 5 x 46 = 2-50, 5 x 47 = 2-55, 5 x 48 = 2-60, 5 x 49 = 2-65, 5 x 50 = 2-70, 5 x 51 = 2-75, 5 x 52 = 2-80, 5 x 53 = 2-85, 5 x 54 = 3-0, 5 x 55 = 3-5, 5 x 56 = 3-10, 5 x 57 = 3-15, 5 x 58 = 3-20, 5 x 59 = 3-25, 5 x 60 = 3-30, 5 x 61 = 3-35, 5 x 62 = 3-40, 5 x 63 = 3-45, 5 x 64 = 3-50, 5 x 65 = 3-55, 5 x 66 = 3-60, 5 x 67 = 3-65, 5 x 68 = 3-70, 5 x 69 = 3-75, 5 x 70 = 3-80, 5 x 71 = 3-85, 5 x 72 = 4-0, 5 x 73 = 4-5, 5 x 74 = 4-10, 5 x 75 = 4-15, 5 x 76 = 4-20, 5 x 77 = 4-25, 5 x 78 = 4-30, 5 x 79 = 4-35, 5 x 80 = 4-40, 5 x 81 = 4-45, 5 x 82 = 4-50, 5 x 83 = 4-55, 5 x 84 = 4-60, 5 x 85 = 4-65, 5 x 86 = 4-70, 5 x 87 = 4-75, 5 x 88 = 4-80, 5 x 89 = 4-85, 
6 x 1 = 0-6, 6 x 2 = 0-12, 6 x 3 = 0-18, 6 x 4 = 0-24, 6 x 5 = 0-30, 6 x 6 = 0-36, 6 x 7 = 0-42, 6 x 8 = 0-48, 6 x 9 = 0-54, 6 x 10 = 0-60, 6 x 11 = 0-66, 6 x 12 = 0-72, 6 x 13 = 0-78, 6 x 14 = 0-84, 6 x 15 = 1-0, 6 x 16 = 1-6, 6 x 17 = 1-12, 6 x 18 = 1-18, 6 x 19 = 1-24, 6 x 20 = 1-30, 6 x 21 = 1-36, 6 x 22 = 1-42, 6 x 23 = 1-48, 6 x 24 = 1-54, 6 x 25 = 1-60, 6 x 26 = 1-66, 6 x 27 = 1-72, 6 x 28 = 1-78, 6 x 29 = 1-84, 6 x 30 = 2-0, 6 x 31 = 2-6, 6 x 32 = 2-12, 6 x 33 = 2-18, 6 x 34 = 2-24, 6 x 35 = 2-30, 6 x 36 = 2-36, 6 x 37 = 2-42, 6 x 38 = 2-48, 6 x 39 = 2-54, 6 x 40 = 2-60, 6 x 41 = 2-66, 6 x 42 = 2-72, 6 x 43 = 2-78, 6 x 44 = 2-84, 6 x 45 = 3-0, 6 x 46 = 3-6, 6 x 47 = 3-12, 6 x 48 = 3-18, 6 x 49 = 3-24, 6 x 50 = 3-30, 6 x 51 = 3-36, 6 x 52 = 3-42, 6 x 53 = 3-48, 6 x 54 = 3-54, 6 x 55 = 3-60, 6 x 56 = 3-66, 6 x 57 = 3-72, 6 x 58 = 3-78, 6 x 59 = 3-84, 6 x 60 = 4-0, 6 x 61 = 4-6, 6 x 62 = 4-12, 6 x 63 = 4-18, 6 x 64 = 4-24, 6 x 65 = 4-30, 6 x 66 = 4-36, 6 x 67 = 4-42, 6 x 68 = 4-48, 6 x 69 = 4-54, 6 x 70 = 4-60, 6 x 71 = 4-66, 6 x 72 = 4-72, 6 x 73 = 4-78, 6 x 74 = 4-84, 6 x 75 = 5-0, 6 x 76 = 5-6, 6 x 77 = 5-12, 6 x 78 = 5-18, 6 x 79 = 5-24, 6 x 80 = 5-30, 6 x 81 = 5-36, 6 x 82 = 5-42, 6 x 83 = 5-48, 6 x 84 = 5-54, 6 x 85 = 5-60, 6 x 86 = 5-66, 6 x 87 = 5-72, 6 x 88 = 5-78, 6 x 89 = 5-84, 
7 x 1 = 0-7, 7 x 2 = 0-14, 7 x 3 = 0-21, 7 x 4 = 0-28, 7 x 5 = 0-35, 7 x 6 = 0-42, 7 x 7 = 0-49, 7 x 8 = 0-56, 7 x 9 = 0-63, 7 x 10 = 0-70, 7 x 11 = 0-77, 7 x 12 = 0-84, 7 x 13 = 1-1, 7 x 14 = 1-8, 7 x 15 = 1-15, 7 x 16 = 1-22, 7 x 17 = 1-29, 7 x 18 = 1-36, 7 x 19 = 1-43, 7 x 20 = 1-50, 7 x 21 = 1-57, 7 x 22 = 1-64, 7 x 23 = 1-71, 7 x 24 = 1-78, 7 x 25 = 1-85, 7 x 26 = 2-2, 7 x 27 = 2-9, 7 x 28 = 2-16, 7 x 29 = 2-23, 7 x 30 = 2-30, 7 x 31 = 2-37, 7 x 32 = 2-44, 7 x 33 = 2-51, 7 x 34 = 2-58, 7 x 35 = 2-65, 7 x 36 = 2-72, 7 x 37 = 2-79, 7 x 38 = 2-86, 7 x 39 = 3-3, 7 x 40 = 3-10, 7 x 41 = 3-17, 7 x 42 = 3-24, 7 x 43 = 3-31, 7 x 44 = 3-38, 7 x 45 = 3-45, 7 x 46 = 3-52, 7 x 47 = 3-59, 7 x 48 = 3-66, 7 x 49 = 3-73, 7 x 50 = 3-80, 7 x 51 = 3-87, 7 x 52 = 4-4, 7 x 53 = 4-11, 7 x 54 = 4-18, 7 x 55 = 4-25, 7 x 56 = 4-32, 7 x 57 = 4-39, 7 x 58 = 4-46, 7 x 59 = 4-53, 7 x 60 = 4-60, 7 x 61 = 4-67, 7 x 62 = 4-74, 7 x 63 = 4-81, 7 x 64 = 4-88, 7 x 65 = 5-5, 7 x 66 = 5-12, 7 x 67 = 5-19, 7 x 68 = 5-26, 7 x 69 = 5-33, 7 x 70 = 5-40, 7 x 71 = 5-47, 7 x 72 = 5-54, 7 x 73 = 5-61, 7 x 74 = 5-68, 7 x 75 = 5-75, 7 x 76 = 5-82, 7 x 77 = 5-89, 7 x 78 = 6-6, 7 x 79 = 6-13, 7 x 80 = 6-20, 7 x 81 = 6-27, 7 x 82 = 6-34, 7 x 83 = 6-41, 7 x 84 = 6-48, 7 x 85 = 6-55, 7 x 86 = 6-62, 7 x 87 = 6-69, 7 x 88 = 6-76, 7 x 89 = 6-83, 
8 x 1 = 0-8, 8 x 2 = 0-16, 8 x 3 = 0-24, 8 x 4 = 0-32, 8 x 5 = 0-40, 8 x 6 = 0-48, 8 x 7 = 0-56, 8 x 8 = 0-64, 8 x 9 = 0-72, 8 x 10 = 0-80, 8 x 11 = 0-88, 8 x 12 = 1-6, 8 x 13 = 1-14, 8 x 14 = 1-22, 8 x 15 = 1-30, 8 x 16 = 1-38, 8 x 17 = 1-46, 8 x 18 = 1-54, 8 x 19 = 1-62, 8 x 20 = 1-70, 8 x 21 = 1-78, 8 x 22 = 1-86, 8 x 23 = 2-4, 8 x 24 = 2-12, 8 x 25 = 2-20, 8 x 26 = 2-28, 8 x 27 = 2-36, 8 x 28 = 2-44, 8 x 29 = 2-52, 8 x 30 = 2-60, 8 x 31 = 2-68, 8 x 32 = 2-76, 8 x 33 = 2-84, 8 x 34 = 3-2, 8 x 35 = 3-10, 8 x 36 = 3-18, 8 x 37 = 3-26, 8 x 38 = 3-34, 8 x 39 = 3-42, 8 x 40 = 3-50, 8 x 41 = 3-58, 8 x 42 = 3-66, 8 x 43 = 3-74, 8 x 44 = 3-82, 8 x 45 = 4-0, 8 x 46 = 4-8, 8 x 47 = 4-16, 8 x 48 = 4-24, 8 x 49 = 4-32, 8 x 50 = 4-40, 8 x 51 = 4-48, 8 x 52 = 4-56, 8 x 53 = 4-64, 8 x 54 = 4-72, 8 x 55 = 4-80, 8 x 56 = 4-88, 8 x 57 = 5-6, 8 x 58 = 5-14, 8 x 59 = 5-22, 8 x 60 = 5-30, 8 x 61 = 5-38, 8 x 62 = 5-46, 8 x 63 = 5-54, 8 x 64 = 5-62, 8 x 65 = 5-70, 8 x 66 = 5-78, 8 x 67 = 5-86, 8 x 68 = 6-4, 8 x 69 = 6-12, 8 x 70 = 6-20, 8 x 71 = 6-28, 8 x 72 = 6-36, 8 x 73 = 6-44, 8 x 74 = 6-52, 8 x 75 = 6-60, 8 x 76 = 6-68, 8 x 77 = 6-76, 8 x 78 = 6-84, 8 x 79 = 7-2, 8 x 80 = 7-10, 8 x 81 = 7-18, 8 x 82 = 7-26, 8 x 83 = 7-34, 8 x 84 = 7-42, 8 x 85 = 7-50, 8 x 86 = 7-58, 8 x 87 = 7-66, 8 x 88 = 7-74, 8 x 89 = 7-82, 
9 x 1 = 0-9, 9 x 2 = 0-18, 9 x 3 = 0-27, 9 x 4 = 0-36, 9 x 5 = 0-45, 9 x 6 = 0-54, 9 x 7 = 0-63, 9 x 8 = 0-72, 9 x 9 = 0-81, 9 x 10 = 1-0, 9 x 11 = 1-9, 9 x 12 = 1-18, 9 x 13 = 1-27, 9 x 14 = 1-36, 9 x 15 = 1-45, 9 x 16 = 1-54, 9 x 17 = 1-63, 9 x 18 = 1-72, 9 x 19 = 1-81, 9 x 20 = 2-0, 9 x 21 = 2-9, 9 x 22 = 2-18, 9 x 23 = 2-27, 9 x 24 = 2-36, 9 x 25 = 2-45, 9 x 26 = 2-54, 9 x 27 = 2-63, 9 x 28 = 2-72, 9 x 29 = 2-81, 9 x 30 = 3-0, 9 x 31 = 3-9, 9 x 32 = 3-18, 9 x 33 = 3-27, 9 x 34 = 3-36, 9 x 35 = 3-45, 9 x 36 = 3-54, 9 x 37 = 3-63, 9 x 38 = 3-72, 9 x 39 = 3-81, 9 x 40 = 4-0, 9 x 41 = 4-9, 9 x 42 = 4-18, 9 x 43 = 4-27, 9 x 44 = 4-36, 9 x 45 = 4-45, 9 x 46 = 4-54, 9 x 47 = 4-63, 9 x 48 = 4-72, 9 x 49 = 4-81, 9 x 50 = 5-0, 9 x 51 = 5-9, 9 x 52 = 5-18, 9 x 53 = 5-27, 9 x 54 = 5-36, 9 x 55 = 5-45, 9 x 56 = 5-54, 9 x 57 = 5-63, 9 x 58 = 5-72, 9 x 59 = 5-81, 9 x 60 = 6-0, 9 x 61 = 6-9, 9 x 62 = 6-18, 9 x 63 = 6-27, 9 x 64 = 6-36, 9 x 65 = 6-45, 9 x 66 = 6-54, 9 x 67 = 6-63, 9 x 68 = 6-72, 9 x 69 = 6-81, 9 x 70 = 7-0, 9 x 71 = 7-9, 9 x 72 = 7-18, 9 x 73 = 7-27, 9 x 74 = 7-36, 9 x 75 = 7-45, 9 x 76 = 7-54, 9 x 77 = 7-63, 9 x 78 = 7-72, 9 x 79 = 7-81, 9 x 80 = 8-0, 9 x 81 = 8-9, 9 x 82 = 8-18, 9 x 83 = 8-27, 9 x 84 = 8-36, 9 x 85 = 8-45, 9 x 86 = 8-54, 9 x 87 = 8-63, 9 x 88 = 8-72, 9 x 89 = 8-81, 
10 x 1 = 0-10, 10 x 2 = 0-20, 10 x 3 = 0-30, 10 x 4 = 0-40, 10 x 5 = 0-50, 10 x 6 = 0-60, 10 x 7 = 0-70, 10 x 8 = 0-80, 10 x 9 = 1-0, 10 x 10 = 1-10, 10 x 11 = 1-20, 10 x 12 = 1-30, 10 x 13 = 1-40, 10 x 14 = 1-50, 10 x 15 = 1-60, 10 x 16 = 1-70, 10 x 17 = 1-80, 10 x 18 = 2-0, 10 x 19 = 2-10, 10 x 20 = 2-20, 10 x 21 = 2-30, 10 x 22 = 2-40, 10 x 23 = 2-50, 10 x 24 = 2-60, 10 x 25 = 2-70, 10 x 26 = 2-80, 10 x 27 = 3-0, 10 x 28 = 3-10, 10 x 29 = 3-20, 10 x 30 = 3-30, 10 x 31 = 3-40, 10 x 32 = 3-50, 10 x 33 = 3-60, 10 x 34 = 3-70, 10 x 35 = 3-80, 10 x 36 = 4-0, 10 x 37 = 4-10, 10 x 38 = 4-20, 10 x 39 = 4-30, 10 x 40 = 4-40, 10 x 41 = 4-50, 10 x 42 = 4-60, 10 x 43 = 4-70, 10 x 44 = 4-80, 10 x 45 = 5-0, 10 x 46 = 5-10, 10 x 47 = 5-20, 10 x 48 = 5-30, 10 x 49 = 5-40, 10 x 50 = 5-50, 10 x 51 = 5-60, 10 x 52 = 5-70, 10 x 53 = 5-80, 10 x 54 = 6-0, 10 x 55 = 6-10, 10 x 56 = 6-20, 10 x 57 = 6-30, 10 x 58 = 6-40, 10 x 59 = 6-50, 10 x 60 = 6-60, 10 x 61 = 6-70, 10 x 62 = 6-80, 10 x 63 = 7-0, 10 x 64 = 7-10, 10 x 65 = 7-20, 10 x 66 = 7-30, 10 x 67 = 7-40, 10 x 68 = 7-50, 10 x 69 = 7-60, 10 x 70 = 7-70, 10 x 71 = 7-80, 10 x 72 = 8-0, 10 x 73 = 8-10, 10 x 74 = 8-20, 10 x 75 = 8-30, 10 x 76 = 8-40, 10 x 77 = 8-50, 10 x 78 = 8-60, 10 x 79 = 8-70, 10 x 80 = 8-80, 10 x 81 = 9-0, 10 x 82 = 9-10, 10 x 83 = 9-20, 10 x 84 = 9-30, 10 x 85 = 9-40, 10 x 86 = 9-50, 10 x 87 = 9-60, 10 x 88 = 9-70, 10 x 89 = 9-80, 
